date,factor,explanation,updated_time,news_count
2022-11-01,0.85,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 01:14:07,5
2022-11-02,0.2,市場情緒偏中性，雖然部分個股反彈，但整體表現平穩，缺乏明顯利多刺激。,2025-05-18 01:14:09,5
2022-11-03,0.1,市場消息雜沓，缺乏明確利多或利空訊號，預期股價波動有限。,2025-05-18 01:14:10,5
2022-11-04,0.1,市場情緒偏中性，短期缺乏明顯利多刺激，但營收持平上季和電視急單回溫等正面訊息也未完全消除負面影響。,2025-05-18 01:14:12,5
2022-11-05,0.6,"營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。

====================

以下是提供的新聞資訊 :
光通訊廠第三季財報繳出佳績，吸引市場買盤進場布局，族群個股本周多點開花，其中波若威 (
3163-TW
) 大漲 17.89%、華星光 (
4979-TW
) 大漲 13.4%，統新、眾達、創威都漲 10%，光聖也漲 9.9%。


波若威第三季儘管營收較前季下滑，但產品組合帶動毛利提升，每股盈餘 2.4 元較前季持續成長；華星光轉虧為盈後營運保持強勁，第三季稅後純益 9819.6 萬元，季增 17.7%，每股純益成長至 0.74 元。


強勁營運帶動波若威大漲近 18%、華星光漲 13% ，帶動光通訊類股走強，統新、眾達、創威漲逾 10%，光聖漲 9.9%、光環 7.5%、前鼎 7.9%。

---

生華科 (6492-TW) 旗下新藥治療攝護腺癌的人體臨床試驗已正式完成第一位病人收案，在利多消息帶動下，本周股價重啟漲勢，一度衝破 50 元關卡，周五收在 49.3 元，周漲 23.3%，站回短均。


生華科上 (10) 月爆出前總座內線交易疑雲，儘管澄清公司營運正常，並火速通過科學長黃金鼎出任總經理，但股價仍受到衝擊，一度跌破 40 元價位。隨著新藥臨床有進展，本周股價重回 50 元之上。


生華科開發中的新藥 Pidnarulex，與輝瑞 (Pfizer)(PFE-US) 已上市 PARP 抑制劑 Talazoparib 合併用藥，進行治療攝護腺癌 (前列腺癌) 的人體臨床試驗已正式完成第一位病人收案，規劃 2 年完成收案 48 人。


公司期待，該合併療法除了能夠提升療效、延緩抗藥性及提升病人整體存活率外，治療項目有望擴大至卵巢癌、乳癌、攝護腺癌等多項腫瘤。

---

長園科 (8038-TW) 周五董事會通過新人事任命案，原研發大將張惇杰博士接任總經理，且為推動公司邁向下個成長階段，射出營運三箭，本周股價也跟隨大盤反彈回神，強漲 16.47%，創下三個月來新高。


長園科表示，張惇杰為美國卡內基美濃大學博士、美國康乃爾大學航空機械工程及材料科學客座教授、電化學科學協會及馬賽科學研究會會員，也是鋰鐵材料發明人，專精鋰鐵研發、製造與商轉化，研發團隊已取得超過 200 個國際發明專利，也創造國際化合作與實質營收、獲利成長。


長園科指出，公司布局鋰鐵電池多年，已切入晶圓龍頭大廠不斷電電池系統認證並獲大量採用，隨著儲能系統逐步汰換鉛酸電池，以及全球對再生能源需求攀升，皆可望為公司帶來正面效益。


長園科強調，公司將射出擴大營運規模三箭，包括延攬更多專業技術人才，拉高材料、電芯與電池系統客製化研發實力與技術競爭力；擴大合作範圍，優化生產製程效率及規模；擴大業務接單範圍與應用範疇，持續搶攻智慧儲能及鋰鐵電池滲透率躍增的商機。

---

愛普 *(6531-TW) 第三季雖受客戶去化庫存及延遲拉貨影響，但預期毛利率可望持穩，加上 3DIC 中長期展望樂觀，帶動本周股價走強，連拉出五根紅日 K，周五 (4 日) 終場收在 158 元，一舉收復五日線、十日線與月線，股價周漲 13.67%。


愛普表示，第三季庫存已明顯降低，將持續管控庫存維持較健康水準，目前市場能見度不高，客戶第四季持續進行庫存去化，IoT 業績短期將下滑，預估相關客戶庫存調整影響將到明年上半年。


不過，愛普看好，明年有許多 IPD 新開案，就算景氣不理想，營運還是有機會成長。


美系外資最新報告認為，雖然愛普 * 短期營運將受消費性電子產業逆風影響，但看好 IoT、AI 兩大事業群長期發展前景，維持加碼評等，不過目標價由 365 元調降至 300 元。


愛普 * 第三季稅後純益 6.98 億元，季增 12%，年增 3%，每股純益 4.32 元。前三季累計營收 42.73 億元，年減 12.47%。

 




愛普 * 日 K 線圖

---

嘉聯益 (6153-TW) 受惠客戶拉貨，第三季營運轉盈獲利更創新高，每股純益 1.35 元，前三季稅後純益 4.74 億元，同樣轉虧為盈，每股純益 0.85 元，本周獲三大法人買超 2.15 萬張，股價 29.72%，收在 29.9 元。


嘉聯益桃園觀音新廠產能利用率逐步提升，在 5G 通訊效益遞延發酵，以及品牌客戶新品認證及量產下，全年營收可望成長，估 2022 年在台產值將超越中國。


嘉聯益本周獲三大法人加碼 2.15 萬張，股價收在 29.9 元，創 13 個月來新高，周漲 29.72%，就技術線型觀察，股價量滾量上漲，站上所有短期均線，周 K 棒拉出長紅越過前高。




嘉聯益日 K 線圖",2025-05-18 01:14:34,5
2022-11-06,0.2,"雖然 DRAM 價格持續下跌，但記憶體廠商對第四季的銷售單價仍有所期待。然而，由於終端需求疲弱，供應商庫存調節有限，短期內 DRAM 價格難以明顯止穩。

營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。",2025-05-18 01:14:37,5
2022-11-07,0.2,營收與獲利雙成長，顯示公司營運狀況良好，但市場情緒受大盤影響而偏中性。,2025-05-18 01:14:39,5
2022-11-08,0.2,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 01:14:40,5
2022-11-09,0.8,電子產業旺季不旺，但 ABF 載板三雄營收仍表現不俗，外資看好未來一年供需可望維持吃緊，帶動股價強漲。半導體族群氣勢如虹，多檔個股拉出逾半根漲停，顯示市場情緒正面。,2025-05-18 01:14:43,5
2022-11-10,0.1,市場消息雜沓，營收獲利表現參差，整體影響有限。,2025-05-18 01:14:44,5
2022-11-11,0.3,市場對於美國通膨數據樂觀反應積極，帶動台股大漲，權值股全面上攻，電子族群回溫。,2025-05-18 01:14:46,5
2022-11-12,0.6,"營運表現亮眼，獲利創新高，帶動市場情緒正面，但三大法人調節，股價漲幅有限。

====================

以下是提供的新聞資訊 :
隨著美國通膨顯著降溫，熱錢全面回流，帶動台股本周強漲，聯發科 (2454-TW) 受惠買盤積極卡位，單周股價放量飆漲 103 元或 17.25%，一舉衝上 700 元大關，市值也重返兆元大關，達 1.12 兆元。


市場普遍預期手機庫存將在第四季達最高峰，明年首季客戶將恢復拉貨，聯發科出貨也可望回溫，有助營收重返成長。


執行長蔡力行也喊話，聯發科已在行動裝置和消費型產品的市場居領導地位，目前正朝向多元佈局的目標前進，與全球半導體供應鏈及客戶在各類產品深度合作，積極掌握多元成長動能，期盼 4-5 年後，將看到聯發科成為一個更好、更宏大的企業。


聯發科本周沿五日線上攻，接連站上季線與半年線大關，創下三個月來新高，三大法人中外資、投信皆站買方，外資大買 8566 張、投信也加碼 2827 張，僅自營商小幅調節 515 張。

---

PA 族群面臨終端手機市場需求下滑，營運表現低迷，股價自年初大幅滑落，不過本周跌深反彈，包含穩懋 (3105-TW)、全新 (2455-TW) 在買盤進駐下，周漲幅均超過 1 成，穩懋周五 (11 日) 更一度觸及漲停價位，宏捷科 (8086-TW) 本周則小漲逾 3%。


PA 族群對第四季營運展望普遍維持保守態度，主因整體終端需求不振、客戶庫存調節持續，依目前市況來看，產業認為營運谷底將至，明年在庫存調整、新機拉貨下，動能可望回溫。


砷化鎵晶圓代工龍頭穩懋就預期第四季營收受產能利用率低迷影響，將再較第三季下滑 11-13%，毛利率則維持在 2 成上下，但中長期展望趨勢仍正向，隨著年底、明年首季又逢產業傳統淡季，預期最快明年首季產業可望落底，第二季起則可望逐季回復到過往正常需求循環。

---

晶圓代工龍頭台積電 (2330-TW)(TSM-US) 本周股價落底反彈，重返 400 元整數大關，周五 (11 日) 更在 ADR 強彈帶動下，展開絕地大反攻，跳空飛漲 8.34%，收在 441.5 元，單周股價飆漲超過 15%，市值激增 1 兆 5428 億元。


台積電設廠計畫近來再度成為市場焦點，除傳 1 奈米廠將落腳桃園龍潭外，也傳將在美國再建一座 3 奈米新廠，台積電也說明，正建設的亞利桑那州新廠，就包括一部分可能用於二期廠房的建築，但目前尚未確定二期規劃。


另外，市場也傳因 7 奈米需求放緩，台積電高雄廠 7 奈米製程恐調整，對此，總裁魏哲家表示，高雄廠 7 奈米只是暫時延後，不會改變製程。


台積電 10 月受惠蘋果 (AAPL-US) 新機與高效運算對 5 奈米需求持續增加，營收達 2102.66 億元，月增 1%，年增 56.3%，再改寫 9 月寫下的單月次高紀錄；前 10 月累計營收 1 兆 8486.25 億元，年增 44%。

---

網通廠合勤控 (3704-TW) 擺脫封城、缺料干擾，第三季營運回神獲利創新高，吸引市場買盤搶進，周漲 19.6%，股價一舉收復所有均線，周成交量放大至 2.8 萬張。


合勤控第三季稅後純益 7.62 億元，季增 932%、年增 78.2%，每股純益 1.88 元，創單季新高，前三季稅後純益 11.62 億元，年增 26%，每股純益 2.72 元，超越過去全年獲利水準。


合勤控下半年出貨加速，營運較上半年改善，毛利ㄧㄝˇㄎㄜㄨ逐步回升，本周吸引買盤低接搶進，三大法人合計買超 3651 張，外資買超 2827 張，自營商買超 824 張。

---

蘋果光學元件供應鏈玉晶光 (3406-TW) 第三季稅後純益 17.29 億元改寫新高，前三季稅後純益 24.29 億元，超越去年全年，每股純益 21.57 元，本周不畏三大法人調節 1538 張，周漲 5.74%，收在 341 元。


在蘋果 iPhone 14 新機鏡頭拉貨激增帶動下，玉晶光第三季營收 71.77 億元，創新高，毛利率 41.96%，季增 4.57 個百分點，年增 5.52 個百分點，稅後純益 17.29 億元也改寫新高，超越上半年獲利總和，每股純益 15.34 元。玉晶光前三季營收 134.69 億元，毛利率 38.21%，年增 3.37 個百分點，稅後純益 24.29 億元，年增 76.9%，已超越去年全年，每股純益 21.57 元。


玉晶光 11 日股價收在 341 元，周漲 5.74%，股價沿 5 日線上攻，就周線而言，周 K 棒連兩紅，短底成型，周 KD 在低檔交叉向上，將有助挑戰 370 元季線位置。




玉晶光日 K 線圖",2025-05-18 01:15:08,5
2022-11-13,-0.2,半導體產業鏈庫存問題嚴峻，包括晶圓代工廠、記憶體廠均難以倖免，第四季減產氛圍籠罩市場，供應商相繼調整營運資源配置，如預先為客戶建庫存、將閒置產能或資源轉往他處等策略，蹲低姿態，以熬過這波「冰風暴」。,2025-05-18 01:15:10,5
2022-11-14,0.3,電子族群帶動下，指數可望步步高，蓄勢挑戰半年線。傳產接棒多頭氣勢，短多訊號浮現。,2025-05-18 01:15:12,5
2022-11-15,0.8,波克夏買進台積電 ADR 激勵市場情緒，預期帶動相關半導體族群上漲。,2025-05-18 01:15:14,5
2022-11-16,0.2,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 01:15:15,5
2022-11-17,0.1,台股量能不足，加上大型股表現強勁，中小型個股整理，市場情緒偏向保守。,2025-05-18 01:15:17,5
2022-11-18,0.1,市場觀望氣氛濃厚，電子族群漲多恐面臨獲利了結壓力，加上外資調節，大盤量縮價平，整體而言，台股短線需防大盤反轉拉回。,2025-05-18 01:15:19,5
2022-11-19,0.2,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 01:15:21,5
2022-11-20,-0.1,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 01:15:22,5
2022-11-21,0.2,電子權值股疲軟，遊戲與生技族群撐盤，整體市場情緒偏中性。,2025-05-18 01:15:24,5
2022-11-22,0.2,軍工題材持續發燒，帶動相關個股表現，但整體市場仍維持震盪整理格局。,2025-05-18 01:15:26,5
2022-11-23,-0.1,市場消息雜沓，缺乏明確利多或利空訊息。,2025-05-18 01:15:27,5
2022-11-24,0.6,多頭氣勢強勁，加權指數創反彈新高價，搭配櫃買指數上漲，顯示市場情緒正面。部分個股如敬鵬、長榮等表現亮眼，但整體仍需關注量能與族群輪動狀況。,2025-05-18 01:15:30,5
2022-11-25,0.1,電子權值股欲振乏力，航運股漲勢收斂，金融股漲跌互見，加權指數終場小跌 5 點，收在 14778 點，成交值增至 2300 億元以上，三大法人合計賣超 45.57 億元。,2025-05-18 01:15:32,5
2022-11-26,0.2,"雖然部分公司營收與獲利成長，但整體市場情緒偏中性，缺乏明顯利多刺激。

新聞內容涉及多家不同公司的營運狀況，無法針對單一公司進行分析。",2025-05-18 01:15:34,5
2022-11-27,-0.2,雖然部分產業面臨庫存調整壓力，但整體市場情緒偏向中性，預期短期內股價波動有限。,2025-05-18 01:15:36,5
2022-11-28,0.4,裕隆集團股價大漲，汽車股同聲歡慶，顯示市場對相關產業前景持正面看法。,2025-05-18 01:15:37,5
2022-11-29,0.2,"市場情緒偏中性，主要因為個別公司營運展望與產業前景呈現分歧。部分公司如事欣科看好明年成長，但整體股市仍受到通膨、升息等宏觀經濟因素影響。

兆豐投顧預估台股下半年有望回溫，帶動市場情緒正面，但美股走跌與聯準會鷹派言論再度打擊信心，導致大盤續跌。",2025-05-18 01:15:40,5
2022-11-30,0.2,市場靜待聯準會主席鮑爾談話，美股三大指數收黑，加上今日週選擇權結算、MSCI 季度調整盤後生效，大盤恐劇烈波動。台股今 (30) 日為 MSCI 季度調整生效日，終場大漲 169 點，飛越前波高點、量增收今日最高點 14835 點。,2025-05-18 01:15:42,5
2022-12-01,0.6,美股四大指數齊漲激勵下，台股爆量上漲，電子三雄領軍衝鋒，半導體族群活躍，顯示市場情緒偏正面。,2025-05-18 01:15:44,5
2022-12-02,0.2,"市場情緒偏中性，股價可能呈現小幅波動。聯準會轉鴿派訊息提振股市，但台股漲多後面臨壓力，短期內可能橫盤整理。

主要原因是美股四大指數齊揚，台灣金融市場也在熱錢挹注下再度上演股匯雙漲行情。聯準會偏好的通膨指標核心個人消費支出（PCE）增速放緩，這提振了市場對聯準會將很快放緩升息步伐的預期心理。但台股漲多後面臨壓力，短期內可能橫盤整理。",2025-05-18 01:15:48,5
2022-12-03,0.2,營運狀況良好，加上業外遷廠利益挹注，預期帶動市場情緒正面。,2025-05-18 01:15:49,5
2022-12-04,0.2,整體而言，營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 01:15:51,5
2022-12-05,0.1,光寶科營收維持高檔，展望明年成長，但大盤指數失守萬五，市場情緒偏中性。,2025-05-18 01:15:53,5
2022-12-06,0.1,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 01:15:54,5
2022-12-07,0.2,營收與獲利雙成長，展望樂觀，市場情緒偏正面。,2025-05-18 01:15:56,5
2022-12-08,0.1,儲能題材具備十倍數成長潛力，台灣儲能市場規模將快速擴大。中興電為儲能產業的領頭指標。,2025-05-18 01:15:58,5
2022-12-09,0.3,市場情緒偏向正面，但受到鄭州廠疫情影響，營收表現不如預期，整體而言對股價波動的影響有限。,2025-05-18 01:16:00,5
2022-12-10,0.2,中國市場放寬疫情封控措施，激勵營運主體主要在中國市場的上市業者有積極買盤進場，但砷化鎵族群受整體智慧型手機庫存調整影響，營收與股價表現疲弱。,2025-05-18 01:16:01,5
2022-12-11,0.1,政府推動再生能源政策，帶動光電支架用鋼需求，相關業者如燁輝、新光鋼可望直接受惠。,2025-05-18 01:16:03,5
2022-12-12,-0.2,市場觀望氣氛濃厚，缺乏明確利多或利空訊息，導致指數量縮震盪。,2025-05-18 01:16:05,5
2022-12-13,0.1,市場觀望氣氛濃厚，加權指數下挫，電子三雄與高價股普遍走弱，但生技醫療股表現強勁。,2025-05-18 01:16:07,5
2022-12-14,0.2,"市場對光寶科的消息反應平穩，整體呈現中性偏正面。主要原因是台積電等權值股帶動大盤上漲，以及光寶科在晶圓雙雄領軍下表現強勁。

-1.0
光寶科遭遇多項利空消息，包括營收與獲利雙創高點、訂單下修將直接衝擊營收與獲利、新產品未引起預期熱度等。市場情緒轉趨保守，短期缺乏利多刺激。",2025-05-18 01:16:09,5
2022-12-15,0.1,光罩持續處分聯電持股，顯示對後市信心不足。營運穩定且訂單滿載，市場情緒偏中性。,2025-05-18 01:16:11,5
