date,factor,explanation,updated_time,news_count
2022-11-01,0.6,台積電股價上漲、生技股強勢表現帶動大盤站回萬三關卡，顯示市場情緒正面，但外資買超力道不足且先進製程設廠地點引發討論，短期內對市場信心仍有壓抑。,2025-07-06 23:07:30,4
2022-11-02,0.7,電子零件與光電族群強勢反彈，權值股台積電翻紅帶動指數上漲，市場情緒回溫但仍需觀察聯準會利率決策。,2025-07-06 23:07:32,2
2022-11-03,0.6,台積電 1 奈米廠落腳桃園龍潭科學園區三期擴建計畫啟動，政府展現支持半導體產業發展決心，但水電需求仍是關注焦點。,2025-07-06 23:07:34,4
2022-11-04,0.6,電子權值股跌勢收斂與航運、金融撐盤帶動加權指數翻紅，顯示市場情緒有所回溫，但三大法人合計賣超仍影響整體信心。,2025-07-06 23:07:35,1
2022-11-07,0.9,台積電領軍電子權值股上攻，加上金融與傳產族群齊力助攻，大盤站回萬三關卡並創下一個月新高，顯示市場情緒轉趨樂觀。,2025-07-06 23:07:37,3
2022-11-08,0.9,台積電維持穩定股利政策並擴大資本支出，展現對未來成長的信心，激勵市場情緒向上且股價走揚。,2025-07-06 23:07:38,2
2022-11-09,0.9,台積電股價大漲突破 400 元關卡，站上 412 元，市值衝上 10.68 兆元，反映市場對其基本面與展望的正向看待。新廠建置計畫、外資回流買超及指數強彈等利多因素共同推升股價表現。,2025-07-06 23:07:41,4
2022-11-10,0.3,台積電營收創高但展望保守，加上美債殖利率走升與加密貨幣拋售，引發市場對半導體需求前景的疑慮，短期股價面臨修正壓力。,2025-07-06 23:07:43,4
2022-11-11,0.9,"美通膨降溫、聯準會釋出鴿派訊號激勵美股大漲，台積電 ADR 跟進飆漲超過 8%，帶動現貨股今日跳空上漲逾 30 元，重返季線並站上 11 兆元市值，電子權值股聯發科、聯電等齊揚，金融與航運族群也表現亮眼，大盤終場大漲 503.8 點，站上萬四關卡。展望後市，法人認為若通膨持續緩解、升息目標不再上調，多頭可望逐步回籠。

0.9
美通膨降溫幅度大於預期，激勵道瓊狂飆 1201 點，費半指數漲幅更超過 10%，台積電 ADR 大漲 8.92%，帶動現貨股今日開盤跳空上漲逾 30 元，重返季線並站上 11 兆元市值，大盤終場大漲 503.8 點，漲幅 3.73% 收在 14007.56 點，一舉站上萬四關卡。電子權值股聯發科、聯電齊揚，金融與航運族群也表現亮眼，ABF 載板三雄中欣興、南電漲停，貨櫃航運股長榮、陽明、萬海等都在平盤以上。",2025-07-06 23:07:49,4
2022-11-12,0.7,營收持續成長與新廠設廠計畫利多激勵市場信心，但部分擴產調整傳言仍引發短期波動。,2025-07-06 23:07:50,1
2022-11-14,0.7,台股在電子與傳產權值股帶動下持續走揚，多頭氣勢強勁，加上外資回補與成交量放大等因素有利指數挑戰半年線。,2025-07-06 23:07:52,4
2022-11-15,0.9,波克夏買進台積電 ADR 與高層持股信心激勵下，市場情緒轉為樂觀，股價強勢反彈突破季線並重返 12 兆市值。,2025-07-06 23:07:54,4
2022-11-16,0.9,台積電領軍反彈加上外資連四日買超，激勵市場情緒向上，但適逢期貨結算與地緣政治風險仍存，股價波動劇烈。,2025-07-06 23:07:56,4
2022-11-17,0.6,行政院通過晶片法案利多提振市場信心，但美股重挫與電子權值股疲弱使短期漲勢受阻，整體走勢仍偏中性。,2025-07-06 23:07:58,4
2022-11-18,0.3,市場情緒受到聯準會官員鷹派言論與外資調節影響而轉為保守，儘管台版晶片法案利多及電子股支撐，但量能萎縮、權值股漲多恐面臨獲利了結壓力，加上傳產族群普遍走跌，使大盤指數震盪拉回。,2025-07-06 23:08:00,3
2022-11-19,0.6,三星加速改善良率以追趕台積電的努力獲得市場正面回應，但產創條例修法對聯電等本土廠商帶來利多，整體而言市場情緒偏向樂觀。,2025-07-06 23:08:02,2
2022-11-20,0.9,巴菲特大舉買入台積電 ADR 引發市場熱議，多檔 ETF 持股比重超過 35%，顯示其受青睞程度，激勵正面投資情緒。,2025-07-06 23:08:03,1
2022-11-21,0.3,台積電股價疲軟拖累大盤量縮震盪，電子權值熄火，遊戲與生技族群撐盤有限，市場觀望氣氛濃厚。,2025-07-06 23:08:06,4
2022-11-22,0.6,台積電領軍反彈激勵市場情緒，半導體產業展望仍有雜音，整體走勢維持區間整理格局。,2025-07-06 23:08:07,4
2022-11-23,0.6,電子權值股熄火但金融與傳產族群撐盤，加上生技股強勢表現，整體市場情緒偏正面，但成交量不足且台積電走勢疲軟使漲幅受限。,2025-07-06 23:08:09,3
2022-11-24,0.7,台積電等電子權值股領漲，加上貨櫃航運與金融股助攻，多頭資金持續輪動，市場情緒偏正面。,2025-07-06 23:08:11,3
2022-11-25,0.6,電子權值股疲弱、航運漲幅縮小及鋼鐵族群漲多拉回等因素使市場情緒趨於中性，但外資連三買與美元走跌帶來的匯出壓力減輕，支撐指數守穩在 14700 點之上。,2025-07-06 23:08:13,4
2022-11-26,0.6,鴻海延攬前台積電共同營運長擔任半導體策略長，市場解讀為強化集團半導體實力，但郭台銘重申不會複製台積電模式，聚焦利基、下一代材料與新一代製程封裝，並著重汽車應用，引發市場對未來發展方向的疑慮。,2025-07-06 23:08:15,1
2022-11-27,0.9,外資回流、指數反彈與多頭格局延續，激勵市場情緒樂觀並推升股價上揚。,2025-07-06 23:08:16,1
