date,factor,explanation,updated_time,news_count
2022-11-01,0.5,台積電股價小漲，政府支持其在台灣投資先進製程，美國亞利桑那州廠進展順利，整體市場情緒偏向正面，但外資賣超，因此市場情緒評分為0.5。,2025-04-07 21:54:05,5
2022-11-02,0.6,台積電在台股開低走高的情況下強勢翻紅，收盤上漲0.89%，顯示市場對台積電有正面反應，且投信與自營商買超，外資雖賣超，但整體法人合計買超，顯示市場對台積電有正面情緒。然而，地緣政治風險可能對台積電產生負面影響，但整體來看，正面新聞多於負面新聞。,2025-04-07 21:55:08,5
2022-11-03,-0.1,由於美國聯準會的鷹派言論和美股重挫，加上外資的匯出趨勢，對台股短期形成較大的壓力，這可能會對台積電的股價產生負面影響。但台積電1奈米廠計畫落腳桃園的消息是長期利好因素，然而短期內由於市場情緒負面，可能不足以完全抵消美股重挫的負面影響，因此整體市場情緒更偏向負面。,2025-04-07 21:55:43,5
2022-11-04,-0.1,臺股相對穩定，尾盤有低接買盤，帶動台積電等電子權值股跌勢收斂；然而台積電雖然一度出現買盤湧入，但仍收跌，顯示市場情緒略偏負面。外資持續賣超台股，且美國聯準會的鷹派言論對科技股有壓力，整體市場波動和不確定性較大。,2025-04-07 21:56:07,5
2022-11-05,0.0,由于提供的新闻信息主要针对嘉联益、长园科、生华科、爱普，以及光通讯厂如波若威和华星光，新闻中并未直接提到台积电，因此这组新闻可能对台积电的市场情绪和股价波动没有直接影响。因此，将市场情绪评分设定为0，因为新闻内容并没有明确提到台积电。然而整体产业情绪较为积极。,2025-04-07 21:57:09,5
2022-11-06,0.2,因中央銀行表示台灣電子科技產品出口成長與全球需求相符，且傳產業價值附加率與市占率也同步上升，顯示台灣經濟並無“荷蘭病”現象，這對科技產業發展有正面影響，間接地對台積電營運前景有正面作用。,2025-04-07 21:57:46,5
2022-11-07,0.3,台積電股價上漲超過2%，收在390元，且美股全面大漲，尤其是費城半導體指數漲勢強勁，對台股形成正面影響。此外，新台幣轉升，且台股開高走高，攻擊量擴增，顯示市場資金流入，整體大盤站上13200點，表明市場情緒正面，股票可能會上漲。然而，聯準會升息、中國政策的不確定性等因素仍存在，因此市場情緒雖正面，但並未極度樂觀，因此打上的標誌值為0.3。,2025-04-07 21:58:07,5
2022-11-08,0.5,新聞提到美股收紅，台股跟隨上漲，台積電大漲並引領加權指數上漲，交易量能回溫，顯示市場情緒正面。但總體經濟如全球央行緊縮政策及美國CPI數據的不確定性也需謹慎。,2025-04-07 21:58:58,5
2022-11-09,0.8,分析相關新聞顯示，台積電股價大漲，外資大幅買入，台股整體表現強勢，且傳出台積電可能擴建美國新廠的消息，這些都表明市場情緒正面，股票很可能會上漲。,2025-04-07 22:00:00,5
2022-11-10,0.3,台積電10月營收表現強勁，年增率高達56.3%，預估第四季營收與毛利率將創新高，顯示基本面強勁，但受到美股下跌、美債殖利率上揚等外部因素影響，市場情緒可能有所波動，因此整體情緒傾向正面但略低。,2025-04-07 22:01:12,5
2022-11-11,0.8,美股周四 (10 日) 狂飆逾千點，台積電 ADR 也暴漲超過 8%，激勵台積電 (2330-TW) 今 (11) 日股價同步催油門、跳空飛漲逾 8%，單日市值激增超過 8945 億元，重返 11 兆元大關，同時帶動台股衝破萬四大關。台積電公布的10 月營收也再創新高，年增 56.3%，前 10 月累計營收年增 44%。這些正面消息顯示市場對台積電以及整體半導體產業的看好，通貨膨脹數據下降及美聯儲可能放緩加息步伐，也增強了投資信心，帶動台積電 ADR 和實際股票價格大漲，市場情緒正面，因此認定該組新聞對台積電股票隔天市場情緒有正面影響，股價可能會上漲。,2025-04-07 22:01:33,5
2022-11-12,0.5,台積電本周股價強勢反彈，市值激增，且新廠擴產計畫包括可能的美國第三座廠房消息，加上高雄廠7奈米製程只是暫延，未來營收動能明確，因此預計整體市場情緒正面，股價可能會上漲。同時，美國通膨降溫也對全球股市有正面推動作用。爭議點如MSCI調降台積電權重可能帶來負面影響，但綜合各方面消息，整體情緒偏向正面。,2025-04-07 22:01:55,5
2022-11-13,-0.3,"These articles indicate an overall negative sentiment towards the semiconductor industry due to a slowdown in demand, inventory issues, and reduced capital expenditures by semiconductor companies. Since TSMC is a major player in the semiconductor industry, such industry-wide negative news could have a negative impact on TSMC's stock market sentiment.",2025-04-07 22:02:41,5
2022-11-14,0.9,由於市場分析人士預測台股大盤有表現空間，外資持續買超，且台股已呈現強勁上漲趨勢，突破季線，並有望挑戰半年線，特別是台積電等電子權值股表現強勢，整體市場情緒因此正面樂觀。,2025-04-07 22:03:12,5
2022-11-15,0.8,由於股神巴菲特旗下波克夏海瑟威公司揭露第三季買進超過 41 億美元的台積電 ADR，同時台積電 ADR 盤後大漲逾 7%，顯示市場對台積電的前景持正面態度，台積電作為台股權重最高的個股，其大漲通常會對市場情緒產生極大正面推動作用，因此市場情緒被判斷為正面，預測股票可能會上漲。同時台積電供應鏈概念股也普遍上漲，進一步增強市場對半導體產業的信心。儘管有警告稱此為反彈行情，但整體市場情緒被巴菲特投資台積電這一重要消息所主導，形成了一股強烈的正面推動力。,2025-04-07 22:04:55,5
