date,factor,explanation,updated_time,news_count
2022-11-01,-0.7,外資與投信同步賣超廣達，反映市場對其營運前景信心不足，短期情緒偏空。,2025-06-08 22:36:12,2
2022-11-08,0.5,市場整體反彈帶動科技股走揚，廣達作為權值股受惠於半導體族群漲勢。,2025-06-08 22:36:17,1
2022-11-10,-0.5,市場整體電子權值股走弱，廣達受大盤及產業氛圍拖累，情緒偏負。,2025-06-08 22:36:23,1
2022-11-11,0.6,財務表現亮眼且非筆電業務成長，搭配台股整體漲勢強勁，帶動市場情緒正面。,2025-06-08 22:36:31,3
2022-11-14,0.3,市場整體看漲氛圍可能間接支撐廣達股價，但技術指標警示短線波動風險。,2025-06-08 22:36:39,1
2022-11-23,0.6,廣達積極擴張海外產能與布局北美市場，顯示強勁需求與戰略優勢，有利市場情緒正面。,2025-06-08 22:36:46,1
2022-11-25,-0.7,廣達遭資金拋售且電子權值股走弱，市場情緒受壓導致股價偏空。,2025-06-08 22:36:49,1
2022-11-29,0.6,廣達所在電子股群表現強勁，資金流入與市場情緒同步上漲，推升股價動能。,2025-06-08 22:36:54,1
2022-12-02,-0.5,廣達作為電子權值股同步收黑，市場情緒受整體盤勢走弱影響，但部分龍頭股逆勢走強形成部分支撐。,2025-06-08 22:37:01,1
2022-12-07,0.6,云端業務成長與擴產進度顯示營運動能，提振市場對廣達長期發展的正面期待。,2025-06-08 22:37:11,2
2022-12-15,-0.6,外資與投信同步賣超廣達，反映市場對其股價短期偏空情緒。,2025-06-08 22:37:17,1
2022-12-27,0.6,大陸解封帶動半導體族群普漲，廣達同步受惠於市場情緒正面波動。,2025-06-08 22:37:24,1
2023-01-05,-0.7,云端服务器需求放缓及Meta订单下修冲击廣達，引發市場負面情緒。,2025-06-08 22:37:32,1
2023-01-08,-0.1,廣達未直接提及營運或訂單變化，市場情緒受台積電法說會負面預期影響，但尾牙活動與國安基金護盤形成部分支撐。,2025-06-08 22:37:39,1
2023-01-10,0.3,公司強調智慧轉型與未來增長機會，但坦言今年挑戰仍可能影響市場信心。,2025-06-08 22:37:45,2
2023-01-31,-0.7,廣達受台股電子權值股整體走弱拖累，市場情緒偏負面，短期缺乏明確支撐。,2025-06-08 22:37:52,1
2023-02-03,-0.4,廣達股價震盪走低，反映市場對其營運動能的疑慮，但台股整體走高部分緩衝負面情緒。,2025-06-08 22:37:59,1
2023-02-07,0.3,廣達股價微漲且處於電子板塊強勢股之列，但整體市場情緒偏弱且權值股走弱，顯示部分正面因素抵消市場不確定性。,2025-06-08 22:38:07,1
2023-02-12,0.6,投信買超與產業基本面改善信號強化，推升市場對廣達的正面情緒。,2025-06-08 22:38:13,1
2023-03-08,-0.5,廣達屬電子股疲軟拖累市場情緒，但傳產股反彈與AI概念股漲勢部分緩衝負面影響。,2025-06-08 22:38:23,1
2023-03-15,-0.4,全年財報表現尚可且股利政策積極，但筆電出貨下滑與伺服器成長放緩，市場對營運展望持保守態度。,2025-06-08 22:38:33,2
2023-03-20,-0.5,廣達屬電子權值股受台股整體走弱拖累，市場情緒偏空但未顯著跌勢，顯示壓力有限。,2025-06-08 22:38:39,1
2023-03-21,0.3,台股整體走強及電子權值股表現活躍，帶動市場情緒正面。,2025-06-08 22:38:46,1
2023-03-30,0.6,市場整體走勢強勁且廣達漲幅明顯，顯示股價受大盤拉抬與產業族群表現帶動而呈現正面情緒。,2025-06-08 22:38:51,1
2023-04-10,-0.5,廣達營收與出貨量雖月增但季減年減，顯示筆電業務受壓，雲端成長放緩，市場對營運回溫信心有限，情緒偏負。,2025-06-08 22:39:00,1
2023-04-17,-0.2,越南設廠與潛在蘋果合作顯示戰略擴張，但季報雙減與雲端成長放緩形成拉扯，市場情緒偏保守。,2025-06-08 22:39:09,2
2023-04-19,0.85,PC市場回溫與法人評等上修同步推升市場信心，帶動股價強勁反彈。,2025-06-08 22:39:14,1
2023-04-20,-0.3,外资及陆资卖超广达，但自营商买超显示部分机构支撑，整体市场情绪偏空但存在短期反弹可能。,2025-06-08 22:39:28,1
2023-04-21,-0.5,廣達同步走跌反映電子權值股受台積電法說會調整影響，市場情緒偏保守。,2025-06-08 22:39:39,1
2023-04-23,-0.3,市場整體氛圍偏空且技術面偏弱，但外資布局廣達提供部分支撐，情緒略偏負。,2025-06-08 22:39:44,1
2023-04-24,-0.1,越南設廠顯示長期戰略擴張，但首季營收與出貨雙減反映短期營運壓力，市場情緒偏保守。,2025-06-08 22:39:52,2
2023-05-02,0.7,外資與機構同步加碼伺服器代工廠，顯示市場對廣達產業定位與獲利能見度持樂觀態度。,2025-06-08 22:39:57,1
2023-05-06,0.6,領導層強調技術優勢與未來成長潛力，提升市場對公司長期發展的信心。,2025-06-08 22:40:03,1
2023-05-09,0.3,廣達4月營收年增16.7%且季節性出貨模式說明營運穩定，搭配台股電子股整體走揚，市場情緒偏正面。,2025-06-08 22:40:11,2
2023-05-11,0.5,營收與獲利雖雙減，但毛利率改善及季節性因素被解釋，市場情緒偏正面但不顯著。,2025-06-08 22:40:16,1
2023-05-12,0.3,廣達第二季出貨與業務預期改善，但市場整體偏空情緒仍對股價形成壓力。,2025-06-08 22:40:22,3
2023-05-13,0.85,業務展望樂觀且獲利預期明確，強化市場買盤信心與正向情緒。,2025-06-08 22:40:29,1
2023-05-18,0.3,市場整體漲勢帶動電子股走揚，廣達同步受惠於產業氛圍改善，情緒偏正面。,2025-06-08 22:40:40,1
2023-05-19,0.7,廣達業務展望樂觀且市場表現強勁，叠加整體股市漲勢，強化市場正面情緒。,2025-06-08 22:40:46,2
2023-05-22,-0.3,廣達遭逢高賣壓拖累股價下跌，市場情緒偏保守，短期反彈動能不足。,2025-06-08 22:40:52,2
2023-05-23,0.7,廣達在墨西哥的投資與特斯拉合作布局強化，預期帶動市場對其擴張與營收成長的正面期待。,2025-06-08 22:40:58,2
2023-05-24,-0.7,市場整體下跌與電子股走弱帶動廣達股價承壓，情緒偏向負面。,2025-06-08 22:41:03,1
2023-05-25,0.7,輝達財報帶動AI與顯卡族群走強，廣達作為核心供應鏈受益，市場情緒顯著正面。,2025-06-08 22:41:08,2
2023-05-28,0.6,外資大買廣達顯示對AI產業長期需求信心，帶動電子族群輪動漲勢，市場情緒偏正面。,2025-06-08 22:41:13,1
2023-05-29,-0.6,廣達遭外資與投信同步賣超，顯示機構對其短線表現持保守態度，加劇市場情緒偏負。,2025-06-08 22:41:19,2
2023-05-30,0.8,黃仁勳強調AI合作契機與產業轉型機會，提升市場對廣達技術布局與未來成長的正面期待。,2025-06-08 22:41:23,1
2023-05-31,-0.6,市場整體調整導致電子權值股同步走弱，廣達作為權值股受拖累，市場情緒偏負。,2025-06-08 22:41:31,1
2023-06-01,-0.5,市場整體下跌且權值股走弱，廣達受大盤拖累，情緒偏負。,2025-06-08 22:41:39,1
2023-06-02,0.8,市場整體漲勢強勁，AI與電子族群熱絡，廣達受惠於產業鏈需求提升，情緒顯著正面。,2025-06-08 22:41:44,1
2023-06-05,-0.6,廣達受電子股整體走弱及AI概念回檔拖累，市場情緒偏負向。,2025-06-08 22:41:49,2
2023-06-07,0.7,市場整體漲勢強勁且外資加碼買盤，帶動廣達股價走高與市場情緒正面。,2025-06-08 22:41:53,3
2023-06-09,0.5,廣達出貨量成長與AI伺服器預期帶動市場樂觀情緒，抵銷營收下滑影響。,2025-06-08 22:42:00,2
2023-06-11,0.5,AI伺服器需求發酵帶動代工股走勢，市場對廣達營運展望持樂觀態度。,2025-06-08 22:42:10,1
2023-06-13,0.8,廣達受惠電子權值股全面走強及AMD概念熱潮，市場情緒顯著正面。,2025-06-08 22:42:14,3
2023-06-14,0.3,廣達在電子股中表現相對強勢，部分資金支撐下市場情緒略偏正面。,2025-06-08 22:42:21,1
2023-06-15,0.7,市場整體漲勢強勁且三大法人買超，帶動廣達電子權值股走揚，情緒明顯正面。,2025-06-08 22:42:26,1
2023-06-16,0.8,AI伺服器業務成長可期且市場熱絡，強化投資人對廣達長期技術與營運優勢的正面評價。,2025-06-08 22:42:32,3
2023-06-20,-0.7,廣達當日股價領跌且遭外資賣超，反映市場情緒偏負面。,2025-06-08 22:43:59,3
2023-06-21,0.6,AI伺服器合作消息強勁帶動廣達股價創新高，市場對高階裝置需求樂觀情緒濃厚。,2025-06-08 22:44:05,1
2023-06-23,0.6,廣達預期第三季消費性產品出貨高峰將帶動營運回升，市場對下半年需求回溫持樂觀態度。,2025-06-08 22:44:10,1
2023-06-26,-0.7,市場整體下跌與AI族群回檔拖累廣達股價，情緒偏負面。,2025-06-08 22:44:17,1
2023-06-28,0.6,市場整體科技股反彈及外資買超廣達顯示短線買盤支撐，情緒偏正面。,2025-06-08 22:44:24,2
2023-06-30,0.6,廣達當日逆勢揚升，反映市場對其營運或產業動能有正面期待，帶動短暫情緒上揚。,2025-06-08 22:44:34,1
2023-07-24,-0.6,營收年減與出貨量季增但預期第三季回落，顯示短期營運動能不穩，市場情緒偏負。,2025-06-08 22:44:40,1
2023-07-25,0.6,AI概念持續發酵帶動科技股走強，但廣達尾盤獲利了結顯示短期買盤動能趨緩。,2025-06-08 22:44:47,3
2023-07-26,0.6,AI概念持續強勢帶動市場情緒正面，抵銷整體市場觀望氛圍。,2025-06-08 22:44:53,2
2023-07-27,-0.4,廣達作為AI概念股表現疲軟，拖累市場情緒，但半導體及金融股強勢部分抵消負面影響。,2025-06-08 22:45:00,2
2023-07-30,-0.6,市場對AI股持續出清與尋找更便宜標的，顯示短期賣壓與保守情緒，可能壓抑股價表現。,2025-06-08 22:45:07,1
2023-07-31,-0.85,AI族群整體走弱及廣達盤中跌停，顯示市場對AI相關股信心受挫，情緒明顯偏負。,2025-06-08 22:45:12,2
2023-08-01,-0.3,廣達布局AI醫療受關注，但台股AI族群整體走弱，市場情緒偏保守。,2025-06-08 22:45:19,3
2023-12-01,-0.4,廣達股價下跌與缺料問題擔憂抵銷AI前景樂觀預期，市場情緒偏負。,2025-06-08 22:45:33,2
2023-12-06,0.7,AI概念股與板卡族群強勢拉抬市場情緒，帶動廣達股價上漲動能。,2025-06-08 22:45:38,1
2023-12-08,-0.3,營收創單月新高但筆電與AI業務面臨成長壓力，市場情緒偏保守。,2025-06-08 22:45:48,1
2023-12-19,-0.3,外資加碼廣達顯示部分資金看好，但整體台股下跌與賣超氣氛壓抑市場情緒。,2025-06-08 22:45:57,1
2023-12-20,0.6,PC市場成長與Arm架構產品刺激帶動ODM族群走強，間接提升廣達市場情緒。,2025-06-08 22:46:01,1
2023-12-21,0.3,AI PC概念帶動廣達股價反彈，市場對科技板塊持續看多，情緒偏正面。,2025-06-08 22:46:10,1
