date,factor,explanation,updated_time,news_count
2022-11-01,0.1,市場情緒偏中性，雖然富士康調高獎勵政策，但鄭州廠疫情仍影響部分個股表現。,2025-05-17 18:23:31,5
2022-11-02,0.1,市場情緒偏向保守，電子與傳產股表現分歧，整體漲跌幅有限。,2025-05-17 18:23:33,5
2022-11-03,0.1,營運展望樂觀，新品推出將提振 ASP，但市場情緒偏保守，短期缺乏利多刺激。,2025-05-17 18:23:35,5
2022-11-04,0.1,市場情緒偏中性，短期缺乏明確利多或利空因素。,2025-05-17 18:23:36,5
2022-11-05,0.2,光通訊族群第三季財報亮眼，帶動市場情緒正面，但整體而言消息對於技嘉的影響有限。,2025-05-17 18:23:38,5
2022-11-06,0.2,雖然 DRAM 價格持續下跌，但新藥銷售額大幅增長，顯示公司營運狀況良好，市場情緒可能偏正面。,2025-05-17 18:23:40,5
2022-11-07,0.2,"雖然鄭州廠受疫情影響，但蘋果與政府全力支援下產能可望恢復，營收表現仍維持成長。銅價上漲帶動相關概念股走強。

主要原因為鄭州廠防疫及營運狀況獲得河南省政府支持，並將以最快速度撲滅疫情恢復滿產能生產，且四大產品均較去年同期成長，顯示公司整體營運表現仍維持正向。",2025-05-17 18:23:42,5
2022-11-08,0.1,營運狀況良好，獲利雙創高點，顯示公司財務體質健全，預期帶動市場情緒正面。,2025-05-17 18:23:44,5
2022-11-09,0.3,電子產業旺季不旺，但 ABF 載板三雄 10 月營收仍表現不俗，外資看好未來一年供需可望維持吃緊，帶動市場情緒正面。,2025-05-17 18:23:46,5
2022-11-10,0.1,市場消息與營收表現不一，整體而言無明顯利多或利空。,2025-05-17 18:23:47,5
2022-11-11,0.2,市場對科技股的樂觀情緒持續，但個別公司展望仍有差異，整體而言，台股可能維持震盪向上走勢。,2025-05-17 18:23:49,5
2022-11-12,0.2,"PA 族群對第四季展望保守，但預期明年在庫存調整後可望回溫；聯發科受惠手機庫存去化，營收有望重返成長。

市場普遍預期手機庫存將在第四季達最高峰，明年首季客戶將恢復拉貨，聯發科出貨也可望回溫，有助營收重返成長。",2025-05-17 18:23:51,5
2022-11-13,0.1,科技產業鏈庫存調整影響有限，亞力營運展望仍佳。,2025-05-17 18:23:53,5
2022-11-14,0.3,台股反彈力道延續，電子權值撐盤，非金電指數強彈，多頭符合進一步轉強的條件，但季線仍持續下彎，整體市場仍定義為反彈格局。,2025-05-17 18:23:55,5
2022-11-15,0.2,市場消化拜習會與聯準會官員釋出的鷹派訊號，美股四大指數全面收黑，但台積電 ADR 盤後大漲逾 7%，可望支撐台股走勢，加上近期外資回補、成交量擴大等有利因素下，預估台股震盪走高。,2025-05-17 18:23:57,5
2022-11-16,0.6,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-17 18:23:59,5
2022-11-17,-0.2,台股近期波動加劇，美光減產引發記憶體晶片股賣壓，但同時也帶來台灣廠商轉單利多。行政院通過台版晶片法案激勵半導體族群，但整體量能不足以支撐強勁上攻力道，中小型個股持續整理。,2025-05-17 18:24:01,5
2022-11-18,0.2,台股在反彈後出現震盪，雖然電子族群支撐指數，但權值股走弱，加上外資調節、大盤量縮價平，市場情緒偏向保守。,2025-05-17 18:24:03,5
2022-11-19,0.7,"營運狀況逐步好轉，顯示卡庫存去化告一段落，加上新品銷售優於預期，市場情緒偏正面。

產品組合改善、日元走貶等因素帶動獲利成長，股價表現強勁。",2025-05-17 18:24:05,5
2022-11-20,-0.1,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-17 18:24:07,5
2022-11-21,0.2,電子權值股疲軟，遊戲與生技族群撐盤，但大盤量縮震盪，失守 5 日線與半年線。,2025-05-17 18:24:09,5
