date,factor,explanation,updated_time,news_count
2022-11-04,0.6,電子權值股跌勢收斂與航運、金融撐盤帶動加權指數翻紅，顯示市場情緒略有回溫但仍偏弱。,2025-07-06 23:58:32,1
2022-11-09,0.6,儘管稼動率略降但全年營收持平展望樂觀，車用與網通需求強勁有助支撐市場信心。,2025-07-06 23:58:34,1
2022-11-11,0.9,美股大漲帶動台股開盤強彈，權值股領軍衝鋒，市場情緒樂觀，多頭氣勢旺盛。,2025-07-06 23:58:35,1
2022-11-15,0.6,日月光強化法遵管理與永續發展策略，透過科技工具提升效率，展現企業社會責任，為市場注入正面訊息。,2025-07-06 23:58:37,2
2022-11-17,0.9,產業創新條例修正草案有利於維護台灣半導體生態系統的前瞻研發能量及長期競爭優勢，獲得業界高度支持與正面期待。,2025-07-06 23:58:38,1
2022-11-24,0.6,美債殖利率下滑與科技股反彈激勵市場情緒，外資回補力道強勁有助支撐台股表現。,2025-07-06 23:58:40,1
2022-11-25,0.3,市場漲跌互見，權值股與高價股走勢分歧，整體而言呈現震盪整理格局，短期內缺乏明確方向。,2025-07-06 23:58:41,1
2022-12-01,0.7,市場情緒受美國聯準會鴿派言論激勵而轉為正面，但個股表現分歧，日月光等權值股走強但台積電、聯發科漲幅有限，整體大盤維持高檔震盪。,2025-07-06 23:58:43,1
2022-12-04,0.6,12月通常漲多跌少且資金行情升溫，外資買超前十大個股表現強勁，但聯準會利率會議將召開可能引發觀望態度。,2025-07-06 23:58:45,1
2022-12-06,0.3,環保獎項肯定與節能減碳措施有助提升企業形象，但電子權值股疲弱拖累大盤走勢，市場情緒偏向中性。,2025-07-06 23:58:46,2
2022-12-07,0.3,市場信心受美股拖累而轉弱，權值股普遍走跌，但零星個股仍有表現空間，整體呈現觀望態度。,2025-07-06 23:58:48,1
2022-12-08,0.3,權值股疲弱拖累加權指數跌破月線，市場觀望氣氛濃厚，但中小型股如再生能源與觀光類股表現強勁。,2025-07-06 23:58:49,1
2022-12-09,0.6,營收表現不如預期但展望持平並看好市占率擴張，市場對未來成長前景仍抱持正向期待。,2025-07-06 23:58:51,3
2022-12-12,0.3,市場觀望氣氛濃厚，加上電子與金融權值股領跌，拖累大盤失守月線支撐，短期多空勢力拉鋸，引發投資人謹慎態度。,2025-07-06 23:58:52,2
2022-12-21,0.6,市場情緒回溫，多數權值股反彈，但個別族群表現分歧，整體漲勢有限。,2025-07-06 23:58:54,1
2022-12-29,0.3,台股走勢轉弱，指數失守萬四關卡，但政策面利多與個別產業輪動支撐市場信心，整體情緒偏向保守。,2025-07-06 23:58:56,2
2023-01-03,0.7,半導體雙雄領軍上攻，金融族群撐盤，加上 CES 展題材點火板卡族群與儲能概念股，激勵大盤開低走高收漲逾 0.6%，重返 5 日線。,2025-07-06 23:58:58,1
2023-01-04,0.6,"電子權值股普遍疲軟拖累大盤，但中小型股如電力、內需消費題材股逆勢走揚，顯示市場對產業前景仍有疑慮但也期待轉機。

0.7
晶圓代工雙雄翻紅穩盤，能源、中小型網通股強勢表現帶動指數翻紅，但權值電子、傳產指標股仍疲軟，顯示市場信心尚未完全恢復。",2025-07-06 23:59:01,2
2023-01-10,0.6,營收表現亮眼且展望正向，激勵市場情緒但短期漲幅已大，股價可能面臨獲利了結壓力。,2025-07-06 23:59:02,2
2023-01-12,0.6,法說前股價強彈與市場觀望氣氛濃厚，預期台積電法說後股價恐面臨拉回壓力，影響大盤走勢。,2025-07-06 23:59:04,1
2023-01-13,0.6,美科技股財報與通膨數據利多激勵美股漲勢延續，加上台積電法說釋出正面展望，提振市場信心，但農曆春節長假與後市不確定性仍是隱憂。,2025-07-06 23:59:05,1
2023-01-18,0.6,日月光營收與獲利成長動能強勁，展望樂觀且產業前景穩健，但股價尚未完全反映基本面優勢。,2025-07-06 23:59:07,1
2023-01-31,0.3,大盤漲多調節與權值股走弱壓抑市場信心，但個別題材股仍有表現空間，整體而言市場情緒偏中性。,2025-07-06 23:59:10,1
2023-02-01,0.9,台積電領軍大盤上攻，加權指數站回年線，多頭信心增強，高價股與 IC 設計族群表現亮眼，市場情緒正面。,2025-07-06 23:59:11,1
2023-02-02,0.9,利率會議釋出通膨放緩與升息接近尾聲的訊號，激勵台股大漲並創 7 個月來新高，日月光等權值股強勢表現。,2025-07-06 23:59:12,1
2023-02-03,0.6,日月光在台積電止穩帶動下獲得買盤青睞，股價勁揚近 3%，表現優於大盤，但整體市場仍受科技股漲多回檔影響而呈現震盪走跌。,2025-07-06 23:59:14,1
2023-02-07,0.6,日月光投控在權值股普遍走弱下仍守住平盤之上，顯示其基本面穩健且獲得市場青睞，短期內維持正面市場情緒。,2025-07-06 23:59:15,1
2023-02-08,0.6,市場消化鷹鴿訊號後反應樂觀，美股與台股 ADR 上漲帶動期貨夜盤走揚，但短線高檔震盪仍需時間化解。,2025-07-06 23:59:17,1
