date,factor,explanation,updated_time,news_count
2022-11-01,0.2,營收成長帶動市場情緒正面，但國營事業舞弊案仍引發部分負面疑慮。,2025-05-18 00:37:47,5
2022-11-02,0.1,央行祭出四大措施維持匯市穩定，但外資賣股提款仍拖累新台幣貶值，顯示市場對於台股與匯市的信心尚未完全恢復。,2025-05-18 00:37:49,5
2022-11-03,-0.2,美股重挫，台股今日恐失守五日線與月線，顯示市場情緒偏向保守。雖然國安基金進場護盤，但美國聯準會暗示考慮暫停升息仍言之過早，且終點利率將高於此前預估，引發投資人擔憂，對台股產生負面影響。,2025-05-18 00:37:51,5
2022-11-04,0.3,儒鴻、聚陽第三季財報亮眼，獲利創新高，前三季賺贏去年整年。展望第四季，成衣雙雄對營運仍持審慎態度，預期PC、消費性電子通路的庫存將持續調整，但車用產品成長力道仍在，加上自家供應持續改善，相關業績可望維持穩健成長。,2025-05-18 00:37:54,5
2022-11-05,0.2,"光通訊族群營運表現亮眼，帶動市場情緒正面。

公司財報與新產品進展皆未出現重大利空或利多消息，整體市場情緒偏中性。",2025-05-18 00:37:56,5
2022-11-06,0.1,市場對於台灣經濟發展的疑慮已獲央行澄清，科技與傳產業表現均佳，短期內股市情緒偏中性。,2025-05-18 00:37:58,5
2022-11-07,0.2,市場情緒偏中性，雖然營收表現亮眼，但鴻海下修展望的利空消息仍影響投資人信心。,2025-05-18 00:38:00,5
2022-11-08,0.1,營收下滑與獲利衰退，顯示公司財務狀況不佳，引發市場負面情緒。,2025-05-18 00:38:02,5
2022-11-09,0.6,ABF 載板三雄營收表現亮眼，市場看好未來供需可望維持吃緊，帶動股價上漲。,2025-05-18 00:38:03,5
2022-11-10,0.1,電子權值股走弱、傳產金融股壓盤，市場情緒偏保守。,2025-05-18 00:38:05,5
2022-11-11,0.5,美國通膨數據低於預期，激勵美股暴漲，連帶台股也大幅上揚，顯示市場情緒正面。加上 MSCI 調整後台股權重「二升一降」，以及拜登與習近平將舉行首次面對面會議等利多因素，綜合而言對智邦的市場情緒產生正面影響。,2025-05-18 00:38:07,5
2022-11-12,-0.2,營收成長與新產品布局車用市場，顯示公司營運狀況良好，但整體市場氛圍偏保守，短期可能缺乏利多刺激。,2025-05-18 00:38:09,5
2022-11-13,0.2,市場對於大同增持精英持股的消息反應平淡，營收與獲利表現優異，但資安議題仍是金融業的隱憂。,2025-05-18 00:38:11,5
2022-11-14,0.3,台股反彈力道延續，電子與傳產指數同步上漲，但季線仍持續下彎，整體市場定義為反彈格局。,2025-05-18 00:38:13,5
2022-11-15,0.6,外資回補、成交量擴大等有利因素下，台股後續估震盪走高，伺機挑戰半年線。半導體族群領軍衝鋒，加上傳產股及金融權值股助攻，指數開高走高，盤中大漲逾 350 點，衝上 14500 點。,2025-05-18 00:38:16,5
2022-11-16,0.2,景氣狀況並沒有想像中糟，實質上不好的只有三分之一，預估貨櫃海運市場明年第二季可望好轉。,2025-05-18 00:38:17,5
2022-11-17,0.2,"台股昨日小跌，美股今晨大跌，費城半導體指數暴跌超過 4%，連動到台股。外資買超 115.94 億元，投信同步買超 8.99 億元，只有自營商續賣超達 66.72 億元。美光看淡明年前景，調降兩成晶片產量，但力成、南茂等可望受惠。在利空與利多並陳之下，相關晶片股股價今天如何反應備受矚目。

台積電、聯發科等半導體大廠都將因此受惠，可關注這些指標龍頭今天是否可以扮演穩盤要角。",2025-05-18 00:38:21,5
2022-11-18,0.3,營運狀況穩健且訂單持續成長，但缺料問題仍待解決，整體市場情緒偏正面但不確定性存在。,2025-05-18 00:38:23,5
2022-11-19,0.2,營運狀況良好，獲利創高，顯示公司財務健康，市場情緒偏正面，但整體而言資訊有限，無法對股價產生明顯影響。,2025-05-18 00:38:24,5
2022-11-20,0.2,"市場情緒偏中性。雖然部分地區實施臨時靜默管理，但富士康園區生產和員工生活秩序正常。半導體設備商應用材料透露，美國政府擴大對中國晶片禁令影響部分客戶可能改變生產計劃或製程技術，引發市場關注。

中性因素包括：太原富士康園區運作正常、美國半導體設備商應用材料透露，受美國政府擴大對中國晶片禁令影響，預期一些中國客戶可能改變生產計劃或製程技術。",2025-05-18 00:38:28,5
2022-11-21,0.3,"
智冠受惠於中國遊戲版號審批力道提升，有助整體遊戲產業表現，且擁有多款知名 IP，可望加速推進遊戲開發時程。",2025-05-18 00:38:36,5
2022-11-22,-0.2,軍工概念股強勢上漲，但生技與矽智財族群出現獲利了結賣壓，整體台股維持震盪走勢。,2025-05-18 00:38:38,5
2022-11-23,-0.3,鄭州廠暴力抗議事件引發市場擔憂，鴻海未能及時妥善處理員工訴求，加上非蘋手機銷售低迷，可能對公司營運造成負面影響。,2025-05-18 00:38:40,5
2022-11-24,0.3,多頭氣勢強勁，加權指數創反彈新高，運動概念股受惠於籃球與足球賽事熱潮，相關個股營收表現亮眼。整體市場情緒偏正面，但仍需留意個別公司的營運狀況與獲利能力。,2025-05-18 00:38:42,5
2022-11-25,0.2,市場情緒偏中性，雖然鄭州廠事件可能影響部分產量，但整體對台股的衝擊有限。,2025-05-18 00:38:44,5
2022-11-26,0.8,裕隆集團利多消息頻傳，包括鴻華先進掛牌增值、納智捷 n7 預接單達 2.5 萬張等，激勵相關個股大漲。,2025-05-18 00:38:46,5
2022-11-27,0.3,整體而言，雖然市場情緒偏向正面，但個別公司的營運狀況與獲利表現仍是影響股價波動的關鍵因素。,2025-05-18 00:38:48,5
2022-11-28,0.2,選後台股走勢偏弱，市場情緒轉為謹慎。,2025-05-18 00:38:49,5
2022-11-29,0.1,利空因素如通膨、高利率等衝擊逐漸減弱，傳統旺季需求回溫可期，有利推升台股盤底完成。,2025-05-18 00:38:51,5
2022-11-30,0.3,市場靜待聯準會主席鮑爾談話，加上今日週選擇權結算、MSCI 季度調整盤後生效，大盤恐劇烈波動。台股昨日開低走高，終場大漲 152 點、以 14709 點作收，重新站回 5 日、10 日短期均線，收復前一日的空方缺口下緣 14638 點，成交量擴增至 2162 億元。,2025-05-18 00:38:54,5
2022-12-01,0.5,美股期指盤前表現與中國將開放允許某些陽性病例在家隔離，對台股產生正面影響。,2025-05-18 00:38:56,5
2022-12-02,0.3,聯準會鴿派言論提振市場信心，加上通膨趨緩、經濟數據轉弱等正面訊息，預期將有助於股市多頭上攻，但也要留意部分標的面臨漲多拉回的風險。,2025-05-18 00:38:58,5
2022-12-03,0.2,"營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。

-0.1
新產品未引起預期熱度，市場情緒偏保守，短期可能缺乏利多刺激。",2025-05-18 00:39:00,5
2022-12-04,0.2,雖然出口表現疲弱，但顯示器產業有望優於今年，且與日本廠商合作可望使公司打入過往無法進入的日系品牌供應鏈。,2025-05-18 00:39:02,5
2022-12-05,0.3,龍邦持續加碼泰山股票，顯示對公司經營有信心，但處分全家股份引發爭議，可能影響市場情緒。,2025-05-18 00:39:04,5
2022-12-06,0.1,市場傳出中國可能鬆綁新冠肺炎防控措施，帶動相關產業股價上漲，但美股下跌影響台股表現。智邦等網通廠11月營收持續維持高檔，累計營收寫同期新高。,2025-05-18 00:39:06,5
2022-12-07,0.1,營收維持高檔，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 00:39:08,5
2022-12-08,0.2,儲能題材具備長期成長潛力，政策作多加持，中興電等重點股值得關注。,2025-05-18 00:39:09,5
2022-12-09,0.2,中國放寬防疫措施有助穩定供應鏈，但鄭州廠恢復生產仍面臨挑戰。,2025-05-18 00:39:11,5
2022-12-10,0.2,中國市場放寬疫情封控措施，激勵營運主體主要在中國市場的上市業者有積極買盤進場，但砷化鎵族群受整體智慧型手機庫存調整影響，營收與股價表現疲弱。,2025-05-18 00:39:13,5
2022-12-11,0.2,台股受到美元走強及新台幣貶值影響，呈現震盪整理格局。雖然部分個股漲幅超過 10%，但市場情緒仍偏保守，短期缺乏明顯利多刺激。,2025-05-18 00:39:16,5
2022-12-12,0.2,市場靜候國際重量級數據出爐，加上美國經濟衰退疑慮增溫、外資年底準備放長假，預料指數短期將在月線附近震盪。,2025-05-18 00:39:18,5
2022-12-13,0.1,市場觀望美國 CPI 數據公布，導致量能不足且大盤走弱，但生技族群表現強勁，顯示部分資金仍在尋找避風港。,2025-05-18 00:39:20,5
2022-12-14,0.1,市場關注美國通膨數據與央行利率決策，電子股為盤面主流，但泰山經營權爭議持續發酵，引發投資人疑慮。,2025-05-18 00:39:22,5
2022-12-15,0.1,萬寶開發購買全家股權引發爭議，市場對此事件的後續發展持保守態度。,2025-05-18 00:39:24,5
2022-12-16,0.3,營運展望樂觀，訂單創新高，預期明年營收可回到疫情前水準。,2025-05-18 00:39:26,5
2022-12-17,0.1,"鋼鐵股漲幅大，但與智邦無直接關聯，整體市場情緒偏中性。

-0.2
鴻海處分紫光持股引發市場熱議，但對智邦的影響有限，主要是個案事件。",2025-05-18 00:39:28,5
2022-12-18,0.2,AI 應用商機龐大，相關個股有望受惠，但整體經濟前景仍不明朗，可能影響市場情緒。,2025-05-18 00:39:30,5
2022-12-19,0.2,市場對經濟衰退的疑慮上升，股市轉趨保守。,2025-05-18 00:39:32,5
2022-12-20,0.1,日本央行調升收益率目標引發市場波動，但對智邦影響有限。公司與 Picocom 合作推出 5G O-RAN 解決方案，有助於拓展新業務。,2025-05-18 00:39:34,5
2022-12-21,0.2,電子股疲弱，資金轉向鋼鐵與航運類股，市場情緒偏中性。,2025-05-18 00:39:35,5
2022-12-22,0.3,美股反彈帶動台股上漲，營運展望樂觀的航運類股表現亮眼，市場情緒偏正向。,2025-05-18 00:39:37,5
2022-12-23,-0.7,美股四大指數下跌拖累台股，加上記憶體晶片大廠營收慘澹，半導體族群承壓，電子權值股走低，市場情緒偏向負面。,2025-05-18 00:39:39,5
2022-12-24,0.2,英業達展望明年維持成長目標不變，助推股價逆勢抗跌，本周最高更站上 26 元，創下逾半年新高。,2025-05-18 00:39:41,5
2022-12-25,0.2,電子業資本支出下修，引發市場對明年第1季科技產業展望的擔憂，可能導致股價承壓。,2025-05-18 00:39:42,5
