date,factor,explanation,updated_time,news_count
2022-11-04,0.6,"財報亮眼且獲利創高但展望保守使市場情緒偏向正面但不確定性仍在。

0.3
營收與獲利成長動能趨緩、展望保守以及產品組合變化引發市場對未來表現的疑慮。",2025-07-06 22:59:24,2
2022-11-08,0.3,營收表現符合預期但筆電出貨下滑壓抑市場信心，顯示器與伺服器需求則維持正面展望。,2025-07-06 22:59:26,1
2022-11-22,0.3,戴爾財報與展望低於預期，加上對第四季營運保守看待，引發市場對台廠代工廠出貨表現的擔憂，短期內將壓抑股價表現。,2025-07-06 22:59:28,1
2022-11-30,0.6,塔塔集團收購緯創印度廠傳聞再起，若成真將強化其製造能力並提升市場信心，但合作模式仍未明朗且可能影響蘋果供應鏈布局。,2025-07-06 22:59:30,1
2022-12-16,0.6,市場情緒受到全球股市修正影響而轉為偏空，但貨櫃三雄與部分電子權值股表現相對抗跌，生技類股持續強勢，整體市場呈現區間震盪。,2025-07-06 22:59:33,1
2022-12-18,0.6,市場情緒偏中性，個股輪動快速且有拉高出貨疑慮，但整體維持區間震盪格局。,2025-07-06 22:59:34,1
2022-12-22,0.5,高層人事異動引發組織調整與未來發展疑慮，市場情緒中性偏空。,2025-07-06 22:59:36,1
2023-01-04,0.5,權值股普遍疲弱拖累大盤，惟中小型題材股如電力、內需消費逆勢抗跌，整體市場情緒維持中性。,2025-07-06 22:59:38,1
2023-01-09,0.6,營收與獲利表現亮眼但展望保守，市場對於後續成長力道存疑引發中性情緒。,2025-07-06 22:59:39,1
2023-01-11,0.6,三大法人同步偏多操作，外資連五買並加碼二線晶圓廠與面板股，顯示市場對產業展望樂觀。,2025-07-06 22:59:41,1
2023-01-14,0.6,營收創新高與股價走揚反映基本面穩健，但第一季展望保守且衰退壓力仍在，市場對未來成長前景存疑慮。,2025-07-06 22:59:42,1
2023-01-15,0.6,法說會與尾牙將成為市場焦點，營運展望與資本支出等議題引發投資人高度關注，預期整體氛圍偏正面但仍需留意成長動能。,2025-07-06 22:59:43,1
2023-01-17,0.6,財報表現亮眼且展望持穩，獲利創高與產能擴張帶動市場信心，但個人電腦需求疲弱仍是隱憂。,2025-07-06 22:59:45,4
2023-02-03,0.6,市場情緒維持正面，多方掌控大盤並支撐指數上漲，但個股表現分歧。,2025-07-06 22:59:48,1
2023-02-04,0.9,雲端伺服器需求強勁、獲利創高且股價走揚顯示市場對公司基本面與成長前景樂觀，激勵正面投資情緒。,2025-07-06 22:59:49,1
2023-02-07,0.7,營收創高且展望樂觀，公司發展藍圖與人才策略引領市場對未來成長前景抱持正面期待。,2025-07-06 22:59:50,1
2023-02-16,0.9,連續兩年榮獲全球百大創新機構肯定，展現公司持續投入研發與創新的決心，激勵市場對未來成長前景的正面期待。,2025-07-06 22:59:52,1
2023-02-24,0.3,市場情緒偏向中性，雖然外資賣超電子權值股但也同步買進面板雙虎與緯創等低估個股，顯示對部分族群仍有正面期待。,2025-07-06 22:59:54,1
2023-03-07,0.6,與 Databricks 建立合作關係有利於拓展雲端業務並提供更完整的解決方案，中長期正面但短期市場反應有限。,2025-07-06 22:59:56,1
2023-03-08,0.6,外資買超緯創等大型電子股但賣超金融與傳產股，顯示市場對科技業前景仍有疑慮，但對個別公司的中長期表現持正面態度。,2025-07-06 22:59:58,1
2023-03-10,0.7,醫療事業營收成長與新產品導入帶來正面效益，但獲利能力仍待提升，市場對未來發展前景持中性偏樂觀態度。,2025-07-06 22:59:59,1
