date,factor,explanation,updated_time,news_count
2022-11-01,-0.1,群創第三季虧損擴大至 127.46 億元，每股虧損 1.27 元，累計今年前三季虧損 155.96 億元，每股虧 1.5 元。面板雙虎面對近十年來最嚴峻的景氣循環寒冬，雙雙對今年度資本支出轉趨保守，不僅放緩投資規劃，也力求在嚴格管制現金流下，能順利度過營運低谷。,2025-05-18 01:47:42,5
2022-11-02,0.1,市場靜待利率決策公布前夕，美股四大指數開高震盪走低，台股隨亞股走揚，在電子及金融股帶動下，重返萬三大關，但仍先拚站穩萬三。營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 01:47:44,5
2022-11-03,0.1,"央行理監事會議紀錄顯示部分鷹派理事批評央行只重視房貸成長與集中度等指標，卻不重視房價的變動，認為這是錯誤的政策；另有理事建議應將住房成本反映在 CPI 上。整體而言，市場對此消息反應平淡，央行態度仍偏鴿，短期內對股市影響有限。

台股昨日上漲，但美國聯準會再次升息 3 碼，暗示考慮暫停升息仍言之過早，美股重挫，將為台股今日表現帶來不小壓力。市場消息方面，矽智財龍頭安謀狀告高通案燒到所有手機晶片廠，恐使手機晶片廠面臨新品研發受挫、或產品不再具差異競爭優勢等問題。",2025-05-18 01:47:49,5
2022-11-04,0.1,雖然第三季財報不佳，但執行長表示市況已近底部，明年第一季價格可望回穩，且公司在設計服務領域持續有所斬獲。整體而言，市場情緒偏中性，短期缺乏強勁利多刺激。,2025-05-18 01:47:51,5
2022-11-05,0.6,光通訊族群財報亮眼，帶動市場情緒正面，但個股漲幅不一，整體影響有限。,2025-05-18 01:47:52,5
2022-11-06,0.3,市場對於台灣經濟發展的疑慮有所緩解，央行澄清並未出現荷蘭病現象，但通膨與升息議題仍持續影響投資情緒。,2025-05-18 01:47:55,5
2022-11-07,0.3,市場對於中國防疫政策鬆綁及銅價上漲的樂觀預期帶動相關概念股強勢表現，但仍需留意全球經濟風險與廠商庫存去化情況。,2025-05-18 01:47:58,5
2022-11-08,0.2,基本面良好且獲利創高，帶動市場情緒正面，但升息速度過快引發通膨疑慮，對股市造成壓力。,2025-05-18 01:48:00,5
2022-11-09,0.1,營收與獲利雙減，顯示公司營運狀況不佳，預期帶動市場情緒偏保守。,2025-05-18 01:48:01,5
2022-11-10,0.1,營收與獲利雙創高點，顯示公司營運狀況良好，但市場消息混雜，電子股普遍走弱，短期缺乏明確利多刺激。,2025-05-18 01:48:04,5
2022-11-11,0.8,美股暴漲激勵下，台股早盤跳空上漲，多方缺口將成短線多頭支撐，加上 FANG+ 指數彭博預估獲利本益比仍低於歷史平均值，科技巨頭長線成長潛力可期。,2025-05-18 01:48:06,5
2022-11-12,0.2,"蘋果光學元件供應鏈玉晶光第三季獲利創新高，股價上漲5.74%，但PA族群營運表現低迷，第四季展望保守。聯發科受惠庫存回補，股價飆漲17.25%。合勤控第三季獲利創新高，股價大漲19.6%。台積電股價反彈15%，市值激增1兆5428億元。

市場情緒偏向正面，但個別公司表現不一致。",2025-05-18 01:48:09,5
2022-11-13,0.2,科技產業數位轉型與資安防護議題持續發酵，市場對相關政策有所期待，但整體營收表現仍待觀察。,2025-05-18 01:48:10,5
2022-11-14,0.2,市場反彈且電子族群領漲，但仍有不確定性因素影響。,2025-05-18 01:48:12,5
2022-11-15,0.2,市場消化拜習會與聯準會官員釋出的鷹派訊號，美股四大指數全面收黑，台積電 ADR 下跌 1.4%，但巴菲特 (Warren Buffett) 掌管的波克夏海瑟威 (Berkshire Hathaway) 在第三季首度買進約 6010 萬單位、超過 41 億美元的台積電 ADR，也激勵台積電 ADR 盤後大漲 7%，可望帶動台積電今日現貨走勢，進一步支撐大盤表現。,2025-05-18 01:48:15,5
2022-11-16,0.1,景氣放緩與財政部擴張性財政政策的消息對市場情緒影響有限，台股ETF規模創高，顯示投資人信心尚存。,2025-05-18 01:48:17,5
2022-11-17,-0.1,台股昨日小跌，美股大跌，費城半導體指數暴跌超過 4%，引發市場擔憂。雖然經濟部修正產創條例草案將討論通過，但利空與利多並陳，相關晶片股股價今天如何反應備受矚目。,2025-05-18 01:48:19,5
2022-11-18,0.1,台股整體呈現盤整，個股表現分歧，觀光類股受惠防疫解封題材而強勢上漲，但電子族群則因美股下跌及外資調節而疲弱。市場情緒偏向中性，短期內缺乏明確的利多或利空事件引導大盤走勢。,2025-05-18 01:48:21,5
2022-11-19,0.2,中國堅持對疫情動態清零的政策，鴻海鄭州廠染疫事事件後，中國員工擔心被關在廠區，即使祭出高額的獎金，人力招募仍不足以應付蘋果新機生產旺季，造成蘋果下修本季高階 iphone 出貨量 3.3％，為此蘋果建議供應鏈增加非中國的產能。,2025-05-18 01:48:24,5
2022-11-20,-0.2,雖然部分地區實施臨時靜默管理，但太原富士康生產及員工生活秩序正常。另外，美國擴大對中國晶片禁令影響有限，且智邦推出收發模組解決方案，加速 800G 交換器市場發展，有利於營運表現。,2025-05-18 01:48:27,5
2022-11-21,0.1,市場情緒偏中性，短期缺乏明顯利多刺激。,2025-05-18 01:48:28,5
2022-11-22,0.1,市場情緒偏中性，電子權值股熄火，軍工概念股強勢表現。,2025-05-18 01:48:30,5
2022-11-23,0.2,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 01:48:31,5
2022-11-24,0.7,多頭氣勢強勁，加權指數創反彈新高，搭配運動概念股表現亮眼，市場情緒偏正面。,2025-05-18 01:48:33,5
2022-11-25,0.1,電子權值股欲振乏力，航運股漲勢收斂，金融股漲跌互見，加權指數終場小跌 5 點，收在 14778 點，成交值增至 2300 億元以上。,2025-05-18 01:48:35,5
2022-11-26,0.2,"集團內多檔個股漲幅大，整體營運展望樂觀，但缺乏明確利多訊息，市場情緒偏中性。

郭台銘表示，中國動態清零影響經濟，現在全世界都很關注，如何平衡與協調，大家都很努力，這是調整過程，不是三五言可以說盡。",2025-05-18 01:48:37,5
2022-11-27,0.2,"市場對於美國通膨數據低預期的反應正面，但歐洲市場顯然清淡，終端庫存壓力仍待消弭。外資回神，法人認為有季底作帳行情。

整體來看，季線扣抵值往下，最快本周上彎，下檔短期均線支撐力道轉強，而年底法人和集團作帳蓄勢待發，熱門題材族群仍會有表現空間。",2025-05-18 01:48:40,5
2022-11-28,0.2,市場情緒偏中性，雖然部分產業面臨挑戰，但整體經濟維持穩健。,2025-05-18 01:48:42,5
2022-11-29,0.1,市場情緒偏中性，股價波動可能受大盤影響。主要原因是雖然新光金獲利衰退，但亞光執行庫藏股並帶動股價上漲，且台積電、聯發科等電子權值股回穩走揚，金融股奮力撐盤，加上貨櫃三雄、鋼鐵股及觀光股表現強勁。,2025-05-18 01:48:44,5
2022-11-30,0.6,市場對 MSCI 季度調整反應正面，指數創兩個半月新高，但成交量仍有待放大。,2025-05-18 01:48:46,5
2022-12-01,0.3,美股四大指數同步上漲，激勵台股開高走高，盤中指數大漲超過 260 點，指數重新站回 15000 點關卡。,2025-05-18 01:48:48,5
2022-12-02,0.1,市場對利率停止緊縮的預期帶動股市反彈，但經濟前景不明朗，短線可能面臨整理。,2025-05-18 01:48:49,5
2022-12-03,0.2,電力概念股受惠缺電議題，整體市場情緒偏正面，但個別公司營運表現仍是影響股價的關鍵因素。,2025-05-18 01:48:51,5
2022-12-04,0.2,市場情緒偏中性，股價波動可能溫和。主要原因是雖然整體經濟環境不佳，但公司營運狀況良好，新產品推出也可望帶來成長動能。,2025-05-18 01:48:53,5
2022-12-05,0.1,群光相關個股漲跌互見，整體市場情緒偏中性。,2025-05-18 01:48:54,5
2022-12-06,-0.3,市場對中國可能放寬新冠肺炎防控措施的預期帶來短暫利多，但美股下跌和台股權值股疲弱影響整體市場情緒。,2025-05-18 01:48:56,5
2022-12-07,0.1,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 01:48:58,5
2022-12-08,-0.2,市場情緒偏中性，電子權值股有壓，但再生能源族群表現強勢。,2025-05-18 01:49:00,5
2022-12-09,0.2,"市場情緒偏中性，雖然電子族群有望受惠先進製程技術與 HPC 商機，但全球經濟衰退的可能性仍高，且美股四大指數收紅帶動台股反彈。

主要原因為展望會預估明年台股指數低點在 12500-13000 點、高點可望落在 17000-17500 點，但全球經濟衰退的可能性高，且美股四大指數收紅帶動台股反彈。",2025-05-18 01:49:02,5
2022-12-10,0.5,中國市場放寬疫情封控措施，激勵營運主體主要在中國市場的上市業者有積極買盤進場，包括百貨業者大洋 - KY(5907-TW)、金麗 - KY(8429-TW) 本周漲幅均逾 15%，中國童裝品牌商淘帝 - KY(2929-TW) 也漲逾 10%。,2025-05-18 01:49:05,5
2022-12-11,0.2,市場對於經濟放緩的反應變化將是影響台股走勢的關鍵因素。,2025-05-18 01:49:06,5
2022-12-12,0.1,市場觀望氣氛濃厚，加上電子、金融類股疲軟，台股跌破月線支撐，但生技醫療族群逆勢抗跌。整體而言，市場情緒偏保守，短期缺乏明顯利多刺激。,2025-05-18 01:49:08,5
2022-12-13,0.1,市場情緒偏中性，雖然部分個股表現強勁，但整體而言缺乏明顯的利多或利空因素。,2025-05-18 01:49:10,5
2022-12-14,0.1,市場情緒偏中性，電子股轉強帶動指數上漲，但聯準會訊息仍是影響因素。,2025-05-18 01:49:12,5
2022-12-15,0.1,市場情緒偏中性，雖然部分利多消息如訂單穩定、產能滿載等有助於營收表現，但整體而言缺乏明顯的強勢利多刺激股價上漲。,2025-05-18 01:49:14,5
2022-12-16,0.1,美股重挫拖累台股下跌，但航運與生技族群逆勢上揚，整體市場情緒偏向中性。,2025-05-18 01:49:15,5
2022-12-17,0.1,鴻海處分紫光持股事件對群光影響有限，主要是因為兩家公司屬於不同產業，且新聞內容並未提及與群光相關的資訊。,2025-05-18 01:49:17,5
2022-12-18,-0.1,市場對經濟衰退的擔憂持續升溫，聯準會鷹派言論拖累股市下挫，台股周線連二黑。儘管部分個股出現強勢表現，但整體市場情緒偏向保守，預期短期內將維持高檔震盪格局。,2025-05-18 01:49:20,5
2022-12-19,-0.3,市場關注美國聯準會鷹派訊息與經濟衰退風險，權值股承壓，電子金融族群走弱。生技醫療類股表現相對強勁，但整體而言市場氛圍偏保守。,2025-05-18 01:49:22,5
2022-12-20,-0.1,市場關注度下降，營運狀況良好，但股價缺乏明顯動能。,2025-05-18 01:49:23,5
2022-12-21,0.1,市場雖受資金動能影響，但部分個股如 Nike 供應鏈表現強勁，顯示仍有利多支撐。整體而言，消息面中性，預期對隔日股價波動的影響有限。,2025-05-18 01:49:25,5
2022-12-22,-0.1,美光財報與財測表現不佳，市場擔憂對相關台廠營運造成壓力，但航運、鋼鐵等族群仍有買單支撐。,2025-05-18 01:49:27,5
2022-12-23,-0.5,美股大跌拖累台股，半導體族群承壓，加上金融股也難逃提款，市場情緒偏向保守。,2025-05-18 01:49:29,5
2022-12-24,0.1,雖然部分公司營運表現亮眼，但整體市場仍偏保守，缺乏明顯利多刺激。,2025-05-18 01:49:30,5
2022-12-25,0.2,電子業資本支出下修，引發市場對明年第1季科技產業展望的擔憂，可能導致股價短期承壓。,2025-05-18 01:49:32,5
2022-12-26,0.1,市場情緒偏中性，雖然生技股表現強勁，但整體成交量低迷，權值股休兵，缺乏明顯的利多或利空因素。,2025-05-18 01:49:34,5
2022-12-27,0.1,市場消息雜沓，電子業加薪利多與傳產庫存調整並陳，觀光股受惠中國解封，但整體影響有限。,2025-05-18 01:49:36,5
