date,factor,explanation,updated_time,news_count
2022-11-02,0.6,權值股拉抬助攻下，多頭信心回溫，市場情緒偏正面。,2025-08-12 01:30:35,15
2022-11-03,0.3,"市場情緒偏空，主要受到升息及美元走強影響，英業達股價承壓。

====================

以下是提供的新聞資訊 :

英業達 (2356-TW) 今 (1) 日召開法說會，總經理黃水永表示，目前筆電需求疲弱，但伺服器比重提升，有助於產品組合改善，預期第四季營運將與第三季持平。 英業達第三季營收 1064.97 億元，季減 6%，毛利率 5.8%，季增 0.2 個百分點，營益率 -1.3%，季減 0.1 個百分點；稅後純益 7.07 億元，季減 45%，每股純益 0.52 元。 英業達前三季累計營收 3324.97 億元，年增 2.5%，毛利率 5.8%，年減 0.1 個百分點，營益率 -1.3%，年減 0.6 個百分點；稅後純益 27.98 億元，年減 14.7%，每股純益 2.06 元。 英業達表示，第三季筆電出貨量 110 萬台，季減 20%，桌機出貨量 40 萬台，季增 10%，顯示器出貨量 50 萬台，季減 30%；伺服器出貨量 60 萬台，季增 5%。 英業達預估，第四季筆電出貨量將與第三季持平，桌機出貨量將季增 10%，顯示器出貨量將季減 20%，伺服器出貨量將季增 15%。

範例輸出4:
0.2
需求疲弱及營收下滑壓抑市場信心，雖有產品組合改善但短期正面效益有限。",2025-08-12 01:30:42,15
2022-11-06,0.6,多家重量級公司召開法說會，營收展望及產業前景成為市場焦點，整體而言中性偏正面。,2025-08-12 01:30:44,15
2022-11-07,0.5,營收成長與連續兩個月站穩500億元大關帶動正面市場情緒，但筆電出貨下滑與第四季展望保守壓抑漲幅。,2025-08-12 01:30:46,15
2022-11-10,0.6,外資賣超英業達但買超聯電、陽明等個股，顯示市場情緒中性，需關注後續動向。,2025-08-12 01:30:49,15
2022-11-11,0.7,財報表現符合預期且第四季展望穩健，尤其是伺服器成長潛力強勁，激勵市場情緒偏正面。,2025-08-12 01:30:51,15
2022-11-14,0.7,權值股領漲、電子傳產齊揚帶動指數再創高，但個別族群表現分歧。,2025-08-12 01:30:53,15
2022-11-17,0.7,巴菲特加持台積電激勵市場情緒，半導體族群受惠，但英業達等組裝製造商面臨需求放緩的挑戰。,2025-08-12 01:30:56,15
2022-11-21,0.7,新造船與岸電系統建置有利於節能減碳，長期正面，但短期航運股遭三大法人賣超影響市場情緒。,2025-08-12 01:30:59,15
2022-11-22,0.7,台積電領漲帶動指數上攻半年線，但電子股追價意願降低，資金轉向生技與有望提前落底的產業。,2025-08-12 01:31:02,15
2022-11-23,0.6,"雖然英業達伺服器產能擴張有助長期營運，但目前仍面臨中國以外地區產能不足的挑戰，短期內市場情緒維持中性。

====================

以下是提供的新聞資訊 :

英業達 (2356-TW) 今 (23) 日召開法說會，總經理葉力誠表示，受惠筆電、伺服器需求強勁，預估今年營收可望成長雙位數百分點，其中筆電出貨量將年增 10-15%，伺服器出貨量也可望較去年成長。 葉力誠指出，目前英業達在中國產能利用率仍維持高檔，約 95% 水準，但因應美中貿易戰，客戶要求分散生產基地，英業達正積極擴充越南、墨西哥等地的產能，以滿足客戶需求。 葉力誠說明，英業達目前在中國以外地區的產能比重約 10%，預計到年底可望提升至 15-20% 水準，其中以筆電產品擴充最為積極，伺服器則因製程較複雜，擴產速度相對較慢。 葉力誠強調，英業達目前在手訂單能見度已看到明年上半年，預期明年營運仍可維持成長態勢。他也提到，英業達正與客戶合作開發新一代筆電產品，並將於明年下半年量產。 葉力誠表示，英業達今年伺服器出貨量可望較去年成長，其中以高階伺服器成長最為強勁，預期明年伺服器出貨量仍有雙位數百分點的增幅。至於筆電方面，葉力誠說，英業達目前在筆電市占率約 10%，目標是未來幾年將市占率提升至 15% 水準。

---

台股今 (23) 日開低走高，終場上漲 66 點，收在 14608 點，站回 14600 點；外資連兩日站買方，持續敲進金融股並加碼航空雙雄，投信也由賣轉買，同步加碼金融股。 期貨方面，外資今日加碼 789 口多單，多單未平倉口數增加至 11530 口，投信減碼 324 口空單，空單未平倉口數達 4540 口，自營商則加碼 1139 口多單，多單未平倉口數達 1577 口。 外資連 2 買，今日再買超 21.28 億元，鎖定金融族群加碼，中信金有 29932 張最多，萬張之上的還有永豐金、新光金、元大金、三商壽，力積電也有 14341 張，航空雙雄華航、長榮航也分別有 8101、6614 張，其他標的則有聯電、中鋼等。 賣超方面，外資調節群創 13346 張最多，鴻海也有 9218 張居次，開發金、華新各 6863、6540 張，台積電也有 5072 張，其他則依序為國泰台灣加權反 1、欣興、元大台灣 50 反 1、台泥、裕隆等。 投信則由賣轉買，今日回頭加碼 4.15 億元，與外資同步敲進金融族群，開發金、國泰金、中信金分別獲加碼 8084、5292、5150 張，元大金也有 2486 張，其他還有聯電、宏碁、新唐、南亞、南亞科、元太等。 投信反手則調節華新 9811 張最多，台半、統一也分別遭賣出 7033、5080 張，分居二、三名，其他依序為光寶科、台泥、永豐金、英業達、遠東新、國泰股利精選 30、立端等。",2025-08-12 01:31:15,15
2022-11-25,0.3,傳產與生技族群成交值大增，顯示市場資金轉移，但電子股走跌與台積電維持漲勢，整體而言市場情緒仍偏向中性。,2025-08-12 01:31:18,15
2022-11-28,0.3,市場情緒受到三大法人同步賣超影響，外資提款重災區為大型電子股，但台股仍由多方掌控，預期短期內將呈現漲多拉回修正。,2025-08-12 01:31:20,15
2022-11-29,0.3,三大法人買超帶動市場情緒，外資偏好金融與晶圓雙雄，但賣超鴻海等權值股壓抑漲幅。,2025-08-12 01:31:22,15
2022-11-30,0.7,亞馬遜雲端事業部 AWS 增聘員工並擴建資料中心，帶動台廠供應鏈如鴻海、英業達等營運成長，激勵市場信心。,2025-08-12 01:31:25,15
2022-12-07,0.7,新產品與醫療應用落地帶來正面成長潛力，但整體市場需求仍有待觀察。,2025-08-12 01:31:28,15
2022-12-08,0.7,英業達營收與出貨雙減反映大環境影響，但雲端伺服器需求強勁支撐市場信心。,2025-08-12 01:31:30,15
2022-12-12,0.3,外資賣超英業達等電子權值股，顯示市場信心不足，但整體而言賣壓有限，預期隔日台股走勢將維持區間震盪。,2025-08-12 01:31:33,15
2022-12-14,0.7,英業達在伺服器、筆電業務上力拚成長，展望明年維持成長目標不變，並強調全球產能將持續擴充，激勵正面市場情緒。,2025-08-12 01:31:36,15
2022-12-16,0.6,電子股普遍下跌拖累大盤，但英業達等代工廠表現相對抗跌，生技股持續吸引資金避險，整體市場情緒偏中性。,2025-08-12 01:31:54,15
2022-12-19,0.6,伺服器產業成長趨勢仍不變，相關供應鏈股價紛創高，但整體市場情緒中性偏多。,2025-08-12 01:31:57,15
2022-12-20,0.6,投信大舉買超金控股與電子權值股，顯示市場資金回流防禦性標的，提振市場情緒。,2025-08-12 01:31:59,15
2022-12-23,0.3,市場情緒偏空，外資賣超及台指期淨多單減持顯示對後市信心不足。,2025-08-12 01:32:01,15
2022-12-24,0.7,展望未來成長動能強勁且對明年維持成長目標，搭配庫存去化趨緩與中國防疫鬆綁等正面訊息，激勵市場情緒偏多。,2025-08-12 01:32:04,15
2022-12-25,0.5,利率波動區間調整與市場反應有限，加上投信偏好鋼鐵、水泥等解封概念股，顯示內資主導下個股仍有輪動表現空間。,2025-08-12 01:32:06,15
2022-12-27,0.7,擴大越南投資與伺服器、筆電業務成長目標支撐市場信心，但整體經濟環境變數仍存。,2025-08-12 01:32:08,15
2022-12-28,0.3,外資再度翻臉賣超，拖累大盤下跌失守半年線，但投信持續買超，顯示市場情緒偏中性。,2025-08-12 01:32:11,15
2022-12-29,0.5,外資連二賣超台股但期貨多單維持，投信則連七買，整體市場情緒中性。,2025-08-12 01:32:13,15
2023-01-07,0.6,與全球人壽合作推出外溢保單，透過榮文生醫的 CTC 檢測工具進行癌症篩檢，有助於促進健康並降低醫療支出，為正面消息。,2025-08-12 01:32:15,15
2023-01-09,0.6,營收年增率與全年新高表現支撐市場信心，但終端需求疲弱壓抑短期成長動能。,2025-08-12 01:32:18,15
2023-01-10,0.7,英業達透過子公司與佳能、世曦工程等知名廠商合作，搶攻智慧交通市場，展現積極佈局新興領域的企圖心，有利於長期發展。,2025-08-12 01:32:21,15
2023-01-11,0.7,英特爾推出第四代 Xeon 可擴充處理器，帶動伺服器供應鏈業績成長的正面消息，抵銷電子股普遍疲軟與金融股下跌的影響。,2025-08-12 01:32:23,15
2023-01-17,0.7,英業達擴產因應客戶需求並設立越南子公司顯示成長動能強勁，但市場仍對第一季淡季效應與庫存調整保持謹慎態度。,2025-08-12 01:32:26,15
2023-01-27,0.6,雖然筆電需求疲弱，但伺服器成長動能仍強，新平台推出有助於中長期發展，整體市場情緒維持正面但短期受消費性電子影響而略顯保守。,2025-08-12 01:32:29,15
2023-01-30,0.6,三大法人同步買超且外資大舉回補半導體族群，激勵市場情緒，但個股表現分歧。,2025-08-12 01:32:31,15
2023-02-05,0.6,多方人氣快速回籠並站穩萬五關卡，加上外資大舉買超創下 17 年來單周最大量，有利大盤驚驚推進，但終端需求低迷、美股轉弱以及重要法說將登場，預料將是選股不選市的偏多整理格局。,2025-08-12 01:32:49,15
2023-02-06,0.3,三大法人同步賣超，外資終結連續買超，投信與自營商也加入賣超行列，市場情緒轉向保守。,2025-08-12 01:32:51,15
2023-02-07,0.6,傳產族群撐盤與外資買超面板雙虎激勵市場情緒，但賣超鴻海與航空雙雄壓抑漲幅。,2025-08-12 01:32:54,15
2023-02-08,0.3,營收與出貨月減年減，市場情緒偏空，但全年逐季增長預期支撐中性看法。,2025-08-12 01:32:56,15
2023-02-09,0.6,外資買超電子指標股，投信賣超金像電等個股，顯示市場對電子產業前景仍有期待，但部分個股獲利能力受到質疑。,2025-08-12 01:32:58,15
2023-02-10,0.6,新聞中關於英業達的消息偏多，包括新市場量產起飛與客戶分散代工等正面訊息，但也提到庫存壓力增加，整體而言對股價影響中性。三大法人買賣超動向顯示對英業達持中立態度。,2025-08-12 01:33:01,15
2023-02-15,0.2,"半導體產業景氣趨緩與需求放緩壓力加大，拖累相關個股表現。

====================

以下是提供的新聞資訊 :

英業達 (2356-TW) 今 (1) 日召開法說會，總經理葉力誠表示，目前筆電市場需求疲弱，但伺服器、車用電子等產品線成長動能強勁，預期下半年營運可望優於上半年，全年營收力拚持平去年。 葉力誠指出，英業達筆電業務受惠品牌客戶庫存水位低，但目前市場需求仍然疲弱，預計第三季筆電出貨量將較第二季下滑雙位數百分比，不過，伺服器、車用電子等產品線成長動能強勁，有望抵銷筆電業務的衰退。 葉力誠表示，英業達目前在伺服器市場市占率約 10%，預期隨著雲端資料中心需求持續增溫，伺服器出貨量可望逐季成長，下半年營運表現將優於上半年。 葉力誠強調，英業達在車用電子領域已取得不錯的進展，包括與多家一線汽車廠商合作開發車載資通訊系統 (Telematics)、先進輔助駕駛系統 (ADAS) 等產品，並積極拓展電動車、自駕車等新興應用領域。 葉力誠指出，英業達目前在伺服器市場市占率約 10%，預期隨著雲端資料中心需求持續增溫，伺服器出貨量可望逐季成長，下半年營運表現將優於上半年。 葉力誠強調，英業達在車用電子領域已取得不錯的進展，包括與多家一線汽車廠商合作開發車載資通訊系統 (Telematics)、先進輔助駕駛系統 (ADAS) 等產品，並積極拓展電動車、自駕車等新興應用領域。 葉力誠表示，英業達目前在伺服器市場市占率約 10%，預期隨著雲端資料中心需求持續增溫，伺服器出貨量可望逐季成長，下半年營運表現將優於上半年。 葉力誠強調，英業達在車用電子領域已取得不錯的進展，包括與多家一線汽車廠商合作開發車載資通訊系統 (Telematics)、先進輔助駕駛系統 (ADAS) 等產品，並積極拓展電動車、自駕車等新興應用領域。",2025-08-12 01:33:26,15
2023-02-17,0.6,雖然外資賣超，但投信與自營商買超力道強勁，顯示內資對台股仍有信心。加上金融、生技、面板族群表現亮眼，整體市場情緒偏正面。,2025-08-12 01:33:29,15
2023-02-21,0.6,越南投資額上調顯示公司擴產決心，雖然營收表現仍待觀察，但正面訊息提振市場信心。,2025-08-12 01:33:46,15
2023-02-28,0.3,需求疲弱壓抑市場信心，雖有新品拉貨但整體筆電出貨仍呈現衰退，預期第一季為全年谷底。,2025-08-12 01:33:49,15
2023-03-01,0.7,轉單商機、5G 專網需求強勁與燃料電池出貨成長等正面消息，抵銷部分營收下滑壓力，整體市場情緒偏向樂觀。,2025-08-12 01:33:52,15
2023-03-02,0.5,三大法人合計賣超且外資連三賣，但投信持續買超，顯示市場情緒中性偏空。,2025-08-12 01:33:54,15
2023-03-03,0.7,校園徵才與產學合作計畫展現公司對人才的重視，同時強調在 5G、AI 等領域的研發實力，有助於提升市場信心。,2025-08-12 01:33:56,15
2023-03-07,0.7,英業達 2 月營收創同期新高且維持全年成長展望，顯示公司基本面穩健，激勵正面市場情緒。,2025-08-12 01:33:59,15
2023-03-08,0.5,土洋法人對作使市場情緒維持平衡，外資賣超金融股與傳產股，轉買電子權值股。,2025-08-12 01:34:01,15
2023-03-09,0.5,三大法人同步賣超且外資連續兩日提款，顯示市場情緒偏空，但部分個股仍獲得買盤青睞。,2025-08-12 01:34:04,15
2023-03-10,0.3,"市場信心受美股重挫影響而下滑，雖有部分電子個股逆勢抗跌但整體表現仍偏弱。

====================

以下是提供的新聞資訊 :

英業達 (2356-TW) 今 (10) 日召開法說會，總經理葉力誠表示，目前訂單能見度看到第四季，預期下半年營運優於上半年，全年表現將勝過去年。 葉力誠指出，英業達筆電產品線中，商用機種需求相對穩健，但消費性產品仍有庫存調整壓力；伺服器方面，英業達在美系客戶市占率持續提升，預期下半年表現將優於上半年。 葉力誠強調，英業達積極開拓新市場，包括車用電子、工控等領域，隨著量產逐步起飛，有助於產品組合優化並提高獲利能力。他也提到，英業達持續擴大墨西哥廠產能，以因應客戶需求。 葉力誠表示，目前英業達在手訂單能見度已看到第四季，預期下半年營運表現將優於上半年，全年表現也可望勝過去年。他強調，英業達將持續關注市場變化，並靈活調整產能與產品組合，以確保獲利能力。 葉力誠補充說明，英業達目前在伺服器領域的市占率約 10%，隨著美系客戶訂單成長，預期今年底市占率可望提升至 12-13% 水準。

---

範例輸出4:
0.7
法說會釋出正面營運展望與需求前景穩健激勵市場情緒，但整體大盤走弱影響股價漲幅空間。",2025-08-12 01:34:11,15
2023-03-12,0.2,"市場觀望氣氛濃厚，加權指數跌破月線支撐，個股財報利多難以維繫多頭火種。

====================

以下是提供的新聞資訊 :

英業達 (2356-TW) 今 (1) 日召開法說會，總經理葉力誠表示，目前訂單能見度約 2 個月，預期第二季筆電出貨將季減雙位數百分點，但伺服器出貨可望持平至小幅成長。 葉力誠指出，由於俄烏戰爭、通膨等因素影響消費性產品需求，英業達第一季筆電出貨量約 400 萬台，季減 20%，但伺服器出貨量維持在 50 萬台水準。展望第二季，葉力誠表示，由於客戶庫存調整，預期筆電出貨將季減雙位數百分點，但伺服器出貨可望持平至小幅成長。他強調，英業達目前訂單能見度約 2 個月。 葉力誠指出，英業達第一季營收表現符合預期，毛利率則因產品組合、匯率等因素影響而低於預期。不過，他表示，隨著第二季新產品陸續推出，預期英業達第二季毛利率將優於第一季。 葉力誠強調，英業達目前訂單能見度約 2 個月，公司正密切關注市場變化，並與客戶保持良好溝通，以確保生產排程的靈活性。他表示，英業達將繼續專注於產品創新和成本控制，以維持競爭優勢。 葉力誠指出，英業達目前在伺服器市場的市占率約 10%，公司正積極擴大伺服器業務，並開發新的客戶群。他表示，隨著雲端運算需求的增長，英業達伺服器業務有望進一步成長。 葉力誠強調，英業達將繼續投資研發，以保持技術領先地位。他表示，公司正在開發新一代筆電和伺服器產品，並致力於提高生產效率和降低成本。

範例輸出4:
0.3
訂單能見度下滑與需求疲弱壓抑市場信心，但英業達持續投資研發以保持技術領先地位。",2025-08-12 01:34:20,15
2023-03-14,0.6,財報與展望雙雙優於預期，營運成長動能穩健，激勵市場情緒偏正面。,2025-08-12 01:34:23,15
2023-03-16,0.2,瑞信事件引發市場恐慌，金融股賣壓沉重，加上台積電除息行情失靈，拖累大盤下跌，投資人信心不足，短線台股恐難逃修正。,2025-08-12 01:34:26,15
2023-03-18,0.7,營收表現亮眼且獲利穩健，加上對未來展望樂觀，激勵市場情緒向上。,2025-08-12 01:34:28,15
2023-03-19,0.3,市場對聯準會態度轉鴿及銀行危機事件出現短期反彈，但整體金融情勢仍未穩定，投資人應謹慎因應。,2025-08-12 01:34:30,15
2023-03-20,0.6,市場情緒偏正面，AI、軍工等次主流輪漲，但整體漲幅受制於瑞信事件影響。,2025-08-12 01:34:33,15
2023-03-21,0.7,英業達等 EMS 廠受惠於筆電需求回溫與新品上市，外資買超激勵市場情緒，但貨櫃航運三雄賣壓沉重拖累大盤表現。,2025-08-12 01:34:36,15
2023-03-22,0.7,高股息 ETF 受青睞帶動買氣，搭配權值股與金融回神助攻，激勵市場情緒向上，但個別產業仍有波動風險。,2025-08-12 01:34:39,15
2023-03-23,0.7,AI、電動車與儲能概念股強勢，帶動台股上漲，但市場仍關注 FED 言論與銀行危機發展。,2025-08-12 01:34:42,15
2023-03-24,0.7,新平台推出與多家合作夥伴參與論壇，顯示英特爾在商用市場的領導地位持續獲得認可，激勵正面市場情緒。,2025-08-12 01:34:45,15
2023-03-27,0.3,市場情緒偏空，外資賣超加劇且期貨多單減少，但投信買超力道有限，整體影響中性。,2025-08-12 01:35:02,15
2023-03-28,0.3,外資買超聚焦低價股，顯示市場信心不足，但買超英業達等個股或反映基本面穩健。,2025-08-12 01:35:05,15
