date,factor,explanation,updated_time,news_count
2022-11-01,-0.2,市場情緒偏中性，雖然鄭州廠疫情影響鴻海股價，但台積電及聯發科等大型權值股帶動下，大盤指數收復萬三關卡。,2025-05-17 17:25:53,5
2022-11-02,0.1,市場情緒偏中性，雖然鄭州靜態管理可能影響鴻海生產，但公司屬於重點企業，可維持正常營運。外資對台股整體看法仍正面，電子零件與光電族群表現強勁。,2025-05-17 17:25:56,5
2022-11-03,0.1,市場對美國升息的反應偏謹慎，雖有部分利空消息，但整體營運表現仍維持一定水準，預期新品推出將支撐 ASP 提高。,2025-05-17 17:25:58,5
2022-11-04,0.2,市場情緒偏中性，雖然部分產業營收表現不佳，但也有公司釋出利多訊息，整體而言對鴻海的影響有限。,2025-05-17 17:25:59,5
2022-11-05,0.2,"營運轉盈且獲利創新高，顯示公司財務狀況良好，但整體市場氛圍偏中性。

長園科 (8038-TW) 周五董事會通過新人事任命案，原研發大將張惇杰博士接任總經理，且為推動公司邁向下個成長階段，射出營運三箭，本周股價也跟隨大盤反彈回神，強漲 16.47%，創下三個月來新高。",2025-05-17 17:26:02,5
2022-11-06,0.2,"雖然央行澄清台灣經濟發展並無荷蘭病的現象，但科技業薪資高於其他產業，引發外界質疑是否出現類似情況。營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。

0.8
新產品未引起預期熱度，市場情緒偏保守，短期可能缺乏利多刺激。",2025-05-17 17:26:06,5
2022-11-07,0.2,營收與獲利雙創高點，顯示公司營運狀況良好，但鄭州廠疫情影響部分營運，引發市場中性偏保守情緒。,2025-05-17 17:26:07,5
2022-11-08,0.2,雖然鴻海將斥資擴大對 Lordstown 的投資，但整體市場情緒仍偏中性，主要原因是其他公司的營收與獲利預測較為保守。,2025-05-17 17:26:09,5
2022-11-09,0.2,鄭州廠解除靜態管理，營運可望恢復正常，但 ABF 載板需求趨弱，市場情緒偏中性。,2025-05-17 17:26:11,5
2022-11-10,0.1,雖然鄭州廠疫情影響營運，但公司積極應對並獲得客戶與政府支持，預期第四季仍將維持成長。整體展望中性，資本支出則因應業務擴張而高於往年。,2025-05-17 17:26:13,5
2022-11-11,0.1,市場情緒偏中性，短期缺乏明顯利多或利空因素。,2025-05-17 17:26:15,5
2022-11-12,-0.2,鴻海與泰國國家能源集團合資的電動車廠奠基與動土儀式，顯示公司積極佈局電動車市場，有利長遠發展，但短期內缺乏具體營收貢獻。,2025-05-17 17:26:17,5
2022-11-13,-0.2,"鴻海董事長劉揚偉將出席 B20 峰會並發表專題演講，顯示公司在國際舞台上的能見度提升，有助於提升市場對該公司的關注度。然而，其他公司的新聞則可能影響市場情緒。

鴻海董事長劉揚偉將出席 B20 峰會並發表專題演講，顯示公司在國際舞台上的能見度提升，有助於提升市場對該公司的關注度。",2025-05-17 17:26:20,5
2022-11-14,0.6,鴻海董事長劉揚偉出席 G20 峰會發表專題演講，分享創新經驗並強調台灣是最值得信賴的合作夥伴，帶動市場正面情緒。,2025-05-17 17:26:22,5
2022-11-15,0.3,市場消化拜習會與聯準會官員釋出的鷹派訊號，美股四大指數全面收黑，但台積電 ADR 盤後大漲 7%，可望支撐台股走勢，加上近期外資回補、成交量擴大等有利因素下，預期台股後續震盪走高。,2025-05-17 17:26:24,5
2022-11-16,0.2,"營運狀況良好，展望明年景氣中性偏正面。電子指標股漲多跌少，但傳產與航運股走弱，整體市場情緒溫和偏正面。

主要原因為公司營運狀況良好，展望明年景氣中性偏正面，加上電子指標股表現不錯，但傳產與航運股走弱，整體市場情緒溫和偏正面。",2025-05-17 17:26:26,5
2022-11-17,0.2,台股昨日小跌，但鴻海集團旗下台灣夏普宣布與禾聯碩合資成立夏禾電器販賣公司，衝刺夏普空調產品在台市占率。整體而言，市場情緒偏中性，短期內缺乏明顯利多或利空因素影響鴻海股價波動。,2025-05-17 17:26:29,5
2022-11-18,0.2,市場情緒偏中性，雖有部分利多消息，但整體營收與股價表現平穩，缺乏強勁的上漲動能。,2025-05-17 17:26:31,5
2022-11-19,0.1,"雖然部分公司營運狀況良好，但整體市場情緒偏向保守，缺乏明顯利多刺激。

新聞內容涉及多家不同公司的營運狀況與股價表現，無法直接評估對鴻海的影響。",2025-05-17 17:26:33,5
2022-11-20,-0.1,太原疫情防控措施對鴻海營運影響有限，但市場擔憂鋼鐵需求低迷可能衝擊相關供應鏈。,2025-05-17 17:26:35,5
2022-11-21,0.1,市場情緒偏中性，短期內缺乏明顯利多或利空消息，股價波動可能有限。,2025-05-17 17:26:37,5
2022-11-22,0.1,市場情緒偏中性，雖然延攬前台積電共同營運長蔣尚義擔任集團半導體策略長，但目前鴻海的半導體布局仍以成熟製程為主，與蔣尚義專長的先進製程有些許差距。,2025-05-17 17:26:39,5
2022-11-23,0.1,鄭州廠暴力抗議事件引發市場擔憂，但鴻海強調對津貼按合約履行，目前園區正常生產。加上美股四大指數全面收漲帶動台指期夜盤走強，有助延續反彈氣勢。,2025-05-17 17:26:41,5
2022-11-24,0.2,鄭州廠抗議事件已經平息，公司與員工達成協議並提供離職補貼，市場情緒偏向正面，但整體影響有限。,2025-05-17 17:26:43,5
2022-11-25,0.1,鄭州廠招募新員工時出現「技術失誤」，為此向員工道歉。儘管有部分員工離職，但不會影響生產。,2025-05-17 17:26:45,5
2022-11-26,0.1,"鴻海創辦人郭台銘對公司營運表達信心，但相關談話並未直接影響市場情緒，整體而言消息中性。

====================

以下是提供的新聞資訊 :
2022 縣市長九合一選舉投票今 (26) 日登場，鴻海 (2317-TW) 創辦人郭台銘上午也赴東門國小投票，受訪時被問到鴻海鄭州廠近日員工抗爭，他表示，主要由董事長劉揚偉負責，但能協助就盡力協助。


郭台銘表示，中國動態清零影響經濟，現在全世界都很關注，如何平衡與協調，大家都很努力，這是調整過程，不是三五言可以說盡。至於中國封控對鴻海產能的影響，選舉過後，劉揚偉也會完整報告。


而對於外界關注的新竹市長選舉，郭台銘表示，晚上看選舉結果，希望能符合大家期待、「邪不勝正」。不過，被問及對於 2024 年總統大選的看法，郭台銘則並未回應。

---

針對鴻海 (2317-TW) 延攬前台積電 (2330-TW) 共同營運長蔣尚義出任半導體策略長，鴻海創辦人郭台銘今 (26) 日指出，集團半導體布局不會複製台積電，與台積電完全錯開，會聚焦利基、下一代材料、新一代製程封裝發展，並著重在汽車應用上。


郭台銘透露，跟蔣尚義很早就認識，這次透過鴻海董事長劉揚偉安排下，在鴻海科技日當天聊了半小時，對於他要來當集團策略長很高興，也充分信任劉揚偉的規劃。


他進一步指出，現在各國都把半導體當成跟石油一樣的戰略物資，很多產業政策，都在喊「Taiwan Plus One」，現在除了台灣製造以外，都希望在有一個 Plane B，像是台積電去美國亞歷桑納設廠就是個例子，鴻海集團旗下夏普也有 8 吋晶圓廠。


針對鴻海半導體布局，郭台銘表示，基本上是跟台積電完全錯開，台積電在半導體產業做很好，不用去重複，鴻海未來著重在汽車，看起來很小但用途很大、各種不一樣的市場技術領域發展。


郭台銘強調，台灣半導體產業在現在全球化的過程中很重要，台灣半導體人才很多，希望能在台積電帶領下，不管到美國、日本、歐洲，上下游供應鏈群聚在一起，這是很重要的一環。

---

裕隆集團近來利多消息頻頻，由於裕隆 (2201-TW) 轉投資鴻華先進將登創新版，持股增值具想像空間，而納智捷 n7 預計明年第四季開始量產，預接單已達 2.5 萬張，再加上新安東京防疫險虧損一次性衝擊已過、中國車市轉好，激勵裕隆、嘉裕 (1417-TW) 本周大漲超過 20%，中華車 (2204-TW) 和裕日車 (2227-TW) 也漲逾 10%。


由裕隆集團持股 49% 的鴻華先進規劃明年第一季於創新板掛牌，市場看好，未來掛牌價具想像空間。


而納智捷首款純電車 n7 累計訂單已達 2.5 萬張，預計明年第四季量產，法人看好，將成為挹注裕隆集團業績成長的強勁新動能，並有利評價提升。


另一方面，新安東京整體損失預計在今年認列完畢，隨著疫情淡化，最壞狀況已過。


此外，據中國汽車工業協會發布 10 月乘用車產銷情況，乘用車共銷售 223.1 萬台，年增 10.7%，前 10 月銷售達 1921.8 萬台，年增 13.7%，顯示中國刺激汽車消費政策發酵，有利裕日車的中國轉投資事業恢復過往的獲利水準。




裕隆日 K 線圖

---

高力 (8996-TW) 受惠能源議題帶動，加上氫燃料電池製造商 Bloom Energy 訂單大幅升溫，將持續帶動業績成長至 2023 年，本周股價以量滾量上漲，盤中衝上 169.5 元創新天價，25 日收盤報 161.5 元，周漲 10.62%。


高力 2022 年前三季營收 19.44 億元，稅後純益 2.01 億元，年增 69.02%，每股純益 2.24 元。明年的主要動能為硬銲型板式熱交換器的熱泵，及來自氫燃料電池製造商 Bloom Energy (BE-US) 訂單，相關訂單可望較今年成長 40%。


高力本周獲外資力挺買超 1549 張，技術指標高檔鈍化，在多方不放手下，線型呈現多頭排列，5 日線及 10 日線在 151 元交叉形成短線重要支撐。




高力日 K 線圖

---

儘管半導體產業仍在庫存去化階段，穎崴 (6515-TW) 因受惠客戶持續進行新開案，明年營收續拚新高，本周吸引資金積極進駐，單周股價狂飆 21.71%，不僅重返 400 元大關，也改寫近五個月新高。


穎崴主要從事測試介面產業，產品與客戶新開案呈現高度相關，因此在客戶持續投入新品下，仍可在產業面臨庫存去化保持成長動能，加上近年積極布局先進製程的效益顯現，也讓今、明年營收連兩年創高。


穎崴本周沿五日線上攻，週五更一度衝上漲停板，終場以大漲 9.51% 作收，帶量拉出一根長紅棒，創下五個月來新高價，三大法人也全站買方，外資狂掃 1746 張、投信、自營商也雙雙加碼 291、48 張。",2025-05-17 17:27:07,5
2022-11-27,0.3,雖然鴻海鄭州廠祭出激勵政策以確保產能，但市場仍擔憂疫情封控與抗爭對營運的影響。加權指數彈升，外資回神，法人認為年底作帳行情持續升溫，有利個股表現。,2025-05-17 17:27:10,5
2022-11-28,0.1,市場情緒偏中性，雖然鴻海積極布局電動車，但受到選舉結果影響，外資賣超，且半導體景氣修正，矽晶圓廠傳出開始同意客戶延遲拉貨，股價表現值得留意。,2025-05-17 17:27:12,5
2022-11-29,0.2,"市場情緒偏中性，股價波動有限。主要原因為利多利空消息交錯，整體對公司營運影響尚待觀察。

====================

以下是提供的新聞資訊 :
兆豐國際投顧將於明 (30) 日舉辦 2023 年投資展望會，兆豐投顧認為，衝擊台股的利空因素可望在明年第一季達高峰，上半年處於盤整走勢，而下半年進入傳統旺季後，需求回溫，加上美元轉弱也有助資金回流新興市場，屆時台股盤底完成，向上突破走高可期，最高上看 16100 點。


展望 2023 年，兆豐投顧認為，明年上半年仍將持續面臨高通膨環境帶來的各種負面影響，但已近尾聲，加上聯準會升息步調預期在第一季起大幅放緩，許多衝擊台股的利空因素，可望在第一季觸及高峰。


而第二季因屬傳統淡季，需求仍偏弱，基本面乏善可陳，因此，台股以盤底走勢居多。


進入下半年後，隨著庫存調整完成、通膨持續降溫，聯準會也有望停止升息，且經過 2020-2022 年異常的大幅波動後，經濟和產業將回歸正常循環，因此，傳統旺季需求回溫可期，加上美元利多結束走弱，資金回流新興市場，有利推升台股盤底完成，向上突破走高。


依兆豐投顧預估，明年整體上市櫃企業獲利將較今年衰退約 16%，且呈現上半年低、下半年高的走向。

---

世足賽熱鬧開踢，根據投信統計，過去世足賽期間，台股表現優於美股，研判原因可能與世足概念股發威有關，而從近 1 個月賽事來看，台股平均漲幅也有 1.27%，表現不俗。


統計 2002 年日韓世足以來，五屆世足期間的台股加權指數表現，在近一個月的賽事中，台股平均漲幅為 1.27%。


大華優利高填息 30 經理人鄭翰紘表示，台灣的世足概念股以電視晶片、PC、5G 與記憶體為主，而大華優利高填息 (00918) 成分股涵蓋了前述的企業，加上過去經驗顯示，每年 12 月至隔年 7 月指數正報酬機率高。


鄭翰紘指出，根據彭博資訊統計，台股加權指數比起 S&P 500 與道瓊工業指數在過去世足賽比賽期間，表現較為突出，原因可能與四年一度的賽事期間之轉播需求有高度關聯。


鄭翰紘說明，世足概念股囊括運動服飾、顯示晶片、博弈、機上盒等族群，為滿足世界各地民眾得以參與世足盛事，除了購買球衣與其他周邊商品外，螢幕驅動 IC 以及個人電腦，以及 5G 網路等軟硬體設備的需求也上升。


鄭翰紘表示，今年初面板供給過剩造成面板驅動 IC 大廠庫存攀高，電子股本益比下滑，不過利空因素已反應完畢，目前股價在庫存調整後，落入五年來的合理區間。


展望 2023 年，鄭翰紘認為，第 1 季升息對股市造成負面影響，有望逐漸淡化，屆時半導體與電子類股得以需求回溫，有望推升評價。

---

台股今 (29) 日續跌大盤開低走低，大盤指數以 14503.79 點開出後，受台積電 (2330-TW) 股價續弱拖累，早盤下跌逾 60 點，失守 14500 點整數關卡。


美國聯準會官員鷹派言論再度擊潰股市多頭，美股四大指數同步收黑，包括道瓊工業指數重挫逾 500 點，費半指數也大跌 2.6%。


美股疲弱台股也無法倖免，權王台積電股價在 500 元整數關卡前止步後，今天股價隨費半走弱，持續壓抑股價表現，開盤以 473 元開出後，盤中下跌近 1.5%，連帶拖累盤勢翻黑。


今天盤面上主要類股僅汽車、觀光、鋼鐵與內需百貨類相對受資金青睞，拉抬股價表現；主導盤勢的半導體、航運與金融類股早盤在賣單調節下，指數表現則相對疲軟。


根據統計，上市櫃公司跌多漲少，其中上市公司早盤有 467 家同步下跌，244 家逆勢走揚，上櫃公司 250 家走跌、181 家上漲。

---

台股今 (29) 日開低走高，不但從跌百點翻紅，靠電子、金融、傳產權值股領軍，電子股中的軍工、車用概念股強強滾，加上指標股鋼鐵人、航海王助威之下，終場加權指數大漲 152.77 點，收在 14709.64 點，成交量擴大至 2136.11 億元。


權值王台積電跳空開低，大盤一度跌超過百點、失守 14500 點，不過在買盤逢低進場，台積電最後漲 6.5 元、勁揚 1.35%，也是蘋概三雄中唯一收紅，鴻海收平盤 100 元，大力光則跌 5 元、收在 2270 元，持續在 5 日線之下，但 10 日線有守。


其餘電子權值股部分，聯發科也勁揚 1.42%，但 5 日線仍為上檔壓力，面板雙虎、聯電都收紅。


而傳產部分，航運股為今天各類股中最搶眼族群，台船強勢登頂，長榮航及華航受惠解封題材，也大漲約 5-7%，貨櫃三雄也齊步攻堅，帶動航運股大漲超過 3%。


鋼鐵人也很火熱，中鴻、威致、世紀鋼漲 3-5% 不等，中鋼、燁興、海光、官田鋼等漲幅都超越 2%，推升鋼鐵指數上漲超過 2%。


此外，俄烏戰火、白紙革命影響，軍工概念股大漲，寶一強鎖漲停，漢翔、雷虎、晟田、事欣科、億杰、豐達科都連袂走高。


車用概念股也是多頭聚焦所在，永彰收漲停價，為昇科、聯亞、堤維西等也都加足馬力。


整體來說，台股今天大漲超過 150 點，雖然收復了收復昨天空方缺口的下緣 14638，但缺口上緣的 14756 點仍未攻克，若要續攻，要看後續外資動態。

---

德國汽車刊物《Automobilwoche》周二 (29 日) 引述福斯汽車公司的消息報導，福斯汽車正與台灣鴻海  (2317-TW) 就建立合作夥伴關係為 Scout 品牌製造汽車進行談判。


福斯汽車在 5 月宣布計劃重新推出 Scout 越野品牌，創建一家獨立公司，從 2026 年開始生產 Scout 卡車和 SUV，這些卡車和 SUV 將在美國為美國客戶設計、製造和製造。


以組裝蘋果 iPhone 而聞名的鴻海已經擴展到為汽車品牌製造電動車，希望到 2025 年時在電動車製造領域占有 5% 的市場大餅。


《Automobilwoche》報導，福斯汽車正與鴻海和 Magna International (MGA-US) 的子公司 Magna Steyr 進行談判，後者一直尋求在美國建廠。


報導表示，福斯汽車也可以建造自有工廠，即使這是最不可能的選項。報導涉及的三方都未置評。
====================

綜合以上新聞內容，市場情緒偏中性，股價波動有限。主要原因為利多利空消息交錯，整體對公司營運影響尚待觀察。",2025-05-17 17:27:42,5
2022-11-30,-0.2,市場對鴻海股價波動持中性態度。雖然富士康鄭州廠抗議事件影響 iPhone 出貨量，但台股今日反彈，多方權值股表現強勁，帶動大盤上漲。,2025-05-17 17:27:45,5
2022-12-01,0.6,台股受美股激勵大漲，權值股如鴻海、台積電同步回神，帶動市場情緒正面。,2025-05-17 17:27:46,5
2022-12-02,0.6,鴻海逆勢走揚，帶動集團成員強勁表現，顯示市場對電動車利多消息反應正面。,2025-05-17 17:27:48,5
2022-12-03,0.2,營收創高且獲利轉盈，顯示公司財務狀況良好，但缺乏明確的利多刺激，市場情緒偏中性。,2025-05-17 17:27:50,5
2022-12-04,0.2,市場關注焦點回歸個股基本面，營收表現不佳可能造成部分個股回跌。,2025-05-17 17:27:52,5
2022-12-05,0.3,營收表現符合預期，股價維持穩定上漲趨勢。,2025-05-17 17:27:53,5
2022-12-06,-0.3,市場對於聯準會緊縮政策預期心理升溫，拖累美股四大指數走跌，連帶影響台股表現，電子權值股如鴻海、台積電等走勢疲軟。,2025-05-17 17:27:55,5
2022-12-07,0.1,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-17 17:27:57,5
2022-12-08,0.1,市場情緒偏中性，股價波動有限。雖然鴻海增資印度子公司以擴充 iPhone 產能，但台股整體走跌，權值股疲弱，僅部分個股如 ABF 載板、再生能源族群表現強勢。,2025-05-17 17:27:59,5
2022-12-09,0.2,鄭州廠解除封控，營收表現仍有壓力，但市場情緒略為好轉。,2025-05-17 17:28:01,5
2022-12-10,0.1,營收創新高顯示公司表現良好，但中國市場放寬疫情管控措施可能帶動相關個股上漲。,2025-05-17 17:28:02,5
2022-12-11,0.2,台幣貶值對出口導向產業有利，匯兌收益可望反映在財報上，但整體市場仍受到聯準會升息、地緣政治等因素影響。,2025-05-17 17:28:05,5
2022-12-12,0.3,市場觀望氣氛濃厚，加上經濟衰退疑慮升溫，導致指數震盪走低。,2025-05-17 17:28:07,5
2022-12-13,0.2,市場觀望美國 CPI 數據，指數開高走低，權值股普遍下挫，但跌幅均在 1 個百分點以內。鋼鐵類股表現強勁，生技族群也有多檔漲停。,2025-05-17 17:28:09,5
2022-12-14,0.2,新品上市帶動 ASP 興起，市場情緒偏正面。,2025-05-17 17:28:10,5
2022-12-15,0.1,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-17 17:28:12,5
2022-12-16,0.1,航運股與生技族群逆勢走揚，顯示市場對這些產業的前景仍有信心，但電子權值股普遍疲軟，拖累整體市場表現。,2025-05-17 17:28:14,5
2022-12-17,0.1,"處分紫光持股主要是因程序上尚無法定案，為避免延宕而影響投資布局與資金運用彈性。市場對此反應平淡，認為只是暫時性的調整，並不會對公司營運造成實質衝擊。

-1
處分紫光持股引發市場高度關注，外界普遍解讀為鴻海撤資中國半導體產業的重大舉措。投資人擔憂此舉可能影響鴻海在中國市場的發展前景，對公司營運帶來負面衝擊。

0.3
鋼鐵股受惠於國際鋼價反彈與中國防疫鬆綁等利多因素，股價表現亮眼。雖然中鴻和佳大是鋼鐵類股，但市場對其漲幅的關注度不高，認為主要是鋼鐵產業景氣回升帶動整體行情，而非單一公司的題材所致。",2025-05-17 17:28:18,5
2022-12-18,-0.2,市場對聯準會鷹派言論反應鈍化，但經濟衰退疑慮仍在，預期台股短線將持續高檔震盪。,2025-05-17 17:28:21,5
2022-12-19,0.2,鴻海股權變動引發市場關注，但整體而言，營運狀況良好且生技醫療族群強勢表現，預期帶動市場情緒正面。,2025-05-17 17:28:23,5
2022-12-20,0.1,日本央行調高收益率目標引發市場波動，但台灣金融業對日曝險金額不大，且台股基本面穩健。,2025-05-17 17:28:25,5
2022-12-21,0.3,市場情緒偏中性，鋼鐵與航運類股表現亮眼，但電子權值股疲弱，整體影響有限。,2025-05-17 17:28:27,5
2022-12-22,0.2,鋼鐵市場回溫，加上全球經濟動能保持溫和成長，有利鋼鐵需求回升。,2025-05-17 17:28:28,5
2022-12-23,-0.3,"美股四大指數下跌拖累台股，加上記憶體晶片廠商營收慘澹，半導體族群承壓，但鴻海打入特斯拉供應鏈的利多消息仍有支撐。

市場情緒偏向保守，美股與記憶體晶片大廠營收表現不佳影響台股電子權值股，但鴻海搶進特斯拉供應鏈為少數正面訊息。",2025-05-17 17:28:31,5
2022-12-24,0.2,雖然部分公司營收與獲利表現亮眼，但整體市場情緒偏中性，缺乏明顯的強勢利多刺激股價上漲。,2025-05-17 17:28:33,5
2022-12-25,0.2,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-17 17:28:34,5
2022-12-26,0.1,生技股漲勢凌厲，帶動盤面多頭指標，但電子權值股表現疲弱，整體成交量低迷，市場情緒偏中性。,2025-05-17 17:28:36,5
2022-12-27,0.1,鴻準跨足生技領域，積極投資與併購，展現長期佈局決心，有利於公司未來發展，但短期內對股價影響有限。,2025-05-17 17:28:38,5
2022-12-28,0.1,中國解封題材有助支撐盤面量縮價揚走勢，但美股科技股重挫，費半更重挫近 1.8%，將為台股帶來壓力。,2025-05-17 17:28:40,5
2022-12-29,0.1,雖然市場下跌，但公司法說會釋出正面訊息，看好未來發展，顯示營運狀況仍在掌控中。,2025-05-17 17:28:42,5
