date,factor,explanation,updated_time,news_count
2022-11-01,0.1,中國經濟疲弱影響鋅價走跌，拖累鋼聯營運，但日本半導體類股表現強勁，世芯股價可能偏向中性。,2025-05-17 20:19:09,5
2022-11-02,0.2,市場消息偏向正面，營收與獲利雙創新高，預期將帶動市場情緒正面。,2025-05-17 20:19:11,5
2022-11-03,0.1,市場消息雜沓，營收表現與展望不一，整體影響有限。,2025-05-17 20:19:12,5
2022-11-04,0.8,營收持續成長、獲利創新高，加上 ABF 載板供給增加、CoWoS 產能獲得台積電支持等利多因素，預期將帶動市場情緒正面。,2025-05-17 20:19:14,5
2022-11-05,0.1,新產品臨床試驗進展順利，市場情緒偏正面，但部分利多已反映在股價上，短期缺乏強勁的催化劑。,2025-05-17 20:19:15,5
2022-11-06,-0.2,雖然央行澄清台灣經濟發展並無荷蘭病的現象，但科技與傳產業的營收成長率走勢分歧，顯示市場對於台灣產業結構存在疑慮。另外，DRAM供應商庫存調節有限，10月現貨價跌幅擴大至月減10%，在庫存未明顯去化下，11月以來DRAM廠壓力與日俱增。,2025-05-17 20:19:19,5
2022-11-07,0.3,市場對美中晶片禁令的擔憂減輕，加上超微新品採用台積電製程，帶動相關概念股走強，但蘋果供應鏈因鄭州廠疫情影響出貨量。,2025-05-17 20:19:20,5
2022-11-08,0.2,市場情緒中性，雖有利多消息，但整體資訊分歧且缺乏明確方向。,2025-05-17 20:19:22,5
2022-11-09,0.2,ABF 載板三雄 10 月營收表現不俗，顯示需求依然強勁，預期將支撐市場情緒。,2025-05-17 20:19:23,5
2022-11-10,0.1,營收創新高顯示公司營運狀況良好，但市場消息混雜利多利空訊息，整體影響有限。,2025-05-17 20:19:25,5
2022-11-11,0.8,美股大漲激勵下，台股跳空上漲，半導體雙雄領軍衝鋒，電子族群強勢表現。,2025-05-17 20:19:27,5
2022-11-12,-0.2,世芯 股價近期波動較大，但整體而言消息面中性，無明顯利多或利空。,2025-05-17 20:19:28,5
2022-11-13,-0.2,半導體產業鏈庫存問題嚴峻，包括晶圓代工廠、記憶體廠均難以倖免，第四季減產氛圍籠罩市場，供應商相繼調整營運資源配置，如預先為客戶建庫存、將閒置產能或資源轉往他處等策略，蹲低姿態，以熬過這波「冰風暴」。,2025-05-17 20:19:30,5
2022-11-14,0.3,台股反彈力道延續，傳產領漲，電子權值撐盤，多頭符合進一步轉強的條件，但季線仍持續下彎，整體市場仍定義為反彈格局。,2025-05-17 20:19:32,5
2022-11-15,0.2,市場氣氛轉為樂觀，但仍屬反彈階段，後續修正機率高。加權指數收漲，台積電貢獻大部分漲點，波克夏買進台積電 ADR，支撐股價表現。,2025-05-17 20:19:34,5
2022-11-16,0.1,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-17 20:19:36,5
2022-11-17,0.1,利多利空訊息交錯，市場情緒偏中性。,2025-05-17 20:19:37,5
2022-11-18,0.2,"市場觀望氣氛濃厚，半導體族群表現平穩，訊芯營運展望正面，但整體影響有限。

訊芯明年營收與獲利可望優於今年，新產能開出有助毛利率提升。",2025-05-17 20:19:39,5
2022-11-19,0.2,"營運狀況逐步好轉，顯示卡需求回溫，加上新平台推出，有利市場情緒正面，但整體影響有限。

產品組合優化、日元走貶等因素帶動獲利成長，股價反彈站上半年線。",2025-05-17 20:19:41,5
2022-11-20,-0.1,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-17 20:19:42,5
2022-11-21,0.1,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-17 20:19:44,5
2022-11-22,0.2,雖然有部分利多消息，但整體市場情緒偏中性，主要因為外銷訂單表現不佳，且股價已經反映部分利多。,2025-05-17 20:19:45,5
2022-11-23,0.2,市場消息雜沓，營收與獲利表現良好，但鄭州廠暴動事件引發投資人擔憂，整體情緒偏中性。,2025-05-17 20:19:47,5
2022-11-24,0.2,市場資金回到泛電子族群，多頭掌控盤面，指數創本波段反彈新高點，但個股仍有震盪整理現象。,2025-05-17 20:19:49,5
2022-11-25,0.1,富士康鄭州廠爆發員工騷動事件，導致大量新進員工離職，但不會影響生產。公司提供補貼協助員工返鄉，目前恢復全面生產的目標仍在進行中。,2025-05-17 20:19:51,5
2022-11-26,0.2,"世芯相關新聞多聚焦在其他公司或產業，對該公司的直接影響有限。整體而言，市場情緒偏中性，股價波動可能受大盤影響較大。

主要原因是新聞內容涉及鴻海、穎崴、美時等不同公司，與世芯的關聯性不高，且多數為產業面或宏觀經濟面的資訊，對世芯本身營運的直接影響有限。",2025-05-17 20:19:53,5
2022-11-27,0.1,營收與獲利雙成長，顯示公司營運狀況良好，但整體市場氛圍偏保守，短期缺乏明確的利多刺激。,2025-05-17 20:19:54,5
2022-11-28,0.1,雖然半導體景氣修正，但汽車股漲勢均不俗，裕隆、中華、江申等個股表現亮眼。地緣政治趨勢帶動全球半導體供應逐漸走向在地，英特爾、台積電、三星相繼釋出建廠消息，但也警告當地半導體材料供應鏈壓力大增。朋程將以自有資金透過鉅額逐筆交易方式，公開收購強茂旗下璟茂的所有茂矽持股，受此利多消息激勵，茂矽今日股價早盤直奔漲停價 42.4 元鎖住。,2025-05-17 20:19:57,5
2022-11-29,0.2,"世足概念股表現優於美股，顯示相關族群有望受惠轉播需求。然而，市場情緒受到美聯儲鷹派言論影響，導致台積電等科技股走弱，拖累大盤指數。

世足概念股如電視晶片、PC、5G 與記憶體等族群有望受惠轉播需求，但市場情緒受到美聯儲官員鷹派言論影響，導致台積電等科技股走弱，拖累大盤指數。",2025-05-17 20:20:00,5
2022-11-30,0.3,市場靜待聯準會主席鮑爾談話，加上今日週選擇權結算、MSCI 季度調整盤後生效，大盤恐劇烈波動。,2025-05-17 20:20:02,5
2022-12-01,-0.1,市場情緒偏中性，雖然美股大漲，但台積電等權值股走勢分歧，ABF 載板三雄則因外資看好明年下半年營運而強漲表態。,2025-05-17 20:20:03,5
2022-12-02,0.1,市場情緒偏中性，短期內缺乏明顯利多或利空因素，股價波動幅度有限。,2025-05-17 20:20:05,5
2022-12-03,0.2,營收創高且產能滿載，顯示公司業績表現良好，但缺乏明確利多刺激，市場情緒偏中性。,2025-05-17 20:20:06,5
2022-12-04,0.2,營收表現疲弱，加上終端需求轉疲，引發市場對公司前景的擔憂。,2025-05-17 20:20:08,5
2022-12-05,0.3,電子三雄後繼無力，台股萬五得而復失，顯示市場情緒偏向保守，短期內缺乏明確的利多刺激。,2025-05-17 20:20:10,5
2022-12-06,-0.5,台股大跌，電子指數跌幅最大，權值股如台積電、聯發科等走勢疲軟。市場擔憂升息、經濟數據及地緣政治風險影響投資信心。,2025-05-17 20:20:12,5
2022-12-07,-0.3,市場情緒偏中性，雖然世芯 - KY 股價下跌，但整體盤勢表現平穩，且營收與獲利雙創高點，顯示公司營運狀況良好。,2025-05-17 20:20:13,5
2022-12-08,-0.2,市場情緒偏中性，電子權值股有壓，但再生能源族群表現強勢。,2025-05-17 20:20:15,5
