date,factor,explanation,updated_time,news_count
2022-11-01,0.2,營運狀況良好，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-17 23:35:32,5
2022-11-02,0.1,市場靜待聯準會利率決策，股市觀望氣氛濃厚，多數公司營運狀況良好，但缺乏明確利多刺激。,2025-05-17 23:35:34,5
2022-11-03,-0.3,"美國升息引發市場波動，央行總裁楊金龍指出外資為最大影響因素。金管會主委黃天牧表示將密切觀察股市價量表現，並保留適度穩定措施。

市場對於美國聯準會升息反應劇烈，引發美股重挫，台股也受到衝擊。央行總裁楊金龍指出外資為最大影響因素，金管會主委黃天牧表示將密切觀察股市價量表現，並保留適度穩定措施。",2025-05-17 23:35:36,5
2022-11-04,0.2,市場情緒中性，電子權值股承壓，但航運、金融等傳產權值股撐盤，指數翻紅衝破萬三。,2025-05-17 23:35:38,5
2022-11-05,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-17 23:35:39,5
2022-11-06,0.2,雖然通膨數據仍高，但 FED 可能放緩升息步伐，市場情緒偏中性。,2025-05-17 23:35:41,5
2022-11-07,0.2,市場情緒偏中性，雖然營收與獲利雙創高點，但中國封控措施影響鴻海鄭州廠產量，可能衝擊 iPhone 14 Pro 的發貨量。,2025-05-17 23:35:43,5
2022-11-08,0.3,市場情緒偏中性。雖然有部分正面消息，如營收創高、獲利表現亮眼等，但也有負面因素，如訂單下修、產品未如預期熱銷等，整體而言對市場影響有限。,2025-05-17 23:35:45,5
2022-11-09,0.2,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-17 23:35:47,5
2022-11-10,0.1,市場消息雜沓，營收獲利表現參半，整體影響有限。,2025-05-17 23:35:48,5
2022-11-11,0.8,美國通膨數據大幅回落，激勵美股暴漲，連帶台股跟進強彈，顯示市場情緒正面。,2025-05-17 23:35:50,5
2022-11-12,0.6,受惠於美國通膨降溫、手機庫存將在第四季達最高峰等利多消息，市場情緒偏向正面。,2025-05-17 23:35:51,5
2022-11-13,0.2,營運表現與訂單能見度均維持正向，整體市場情緒偏樂觀。,2025-05-17 23:35:53,5
