date,factor,explanation,updated_time,news_count
2022-11-01,-0.1,市場情緒偏中性，雖然富士康調高獎勵政策，但生技股漲幅有限且新藥股走勢不一，整體缺乏明顯利多刺激。,2025-05-18 13:13:42,5
2022-11-02,0.1,電子權值股與部分傳產股如銅箔基板、軟板廠等獲得買盤青睞，市場情緒偏中性。,2025-05-18 13:13:44,5
2022-11-03,-0.3,"美國升息引發市場波動，股市情緒偏向保守，但台灣基本面仍維持穩健，預期短期內影響有限。

美國聯準會再度宣布升息三碼，暗示考慮暫停升息言之過早，導致美股重挫。市場消息方面，安謀狀告高通案可能衝擊手機晶片廠營運。央行總裁楊金龍指出，外資實現在台股的龐大帳面利益並將豐厚的股利匯出，是今年台股下跌主因之一。金管會主委黃天牧表示，金管會將盤點可用措施應對市場波動，但不期待實施很久，以免影響台灣資本市場形象及外資看法。",2025-05-18 13:13:47,5
2022-11-04,0.2,雖然部分產業面臨需求疲軟，但營收與獲利成長仍顯示公司整體表現良好，市場情緒偏正面。,2025-05-18 13:13:49,5
2022-11-05,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 13:13:51,5
2022-11-06,0.2,雖然沒有直接提到 嘉澤，但市場情緒偏中性，短期內缺乏明確利多或利空因素。,2025-05-18 13:13:53,5
2022-11-07,-0.2,市場情緒偏中性。雖然銅價上漲，但受到佳世達下修財測等利空影響，股市波動加劇。,2025-05-18 13:13:55,5
2022-11-08,0.1,市場情緒偏中性，雖有部分正面消息，但整體資訊量不足且缺乏明確利多或利空因素。,2025-05-18 13:13:57,5
2022-11-09,0.1,營收表現平穩且轉型計畫持續推進，但市場關注度不高，預期短期內股價波動有限。,2025-05-18 13:13:59,5
2022-11-10,0.1,市場消息雜沓，營收獲利表現參差，整體影響有限。,2025-05-18 13:14:00,5
2022-11-11,0.1,市場對於庫存調整與獲利下滑仍持保守態度，雖有新產品推出但需求尚未明顯回升。,2025-05-18 13:14:02,5
2022-11-12,-0.2,PA 族群營運展望保守，第四季恐再下滑，但明年有望回溫；台積電股價反彈，10 月營收創次高紀錄。,2025-05-18 13:14:04,5
2022-11-13,0.1,雖然部分產業面臨庫存調整問題，但公司積極轉型能源事業並進行財務結構改善，有助於穩定市場情緒。,2025-05-18 13:14:05,5
2022-11-14,0.2,漲價題材持續發酵，加上外資回補，市場情緒偏正面。,2025-05-18 13:14:07,5
2022-11-15,0.6,台積電 ADR 盤後大漲，激勵台股今日同步走高，但傳產權值股表現疲弱，市場情緒偏向樂觀但仍有壓力。,2025-05-18 13:14:09,5
2022-11-16,0.3,台積電持續上漲帶動大盤，但地緣政治風險仍在，市場波動加劇。,2025-05-18 13:14:11,5
2022-11-17,0.2,台積電等半導體族群受惠於晶片法案通過，市場情緒偏正面。,2025-05-18 13:14:12,5
2022-11-18,0.1,台股雖有電子族群支撐，但外資調節、大盤量縮價平，加上電子指數漲多恐面臨獲利了結壓力，短線需防大盤反轉拉回。,2025-05-18 13:14:14,5
2022-11-19,0.3,營運展望樂觀，股神巴菲特買進台積電 ADR，帶動相關供應鏈雨露均霑。,2025-05-18 13:14:16,5
2022-11-20,0.2,美國對中國半導體設備出口限制可能影響聯電營運，但中芯國際仍決定將今年擴產計畫增加至 66 億美元，顯示公司持續投資成熟製程。,2025-05-18 13:14:18,5
2022-11-21,0.1,市場情緒偏中性，短期缺乏明顯利多刺激。,2025-05-18 13:14:20,5
2022-11-22,0.1,市場情緒偏中性，電子權值股熄火，但金融、傳產撐盤，生技、軍工概念股人氣暢旺。營收與獲利表現將是關鍵因素影響後續走勢。,2025-05-18 13:14:22,5
2022-11-23,0.2,市場消息雜沓，營運展望不一，整體偏中性。,2025-05-18 13:14:23,5
2022-11-24,0.6,多頭氣勢強勁，加權指數創反彈新高，搭配運動概念股表現亮眼，帶動市場情緒正面。,2025-05-18 13:14:25,5
2022-11-25,0.1,電子權值股欲振乏力，航運股漲勢收斂，金融股漲跌互見，加權指數終場小跌 5 點，收在 14778 點，成交值增至 2300 億元以上，三大法人合計賣超 45.57 億元。,2025-05-18 13:14:27,5
2022-11-26,0.8,裕隆集團利多消息頻傳，加上新事業布局成效顯現，預期將帶動市場情緒正面。,2025-05-18 13:14:29,5
2022-11-27,-0.2,市場情緒偏中性，雖然台股反彈，但個別公司營運狀況仍影響投資人信心。,2025-05-18 13:14:31,5
2022-11-28,0.2,選舉結果對市場造成震盪，但汽車類股表現強勁，帶動裕隆等個股上漲。,2025-05-18 13:14:32,5
2022-11-29,0.1,雖然嘉裕承接國軍服飾供售站業務，搭上軍工題材，但整體營運狀況仍不佳，10 月營收月減 10.8%、年減 1.4%，市場情緒偏保守。,2025-05-18 13:14:34,5
2022-11-30,0.3,市場靜待聯準會主席鮑爾談話，美股三大指數收黑，加上今日週選擇權結算、MSCI 季度調整盤後生效，大盤恐劇烈波動。,2025-05-18 13:14:36,5
2022-12-01,0.6,美股全面大漲激勵台積電跳空開高，權值股走勢分歧，市場情緒偏正面。,2025-05-18 13:14:38,5
2022-12-02,0.3,美股四大指數齊揚，台灣金融市場也在熱錢挹注下，再度上演股匯雙漲行情。,2025-05-18 13:14:40,5
2022-12-03,0.2,雖然部分公司營運表現亮眼，但整體市場情緒偏向保守，缺乏強勁的利多刺激。,2025-05-18 13:14:41,5
2022-12-04,0.1,市場情緒偏中性，短期缺乏明顯利多刺激，但整體經濟狀況仍有改善空間。,2025-05-18 13:14:43,5
2022-12-05,0.1,市場情緒偏中性，雖然有部分利多消息，但整體而言缺乏明顯的上漲動能。,2025-05-18 13:14:45,5
2022-12-06,-0.3,美股下跌影響市場情緒，電子權值股熄火，高價股普遍走弱，僅生技股表現較強。,2025-05-18 13:14:47,5
