date,factor,explanation,updated_time,news_count
2022-11-01,0.2,半導體類股整體表現偏弱，日月光營運恐承壓。,2025-05-17 20:43:07,5
2022-11-02,0.1,"市場消息雜沓，電子業面臨逆風，但日月光相關個股反彈，顯示利空出盡跡象。整體而言，營運狀況尚未完全明朗，市場情緒偏向保守。

新聞內容涵蓋廣泛，包括全球經濟、產業趨勢、公司營收與獲利等面向，但缺乏直接針對日月光的消息。",2025-05-17 20:43:10,5
2022-11-03,0.2,美國升息影響台股，金管會將密切觀察股市價量表現，若有必要會有進一步穩定措施。,2025-05-17 20:43:11,5
2022-11-04,0.2,航運類股指數勁揚，帶動台股翻紅上漲。,2025-05-17 20:43:13,5
2022-11-05,0.8,"光通訊族群營運強勁，帶動市場情緒正面。嘉聯益第三季財報亮眼，獲利創新高，預期全年營收成長，股價大漲近三成。長園科延攬專業人才，布局鋰鐵電池商機，股價強彈逾十六％。大立光10月營收創23個月來新高，前十月營收轉正成長，第四季出貨旺季可期，股價上漲2.15%。生華科旗下新藥臨床試驗完成第一位病人收案，股價重啟漲勢，周漲23.3%。

0.8
光通訊族群營運強勁，帶動市場情緒正面。嘉聯益第三季財報亮眼，獲利創新高，預期全年營收成長，股價大漲近三成。長園科延攬專業人才，布局鋰鐵電池商機，股價強彈逾十六％。大立光10月營收創23個月來新高，前十月營收轉正成長，第四季出貨旺季可期，股價上漲2.15%。生華科旗下新藥臨床試驗完成第一位病人收案，股價重啟漲勢，周漲23.3%。",2025-05-17 20:43:17,5
2022-11-06,0.1,市場對於台灣經濟發展的疑慮已獲央行澄清，傳產與電子資通訊產品出口年增率走勢多與全球需求同向，且附加價值率與全球市占率也同步成長。營收表現亮眼的藥華藥預期明年用藥病人數將有機會達千人甚至更高，營收有望再登高。DRAM供應商庫存調節有限，10月現貨價跌幅擴大至月減10%，但由於手機等消費性電子產品賣不動，DRAM庫存持續堆積，供應商減產效益還未顯現，庫存壓力持續升高。,2025-05-17 20:43:21,5
2022-11-07,0.2,市場情緒偏中性。雖然美股轉強，但中國防疫政策鬆綁的時間點仍不確定，且台積電營收下滑，影響市場信心。,2025-05-17 20:43:23,5
2022-11-08,0.2,市場對美國聯準會持續升息的擔憂仍在，通膨壓力未減，引發投資人觀望氣氛濃厚。,2025-05-17 20:43:24,5
2022-11-09,0.3,營收持續成長，展望未來表現樂觀，但部分子公司營運疲弱，整體市場情緒偏正面但不強勁。,2025-05-17 20:43:26,5
2022-11-10,0.2,環球晶營收創新高，展望第四季持續成長，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-17 20:43:28,5
2022-11-11,0.85,美股大漲激勵下，台股開盤跳空上漲，日月光等電子權值股強勢表現，市場專家看好震盪向上走勢。,2025-05-17 20:43:29,5
2022-11-12,-0.2,日月光與蘋果供應鏈相關新聞偏多，但整體市場情緒仍偏保守。,2025-05-17 20:43:31,5
2022-11-13,0.2,通膨數據逐漸下降，聯準會升息預期放緩，有利台股反彈，但科技業庫存調整壓力仍在，可能延長至明年首季。,2025-05-17 20:43:32,5
2022-11-14,0.3,台股反彈力道延續，多頭氣勢轉強，傳產接棒領漲，外資回補，市場情緒偏正面。,2025-05-17 20:43:34,5
2022-11-15,0.2,市場消化拜習會與聯準會官員釋出的鷹派訊號，美股四大指數全面收黑，但台積電 ADR 盤後大漲逾 7%，可望支撐台股走勢，加上近期外資回補、成交量擴大等有利因素下，台股後續估震盪走高，伺機挑戰半年線。,2025-05-17 20:43:36,5
2022-11-16,0.2,營收與獲利雙創高點，顯示公司營運狀況良好，但整體經濟前景仍不明朗，預期帶動市場情緒溫和正面。,2025-05-17 20:43:38,5
2022-11-17,0.3,台版晶片法案通過，半導體產業受惠，但美光看淡明年前景，引發市場擔憂。,2025-05-17 20:43:40,5
