date,factor,explanation,updated_time,news_count
2022-11-01,0.2,緯穎第三季財報亮眼，營收、獲利雙創新高，展望第四季樂觀看待供應鏈逐步穩定，有利公司存貨下降、營運資金需求壓力舒緩。,2025-05-18 13:43:41,5
2022-11-02,0.2,緯穎第三季財報亮眼，前三季獲利超越去年全年，展望未來雲端產業成長趨勢不變，公司擴廠計畫持續進行，股利配發率也以 6 成為目標。整體而言，營運表現與展望正面，但市場消息中缺乏明確的強勁利多刺激，預期對股價波動影響有限。,2025-05-18 13:43:44,5
2022-11-03,0.3,市場對於美國聯準會升息態度偏鷹持續觀望，導致美股重挫，台股今日恐失守五日線與月線，但緯穎財報釋出好消息，逆勢強漲。,2025-05-18 13:43:46,5
2022-11-04,0.2,市場情緒偏中性，雖然緯穎第三季財報亮眼，但受到全球經濟衰退疑慮影響，整體股市表現疲弱。,2025-05-18 13:43:48,5
2022-11-05,0.9,"緯穎第三季營運創高、第四季樂觀展望、產能擴張計畫，以及整體雲端產業成長趨勢，皆帶動市場情緒正面。

緯穎第三季獲利雙創新高，對第四季需求持續樂觀，且未再看到供給面長短料問題，傳統第四季是全年高峰趨勢不變。公司也看好整體雲端產業每年雙位數成長的大趨勢，並規劃持續擴充自有產能因應市場需求。",2025-05-18 13:43:51,5
2022-11-06,0.2,雖然部分個股出現漲幅，但整體市場情緒仍偏向保守，主要原因是記憶體價格持續下跌，以及電子產業需求疲弱。,2025-05-18 13:43:54,5
2022-11-07,0.1,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 13:43:55,5
2022-11-08,-0.1,市場對於電視面板價格上漲的反應正面，但整體而言，新聞內容並未提供足夠資訊以判斷市場情緒或股價波動的影響。,2025-05-18 13:43:57,5
2022-11-09,0.6,新產品放量帶動三大業務成長，營收挑戰 900 億元，展望明年再成長雙位數。,2025-05-18 13:43:59,5
2022-11-10,0.2,電子股普遍走弱，但矽晶圓大廠中美晶與環球晶 10 月營收繳出佳績，加上下午櫃買將舉行業績發表會，再度吸引買盤進場押寶，帶動股價上漲 3%-4%，上櫃半導體類股指數盤中漲逾 1%，表現優於大盤。,2025-05-18 13:44:02,5
2022-11-11,0.3,"市場氣氛偏向樂觀，指數大漲且站上萬四關卡，顯示投資人信心回升。然而，部分個股仍面臨挑戰，如敦泰的存貨跌價損失事件，可能對市場情緒產生負面影響。

市場氣氛正面，多頭氣勢未減，但個別公司的利空消息仍需留意。",2025-05-18 13:44:04,5
2022-11-12,0.5,"台積電、聯發科等科技股強彈，帶動市場情緒正面，但 PA 族群仍維持保守態度。

整體而言，科技股普遍反彈，預期將提振市場信心。",2025-05-18 13:44:06,5
2022-11-13,0.2,營收與獲利雙創高點，顯示公司營運狀況良好，但半導體產業鏈庫存問題嚴峻，可能影響未來需求。,2025-05-18 13:44:08,5
2022-11-14,0.6,台股反彈格局延續，緯穎等電子權值股帶動指數上漲，傳產類股如製鞋、水泥、航運也有表現。整體市場情緒偏正面，但需留意半年線反壓及外在經濟環境的挑戰。,2025-05-18 13:44:10,5
2022-11-15,0.2,市場氣氛轉為樂觀，台積電大漲帶動指數上揚，但整體基本面仍待關注。,2025-05-18 13:44:12,5
2022-11-16,0.3,市場情緒偏中性，股價波動可能溫和。主要原因是電子產業庫存去化狀況良好，但整體經濟環境仍存在不確定性。,2025-05-18 13:44:14,5
2022-11-17,0.3,台積電獲利與營收雙創新高，激勵市場情緒正面，但美系外資報告看好蘋果明年新機潛望式鏡頭受惠股，大立光目標價上看 2500 元，引發買盤湧入，奪回股王寶座，帶動光學族群同步勁揚。,2025-05-18 13:44:16,5
2022-11-18,0.2,市場對於防疫政策鬆綁與旅遊業復甦的樂觀情緒帶動觀光類股上揚，部分權值股如台積電維持平穩，但整體漲跌互見，預期短線仍有震盪機會。,2025-05-18 13:44:19,5
2022-11-19,0.3,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 13:44:21,5
2022-11-20,0.1,雖然半導體產業面臨庫存調整壓力，但指紋辨識應用逐步開花結果，觸控模組廠積極布局多元事業，有利於未來營運成長。,2025-05-18 13:44:23,5
2022-11-21,0.2,市場情緒偏中性，雖然部分個股如遊戲族群表現強勢，但整體盤面量縮震盪，缺乏明顯的利多或利空因素。,2025-05-18 13:44:25,5
