date,factor,explanation,updated_time,news_count
2022-11-01,0.2,聯發科積極跨入旗艦市場並推出新晶片，但鄭州廠疫情影響仍是隱憂。,2025-05-17 16:37:28,5
2022-11-02,0.2,台股與美股連動性高，加上外資基於全球資產重新配置及基金贖回的資金需求等考量，實現其在台股的龐大帳面利益及豐厚股利匯出，拖累台股今年以來持續隨美股震盪下跌。,2025-05-17 16:37:30,5
2022-11-03,0.2,聯發科小漲，顯示市場對其營運仍具信心，但整體大盤走弱，可能影響短期股價表現。,2025-05-17 16:37:33,5
2022-11-04,0.2,市場雖然受到美國升息與經濟衰退影響，但聯發科營收持續成長，且股價已率先反彈，顯示基本面良好，預期將帶動市場情緒正面。,2025-05-17 16:37:35,5
2022-11-05,0.2,"聯穎光電獲利成長，但第三季產能利用率下滑，顯示消費性電子需求放緩影響。光通訊族群財報亮眼，帶動市場情緒正面。

聯茂營收年減，預計第四季營收將較第三季略減，反映庫存調整延長。長園科新任總經理專精鋰鐵研發，有利公司發展儲能及鋰鐵電池商機。",2025-05-17 16:37:37,5
2022-11-06,0.2,雖然部分個股出現漲幅，但整體市場情緒仍偏向保守，主要原因是記憶體價格持續下跌，以及科技業庫存調節的壓力。,2025-05-17 16:37:39,5
2022-11-07,0.2,市場情緒偏中性，雖然部分利多消息如美國股市轉強、銅價上漲等，但聯電營收下滑、鴻海下修展望等利空因素抵銷部分正面影響。,2025-05-17 16:37:41,5
2022-11-08,-0.1,市場對聯發科新旗艦晶片的反應不如預期熱烈，短期內缺乏明顯利多刺激。,2025-05-17 16:37:43,5
2022-11-09,0.6,電子產業旺季不旺，但 ABF 載板三雄 10 月營收表現亮眼，外資看好未來一年供需持續吃緊，帶動欣興、南電、景碩等股價強漲。,2025-05-17 16:37:45,5
2022-11-10,0.1,營收表現疲弱，加上市場需求轉弱，引發對未來成長的擔憂，短期內可能缺乏利多刺激。,2025-05-17 16:37:46,5
2022-11-11,0.8,市場氣氛樂觀，多項利多消息帶動股市上漲，預期將持續震盪向上。,2025-05-17 16:37:48,5
