date,factor,explanation,updated_time,news_count
2022-11-01,0.1,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-05-18 15:09:59,5
2022-11-02,0.3,"電子零件與光電族群獲得資金點火，權值股如台積電翻紅帶動，加權指數尾盤拉高，收漲 62 點。整體市場情緒偏正面，但仍需觀察美國聯準會利率決策結果。

電子零件與光電族群獲得資金點火，權值股如台積電翻紅帶動，加權指數尾盤拉高，收漲 62 點。整體市場情緒偏正面，但仍需觀察美國聯準會利率決策結果。",2025-05-18 15:10:02,5
2022-11-03,0.2,台股昨日上漲，顯示市場情緒轉趨樂觀，但美國聯準會暗示考慮暫停升息仍言之過早，美股重挫，將為台股今日表現帶來不小壓力。,2025-05-18 15:10:05,5
2022-11-04,0.2,航運類股指數勁揚，帶動台股上漲並站回月線。,2025-05-18 15:10:06,5
2022-11-05,0.1,電子業庫存調整延長，加上需求低迷，市場情緒偏保守，但聯茂第三季車用電子和資料中心維持穩健，營收與獲利雙創高點。,2025-05-18 15:10:08,5
2022-11-06,0.3,聯茂 (6213-TW) 受惠於 AI、HPC 等應用帶動高速傳輸需求，營運成長可期，但市場關注通膨及升息對消費性電子產品的影響，短期股價波動難免。,2025-05-18 15:10:12,5
2022-11-07,0.1,利多消息包括美國股市轉強、升息幅度放緩等有利資金流動，但部分公司營收與獲利下滑，庫存去化速度不如預期。整體而言，市場情緒偏向中性，短期缺乏明顯利多刺激。,2025-05-18 15:10:14,5
2022-11-08,-0.1,市場情緒偏中性，雖然電視面板報價上漲，但整體經濟環境不佳，對聯茂的影響有限。,2025-05-18 15:10:16,5
2022-11-09,0.8,ABF 載板三雄營收表現亮眼，外資看好未來一年供需吃緊，股價強漲。,2025-05-18 15:10:18,5
2022-11-10,0.1,市場消息雜沓，營收獲利表現參差，整體影響有限。,2025-05-18 15:10:20,5
2022-11-11,0.8,美股大漲激勵下，台股全面上攻，電子族群領軍衝鋒，半導體雙雄強勢表現，帶動指數站上萬四關卡。,2025-05-18 15:10:23,5
2022-11-12,0.8,聯發科受惠於市場預期手機庫存將在第四季達最高峰，明年首季客戶將恢復拉貨，有助營收重返成長，以及執行長蔡力行的正面言論，帶動股價上漲。,2025-05-18 15:10:25,5
2022-11-13,0.2,市場對聯茂的關注集中在營收與獲利表現以及整體經濟情勢。雖然精英第三季毛利率和純益雙創高點，但目前科技業仍面臨庫存壓力，預計最快可望在第一季後紓緩。通膨數據逐步下降，聯準會政策可能放緩緊縮，為市場帶來正面情緒，但消費移轉不利台灣電子供應鏈，若客戶預估再往下修將導致庫存調整時間延長。,2025-05-18 15:10:29,5
2022-11-14,0.6,指數站回季線並突破下降趨勢線，電子、傳產等權值帶動盤中漲逾 200 點，成交金額維持在 2700 億元以上。,2025-05-18 15:10:31,5
2022-11-15,-0.2,雖然台積電 ADR 盤後大漲，但市場消化拜習會與聯準會官員釋出的鷹派訊號，美股四大指數全面收黑，台股 ADR 多收黑，顯示整體市場情緒偏向保守。,2025-05-18 15:10:34,5
2022-11-16,0.1,市場對於經濟展望與央行貨幣政策的關注，導致股市波動加劇。,2025-05-18 15:10:36,5
2022-11-17,0.3,利空與利多消息並陳，台股短期缺乏明確方向。,2025-05-18 15:10:38,5
2022-11-18,0.2,台股在反彈後出現震盪，雖然半導體族群支撐大盤指數，但電子、金融傳產權值股走弱，僅生技族群和中小型股撐場，整體市場情緒偏向保守。,2025-05-18 15:10:41,5
2022-11-19,0.6,受惠台積電股價上漲帶動，聯電市值躍居台股第九大，營收與獲利雙創高點，顯示公司營運狀況良好。,2025-05-18 15:10:43,5
2022-11-20,0.2,中國擴大晶片禁令影響部分廠商營運，但聯茂產品並未受到限制，市場情緒偏中性。,2025-05-18 15:10:45,5
2022-11-21,0.1,市場情緒偏中性，短期缺乏明顯利多或利空因素，盤勢整體呈現高檔震盪。,2025-05-18 15:10:47,5
2022-11-22,0.2,電子權值股熄火、外銷訂單低於預期，拖累市場情緒，但軍工概念股強勢表現提供支撐。,2025-05-18 15:10:50,5
2022-11-23,0.3,電子權值股表現平淡，生技族群與金融股領軍撐盤，顯示市場觀望氣氛濃厚，但仍有部分類股如航運業等維持強勢。,2025-05-18 15:10:52,5
2022-11-24,0.6,多頭掌控盤面，電子族群回溫，加權指數創新高，技術指標鈍化，量能穩定，有利大盤持續挑戰年線。,2025-05-18 15:10:55,5
2022-11-25,0.1,電子權值股與高價股走勢疲弱，航運與鋼鐵股漲幅收斂，整體市場情緒偏向保守。,2025-05-18 15:10:57,5
