date,factor,explanation,updated_time,news_count
2022-11-01,0.6,大盤指數回升至萬三之上，電子權值股普遍走揚，金融與傳產也有撐盤表現，整體市場情緒偏正面。,2025-07-21 13:39:53,1
2022-11-02,0.6,電子權值股普遍收紅，尤其是台積電強勢翻紅帶動大盤上漲，顯示市場情緒回溫，但部分傳產與金融類股仍偏弱勢，整體而言市場信心略有改善但尚未完全恢復。,2025-07-21 13:39:54,1
2022-11-03,0.3,市場情緒轉趨樂觀但 Fed 暗示考慮暫停升息仍言之過早，美股重挫將為台股帶來壓力。,2025-07-21 13:39:55,1
2022-11-04,0.6,電子權值股跌勢收斂與航運、金融撐盤帶動加權指數翻紅，顯示市場情緒有所回溫，但三大法人合計賣超仍影響整體信心。,2025-07-21 13:39:57,1
2022-11-07,0.9,美股強彈激勵台股續揚，電子權值領漲、金融傳產助陣，市場信心回溫推升指數突破短期均線。,2025-07-21 13:39:58,1
2022-11-08,0.9,美股反彈激勵加權指數大漲逾百點，半導體、航運族群領軍衝鋒，台積電強勢上漲 2%，帶動市場情緒轉趨樂觀。,2025-07-21 13:40:00,1
2022-11-09,0.9,基本面展望穩健且股價反彈，市場情緒樂觀並推升股價上漲。,2025-07-21 13:40:00,1
2022-11-10,0.6,美債殖利率走高與加密貨幣遭拋售引發市場波動，但台積電未受影響，短期均線翻揚並封閉跳空缺口，顯示止穩訊號明確。,2025-07-21 13:40:02,1
2022-11-11,0.9,"美股大漲激勵 ADR 同步飆漲，營收持續成長與通膨降溫訊息助攻市場信心，推升股價強彈。

====================",2025-07-21 13:40:03,1
2022-11-12,0.7,營收持續成長與新廠設廠計畫利多激勵市場信心，但部分擴產調整傳言仍引發短期波動。,2025-07-21 13:40:04,1
2022-11-14,0.6,展望未來多頭仍有表現空間，個股輪動行情可把握，但需留意短線技術指標超買賣的情況。雙11購物節專案活動結束，提醒留意相關個股的後續走勢。,2025-07-21 13:40:06,1
2022-11-15,0.9,巴菲特加持與技術面突破帶動強勁反彈，市場信心回升但仍需關注後續基本面發展。,2025-07-21 13:40:07,1
2022-11-16,0.9,ADR 大漲超過 10% 與夜盤走揚顯示市場情緒樂觀，惟需留意期貨結算與地緣政治風險。,2025-07-21 13:40:08,1
2022-11-17,0.3,美光釋出利空訊息衝擊半導體股表現，但台灣廠商受惠於最先進製程擴產，且產創條例修法通過將為護國神山等龍頭企業帶來助益，市場情緒呈現中性偏多。,2025-07-21 13:40:10,1
2022-11-18,0.3,台版晶片法案通過有利半導體產業，但市場觀望氣氛濃厚、外資調節及電子指數漲多恐引發獲利了結賣壓，短期內難以擺脫震盪整理走勢。,2025-07-21 13:40:11,1
2022-11-19,0.7,產創條例修法利多與先進製程投資策略有助提升市場信心，但短期營收表現疲弱壓抑股價漲幅。,2025-07-21 13:40:12,1
2022-11-20,0.9,巴菲特大舉買入台積電 ADR 引發市場熱議，多檔 ETF 持股比重超過 35%，顯示其受青睞程度，激勵正面投資情緒。,2025-07-21 13:40:14,1
2022-11-21,0.3,台積電股價下跌與量能萎縮引發市場信心動搖，短期內整體盤勢呈現震盪走低態勢。,2025-07-21 13:40:15,1
2022-11-22,0.6,市場情緒維持區間整理，雖然台積電帶動指數上漲但多頭家數降溫，外銷訂單衰退恐影響營收表現。,2025-07-21 13:40:16,1
2022-11-23,0.6,市場反彈與鴻海延攬台積電人才有助提振信心，但非蘋手機銷售疲弱及產業庫存壓力仍在，短期內對整體市場情緒帶來中性影響。,2025-07-21 13:40:18,1
2022-11-24,0.6,市場情緒維持正面，指數創高但個股族群仍有轉弱現象，類股輪動狀態與強勢族群將是關鍵。,2025-07-21 13:40:19,1
2022-11-25,0.6,台積電等電子權值股疲弱拖累大盤，但電動車概念股與半導體測試介面族群強勢上漲，整體市場情緒偏向正面但仍有震盪疑慮。,2025-07-21 13:40:20,1
2022-11-26,0.6,鴻海延攬前台積電共同營運長擔任半導體策略長，市場解讀為強化集團半導體實力，但郭台銘重申不會複製台積電模式，聚焦利基、下一代材料與新一代製程封裝，並著重汽車應用，引發市場對未來發展方向的疑慮。,2025-07-21 13:40:22,1
2022-11-27,0.9,外資回流、指數反彈與多頭格局延續，激勵市場情緒樂觀並推升股價上揚。,2025-07-21 13:40:23,1
2022-11-28,0.3,選後政治風險與漲多修正壓力疊加，市場情緒偏向謹慎，但整體維持中性看待。,2025-07-21 13:40:24,1
2022-11-29,0.3,台積電股價疲弱拖累大盤指數失守14500點關卡，市場情緒偏空，但類股表現分歧，顯示整體影響有限。,2025-07-21 13:40:26,1
2022-11-30,0.6,市場情緒偏正面，指數創反彈新高且量能放大，但台積電漲幅有限，顯示個股表現仍有待觀察。,2025-07-21 13:40:27,1
2022-12-01,0.9,美股大漲激勵台積電股價跳空開高突破 500 元關卡，市值重返 13 兆元，展望樂觀與重要人士到場參與典禮助長市場信心。,2025-07-21 13:40:28,1
2022-12-02,0.6,台積電董座對台灣供電問題表達擔憂引發關注，再生能源題材點火帶動相關概念股強勢上漲。,2025-07-21 13:40:30,1
2022-12-03,0.3,缺電議題帶動相關概念股表現，但公司基本面仍需進一步強化以支撐長期市場信心。,2025-07-21 13:40:31,1
2022-12-04,0.6,12 月通常漲多跌少且資金行情升溫，惟個股基本面將成為本周市場關注焦點，預期呈現個股表態格局。,2025-07-21 13:40:32,1
2022-12-05,0.6,台積電相關供應鏈漲勢啟動，帶動市場情緒偏正面，但整體大盤仍維持震盪走高格局。,2025-07-21 13:40:33,1
2022-12-06,0.6,雖然外資淨匯入創高且台積電站穩短均線之上，但美股重挫與經濟數據引發升息擔憂恐影響市場信心，預期大盤將承壓。,2025-07-21 13:40:35,1
2022-12-07,0.9,台積電加碼美國廠投資至 400 億美元，展現對美國市場的長期承諾與信心，同時也反映出全球半導體供應鏈重組的大趨勢，預計將為公司帶來新的成長動能。,2025-07-21 13:40:36,1
2022-12-08,0.3,權值股走勢疲弱拖累指數回測月線，市場觀望修正後的反彈行情。,2025-07-21 13:40:37,1
2022-12-09,0.9,營收創高且全年財測可望達陣，顯示公司基本面強勁，激勵市場情緒向上並推升股價。,2025-07-21 13:40:38,1
2022-12-11,0.3,台積電除息與聯準會利率決策將左右短期股價波動，除息行情能否延續有待觀察。,2025-07-21 13:40:40,1
2022-12-12,0.4,台積電遭遇沉重賣壓，股價大跌影響市場情緒，但整體而言仍維持中性看待。,2025-07-21 13:40:41,1
2022-12-13,0.3,市場情緒受到 CPI 數據公布前賣壓影響，台積電 跌幅有限且權重貢獻下跌點數，整體呈現中性偏空走勢。,2025-07-21 13:40:42,1
2022-12-14,0.9,"除息交易與填息預期帶動正面市場情緒，股價強勁反彈。

====================

以下是提供的新聞資訊 :
台積電 (2330-TW) 今 (14) 日召開法說會，總裁 C.C. Wei 表示，第 4 季美元營收將介於 119-121 億美元，季減 5.8-7.1%，毛利率介於 59-61%，營益率介於 49-51%，全年美元營收成長 30%。台積電預估，第 4 季美元營收將介於 119-121 億美元，季減 5.8-7.1%，毛利率介於 59-61%，營益率介於 49-51%，全年美元營收成長 30%。台積電表示，第 4 季在產能利用率方面將與第 3 季相當，客戶庫存調整預計延續到明年上半年，但車用、工控等非消費性產品需求依舊強勁，且 AI、HPC 等高效能運算需求也持續成長。台積電指出，目前看來 2023 年全球經濟成長將放緩，預期半導體產業將面臨溫和的下滑，但台積電仍將專注於技術領先地位，並透過製程、封裝技術創新以維持競爭優勢。台積電強調，公司已在 3 奈米製程取得良好進展，預計明年下半年量產，2 奈米製程也將於 2025 年如期推出。

台積電法說會後，外資圈普遍維持對台積電的正向投資建議，其中有 4 家調升目標價，最高為 720 元，最低為 550 元。",2025-07-21 13:40:48,1
2022-12-15,0.6,外資買超、股東人數增加與營收創高等正面因素抵銷聯準會鷹派言論的負面影響，市場對除息行情仍抱持樂觀期待。,2025-07-21 13:40:50,1
2022-12-16,0.3,升息壓力與外資放假影響台股動能，權值股如台積電表現疲弱，市場信心偏向保守。,2025-07-21 13:40:51,1
2022-12-17,0.9,高層主管大舉買進自家股票顯示對未來營運樂觀，激勵市場情緒與股價上漲。,2025-07-21 13:40:52,1
2022-12-18,0.6,市場情緒偏中性，短期內雖有個股輪動漲勢但整體走勢仍受外資賣超、美股財報等因素影響，年底前法人和大戶拚績效下個股表現仍具操作空間。,2025-07-21 13:40:53,1
2022-12-19,0.4,美股持續下跌與外資提前結帳壓力加劇，台積電面臨中性偏空的市場情緒。,2025-07-21 13:40:55,1
2022-12-20,0.6,市場情緒受到聯準會鷹派言論影響而轉趨保守，半導體與金融類股承壓，但鋼鐵與航運類股逆勢上揚，整體盤勢呈現區間震盪。,2025-07-21 13:40:56,1
2022-12-21,0.1,外資休假與資金流出壓力加上電子權值股疲弱，拖累台積電等大型股走勢，市場信心受挫，短期內股價面臨下探季線的風險。,2025-07-21 13:40:57,1
2022-12-22,0.9,"ADR 強彈帶動股價反彈、市值重返兆元，加上傳言擴廠計畫不變，市場對營運前景樂觀。

====================",2025-07-21 13:40:59,1
2022-12-23,0.3,美元走強與美股大跌引發市場擔憂，半導體族群承受較大賣壓，但特斯拉訂單利多提振台積電表現，電子權值股面臨雙重挑戰。,2025-07-21 13:41:00,1
2022-12-26,0.3,大盤走勢疲弱且技術指標偏空，加上外資休假與電子產業庫存去化壓力，短期內台股恐陷入整理，但國安基金信心喊話有助穩定市場。,2025-07-21 13:41:02,1
2022-12-27,0.6,電子權值股與觀光族群領漲帶動大盤上揚，但台積電尾盤漲幅收斂，航運股也出現賣壓，使得指數漲幅縮小。,2025-07-21 13:41:03,1
2022-12-28,0.3,權值股普遍走跌拖累大盤，台積電領跌失守季線支撐，但觀光類股強勁反彈提供資金避風港。,2025-07-21 13:41:04,1
2022-12-29,0.3,市場憂心中國疫情升溫衝擊全球經濟，加上外資放假導致資金動能疲軟，拖累台股走低，權王台積電領跌，多頭缺乏助燃火種，大盤面臨 14000 點關卡保衛戰。,2025-07-21 13:41:06,1
2022-12-30,0.3,雖然台積電展現技術領先優勢與產能擴張決心，但股價走弱、市值縮水及法說會前觀望氣氛仍壓抑市場信心，短期內難以激勵正面情緒。,2025-07-21 13:41:07,1
2023-01-01,0.3,CES 展與台股開紅盤帶來關注，但市場觀望氣氛濃厚，加上出口表現疲軟，短期內市場情緒偏向中性。,2025-07-21 13:41:09,1
2023-01-02,0.7,在手訂單維持高檔與大客戶擴產計畫支撐下，市場對公司未來營收成長前景樂觀，但半導體產業趨緩仍帶來一定不確定性。,2025-07-21 13:41:10,1
2023-01-03,0.6,權值股走勢分歧，台積電領軍反彈帶動大盤翻紅，但鴻海等其他指標股疲弱，市場情緒偏向中性。,2025-07-21 13:41:11,1
2023-01-04,0.3,外資買超傳產與金融股但賣超權值股，籌碼面土洋對作使市場觀望氣氛濃厚，台積電法說會將影響後市走勢。,2025-07-21 13:41:13,1
2023-01-05,0.6,法說會釋出保守展望與庫存調整壓力持續，加上總經環境不佳，短期內市場情緒偏向中性偏空。,2025-07-21 13:41:14,1
2023-01-06,0.6,電子族群資金回流與個股利空不跌激勵市場情緒，半導體、IC設計、面板及載板類股領漲。,2025-07-21 13:41:15,1
2023-01-08,0.3,營收、法說等重大事件接連登場，市場關注度提高，但展望保守與獲利衰退壓力仍在，短期內市場情緒偏向中性。,2025-07-21 13:41:16,1
2023-01-09,0.6,美股反彈激勵加上題材個股與中小型股表現強勁，預期大盤指數將重新站回月線之上，但電子股仍面臨庫存去化等利空因素影響。,2025-07-21 13:41:18,1
