date,factor,explanation,updated_time,news_count
2022-11-03,0.6,營運展望樂觀且產品線維持一定水準，新品推出有助 ASP 提高，但封控影響與產業景氣疑慮仍帶來部分不確定性。,2025-07-21 14:53:45,1
2022-11-14,0.6,電子權值股普遍走揚帶動大盤上漲，但部分個股如聯發科、技嘉等表現疲弱，顯示市場仍有不確定性，整體而言維持中高檔區間震盪。,2025-07-21 14:53:48,1
2022-11-16,0.9,需求回溫與新品推出帶動營運成長，加上庫存調整有成，激勵市場對板卡族群後市展望樂觀。,2025-07-21 14:53:49,1
2022-11-19,0.9,"營運逐步走出谷底、需求回溫與新品推出帶動下，市場對未來業績展望樂觀，激勵股價強彈創波段高點。

====================",2025-07-21 14:53:51,1
2022-12-07,0.3,英特爾執行長訪台並與多家台灣科技廠會面，為市場注入一劑強心針，但通膨壓力持續存在，加上大盤走勢疲弱，整體市場情緒偏向中性。,2025-07-21 14:53:54,1
2022-12-14,0.7,新品上市帶動 ASP 與營收回溫，市場對第四季與明年首季的業績表現樂觀，但整體需求仍處於低迷期。,2025-07-21 14:53:55,1
2022-12-15,0.7,電子股漲跌互見但傳產族群強勢支撐大盤，航運、鋼鐵等類股領軍上攻，技嘉等個股表現亮眼。,2025-07-21 14:53:57,1
2022-12-16,0.6,技嘉受大盤修正與電子股普遍疲軟影響，股價下跌，但在新品推出及市場需求穩健的背景下，中長期展望仍具一定支撐。,2025-07-21 14:53:58,1
2022-12-23,0.6,展望明年營運審慎樂觀且成長可期，旺年會激勵士氣並提振市場信心。,2025-07-21 14:54:00,1
2022-12-29,0.6,顯卡族群受惠新品推出與市場需求回溫，營運展望轉佳帶動正面市場情緒，但整體成長力道仍待觀察。,2025-07-21 14:54:01,1
2022-12-30,0.4,權值股普遍走弱拖累大盤，市場信心仍偏低，僅部分傳產與高價股表現較為抗跌。,2025-07-21 14:54:02,1
2023-01-03,0.6,子公司分拆獨立有利專業分工並提升營運績效，但市場對長期影響仍需時間評估，短期內股價波動難免。,2025-07-21 14:54:04,1
2023-01-04,0.5,權值股普遍疲弱拖累大盤，惟中小型題材股如電力、內需消費逆勢抗跌，整體市場情緒維持中性。,2025-07-21 14:54:05,1
2023-02-07,0.6,市場關注 FED 談話與權值股走勢疲軟壓抑盤勢，但電子、面板及傳產指標股有所表態，整體呈現量縮震盪格局。,2025-07-21 14:54:10,1
2023-02-09,0.4,筆電品牌廠營收衰退與華碩釋出保守展望引發市場擔憂，技嘉與微星面臨類似挑戰，短期內市場情緒偏向負面。,2025-07-21 14:54:11,1
2023-02-15,0.7,參展 MWC 展示新伺服器產品與應用，顯示公司積極搶攻新興市場商機，激勵正面市場情緒。,2025-07-21 14:54:13,1
2023-03-09,0.6,營收回升顯示需求逐步復甦，但仍處於庫存調整階段，市場對後續成長力道持審慎態度。,2025-07-21 14:54:16,1
2023-03-10,0.3,電子類股整體表現疲軟，但技嘉等個股逆勢上漲，顯示部分股票受市場情緒影響較小。,2025-07-21 14:54:18,1
2023-03-12,0.4,市場觀望氣氛濃厚，個股表現分歧，漲多股面臨獲利了結賣壓，整體市場情緒偏向中性。,2025-07-21 14:54:19,1
2023-05-18,0.7,技嘉受惠於台股大盤反彈與電子權值股強勢表現帶動，股價上漲逾半根，但整體市場情緒仍偏中性。,2025-07-21 14:54:27,1
2023-05-24,0.6,市場擔憂美債違約與電子權值股同步下挫，拖累技嘉等個股表現，整體市場情緒偏向保守。,2025-07-21 14:54:29,1
2023-05-25,0.6,法說釋出正面展望與營收成長預期，顯卡銷量回溫及新品推出將提振市場信心，但 ASP 持平與庫存打呆仍是隱憂。,2025-07-21 14:54:30,1
2023-05-26,0.7,板卡產業回溫與 AI 伺服器成長趨勢帶動市場信心，但仍需觀察下半年實際出貨表現。,2025-07-21 14:54:31,1
2023-06-02,0.7,電子權值股與 AI 概念股領軍上攻，加上重電族群強勢表態，多頭氣勢旺盛推升指數再創一年來新高。,2025-07-21 14:54:33,1
2023-06-04,0.3,股東會旺季與營收公布帶來業績焦點，但整體市場氛圍偏中性，個別公司表現仍視其基本面而定。,2025-07-21 14:54:34,1
2023-06-05,0.6,多數電子權值股維持強勢，尤其是技嘉等顯示卡概念股漲幅較大，激勵市場情緒向上，但整體漲幅有限且成交量不大，顯示買盤力道仍有疑慮。,2025-07-21 14:54:36,1
2023-06-09,0.7,市場需求復甦與新品挹注帶來正面展望，但產業保守態度仍影響短期股價表現。,2025-07-21 14:54:37,1
2023-06-11,0.9,強勁的資金行情與產業趨勢明確，激勵市場對相關個股展望樂觀，推升正面情緒與股價上漲動能。,2025-07-21 14:54:39,1
2023-06-13,0.6,AMD 概念股受市場聚焦與法人布局影響，整體市場情緒偏正面，但仍需留意後續營收表現。,2025-07-21 14:54:40,1
2023-06-16,0.9,AI 族群持續走強，相關個股波段操作空間大，第二批起漲股值得關注並及早佈局。,2025-07-21 14:54:41,1
2023-06-20,0.3,電子股普遍走弱，僅部分個股表現較佳，但整體市場情緒仍偏向保守，預期短期內台股將維持區間震盪。,2025-07-21 14:54:42,1
2023-06-21,0.6,AI 伺服器題材持續發酵帶動相關個股走強，但整體漲幅有限且權值股表現分歧，市場情緒偏向中性。,2025-07-21 14:54:44,1
2023-06-23,0.9,新品上市與換機潮帶動下，顯示板卡市場需求復甦，技嘉等台廠營運增溫可期。,2025-07-21 14:54:45,1
2023-06-26,0.3,台股下跌，權值股與AI概念股走弱，但遊戲、安控等族群表現強勁，市場情緒偏向中性。,2025-07-21 14:54:46,1
2023-06-28,0.6,政策利多與基本面支撐下，市場情緒偏正向，但漲多個股修正壓力仍在，整體維持區間震盪走勢。,2025-07-21 14:54:48,1
2023-07-25,0.6,第二季獲利衰退但市場對下半年旺季樂觀，整體展望正面但短期股價漲多後可能出現獲利了結賣壓。,2025-07-21 14:54:51,1
2023-07-31,0.3,AI 概念股普遍重挫，尤其是技嘉與華星光跌停，拖累大盤走勢，但聯發科逆勢抗跌，電子權值股表現不一，軍工概念股與網通族群則相對強勁，整體市場情緒偏向中性。,2025-07-21 14:54:53,1
2023-08-01,0.4,市場情緒偏向保守，AI 概念股雖有反彈但整體漲勢有限，面板與電能族群則維持強勁表現。,2025-07-21 14:54:54,1
2023-12-04,0.7,AI 伺服器需求強勁帶動營收成長，缺料問題可望於明年改善，市場對未來展望樂觀。,2025-07-21 14:55:04,1
2023-12-06,0.6,比特幣價格創高激勵相關概念股漲勢，但整體市場展望仍不明朗，短期內獲利了結賣壓恐使行情回落。,2025-07-21 14:55:06,1
2023-12-07,0.6,新品發表與伺服器產品線拓展顯示公司積極佈局 AI 商機，市場對未來成長前景持正向期待。,2025-07-21 14:55:07,1
2023-12-10,0.6,外資買超動能趨緩且個股分歧，市場情緒略顯疲弱，但整體結構仍偏多，靜待 FOMC 會議結果後再做判斷。,2025-07-21 14:55:09,1
2023-12-12,0.6,權值股與半導體族群領漲，電子股表現強勁，加上傳產零星點火支撐大盤，整體市場情緒偏正面。,2025-07-21 14:55:10,1
2023-12-25,0.6,貨櫃三雄爆量重挫拖累大盤走勢，但電子權值股與 AI PC 概念股表現強勁，整體市場情緒偏向中性。,2025-07-21 14:55:13,1
2023-12-29,0.9,AI 概念股領漲激勵市場信心，權值股與高價股同步走強，封關日收盤再創新高，展望明年挑戰歷史紀錄。,2025-07-21 14:55:14,1
2023-12-31,0.6,AI 應用商機與科技大廠新品發表將帶動相關族群成長，惟市場情緒仍受整體經濟前景影響而維持中性。,2025-07-21 14:55:16,1
2024-01-03,0.2,半導體類股全面下殺拖累市場，技嘉受AI概念股走弱影響，短期面臨較大賣壓。,2025-07-21 14:55:17,1
2024-01-06,0.3,板卡與品牌廠股價同步下跌，市場情緒偏向保守，但伺服器事業成長動能強勁有望支撐整體營運表現。,2025-07-21 14:55:19,1
2024-01-07,0.3,AI 伺服器概念股回檔至低位階，提供補漲契機，但整體展望仍有不確定性，市場情緒維持中性偏空。,2025-07-21 14:55:20,1
2024-01-09,0.3,AI 概念股表現強勁，緩解市場對電子產業需求放緩的擔憂，但貨櫃三雄重挫拖累大盤走勢，整體市場情緒維持中性偏空。,2025-07-21 14:55:22,1
2024-01-11,0.7,AI 概念股強勁表現帶動科技類股上漲，廣達、技嘉等個股大幅走揚，激勵市場情緒但整體漲幅有限。,2025-07-21 14:55:23,1
2024-01-19,0.9,AI 概念股強勢上漲，帶動相關個股如技嘉 等權值股同步走高，激勵市場情緒與股價表現。,2025-07-21 14:55:25,1
2024-01-22,0.9,AI 概念股全面噴出，技嘉、奇鋐等個股攻上漲停，顯示市場對相關產業前景樂觀，推升台股延續多頭氣勢。,2025-07-21 14:55:27,1
2024-01-23,0.3,市場情緒維持中性，個別族群表現分歧，AI 概念股漲多休息，面板與綠能概念股相對強勢，但科技股整體走弱。,2025-07-21 14:55:28,1
2024-01-24,0.6,電子權值股表現分歧，AI 概念股與中小型股強勢，但整體成交量低於預期，顯示追價意願不足，市場觀望氣氛濃厚。,2025-07-21 14:55:29,1
2024-01-26,0.3,AI 類股走弱拖累市場信心，但金融與觀光類股撐盤，整體盤勢維持狹幅震盪。,2025-07-21 14:55:31,1
2024-01-29,0.9,AI、AI PC 概念股強勢表現與台積電股價上漲帶動大盤指數站穩萬八，市場情緒樂觀且資金明顯轉向科技類股。,2025-07-21 14:55:32,1
2024-01-30,0.6,AI 概念股與散熱族群強勢表現帶動市場情緒，權值股普遍走弱使大盤震盪整理，但仍守住萬八關卡。,2025-07-21 14:55:34,1
2024-02-04,0.6,投信積極進場 AI 族群並加碼技嘉，顯示對該產業前景樂觀，激勵市場情緒但短期漲幅已大。,2025-07-21 14:55:35,1
2024-02-05,0.6,AI 概念股強勢上攻帶動電子權值股穩盤，但高價股與集團股賣壓湧現，市場情緒偏向正面但波動加劇。,2025-07-21 14:55:37,1
2024-02-06,0.9,AI 伺服器需求強勁、RTX 40 系列顯卡出貨暢旺，加上擴大海外市場佈局，營收成長動能延續至全年，激勵正面市場情緒。,2025-07-21 14:55:38,1
2024-02-15,0.9,AI 概念股強勢表現與半導體族群領漲帶動大盤創高，激勵市場情緒樂觀且對個股前景持正向期待。,2025-07-21 14:55:40,1
2024-02-16,0.6,AI 概念股漲跌互見，市場資金輪動快速，整體族群表現仍有不確定性。,2025-07-21 14:55:41,1
2024-02-18,0.6,輝達財報表現與外資動向攸關市場情緒，AI 概念股漲多拉回壓力加大，但中小型電子股仍有望延續輪動行情。,2025-07-21 14:55:43,1
2024-02-19,0.3,AI 概念股走弱與獲利了結賣壓使市場情緒轉向保守，但重電族群強勢表現提供支撐。,2025-07-21 14:55:44,1
2024-02-21,0.6,電子權值股疲軟與 AI 股觀望氣氛影響市場信心，但散裝航運與網通族群強勢支撐，整體市場情緒偏向中性。,2025-07-21 14:55:45,1
2024-02-22,0.9,輝達財報與展望超預期，AI 產業鏈受惠，台廠概念股全面走強，技嘉 受惠輝達商機及黃仁勳點名，市場情緒樂觀。,2025-07-21 14:55:47,1
2024-02-25,0.3,外資買超聯發科、台積電等大型權值股，同時調節 AI 類股；投信則逢高賣出廣達、智原等 AI 相關個股，並搶進中高價股。整體而言，市場情緒維持正面但略顯謹慎，預期指數將逐步墊高，但個股輪動加快且可能修正。,2025-07-21 14:55:49,1
2024-03-01,0.6,電子權值股表現分歧，高價股與 AI 股領軍上攻，但傳產與金融普遍走弱，市場情緒偏正面但仍有不確定性。,2025-07-21 14:55:51,1
2024-03-04,0.6,AI 應用前景廣闊且與醫療結合潛力大，但公司目前仍專注伺服器產業鏈，生醫領域進展有限。,2025-07-21 14:55:52,1
2024-03-05,0.9,AI 概念股強勢表現與權值股領漲帶動大盤再創新高，市場情緒樂觀且對台股後市展望正向。,2025-07-21 14:55:53,1
2024-03-11,0.7,比特幣價格創新高帶動相關概念股走強，技嘉等板卡廠受惠需求增溫與基本面支撐，市場情緒正面。,2025-07-21 14:55:55,1
2024-03-19,0.6,輝達新品發表與 AI 供應鏈概念股強勢表現帶動市場情緒，但權值股走勢分歧且成交量能不足，整體漲勢仍有待擴大。,2025-07-21 14:55:57,1
2024-03-22,0.4,升息半碼引發市場擔憂經濟前景與獲利下修壓力，拖累台股高檔震盪，個股表現分歧。,2025-07-21 14:55:58,1
2024-03-24,0.3,投信買超大型股但賣超技嘉，外資同步減碼技嘉，市場對該公司後市持中性看法。,2025-07-21 14:56:00,1
2024-03-29,0.6,AI 概念股輪動帶動科技股上漲，但部分個股仍面臨獲利下滑與庫存調整壓力，市場情緒偏向正面但不確定性仍在。,2025-07-21 14:56:02,1
2024-04-08,0.6,權值股普遍走跌，AI 概念股與重電、線纜族群強勢上漲，多空力道拉鋸使市場情緒偏向正面。,2025-07-21 14:56:04,1
