date,factor,explanation,updated_time,news_count
2022-11-04,0.6,電子權值股跌勢收斂與航運、金融撐盤帶動加權指數翻紅，顯示市場情緒略有回溫但仍偏弱。,2025-07-21 14:15:10,1
2022-11-09,0.6,儘管稼動率略降但全年營收持平展望樂觀，車用與網通需求強勁有助支撐市場信心。,2025-07-21 14:15:12,1
2022-11-11,0.9,美股大漲帶動台股開盤強彈，權值股領軍衝鋒，市場情緒樂觀，多頭氣勢旺盛。,2025-07-21 14:15:13,1
2022-11-15,0.5,引入新系統提升法遵效率與風險控管，展現公司對永續發展與治理的重視，有助於穩定市場信心。,2025-07-21 14:15:15,1
2022-11-17,0.9,產業創新條例修正草案有利於維護台灣半導體生態系統的前瞻研發能量及長期競爭優勢，獲得業界高度支持與正面期待。,2025-07-21 14:15:16,1
2022-11-24,0.6,美債殖利率下滑與科技股反彈激勵市場情緒，外資回補力道強勁有助支撐台股表現。,2025-07-21 14:15:18,1
2022-11-25,0.3,市場漲跌互見，權值股與高價股走勢分歧，整體而言呈現震盪整理格局，短期內缺乏明確方向。,2025-07-21 14:15:19,1
2022-12-01,0.7,市場情緒受美國聯準會鴿派言論激勵而轉為正面，但個股表現分歧，日月光等權值股走強但台積電、聯發科漲幅有限，整體大盤維持高檔震盪。,2025-07-21 14:15:21,1
2022-12-04,0.6,12月通常漲多跌少且資金行情升溫，外資買超前十大個股表現強勁，但聯準會利率會議將召開可能引發觀望態度。,2025-07-21 14:15:23,1
2022-12-06,0.6,獲獎肯定公司在環保及節能減廢上的努力，但產業前景仍有不確定性，短期市場情緒溫和偏正面。,2025-07-21 14:15:24,1
2022-12-07,0.3,市場信心受美股拖累而轉弱，權值股普遍走跌，但零星個股仍有表現空間，整體呈現觀望態度。,2025-07-21 14:15:25,1
2022-12-08,0.3,權值股疲弱拖累加權指數跌破月線，市場觀望氣氛濃厚，但中小型股如再生能源與觀光類股表現強勁。,2025-07-21 14:15:27,1
2022-12-09,0.6,雖然11月營收年減，但封測業務維持正成長且預期明年全年營收持平，加上馬來西亞新廠投資計畫，市場對公司基本面與市占率展望樂觀。,2025-07-21 14:15:28,1
2022-12-12,0.2,電子與金融權值股領跌拖累大盤，月線失守，市場情緒轉為負面。,2025-07-21 14:15:29,1
2022-12-21,0.6,市場情緒在連四黑後出現反彈跡象，但個股表現分歧，日月光等權值股上漲帶動指數小幅反彈。,2025-07-21 14:15:31,1
2022-12-29,0.3,美股與台股同步走弱，市場情緒偏空，但政策面利多及國安基金護盤可望為下檔提供支撐力道。,2025-07-21 14:15:33,1
2023-01-03,0.7,半導體雙雄領軍上攻，金融族群撐盤，加上 CES 展題材點火板卡族群與儲能概念股，激勵大盤開低走高收漲逾 0.6%，重返 5 日線。,2025-07-21 14:15:35,1
2023-01-04,0.5,大型權值股普遍疲弱拖累指數，惟中小型電力及內需消費題材股逆勢抗跌，整體市場情緒維持中性。,2025-07-21 14:15:37,1
2023-01-10,0.6,營收創新高與外資樂觀展望帶動正面市場情緒，但封測稼動率下滑與第一季成長趨緩仍引發部分疑慮。,2025-07-21 14:15:38,1
2023-01-12,0.6,法說前股價強彈與市場觀望氣氛濃厚，預期台積電法說後股價恐面臨拉回壓力，影響大盤走勢。,2025-07-21 14:15:40,1
2023-01-13,0.6,美科技股財報與通膨數據利多激勵美股漲勢延續，加上台積電法說釋出正面展望，提振市場信心，但農曆春節長假與後市不確定性仍是隱憂。,2025-07-21 14:15:41,1
2023-01-18,0.6,日月光營收與獲利成長動能強勁，展望樂觀且產業前景穩健，但股價尚未完全反映基本面優勢。,2025-07-21 14:15:43,1
2023-01-31,0.3,大盤漲多調節與權值股走弱壓抑市場信心，但個別題材股仍有表現空間，整體而言市場情緒偏中性。,2025-07-21 14:15:45,1
2023-02-01,0.9,台積電領軍大盤上攻，加權指數站回年線，多頭信心增強，高價股與 IC 設計族群表現亮眼，市場情緒正面。,2025-07-21 14:15:47,1
2023-02-02,0.9,利率會議釋出通膨放緩與升息接近尾聲的訊號，激勵台股大漲並創 7 個月來新高，日月光等權值股強勢表現。,2025-07-21 14:15:48,1
2023-02-03,0.6,日月光在台積電止穩帶動下獲得買盤青睞，股價勁揚近 3%，表現優於大盤，但整體市場仍受科技股漲多回檔影響而呈現震盪走跌。,2025-07-21 14:15:50,1
2023-02-07,0.6,日月光投控在權值股普遍走弱下仍守住平盤之上，顯示其基本面穩健且獲得市場青睞，短期內維持正面市場情緒。,2025-07-21 14:15:51,1
2023-02-08,0.6,市場消化鷹鴿訊號後反應樂觀，美股與台股 ADR 上漲帶動期貨夜盤走揚，但短線高檔震盪仍需時間化解。,2025-07-21 14:15:53,1
2023-02-09,0.6,法說釋出首季為全年谷底、下半年需求復甦展望，短期內營收與獲利雖仍承壓但市場對後續成長前景樂觀。,2025-07-21 14:15:54,1
2023-02-10,0.9,土耳其強震引發社會各界慷慨捐助，日月光文教基金會響應並加碼捐贈，展現企業善盡社會責任的正面形象。,2025-07-21 14:15:55,1
2023-02-12,0.3,NOR Flash 市況展望與產業復甦進度受矚目，旺宏、華邦電法說會釋出訊息引發市場關注。,2025-07-21 14:15:56,1
2023-02-13,0.1,市場信心受新台幣貶值與晶圓雙雄下跌影響，權值股普遍走弱，加上高價股疲軟，大盤指數大幅修正，呈現明顯負面情緒。,2025-07-21 14:15:58,1
2023-02-15,0.3,權值股普遍走弱，尤其是台積電大跌拖累電子類股，加上傳產與金融族群同步疲軟，整體市場情緒偏空，但部分個股如面板、儲能概念股及觀光類股逆勢抗跌，顯示仍有資金尋找避風港。,2025-07-21 14:16:00,1
2023-02-19,0.3,外資買賣超金額差異大，市場對聯準會升息疑慮再起，加上法說行情與228連假因素影響，整體市場情緒偏向中性。,2025-07-21 14:16:01,1
2023-02-22,0.3,美股重挫與台積電 ADR 跌勢拖累台股夜盤，市場情緒偏空，但日月光 ADR 影響相對有限。,2025-07-21 14:16:03,1
2023-02-23,0.9,半導體股領漲帶動大盤強勁反彈，電子與傳產指標齊揚，市場情緒回溫，多頭氣勢再起。,2025-07-21 14:16:04,1
2023-02-24,0.6,解除禁空令等措施與美股反彈激勵大盤跳空開高，但漲多個股獲利了結賣壓出籠，市場觀望氣氛濃厚。,2025-07-21 14:16:05,1
2023-03-02,0.6,權值股表現分歧，電子與傳產族群各自領漲，市場情緒偏正面但整體量能不足。,2025-07-21 14:16:07,1
2023-03-05,0.6,內資買超力道強勁、外資賣壓趨緩，加上財報與法說行情助陣，市場信心回溫但漲勢仍將以個股表現為主。,2025-07-21 14:16:09,1
2023-03-08,0.6,市場情緒受到美股與電子三雄走勢疲軟影響，但傳產指標股、AI概念股與車用電子族群支撐大盤跌幅收斂，整體呈現震盪偏空但不致過度悲觀的中性格局。,2025-07-21 14:16:11,1
2023-03-09,0.3,營收表現低於預期且封測稼動率持續下降反映產業庫存調整壓力，但公司看好需求復甦與價格韌性將支撐獲利，市場情緒維持溫和偏空。,2025-07-21 14:16:12,1
2023-03-10,0.3,市場觀望美國非農就業報告與通膨數據，避險情緒濃厚導致美股重挫拖累台股夜盤，但現金殖利率及投信作帳題材仍支撐短線反彈行情。,2025-07-21 14:16:14,1
2023-03-14,0.3,矽谷銀行危機引發市場擔憂，金融業壓力加劇，但政府介入穩定信心，加上太陽能與生技族群撐盤，整體市場情緒偏向中性。,2025-07-21 14:16:15,1
2023-03-17,0.3,地緣政治議題引發供應鏈成本增加疑慮，半導體業者面臨分散風險、人才短缺等挑戰，市場對產業前景存憂。,2025-07-21 14:16:17,1
2023-03-19,0.7,高通調整供應鏈策略有利台灣封測廠商，帶來轉單效益並提升市場信心。,2025-07-21 14:16:18,1
2023-03-21,0.9,瑞信危機暫解與美股反彈帶動台股大漲，權值股普遍走強，加上電動車、觀光等題材持續發酵，激勵市場情緒樂觀。,2025-07-21 14:16:20,1
2023-03-22,0.9,權值股領軍衝鋒，加上高價股、輝達概念股強勢表現，激勵市場情緒樂觀，推升大盤突破月線並挑戰前波高點。,2025-07-21 14:16:21,1
2023-03-23,0.9,熱錢湧入台股，指數大漲創 9 個月新高，多檔個股強勁表現，顯示市場情緒樂觀且對後市信心回升。,2025-07-21 14:16:22,1
2023-03-27,0.6,權值股普遍回檔修正，加上市場觀望金融機構危機，拖累大盤走勢，但櫃買指數續創新高，太陽能族群表現強勁。,2025-07-21 14:16:24,1
2023-03-29,0.6,權值股普遍走揚帶動指數反彈，但高價股疲弱與部分個股下跌壓力使市場情緒維持溫和偏多。,2025-07-21 14:16:25,1
2023-03-30,0.6,獲利表現符合預期且對後市展望樂觀，激勵市場情緒但短期股價仍受整體產業庫存調整影響。,2025-07-21 14:16:26,1
2023-04-11,0.6,營收表現符合預期且第二季展望樂觀，短期內有助穩定市場信心並提振股價。,2025-07-21 14:16:28,1
2023-04-13,0.3,權值股疲軟拖累大盤，電子族群走勢分歧，傳產與軍工概念股撐盤，但整體市場情緒仍偏向保守。,2025-07-21 14:16:30,1
2023-04-15,0.9,積極參與植樹活動展現對環境保護的重視，提升公司形象並激勵正面市場情緒。,2025-07-21 14:16:31,1
2023-04-16,0.6,市場情緒偏正面，多方資金湧入中小型個股，題材股表現強勁，但須留意櫃買指數漲幅已大。,2025-07-21 14:16:32,1
2023-04-19,0.3,營收預估下修與需求展望保守壓抑短期市場信心，但外資認為產能利用率回升可望支撐下半年表現。,2025-07-21 14:16:34,1
2023-04-21,0.6,法說會釋出營收預警與展望符合預期，市場對利空反應鈍化，股價利空出盡後有望止穩。,2025-07-21 14:16:35,1
2023-04-23,0.6,法說旺季將至，市場聚焦產業展望與營運前景，但整體經濟與終端需求疲弱壓力仍在，引發中性偏空情緒。,2025-07-21 14:16:37,1
2023-04-25,0.3,市場觀望本周科技股財報和經濟數據，美股漲跌互見，台指期夜盤小幅上漲，但台股 ADR 全數下跌，顯示外資態度謹慎，預計短線將呈現區間震盪。,2025-07-21 14:16:38,1
2023-04-26,0.6,傳產族群撐盤效應顯現，權值股壓力減輕，市場情緒偏向正面但仍有不確定性。,2025-07-21 14:16:40,1
2023-04-27,0.5,法說會釋出保守展望與下調全年財務目標，反映市場需求疲弱，但預期第三季有新品拉貨效應，營運可望回升至去年水準，維持中性偏多的市場情緒。,2025-07-21 14:16:41,1
2023-04-28,0.6,法說展望保守與市場需求復甦緩慢壓抑短期營運前景，惟新產品與車用電子商機仍為長線成長動能。,2025-07-21 14:16:42,1
2023-04-29,0.9,獲頒德州儀器卓越供應商獎表彰在品質、交期與成本控管等方面的優異表現，凸顯公司深化客戶合作關係並持續精進製造能力的決心，激勵正面市場情緒。,2025-07-21 14:16:44,1
2023-05-03,0.6,日月光等權值股逆勢抗跌，但大盤受台積電與航運股拖累，季線失守，市場情緒偏向保守。,2025-07-21 14:16:45,1
2023-05-09,0.3,營收表現符合預期但第二季需求疲軟與庫存調整延續至第三季壓抑市場信心，短期內維持中性偏空情緒。,2025-07-21 14:16:47,1
2023-05-10,0.1,市場信心受美股與大盤下跌影響，權值股普遍走低，加上個別產業展望不明朗引發賣壓，整體市場情緒偏向負面。,2025-07-21 14:16:48,1
2023-05-16,0.3,處分投資利益帶來短期業外收益，但交易細節與資金運用規劃仍待市場進一步評估，引發中性至略為正面但不明朗的市場情緒。,2025-07-21 14:16:50,1
2023-05-18,0.7,台積電領軍電子權值股走揚，加上傳產與觀光類股強勢表現，激勵市場情緒向上，但個別族群仍有波動，整體而言維持正面但不過度樂觀的氛圍。,2025-07-21 14:16:52,1
2023-05-22,0.6,市場情緒偏正面，主要受台股突破萬六大關與自營商大舉買超影響，但個別公司基本面表現仍是重要考量因素。,2025-07-21 14:16:53,1
2023-05-25,0.6,美債違約疑慮暫緩、輝達財報超預期激勵市場情緒，但台股短線仍面臨不確定性，整理格局延續。,2025-07-21 14:16:55,1
2023-05-28,0.6,AI 長線需求強勁與資金流入半導體族群提振市場信心，但短期漲多後恐面臨震盪整理壓力。,2025-07-21 14:16:56,1
2023-05-29,0.6,台積電休息與權值股走弱壓抑指數漲幅，但鴻海集團領軍與 AI 概念股強勢表現支撐市場信心，整體呈現溫和上揚態勢。,2025-07-21 14:16:58,1
