date,factor,explanation,updated_time,news_count
2022-11-07,0.9,美系大廠新品採用台積電先進製程帶動ASIC與IP族群股價強勢上漲，市場對相關公司前景樂觀看待。,2025-07-21 14:07:52,1
2022-11-17,0.6,台版晶片法案通過激勵半導體族群表現，但電子權值股走勢分歧且量能不足，市場情緒偏向中性。,2025-07-21 14:07:54,1
2022-11-22,0.9,FPGA 轉 ASIC 服務效益顯著，多元應用需求強勁，公司技術優勢與長期供貨承諾有利於穩健成長。,2025-07-21 14:07:56,1
2022-12-07,0.9,營收創新高與展望樂觀顯示公司基本面強勁，激勵市場情緒向上並推升股價。,2025-07-21 14:07:58,1
2023-01-11,0.6,市場觀望氣氛濃厚，加上部分個股漲多拉回，整體市場情緒偏向中性，但智原等相關焦點股仍維持正面走勢。,2025-07-21 14:08:03,1
2023-01-31,0.6,多點製造支援服務可降低經濟、意外與地緣政治風險，展現公司穩健的供應鏈管理能力。,2025-07-21 14:08:06,1
2023-02-03,0.6,智原受惠於 AI、HPC 等需求強勁，營收與展望樂觀，激勵市場情緒偏正面，但整體盤勢仍受到科技股財報不如預期影響。,2025-07-21 14:08:08,1
2023-02-07,0.6,營收創高與客戶需求穩健支撐成長展望，但美中科技戰變數引發市場擔憂，短期內可能壓抑股價表現。,2025-07-21 14:08:10,1
2023-02-16,0.6,電子族群強勢表現與利基型記憶體 IC、驅動 IC、設計 IP 等相關個股漲幅領先，顯示市場對這些產業前景持正面看法。,2025-07-21 14:08:12,1
2023-02-19,0.3,市場情緒受到聯準會鷹派態度轉強與升息疑慮影響而趨保守，但個股表現仍活躍，漲多股面臨回吐壓力。,2025-07-21 14:08:13,1
2023-02-21,0.6,NRE 與量產營收雙創新高顯示需求強勁，但產品組合改變與匯損影響獲利表現，市場對基本面仍持正向看法。,2025-07-21 14:08:15,1
2023-02-22,0.1,矽智財族群賣壓沉重，市場情緒偏空，加上大盤下挫影響，整體對 智原 股票市場情緒造成負面衝擊。,2025-07-21 14:08:16,1
2023-02-28,0.5,市場關注聯準會升息與經濟展望，整體氛圍偏向區間震盪，高現金殖利率題材有助支撐個股表現。,2025-07-21 14:08:18,1
2023-04-23,0.3,市場情緒偏空，指數大跌且三大法人同步賣超，第一季財報與法說會將持續影響投資信心。,2025-07-21 14:08:25,1
2023-04-24,0.3,多家企業財報與法說會將公布，市場情緒偏中性，個別公司展望與基本面表現將影響股價波動。,2025-07-21 14:08:26,1
2023-04-25,0.3,存貨跌價損失影響毛利率表現，但營收維持成長且存貨去化有望改善，整體市場情緒中性偏正。,2025-07-21 14:08:27,1
2023-04-26,0.3,庫存調整影響今年營收表現，但明年成長動能強勁，外資維持優於大盤評等並下修目標價。,2025-07-21 14:08:29,1
2023-04-29,0.3,財報與展望低於預期、庫存調整影響量產業務導致短期營收衰退，但長期成長趨勢不變，市場情緒偏向保守。,2025-07-21 14:08:30,1
2023-05-23,0.6,受惠於高股息殖利率優勢及產業供應鏈動態，引資活動提升公司曝光度並吸引長期基金挹注，激勵市場對相關個股的正面情緒。,2025-07-21 14:08:34,1
2023-06-14,0.6,智原等 15 檔個股除息影響指數約 31.65 點，短期內可能對大盤產生一定賣壓，但整體而言對市場情緒的衝擊有限。,2025-07-21 14:08:37,1
2023-06-17,0.7,長期成長趨勢不變且獲外資青睞，智原在庫存修正後展望樂觀，激勵市場情緒與股價上漲。,2025-07-21 14:08:39,1
2023-06-28,0.6,市場資金充沛且電子股有望開出實質營收，搭配本益比低檔，整體行情看俏，但個股表現仍需視基本面而定。,2025-07-21 14:08:41,1
2023-06-29,0.6,市場資金充沛且本益比低，搭配電子股營收成長題材，有利行情延續，但個股波動仍大。,2025-07-21 14:08:42,1
2023-07-25,0.3,營收與獲利雙減且衰退幅度擴大，加上三大產品線同步下滑使市場對未來展望保守，引發中性偏空情緒。,2025-07-21 14:08:45,1
2023-07-27,0.3,智原股價近期走勢疲弱，營收與獲利衰退加上財測低於預期引發市場信心動搖，但整體盤面資金轉向低基期族群，短線維持中性偏空看待。,2025-07-21 14:08:47,1
2023-07-28,0.3,三大法人同步買超台股，面板雙虎獲青睞，但個別股票操作差異化，智原遭投信賣超影響市場情緒。,2025-07-21 14:08:49,1
2023-12-03,0.9,外資買超力道增強、新台幣持續升值、聯準會停止升息預期與年底作帳行情等因素綜合影響下，市場對未來走勢展望樂觀。,2025-07-21 14:08:59,1
2023-12-12,0.6,營收表現優於預期且股價強勢，顯示市場對公司基本面與後市展望持正向看法。,2025-07-21 14:09:02,1
2023-12-18,0.7,智原受惠先進製程與成熟製程雙引擎發展，營運展望樂觀且獲利穩健增長，激勵市場情緒偏正面。,2025-07-21 14:09:04,1
2023-12-19,0.6,智原股價上漲主要受惠於半導體產業前景穩健與公司轉型成果，市場對其基本面展望正向。,2025-07-21 14:09:05,1
2023-12-22,0.6,市場情緒偏正面，部分個股漲多休息，但產業前景穩健與操作建議有助維持整體樂觀態度。,2025-07-21 14:09:07,1
2024-01-03,0.5,市場情緒中性，個股輪動快速，權值股修正但防疫、遊戲等族群強勢表現，整體呈現多空交戰態勢。,2025-07-21 14:09:10,1
2024-01-04,0.6,與 Arm 建立策略合作夥伴關係凸顯公司技術實力，為未來成長帶來正面助益，但短期營運展望仍有不確定性。,2025-07-21 14:09:11,1
2024-01-05,0.7,電子權值股疲軟但部分中小型個股表現強勁，市場情緒呈現正負交錯的整理格局。,2025-07-21 14:09:12,1
2024-01-06,0.8,智原接獲中國自駕車業者訂單與加入 Arm Total Design 計畫等利多消息激勵市場情緒，股價強勢上漲。,2025-07-21 14:09:13,1
2024-01-08,0.3,市場觀望美國通膨數據與 AI PC 概念股表現，整體情緒偏向中性，個別類股漲跌互見。,2025-07-21 14:09:14,1
2024-01-11,0.7,AI 概念股與 IC 設計族群領漲，帶動大盤上漲並站回重要關卡，但個別權值股表現平淡。,2025-07-21 14:09:16,1
2024-01-15,0.7,透過收購台積電合作供應商強化雙方關係，併入高速傳輸介面 I/O 與 ESD IP 解決方案有利於擴大智原的產品線與市場競爭力。,2025-07-21 14:09:17,1
2024-01-16,0.6,智原併購 Aragio Solutions 有助強化與台積電合作關係，市場對此策略性投資持正面看法。,2025-07-21 14:09:19,1
2024-01-19,0.6,美股反彈激勵台積電 ADR 強漲，半導體、AI 與 IC 設計等電子強勢指標領軍大盤突破季線反壓，但仍需留意軋空賣壓與中高價 IC 設計解套賣壓。,2025-07-21 14:09:21,1
2024-01-22,0.6,智慧財產權管理制度獲得認證顯示公司重視創新，但獲利表現仍是投資人關注焦點。,2025-07-21 14:09:22,1
2024-01-25,0.6,AI 概念股持續強勢，ASIC 與 IP 族群也有所表現，但整體漲幅有限，市場情緒偏向正面但不過度樂觀。,2025-07-21 14:09:24,1
2024-01-30,0.6,率先採納 TNFD 架構展現企業社會責任，對於提升品牌形象有正面助益，但短期內對營運與獲利影響有限。,2025-07-21 14:09:25,1
2024-02-05,0.9,與 Arm 和英特爾合作開發新一代 SoC 平台，展現公司在先進製程技術上的領導地位，有助於加速客戶晶片設計並搶攻高成長市場，激勵市場對智原的正面情緒。,2025-07-21 14:09:27,1
2024-02-20,0.3,獲利表現不如預期且庫存去化緩慢，短期市場情緒偏向保守但對未來成長仍具信心。,2025-07-21 14:09:30,1
2024-02-21,0.4,市場情緒受 AI 概念股與高價股走弱影響，智原遭降評拖累股價表現。,2025-07-21 14:09:31,1
2024-02-25,0.3,外資買超聯發科、台積電等大型權值股，但同時調節 AI 族群，投信則逢高賣出廣達、智原等個股並搶進中高價股，市場情緒呈現溫和偏多但略有疑慮。,2025-07-21 14:09:33,1
2024-03-01,0.6,AI 概念股漲多後拉回整理，記憶體族群具低基期與成長爆發力潛力，市場情緒中性偏正面。,2025-07-21 14:09:35,1
2024-03-04,0.9,半導體類股全面走強，智原受惠市場情緒樂觀與買盤湧入，股價上漲表現亮眼。,2025-07-21 14:09:37,1
2024-03-22,0.9,母公司大舉投資顯示對子公司未來發展與策略轉型的信心，市場預期將有利於營運成長與技術佈局。,2025-07-21 14:09:40,1
