date,factor,explanation,updated_time,news_count
2022-11-04,0.6,財報亮眼且維持中長期正向展望，但第四季及明年首季營運保守看待引發短期市場疑慮。,2025-07-21 13:32:13,1
2022-11-08,0.3,營收表現符合預期但筆電出貨下滑壓抑市場信心，顯示器與伺服器需求則維持正面展望。,2025-07-21 13:32:15,1
2022-11-22,0.3,戴爾財報與展望低於預期，加上對第四季營運保守看待，引發市場對台廠代工廠出貨表現的擔憂，短期內將壓抑股價表現。,2025-07-21 13:32:17,1
2022-11-30,0.6,塔塔集團收購緯創印度廠傳聞再起，若成真將強化其製造能力並提升市場信心，但合作模式仍未明朗且可能影響蘋果供應鏈布局。,2025-07-21 13:32:19,1
2022-12-16,0.6,市場情緒受到全球股市修正影響而轉為偏空，但貨櫃三雄與部分電子權值股表現相對抗跌，生技類股持續強勢，整體市場呈現區間震盪。,2025-07-21 13:32:23,1
2022-12-18,0.6,市場情緒偏中性，個股輪動快速且有拉高出貨疑慮，但整體維持區間震盪格局。,2025-07-21 13:32:24,1
2022-12-22,0.5,高層人事異動引發組織調整與未來發展疑慮，市場情緒中性偏空。,2025-07-21 13:32:25,1
2023-01-04,0.5,權值股普遍疲弱拖累大盤，惟中小型題材股如電力、內需消費逆勢抗跌，整體市場情緒維持中性。,2025-07-21 13:32:28,1
2023-01-09,0.6,營收與獲利表現亮眼但展望保守，市場對於後續成長力道存疑引發中性情緒。,2025-07-21 13:32:29,1
2023-01-11,0.6,三大法人同步偏多操作，外資連五買並加碼二線晶圓廠與面板股，顯示市場對產業展望樂觀。,2025-07-21 13:32:31,1
2023-01-14,0.6,營收創新高與股價走揚反映基本面穩健，但第一季展望保守且衰退壓力仍在，市場對未來成長前景存疑慮。,2025-07-21 13:32:32,1
2023-01-15,0.6,法說會與尾牙將成為市場焦點，營運展望與資本支出等議題引發投資人高度關注，預期整體氛圍偏正面但仍需留意成長動能。,2025-07-21 13:32:33,1
2023-01-17,0.6,財報亮眼且獲利改寫新猷，營運表現優於預期，但首季展望保守與工作天數減少影響短期市場信心。,2025-07-21 13:32:35,1
2023-02-03,0.6,市場情緒維持正面，多方掌控大盤並支撐指數上漲，但個股表現分歧。,2025-07-21 13:32:38,1
2023-02-04,0.9,雲端伺服器需求強勁、獲利創高且股價走揚顯示市場對公司基本面與成長前景樂觀，激勵正面投資情緒。,2025-07-21 13:32:39,1
