date,factor,explanation,updated_time,news_count
2022-11-01,0.9,獲利與營收雙創新高顯示公司基本面強勁，需求前景樂觀且擴廠計畫進一步鞏固市場信心。,2025-07-21 14:59:17,1
2022-11-02,0.9,營收與獲利雙創新高顯示公司基本面強勁，激勵市場情緒走揚並推升股價上漲。,2025-07-21 14:59:18,1
2022-11-03,0.3,市場情緒受到聯準會鷹派立場影響而轉弱，權值股普遍走跌，但中小型題材股如緯穎、威盛等逆勢強勁，顯示部分投資人仍對個別公司基本面存有期待。,2025-07-21 14:59:20,1
2022-11-05,0.9,營收與獲利雙創高且對未來需求展望樂觀，加上產能擴張計畫支撐長期成長動能，激勵市場情緒走揚。,2025-07-21 14:59:21,1
2022-11-08,0.6,營收表現符合預期但筆電出貨下滑壓抑市場信心，雲端伺服器需求強勁支撐整體展望。,2025-07-21 14:59:23,1
2022-11-09,0.7,新台幣強勢升值與電子權值股領軍反彈激勵市場情緒，緯穎等高價股跟進上攻，整體盤面呈現多頭排列。,2025-07-21 14:59:24,1
2022-11-16,0.6,電子股領漲帶動市場情緒上升，但傳產與航運續弱使整體漲幅受限，預期短期內將維持區間震盪走勢。,2025-07-21 14:59:26,1
2022-11-25,0.3,市場情緒受到高價股與強勢族群回檔影響而轉為謹慎，雖然權值股維持平穩，但整體漲跌家數失衡，加上成交量未能有效放大，短期內多空拉鋸態勢恐將延續。,2025-07-21 14:59:28,1
2022-12-06,0.3,電子權值股普遍走弱，加上高價股疲軟拖累大盤，市場情緒偏空，預期台股今日呈現狹幅震盪整理。,2025-07-21 14:59:31,1
2022-12-12,0.3,市場觀望氣氛濃厚，加上權值股疲軟拖累，台股跌破月線支撐，電子與金融類股賣壓沉重，但部分傳產族群如生技醫療逆勢抗跌。,2025-07-21 14:59:33,1
2022-12-13,0.3,市場觀望 CPI 數據公布及獲利了結賣壓影響，權值股與高價股走弱拖累大盤回測半年線支撐，生技醫療股則因流感旺季需求增溫而強勢表現。,2025-07-21 14:59:34,1
2022-12-21,0.6,市場情緒回溫，指數反彈百點，但個股表現分歧，權值股與高價股走勢不一，顯示投資人觀望態度仍濃。,2025-07-21 14:59:36,1
2022-12-28,0.9,與銀行簽署永續連結貸款顯示公司對 ESG 的重視與承諾，有利於提升企業形象並吸引長期投資者，激勵市場情緒走揚。,2025-07-21 14:59:38,1
2022-12-30,0.6,電子權值股與高價股強勢表現帶動大盤反彈，但個別族群漲跌互見，市場情緒偏向正面但仍需觀察成交量能否放大。,2025-07-21 14:59:40,1
2023-01-05,0.3,Meta 下修資料中心訂單需求影響相關供應鏈動能，市場對緯穎未來營運前景存疑，引發中性情緒與股價波動。,2025-07-21 14:59:41,1
2023-01-09,0.5,營收與獲利持續成長但展望保守，反映市場對經濟環境變數的擔憂。,2025-07-21 14:59:43,1
2023-01-10,0.6,營收與獲利創高但匯損影響獲利表現，市場對基本面展望維持正向，但短期波動因素仍在。,2025-07-21 14:59:44,1
2023-01-11,0.3,電子股普遍走低拖累大盤，僅少數個股抗跌，市場情緒偏空但影響有限。,2025-07-21 14:59:45,1
2023-01-12,0.6,市場觀望台積電法說與封關效應，個股表現分歧，緯穎等高價股強勢，但權值股普遍疲軟，整體市場情緒偏中性。,2025-07-21 14:59:46,1
2023-01-16,0.6,電子與金融股領漲帶動大盤上揚，多數權值股走強，但個別族群表現分歧，市場情緒偏正面但仍有不確定性。,2025-07-21 14:59:48,1
2023-01-31,0.3,大盤漲多調節與台積電走勢疲弱拖累緯穎等權值股，但整體市場仍維持正面氛圍，預期在 FOMC 會議結果出爐前將呈現區間震盪。,2025-07-21 14:59:51,1
2023-02-01,0.6,市場情緒受台股強勁反彈與權值股領漲帶動，緯穎表現強勢。,2025-07-21 14:59:52,1
2023-02-02,0.9,市場情緒受聯準會放緩升息步伐與通膨降溫訊號激勵，多檔權值股與高價股強勢上漲，顯示投資人信心回穩。,2025-07-21 14:59:53,1
2023-02-04,0.9,雲端市場成長動能強勁、獲利創高且股價上漲等正面訊息，顯示公司基本面表現亮眼，激勵市場情緒與股價持續看漲。,2025-07-21 14:59:55,1
2023-02-07,0.6,市場關注 FED 主席談話與權值股走勢疲軟壓抑盤勢，但電子指標股及部分傳產個股仍有表態，整體市場情緒偏中性。,2025-07-21 14:59:56,1
2023-02-13,0.3,市場憂心晶圓代工產業展望與股神持股變化，加上電子權值股走弱拖累，緯穎等高價股同步下跌，但低軌衛星、生技族群等題材股逆勢抗跌，整體市場情緒偏向保守。,2025-07-21 14:59:59,1
2023-02-15,0.7,"展出新伺服器與參展行情帶動市場信心，惟獲利表現仍待觀察。

====================",2025-07-21 15:00:00,1
2023-02-19,0.3,外銷訂單連五黑與經濟展望保守壓抑市場信心，加上部分個股法說會釋出保守訊息，整體而言對股市情緒造成負面影響。,2025-07-21 15:00:02,1
2023-02-22,0.9,獲利創高與配發豐厚股利顯示公司財務狀況良好，激勵市場情緒向上並推升股價。,2025-07-21 15:00:03,1
2023-02-23,0.9,股利政策優於預期與獲利創高激勵市場信心，公司展望雖謹慎但長期成長前景仍穩健，正面情緒強烈。,2025-07-21 15:00:04,1
2023-02-24,0.3,市場情緒受 MSCI 季度調整影響而轉為中性，權值股走勢疲弱拖累大盤，但高價股與部分族群仍維持正面表現。,2025-07-21 15:00:06,1
2023-02-25,0.9,營收、獲利創高與擴產投資持續增長顯示公司基本面強勁，激勵市場情緒樂觀並推升股價挑戰新高。,2025-07-21 15:00:07,1
2023-03-02,0.4,市場情緒受到電子權值股與高價股普遍走跌影響，緯穎面臨賣壓，但航運、中小型股撐盤下緩步墊高，整體而言對隔日股價波動的影響中性。,2025-07-21 15:00:09,1
2023-03-06,0.6,權值股領漲與多頭信心回溫激勵大盤突破近期整理區間，個股表現良好，但仍需留意後續市場變化。,2025-07-21 15:00:10,1
2023-03-21,0.9,營運展望樂觀、資本支出大增與產能擴張計畫顯示公司對未來成長前景的信心，激勵市場情緒走揚。,2025-07-21 15:00:13,1
2023-03-22,0.9,權值股領軍衝鋒，加上高價股、輝達概念股強勢表現，激勵大盤突破月線並挑戰前高，市場情緒樂觀。,2025-07-21 15:00:15,1
2023-03-24,0.9,AI 商機持續成長，緯穎產能擴張與伺服器產品結合 AI 應用的趨勢帶動營運前景樂觀，激勵市場情緒走揚。,2025-07-21 15:00:16,1
2023-03-25,0.9,AI 伺服器需求前景樂觀、ChatGPT 帶動商機、車用電子成長潛力大，加上高殖利率題材，激勵市場情緒與股價走揚。,2025-07-21 15:00:17,1
2023-03-30,0.9,強勁的台股指數與多檔個股齊揚，顯示市場情緒樂觀且對整體走勢持正面看法。,2025-07-21 15:00:19,1
2023-03-31,0.3,台股指數創高且成交量放大，顯示市場信心回溫，但個股表現分歧，權值股與記憶體族群強勢，部分高價股卻下跌，整體漲幅有限，市場情緒偏正向但仍需時間確認多頭格局。,2025-07-21 15:00:21,1
2023-04-07,0.6,緯穎第一季營收表現亮眼且維持樂觀展望，顯示需求與出貨動能仍強，但市場對整體電子產業復甦力道存疑，導致股價波動加劇。,2025-07-21 15:00:23,1
2023-04-13,0.2,電子股普遍走弱，加上大盤重挫影響，緯穎面臨市場負面情緒與股價壓力。,2025-07-21 15:00:24,1
2023-04-18,0.3,市場觀望氣氛濃厚，權值股與高價股普遍走弱拖累大盤回測月線，短期資金轉向低基期個股尋求避風港。,2025-07-21 15:00:26,1
