date,factor,explanation,updated_time,news_count
2023-01-05,0.7,多元產品組合與非 PC 領域成長動能強勁有助穩定營收表現，但獲利能力仍需關注成本控制。,2025-07-21 14:37:11,1
2023-02-06,0.6,營收表現符合預期但工作天數減少影響月營收，展望全年維持成長動能，市場對未來獲利前景樂觀。,2025-07-21 14:37:15,1
2023-03-16,0.7,中國通路事業受惠疫情解封與人流回溫，搭配去年不利因素排除，營運展望樂觀，激勵市場對未來獲利成長的正向期待。,2025-07-21 14:37:21,1
2023-04-06,0.6,第一季營收表現低於預期且年減雙位數，雖有 AI 影像產品支撐但整體展望仍偏向保守，市場情緒維持中性偏空。,2025-07-21 14:37:24,1
2023-05-09,0.3,法說會釋出保守展望與營收下修訊息，市場對未來業績前景存疑，但公司財務狀況穩健有助支撐股價表現。,2025-07-21 14:37:29,1
2023-05-10,0.6,第一季財報表現優於預期，營收與獲利雙增且毛利率維持水準，但第二季展望保守，市場對後續營運成長力道存疑。,2025-07-21 14:37:30,1
2023-06-05,0.6,營收創新高與智慧建築專案貢獻顯示部分業務動能，惟整體展望保守且伺服器電源成長趨緩，市場情緒偏中性。,2025-07-21 14:37:34,1
2023-06-06,0.6,營收回升與第二季獲利展望樂觀帶動市場情緒，但年減壓力仍在，AI影像產品成長潛力為主要催化劑。,2025-07-21 14:37:35,1
2023-06-17,0.3,營收與獲利衰退及第三季展望保守壓抑短期市場信心，但 AI 影像產品成長動能可望支撐下半年表現。,2025-07-21 14:37:37,1
2023-07-27,0.6,面板三虎獲外資大舉買超，顯示市場對其營運前景持正向態度，激勵股價上漲。,2025-07-21 14:37:42,1
2023-12-06,0.3,營收月減但鍵盤需求穩定，展望明年復甦將支撐市場信心，但短期內獲利衰退壓力仍在。,2025-07-21 14:37:53,1
2023-12-14,0.7,聯準會降息預期與熱錢湧入激勵台股創高，權值股普遍上揚，市場情緒樂觀。,2025-07-21 14:37:55,1
2023-12-26,0.7,電子權值股普遍上漲，面板族群強勢表現與 AI PC 概念題材帶動市場信心，群光等其他電子股同步走揚。,2025-07-21 14:37:57,1
2023-12-30,0.7,AI PC 換機潮題材與中國市場回溫帶動營運成長，激勵正面市場情緒。,2025-07-21 14:37:59,1
