date,factor,explanation,updated_time,news_count
2022-11-02,0.6,光電與電子零件族群強勢反彈，帶動加權指數收紅，但個股漲跌分歧顯著，市場觀望氣氛濃厚。,2025-07-21 14:44:36,1
2022-11-08,0.9,伺服器、交換器等設備升級需求強勁，加上新平台效益可期，營收成長與獲利展望樂觀帶動正面市場情緒。,2025-07-21 14:44:38,1
2022-11-18,0.6,市場情緒偏正面，多頭力道強勁且展望樂觀，但短線漲多後整理壓力仍在。,2025-07-21 14:44:40,1
2023-01-31,0.3,外資買超面板雙虎與金融股，調節台積電與多檔電子股，顯示市場情緒偏中性，三大法人合計買超 55 億元，但投信賣超金像電等個股，影響整體正面力道。,2025-07-21 14:44:49,1
2023-02-25,0.7,營收創高與伺服器、交換器需求強勁帶動獲利成長，外資回補持股推升股價上漲並站上所有均線，多頭排列。,2025-07-21 14:44:53,1
2023-03-09,0.6,獲利成長與穩定股利政策支撐基本面，惟營收衰退壓力仍在使市場情緒維持溫和偏空。,2025-07-21 14:44:55,1
2023-04-11,0.7,營收回升與下半年成長預期帶動，市場對未來獲利能力與產品組合改善抱持正面期待。,2025-07-21 14:45:00,1
2023-04-26,0.6,營收回升與下半年成長預期提振市場信心，但全年表現仍受庫存調整影響，短期內股價波動可能加劇。,2025-07-21 14:45:02,1
2023-05-19,0.7,伺服器新平台及 AI 伺服器需求成長帶動營運展望樂觀，外資調升目標價與買進評等激勵市場情緒，但首季財報不如預期仍影響短期股價表現。,2025-07-21 14:45:06,1
2023-05-20,0.9,外資報告看好新伺服器平台及 AI 伺服器需求帶動營運成長，目標價調升至 135 元，激勵市場情緒與股價大漲。,2025-07-21 14:45:07,1
2023-05-25,0.7,輝達財報優於預期激勵相關概念股走強，尤其是雲端運算族群表現亮眼，市場情緒正面。,2025-07-21 14:45:09,1
2023-06-14,0.7,AI伺服器需求強勁與新廠投資展現成長動能，中長期前景樂觀但短期營運波動仍存。,2025-07-21 14:45:12,1
2023-06-18,0.6,AI 熱潮持續延燒，各廠紛紛推出新產品與服務，看好龐大商機，但實際營收貢獻尚待觀察。整體市場情緒偏正面但不過度樂觀，預期短期內股價波動將受消息面影響而較為劇烈。,2025-07-21 14:45:16,1
2023-06-30,0.6,電子權值股普遍疲軟拖累大盤表現，但 AI 概念股強勢上攻，部分個股漲幅顯著，整體市場情緒偏向正面但仍有不確定性。,2025-07-21 14:45:18,1
2023-12-01,0.9,"大規模籌資與擴產計畫展現公司成長動能，AI 伺服器商機看俏激勵市場信心。

====================",2025-07-21 14:45:31,1
2023-12-07,0.6,市場專家看好中小型股輪動表現，但大盤技術指標修正與權值股疲弱使整體情緒維持溫和偏空。,2025-07-21 14:45:32,1
2023-12-08,0.7,AI 股中，世芯、金像電等站上月季線且 MACD 紅柱，顯示強勢表現，市場對相關個股展望正向。,2025-07-21 14:45:34,1
