date,factor,explanation,updated_time,news_count
2022-11-07,0.9,10 月營收雙創新高，顯示需求強勁且量產動能穩健，激勵市場對未來成長前景的正面期待。,2025-07-21 01:24:36,1
2022-11-10,0.3,市場情緒偏向中性，電子權值股走弱拖累大盤，但傳產與新藥股撐盤，整體漲跌互見。,2025-07-21 01:24:38,1
2022-11-17,0.6,台版晶片法案通過激勵半導體族群表現，但電子權值股走勢分歧且量能不足，市場情緒偏向中性。,2025-07-21 01:24:40,1
2022-11-22,0.4,市場情緒偏空，個股表現分歧，權值股疲弱，矽智財與生技族群重挫，投資人信心不足。,2025-07-21 01:24:41,1
2022-11-24,0.9,聯發科領軍 IC 設計股與貨櫃三雄齊揚，加上台積電等權值股助攻，激勵市場情緒走揚，多頭信心回溫。,2025-07-21 01:24:43,1
2022-11-25,0.9,外資報告釋出正面展望，認為創意明年營收成長動能持續，NRE 業績有增無減，加上車用 HPC 訂單挹注，激勵市場對未來獲利能力的樂觀期待。,2025-07-21 01:24:44,1
2022-12-05,0.9,營收雙創新高顯示客戶需求強勁，ASIC 與 IP 權利金收入持續成長，激勵市場對未來獲利與成長前景的正面期待。,2025-07-21 01:24:46,1
2022-12-08,0.3,市場情緒偏向中性，電子權值股疲弱但高價股與部分傳產族群如觀光類股表現強勁，整體成交量萎縮。,2025-07-21 01:24:47,1
2022-12-09,0.9,多家台廠11月營收創新高，顯示半導體產業需求穩健，帶動相關個股股價走揚，市場情緒樂觀。,2025-07-21 01:24:49,1
2022-12-16,0.6,市場情緒受到全球股市修正影響而轉弱，但貨櫃三雄與水泥雙雄逆勢上揚，生技類股表現強勁，電子權值股則普遍走跌。,2025-07-21 01:24:51,1
2022-12-18,0.6,ChatGPT 與 AIGC 等 AI 技術的崛起為相關產業帶來巨大發展潛力，但短期內仍受總體經濟與升息循環影響，市場情緒呈現溫和樂觀。,2025-07-21 01:24:53,1
2022-12-28,0.3,市場對未來成長性看法轉趨保守，加上獲利展望下修引發短期股價壓力，但整體仍維持中立偏多情緒。,2025-07-21 01:24:55,1
2022-12-30,0.4,市場情緒偏向保守，權值股與高價股表現分歧，傳產類股如鋼鐵、貨櫃運輸等相對抗跌，但生技醫療族群漲多拉回。整體而言，年終封關前觀望氣氛濃厚，市場信心尚未完全恢復。,2025-07-21 01:24:56,1
2022-12-31,0.3,市場對明年景氣展望保守與需求降溫影響，ASIC 族群股價下挫，創意 股票市場情緒偏空。,2025-07-21 01:24:57,1
2023-01-03,0.6,權值股走勢分歧且多數疲軟拖累大盤，但市場焦點在重電與 IC 設計族群反彈，激勵部分個股強勢表現。,2025-07-21 01:24:59,1
2023-01-05,0.3,營收持續成長但市場對於後續訂單展望保守，短期內股價可能在高檔區間整理。,2025-07-21 01:25:00,1
2023-01-06,0.3,美股科技股回檔與台積電 ADR 跌幅擴大，拖累加權指數測試 10 日線支撐，電子權值股觀望，傳產族群輪動速度緩慢，整體市場情緒偏向中性。,2025-07-21 01:25:02,1
2023-01-11,0.6,市場觀望氣氛濃厚，加上部分個股漲多拉回，整體市場情緒偏向中性，但權值股表現分歧與櫃買指數相對強勢，顯示內資信心仍在。,2025-07-21 01:25:04,1
2023-01-17,0.6,文化創意股強勢上漲，搭配電子權值股與電商、觀光族群的支撐，整體市場情緒偏正面。,2025-07-21 01:25:05,1
2023-01-30,0.6,台積電領軍大漲帶動指數站上萬五關卡，但年線反壓與美國聯準會利率決策等因素使市場情緒維持溫和樂觀。,2025-07-21 01:25:08,1
2023-02-02,0.9,獲利創高與股息配發率優於預期激勵市場情緒向上，反映公司基本面強勁。,2025-07-21 01:25:09,1
2023-02-03,0.6,營運展望樂觀且產品組合改善有利獲利成長，但毛利率與費用上升可能壓抑短期市場情緒。,2025-07-21 01:25:10,1
2023-02-05,0.9,營收與獲利成長動能強勁，新專案挹注及產品組合優化有助維持正面市場情緒。,2025-07-21 01:25:11,1
2023-02-06,0.6,營收成長與展望樂觀提振市場信心，但短期漲多後獲利了結賣壓出籠，整體情緒偏向中性。,2025-07-21 01:25:13,2
2023-02-07,0.6,市場情緒受 FED 談話影響呈現觀望，權值股走弱但傳產與部分電子個股表現強勁，整體而言維持中性偏正面。,2025-07-21 01:25:14,2
2023-02-08,0.9,"IC 設計族群強勁反彈，多檔個股創高，帶動台積電等電子權值股上漲，市場情緒樂觀，推升大盤量增走揚。

====================",2025-07-21 01:25:16,2
2023-02-09,0.3,電子族群人氣退燒與金融股回穩使台股跌幅收斂，但整體市場情緒仍偏向保守，主要反映對產業前景的擔憂。,2025-07-21 01:25:17,1
2023-02-12,0.6,市場對聯準會升息趨緩期待降溫，加上重要法說與經濟數據即將公布，短期內市場情緒偏向中性。,2025-07-21 01:25:19,1
2023-02-13,0.6,伺服器產業展望樂觀，新平台挹注及雲端需求成長帶動相關個股表現，市場情緒偏正面。,2025-07-21 01:25:20,1
