date,factor,explanation,updated_time,news_count
2022-12-07,0.3,市場情緒受美股下挫與電子類股疲軟影響而轉弱，但金融股表現亮眼及零星個股點火提供支撐，整體呈現中性偏空。,2025-07-21 02:17:15,1
2022-12-08,0.3,市場觀望氣氛濃厚，權值股疲軟拖累大盤走跌，但個別題材股如再生能源與觀光類股表現強勁，整體市場情緒偏向保守。,2025-07-21 02:17:16,1
2022-12-21,0.3,市場情緒偏弱，個股表現分歧，權值股與高價股走勢不一，鎳價上漲帶動鋼鐵股強勁反彈，但整體行情仍受總體經濟與產業庫存調整影響而疲軟。,2025-07-21 02:17:19,1
2022-12-29,0.7,個股漲跌互見，權值股普遍走低，但電子零組件類股如嘉澤等逆勢上揚，顯示市場情緒仍有支撐。整體而言，台股早盤下跌但隨後反彈收斂跌幅，表現相對抗震，預期短線將維持區間整理格局。,2025-07-21 02:17:21,1
2022-12-30,0.6,權值股普遍走跌拖累大盤，但嘉澤等個股表現亮眼，市場情緒偏向正面但整體仍維持謹慎態度。,2025-07-21 02:17:23,1
2023-01-12,0.6,市場觀望氣氛濃厚，加權指數小跌但成交量萎縮，電子權值股漲跌互見，傳產族群表現分歧，高價股普遍疲軟，整體市場情緒偏向中性。,2025-07-21 02:17:26,2
2023-01-16,0.6,電子與金融股領漲帶動大盤上揚，但個股表現分歧，市場情緒偏向正面但仍有不確定性。,2025-07-21 02:17:27,1
2023-01-31,0.3,大盤漲多調節與權值股走弱壓抑市場信心，但個股仍有表現空間，整體而言市場情緒偏中性。,2025-07-21 02:17:30,1
2023-02-01,0.6,台股強彈站回年線，多檔個股齊揚，市場情緒轉趨樂觀，但部分公司財報與展望仍存在雜音。,2025-07-21 02:17:31,1
2023-02-03,0.3,台積電止穩帶動加權指數收紅，但個股漲跌互見，信驊超車大立光躍居股王，嘉澤、力旺等賣壓偏重，市場情緒溫和偏空。,2025-07-21 02:17:33,1
2023-02-13,0.3,電子權值股普遍走弱，加上新台幣貶值影響，拖累大盤下跌，但低軌衛星與生技族群逆勢抗跌，顯示市場資金尋求避風港。,2025-07-21 02:17:35,1
2023-03-27,0.4,電子權值股普遍走跌拖累大盤，僅少數個股如旭隼、嘉澤等逆勢抗跌，市場情緒偏向保守。,2025-07-21 02:17:41,1
2023-04-13,0.2,電子股普遍走弱與高價股疲軟拖累大盤，加上台積電跌破季線引發市場信心動搖，短期內市場情緒偏向保守。,2025-07-21 02:17:44,1
2023-05-05,0.6,蘋果供應鏈股價上漲帶動市場情緒，但傳產金融賣壓調節使整體盤勢維持區間震盪。,2025-07-21 02:17:47,1
2023-05-08,0.3,多項國內外重大事件將影響市場情緒，包括債務上限會議、CPI 數據和 MSCI 調整權重等，預期短期股價波動加劇。,2025-07-21 02:17:49,1
2023-05-10,0.1,大盤下跌壓力加劇，權值股與高價股普遍走低，僅少數個股逆勢上攻，但整體市場情緒偏向負面。,2025-07-21 02:17:50,1
2023-05-18,0.7,台積電領軍電子權值股上攻萬六關卡，搭配傳產與族群股齊揚，整體市場情緒偏正面。,2025-07-21 02:17:52,1
2023-05-25,0.7,輝達財報優於預期激勵相關概念股走強，嘉澤等雲端運算族群漲幅顯著，市場情緒正面。,2025-07-21 02:17:54,1
2023-06-06,0.3,權值股漲跌互見，高價股普遍疲軟，市場情緒偏空，預期大盤將在平盤附近狹幅震盪。,2025-07-21 02:17:56,1
2023-06-07,0.9,熱錢湧入與權值股領漲激勵指數創波段新高，多頭信心增強。,2025-07-21 02:17:57,1
2023-06-08,0.1,大盤下跌且權值股、AI 概念股全面走弱，市場情緒偏空，個別股票面臨調節賣壓。,2025-07-21 02:17:58,1
2023-07-31,0.3,投信單月賣超金額最大且持續賣超的標的遭到市場關注，財報與營收表現不佳恐加劇負面情緒。,2025-07-21 02:18:04,1
2023-12-14,0.9,英特爾與超微新平台滲透率提升及產品組合優化帶動營收成長，法人預估明年獲利再創新高，激勵市場對未來基本面展望樂觀。,2025-07-21 02:18:15,1
2023-12-16,0.9,外資上調評等與目標價，預期伺服器出貨成長將推升營收及獲利表現，激勵市場情緒樂觀且股價創高。,2025-07-21 02:18:16,1
2024-01-04,0.3,權值股疲軟與高價股重挫拖累大盤走勢，航運類股強勁表現無力扭轉整體市場悲觀情緒。,2025-07-21 02:18:19,1
2024-01-09,0.3,權值股與AI概念股撐盤，電子族群表現優於傳產，但貨櫃三雄重挫拖累大盤走勢，市場情緒偏向中性。,2025-07-21 02:18:21,1
2024-03-01,0.6,電子權值股表現分歧，高價股與 AI 股領軍上攻，但傳產與金融普遍走弱，市場情緒偏正面但仍有不確定性。,2025-07-21 02:18:28,1
2024-03-04,0.9,美股費半大漲激勵科技股強彈，台積電領軍衝高創新天價，帶動加權指數再寫歷史新高，電子族群全面走揚，市場情緒樂觀。,2025-07-21 02:18:29,1
2024-03-22,0.6,央行升息半碼引發市場震盪，個股表現分歧，AI 概念股相對強勢，但獲投信青睞的個股出現調節賣壓，整體市場情緒偏向中性。,2025-07-21 02:18:32,1
2024-04-02,0.9,"台積電領軍的電子權值股強勁上漲帶動大盤創高，半導體族群表現亮眼，市場情緒樂觀。

====================",2025-07-21 02:18:34,1
2024-04-26,0.6,電子股普遍反彈，尤其是高價半導體概念股與台積電領漲，加上航運族群強勢上攻，整體市場情緒偏正面，但成交量未能有效放大。,2025-07-21 02:18:38,1
2024-05-08,0.7,營收成長動能強勁，顯示公司基本面穩健且獲利能力持續提升，激勵市場正面情緒。,2025-07-21 02:18:41,2
2024-05-13,0.6,市場對未來獲利展望樂觀，預估值上修且中位數創高，激勵正面市場情緒，但短期漲幅已大，追價意願仍待觀察。,2025-07-21 02:18:42,1
2024-05-21,0.7,電子權值股維持高檔整理，部分中小型股強勢表態，市場情緒偏正面但仍需留意個別族群漲跌差異。,2025-07-21 02:18:44,2
2024-05-30,0.3,權值股走勢疲弱拖累大盤，高價股普遍下跌，但部分中小型股如神盾集團維持強勁漲勢，市場情緒偏向保守。,2025-07-21 02:18:47,1
2024-06-04,0.6,嘉澤與相關個股逆勢上漲，顯示市場對半導體產業展望仍有期待，但大盤下跌壓力使整體市場情緒趨於中性。,2025-07-21 02:18:48,1
2024-06-07,0.7,營收成長動能強勁，顯示公司基本面穩健，但短期股價表現平平，市場情緒中性偏正。,2025-07-21 02:18:49,1
2024-06-13,0.9,新品滲透率提升與 AI 伺服器成長動能強勁，激勵市場對嘉澤未來營運展望樂觀。,2025-07-21 02:18:51,1
2024-06-14,0.9,多位分析師上修嘉澤獲利預估，市場對新品滲透率與營運成長前景樂觀，激勵股價創高並助攻台股再度登頂。,2025-07-21 02:18:52,2
2024-06-24,0.4,電子權值股普遍走弱，加上高價股賣壓沉重，拖累整體大盤表現。,2025-07-21 02:18:54,1
2024-07-01,0.4,台股震盪整理，電子權值股撐盤但高價股與部分族群走弱，市場情緒偏向保守。,2025-07-21 02:18:56,1
2024-07-05,0.6,電子權值股普遍走跌，僅部分個股如廣達、台達電、日月光投控等維持正面表現，但整體市場情緒受到影響而轉向中性。,2025-07-21 02:18:58,1
2024-07-12,0.6,電子股普遍下跌，唯獨嘉澤逆勢上漲，顯示市場對其基本面與前景仍具信心。,2025-07-21 02:18:59,1
