date,factor,explanation,updated_time,news_count
2022-11-01,0.3,財報表現不佳且展望保守，庫存調整壓力延續將引發市場中性偏空情緒。,2025-07-21 03:17:25,1
2022-11-02,0.6,銅箔基板個股股價跌幅已深，反彈買氣暢旺，市場情緒轉向正面但仍需觀察庫存去化進度。,2025-07-21 03:17:26,2
2022-11-05,0.4,電子業庫存調整延長與需求疲弱壓抑市場信心，聯茂營運展望保守，第四季營收恐較第三季下滑。,2025-07-21 03:17:28,1
2022-12-05,0.3,營收創五個月新高但獲利衰退壓力仍在，市場對庫存去化及產能擴張的影響保持謹慎態度。,2025-07-21 03:17:32,1
2023-01-05,0.3,雖然車用電子和資料中心需求穩健，但庫存調整延長與終端需求疲弱壓抑短期營收表現，市場對未來展望仍持謹慎態度。,2025-07-21 03:17:36,1
2023-01-12,0.6,新產能擴建與海外投資案利多中性化，營收表現仍受庫存調整影響，市場對獲利能力的疑慮持續。,2025-07-21 03:17:38,1
2023-01-16,0.6,權值股領漲與高價股回穩提振市場信心，但火災事故衝擊個別公司營運，整體上市櫃公司獲利成長力道仍待觀察。,2025-07-21 03:17:40,1
2023-01-31,0.6,營收衰退與產能擴張壓力暫緩，新產品動能提振市場對未來成長的信心，但整體展望仍需時間去化庫存。,2025-07-21 03:17:42,2
2023-02-04,0.7,產能擴張計畫與泰國新廠投資案帶來中長期成長動能，激勵市場情緒向上並突破平台整理區。,2025-07-21 03:17:44,1
2023-02-05,0.3,營收創近三年低點，反映客戶端去化庫存壓力，但車用電子和資料中心需求仍穩健，市場對未來成長前景持中性樂觀態度。,2025-07-21 03:17:45,1
2023-03-05,0.3,庫存去化延續與需求展望保守壓抑短期營收表現，但新產能擴建和伺服器成長動能提振市場信心。,2025-07-21 03:17:49,1
2023-03-12,0.6,跨足東南亞市場的策略轉型獲得正面回響，但短期內對營收貢獻有限，投資效益仍待時間驗證。,2025-07-21 03:17:51,1
2023-04-11,0.9,展望未來，公司對下半年營運樂觀以待，預期需求逐月成長並呈現 U 型復甦走勢，新廠投資案也將於明年下半年開出產能，有利中長期成長動能。,2025-07-21 03:17:55,1
2023-04-23,0.6,台光電原規劃在台灣投資設立載板材料廠擴產案喊停，轉向東南亞國家設廠，市場對於聯茂等同業可能跟進調整海外佈局策略存疑慮。,2025-07-21 03:17:58,1
2023-05-03,0.3,兩家 CCL 廠針對市場景氣展望分歧，台燿 稅後虧損 主因海外資金匯回稅率高，聯茂 新廠設廠案預計下半年動工。,2025-07-21 03:18:00,1
2023-05-22,0.6,CCL 廠獲利表現強勁且第二季展望樂觀，帶動市場情緒上漲，但部分個股仍面臨庫存調整與產能擴充的挑戰。,2025-07-21 03:18:03,1
2023-12-05,0.6,營收表現優於預期且展望樂觀，新廠投資計畫亦顯示對未來需求的信心，但獲利能力仍待改善將限制短期股價上漲空間。,2025-07-21 03:18:20,1
2024-01-05,0.6,營收表現符合預期且展望正向，新產能建設與市場需求回溫帶動短期市場情緒偏多。,2025-07-21 03:18:25,2
2024-02-05,0.9,MSCI 調整題材與 AI 伺服器需求增溫帶動 CCL 廠股價強勢上漲，市場情緒樂觀。,2025-07-21 03:18:29,1
2024-03-05,0.9,營收與獲利表現亮眼，高階產品需求強勁及產能利用率提升帶動基本面向上，激勵市場正面情緒。,2025-07-21 03:18:33,1
2024-03-07,0.9,"需求回溫與擴產計畫顯示市場復甦態勢，帶動股價創高並引領同業走揚。

====================

以下是提供的新聞資訊 :
聯茂 (6213-TW) 今 (7) 日公告 2023 年全年稅後純益 22.08 億元，每股純益 6.92 元，擬配發現金股利 4.5 元。


聯茂表示，目前訂單能見度已看到第二季，預期第一季為今年營運谷底，全年業績將逐季成長。

聯茂指出，由於 AI 伺服器、汽車電子、高階筆電等需求穩定，帶動銅箔產品稼動率維持高檔，目前訂單能見度已看到第二季，預期第一季為今年營運谷底，全年業績將逐季成長。


聯茂表示，公司積極擴產因應需求，泰國廠已開始動工，預計 2025 年完工投產，未來還會視市場狀況再評估是否擴增產能。

聯茂指出，由於 AI 伺服器、汽車電子、高階筆電等需求穩定，帶動銅箔產品稼動率維持高檔，目前訂單能見度已看到第二季，預期第一季為今年營運谷底，全年業績將逐季成長。",2025-07-21 03:30:30,1
2024-03-30,0.9,AI 伺服器材料需求強勁與雲端伺服器客戶擴增帶動營收成長，加上獲外資青睞，激勵市場情緒樂觀且股價突破整理區。,2025-07-21 03:30:33,1
2024-04-05,0.7,營收回溫與新廠投資展望正向，激勵短期市場情緒但仍需關注獲利能力表現。,2025-07-21 03:30:35,1
2024-04-06,0.6,AI 應用需求強勁帶動 PCB 產業復甦，族群龍頭股轉強引領輪漲行情，但整體市場情緒仍偏中性。,2025-07-21 03:30:36,1
2024-05-06,0.6,營收年增率高達82%顯示公司基本面強勁，但近期股價表現與產業指數同步，市場情緒仍有待進一步激勵。,2025-07-21 03:30:41,1
2024-06-04,0.6,市場情緒偏中性，權值股普遍走跌但部分個股如工業電腦表現亮眼，整體漲跌互見。,2025-07-21 03:30:45,1
2024-06-05,0.7,單月營收大幅成長且連續兩個月正成長，顯示公司基本面穩健，激勵市場情緒。,2025-07-21 03:30:46,1
2024-06-19,0.6,AI 伺服器題材帶動相關供應鏈股價上漲，聯茂 位階低檔且具產業成長趨勢，有機會落後補漲。,2025-07-21 03:30:48,1
2024-07-05,0.7,營收成長動能強勁且優於產業表現，激勵市場情緒正面，但仍需留意後續獲利能力與股價漲幅評估。,2025-07-21 03:30:51,2
2024-07-31,0.4,市場對未來獲利成長預期下修引發中性偏空情緒，但營收表現仍維持一定水準。,2025-07-21 03:30:55,1
2024-08-05,0.6,營收年增率持續成長但月增率放緩，市場對後市展望轉趨謹慎，股價承壓。,2025-07-21 03:30:57,1
2024-08-07,0.4,分析師下修目標價與獲利預估值反映市場對未來營運前景的保守看法。,2025-07-21 03:30:58,2
2024-08-19,0.4,分析師下修目標價與獲利預估值反映市場對未來營運前景的保守看法。,2025-07-21 03:31:00,2
2024-09-03,0.6,PCB 族群強勢表現帶動類股上攻，搭配蘋果新機發表等利多題材，激勵市場情緒向上但量能不足。,2025-07-21 03:31:03,1
2024-09-12,0.4,市場對未來獲利成長預期下修引發短期信心動搖，但整體展望仍維持溫和成長態勢。,2025-07-21 03:31:05,1
2024-09-25,0.6,市場對未來獲利成長持正向展望，但短期營收與獲利表現仍有壓力，引發中性偏空情緒。,2025-07-21 03:31:07,1
2024-10-01,0.4,市場對未來獲利成長預期下修引發中性偏空情緒，但營收表現仍維持一定水準。,2025-07-21 03:31:08,1
2024-10-03,0.4,市場對未來獲利成長預期下修引發中性偏空情緒，但營收表現仍維持一定水準。,2025-07-21 03:31:10,1
2024-10-18,0.4,市場對未來獲利成長預期下修引發短期信心動搖，但整體展望仍維持中性。,2025-07-21 03:31:12,1
2024-11-05,0.6,獲利成長與新產品拓展為正面因素，但整體營收與毛利率仍低於預期，市場對未來業績表現持謹慎態度。,2025-07-21 03:31:15,1
