date,factor,explanation,updated_time,news_count
2022-11-07,0.5,營收表現仍維持成長但出貨下滑與第四季展望保守使市場情緒偏向中性。,2025-07-21 02:36:30,1
2022-11-11,0.6,財報表現優於預期且第四季展望中性，市場對營運成長前景抱持謹慎樂觀態度。,2025-07-21 02:36:32,2
2022-11-23,0.6,受美中科技戰影響，台廠伺服器製造逐步轉移至中國以外地區，以分散風險並滿足客戶需求。主要業者如廣達、英業達等將擴大墨西哥與東南亞產能，預計明年在中國以外的伺服器主機板產能將上看 5 成。,2025-07-21 02:36:34,1
2022-11-30,0.9,亞馬遜 AWS 持續擴大雲端投資，帶旺台廠供應鏈需求強勁，激勵市場對英業達等伺服器製造商的正面情緒與股價上漲預期。,2025-07-21 02:36:36,1
2022-12-07,0.6,電子紙產品應用落地醫療院所，展現公司在智慧醫療領域的創新與成果，為未來業務拓展奠定良好基礎。,2025-07-21 02:36:38,1
2022-12-14,0.6,展望明年營運成長、擴產計畫與 5G 專網布局等利多消息，市場對英業達未來發展前景持正向看待。,2025-07-21 02:36:40,2
2022-12-16,0.6,市場情緒受到全球股市修正影響而轉為偏空，但貨櫃三雄與部分電子權值股表現相對抗跌，生技類股持續強勢，整體市場呈現區間震盪。,2025-07-21 02:36:42,1
2022-12-24,0.9,"展望未來成長動能穩健且維持樂觀，市場對營運前景看好，激勵股價上漲。

====================",2025-07-21 02:36:43,1
2022-12-27,0.6,海外擴廠支出與新客戶挹注營運成長動能，但整體經濟環境不確定性仍存，短期市場情緒偏正面但波動加劇。,2025-07-21 02:36:45,1
2023-01-07,0.6,與全球人壽合作推出外溢保單，透過 CTC 檢測促進健康意識，為公司拓展新業務模式帶來正面市場期待。,2025-07-21 02:36:47,1
2023-01-11,0.3,電子股普遍疲軟拖累指數走低，僅少數個股如聯發科逆勢抗跌，金融與傳產族群也多呈現下挫態勢，整體市場情緒偏空。,2025-07-21 02:36:49,1
2023-01-17,0.6,設立越南子公司顯示產能擴張需求，但第一季營收展望仍疲弱，市場對未來成長前景存疑。,2025-07-21 02:36:50,1
2023-02-21,0.3,越南投資額上調與產能擴張計畫顯示公司對未來需求前景樂觀，但第一季營收與獲利恐承壓，市場情緒溫和偏正面。,2025-07-21 02:36:55,1
2023-03-03,0.6,英業達啟動校園徵才招募百位研發人才，展現對未來成長的信心與佈局，但產業前景仍有不確定性影響短期市場情緒。,2025-07-21 02:36:58,1
2023-03-07,0.6,營收表現符合預期但仍受工作天數影響，市場對第一季淡季效應與第二季復甦前景持中性態度。,2025-07-21 02:36:59,1
2023-03-12,0.4,市場觀望氣氛濃厚，個股表現分歧，漲多股面臨獲利了結賣壓，整體市場情緒偏向中性。,2025-07-21 02:37:01,1
2023-03-14,0.7,法說會釋出正面訊息如庫存降低與獲利創高，展望今年營運優於去年，但仍有部分不確定性因素影響市場信心。,2025-07-21 02:37:02,2
2023-03-18,0.6,營運表現優於同業且全年展望正向，市場對英業達的基本面前景持樂觀態度。,2025-07-21 02:37:04,1
2023-03-19,0.3,市場對聯準會態度轉趨鴿派出現短多行情，但銀行連環爆雷的系統性風險尚未完全解除，投資人仍需謹慎因應。,2025-07-21 02:37:05,1
2023-04-19,0.9,NB 市況回溫與第二季出貨成長激勵市場信心，PC 供應鏈廠商評等調升帶動股價上漲。,2025-07-21 02:37:10,1
2023-04-20,0.3,市場情緒維持中性，外資買超英業達等個股但整體賣超力道不大，顯示對大盤信心尚未完全恢復。,2025-07-21 02:37:11,1
2023-04-24,0.3,多家企業財報與法說會將公布，市場情緒偏中性，個別公司展望與基本面表現將影響股價波動。,2025-07-21 02:37:12,1
2023-05-08,0.3,營收表現低於預期且第二季展望保守，市場對公司短期營運前景存疑，但長期成長動能仍具支撐。,2025-07-21 02:37:15,1
2023-05-12,0.3,財報表現不如預期與市場展望保守壓抑股價，但伺服器擴產計畫與 AI 題材支撐部分買盤，整體市場情緒偏向中性。,2025-07-21 02:37:17,2
2023-05-23,0.6,電子權值股與高價股普遍上漲，ABF載板三雄及英業達等電子代工廠同步走揚，顯示市場情緒偏正面，但部分傳產類股如航空雙雄、貨櫃三雄則有拉回壓力。,2025-07-21 02:37:19,1
2023-05-25,0.9,"輝達財報優於預期激勵相關概念股強勢走高，AI 概念股表現搶眼，市場情緒樂觀。

====================",2025-07-21 02:37:21,2
2023-05-29,0.9,AI 概念股全面大漲，英業達等多檔個股亮燈漲停，市場情緒樂觀，買盤力道強勁推升指數創近一年新高。,2025-07-21 02:37:22,1
2023-05-30,0.6,外資買超前十名個股普遍呈現正面表現，顯示市場情緒偏向樂觀，但整體漲跌互見，無明確方向。,2025-07-21 02:37:23,1
2023-06-06,0.7,新產品發表與切入高成長 AI 市場顯示公司轉型契機，激勵市場對未來營運前景的正面期待。,2025-07-21 02:37:25,1
2023-06-08,0.7,AI 伺服器需求強勁與新產品拓展有利未來成長，但第二季營收表現仍受到筆電出貨遞延影響，市場對第三季業績回升持正向期待。,2025-07-21 02:37:26,1
2023-06-09,0.9,電子與傳產股齊揚，權值股、漲停板及高價股表現強勁，多頭信心回穩推升大盤上漲並收復關鍵支撐。,2025-07-21 02:37:28,1
2023-06-13,0.6,英業達積極轉型新事業與產能佈局，市場對未來營運成長前景持正向期待，但短期獲利能力仍有待觀察。,2025-07-21 02:37:29,2
2023-06-14,0.6,電子股漲跌互見拖累台積電熄火，大盤高檔震盪，部分資金轉進傳產類股支撐市場情緒。,2025-07-21 02:37:30,1
2023-06-17,0.9,AI 伺服器需求強勁與資料中心業務成長潛力帶動股價創高，市場對未來營運展望樂觀。,2025-07-21 02:37:32,1
2023-06-20,0.3,電子股普遍走弱拖累大盤，但觀光類股強勁反彈提供支撐，整體市場情緒偏向保守。,2025-07-21 02:37:33,1
2023-06-21,0.6,權值股走勢分歧且成交量萎縮，市場觀望氣氛濃厚，但 AI 伺服器題材持續發酵，相關個股強勢表態，整體而言維持中性偏多格局。,2025-07-21 02:37:34,1
2023-06-23,0.7,庫存去化跡象顯現與下半年需求回溫預期提振市場信心，但全年出貨量仍低於去年，營收增長力道有限。,2025-07-21 02:37:36,1
2023-07-24,0.6,英業達積極拓展 AI 產品線，市場對新技術前景樂觀，但整體盤勢震盪與大型權值股壓力仍存。,2025-07-21 02:37:40,2
2023-07-25,0.7,台積電領漲帶動加上 AI 概念股強勁表現激勵市場信心，但部分個股仍面臨賣壓，整體而言維持正面但不過度樂觀的中性偏多情緒。,2025-07-21 02:37:41,1
2023-07-30,0.5,外資買超金額前幾名公司股價有望獲得支撐，但整體市場仍處於區間整理，內外資動向將影響多方動能。,2025-07-21 02:37:43,1
2023-07-31,0.3,AI 概念股賣壓出籠拖累英業達等指標股走跌，但軍工概念與網通族群逆勢抗跌，整體市場情緒偏向中性。,2025-07-21 02:37:44,1
2023-12-01,0.6,智慧醫療應用展望樂觀，新產品推出有利長期發展，但短期營收貢獻有限。,2025-07-21 02:37:54,1
2023-12-06,0.6,AI 概念股回神、重電族群續強與板卡族群助攻，多頭指標股表現亮眼，激勵大盤走揚並突破前波高點。,2025-07-21 02:37:55,1
2023-12-08,0.9,新品推出與大廠採用帶動市場信心，英業達作為供應鏈受惠股價上揚。,2025-07-21 02:37:57,1
2023-12-12,0.7,新產品 VectorMesh 獲兩大 IC 設計廠採用，顯示出市場潛力與公司技術實力，激勵正面市場情緒。,2025-07-21 02:37:58,1
2023-12-13,0.9,新產品獲得國際大廠採用激勵股價跳空漲停，市場對公司技術能力與未來成長潛力高度肯定。,2025-07-21 02:38:00,2
2023-12-14,0.9,AI 應用需求強勁帶動新產品出貨，兩大客戶訂單挹注營運成長動能，激勵市場對未來展望樂觀。,2025-07-21 02:38:01,1
2023-12-15,0.6,英業達在墨西哥設廠與營運策略引發關注，市場對海外擴張前景持中性觀望態度。,2025-07-21 02:38:02,2
2023-12-16,0.9,新產品 VectorMesh 嵌入式神經網絡處理器獲得兩大 IC 設計廠商採用，顯示技術實力與市場潛力備受肯定，激勵股價連續上漲並創波段高點。,2025-07-21 02:38:04,1
2023-12-19,0.9,新產品推出與高階主管參與旺年會顯示公司營運正向發展，激勵市場對未來成長前景的樂觀情緒。,2025-07-21 02:38:05,1
2023-12-20,0.6,PC 概念股強勁反彈帶動指數上漲，但權值股表現分歧且量能不足，市場情緒偏向樂觀但仍需留意追價力道。,2025-07-21 02:38:06,1
2023-12-21,0.6,AI PC 概念股強勁表現與航海王領漲帶動市場情緒，但權值股疲弱拖累指數，短期多空交戰使行情趨於震盪。,2025-07-21 02:38:08,1
2023-12-22,0.6,外資買超金額大增且加碼面板雙虎與傳產股，顯示市場信心回溫，但電子代工族群賣壓仍在，整體市場情緒偏正向但尚未完全擺脫疑慮。,2025-07-21 02:38:09,1
2023-12-25,0.9,AI PC 概念股全面走強，市場對明年成長動能樂觀期待，帶動電子五哥股價齊揚。,2025-07-21 02:38:10,1
2023-12-26,0.7,新創合作與海外擴廠計畫展現公司轉型決心，激勵市場對未來成長前景的正面期待。,2025-07-21 02:38:12,2
2023-12-27,0.6,加入新創幫投資聯盟展現拓展醫療領域的企圖心，但獲利能力與財報表現仍是市場關注焦點。,2025-07-21 02:38:13,1
2023-12-29,0.9,AI 概念股全面走強，顯示市場對相關產業前景樂觀，激勵投資人信心並推升股價表現。,2025-07-21 02:38:14,1
2023-12-31,0.9,AI 題材持續發酵，多家電子五哥樂觀看待明年展望，營運成長動能強勁，激勵市場情緒與股價表現。,2025-07-21 02:38:15,1
2024-01-03,0.3,外資連續兩日賣超且調節幅度擴大，顯示市場對電子五哥的信心不足，短期內股價面臨壓力。,2025-07-21 02:38:17,1
2024-01-05,0.9,"AI 伺服器出貨動能強勁與營收成長展望樂觀，激勵市場情緒向上並推升股價表現。

====================",2025-07-21 02:38:18,1
2024-01-08,0.6,電子五哥股價齊漲且成交量大增，顯示市場對於 AI PC 概念與營收表現正面期待，但籌碼動向則偏空，整體而言市場情緒中性偏多。,2025-07-21 02:38:20,1
2024-01-09,0.6,營收表現優於預期與對第一季展望樂觀提振市場信心，但整體成長動能仍待觀察，短期內外資操作影響股價波動。,2025-07-21 02:38:21,2
2024-01-11,0.6,AI 股止跌反彈帶動電子五哥股價上漲，但去年 12 月營收月減與旺年會釋出展望將影響市場情緒。,2025-07-21 02:38:23,1
2024-01-12,0.6,選舉行情提振與外資偏多操作，AI 概念股買氣升溫，但獲利了結賣壓也使盤勢維持區間震盪。,2025-07-21 02:38:24,1
2024-01-22,0.9,AI 伺服器需求強勁與外資買超激勵股價大漲，市場對英業達展望樂觀且看好全年伺服器出貨成長。,2025-07-21 02:38:26,1
2024-01-24,0.6,新產品發表與策略聯盟展現公司轉型決心，但短期營收貢獻有限，市場對成長前景仍有疑慮。,2025-07-21 02:38:27,1
2024-01-26,0.6,英業達積極拓展新事業與海外生產基地，展現長期成長策略，激勵市場對未來營運的正面期待。,2025-07-21 02:38:29,2
2024-01-28,0.3,市場對於科技業景氣復甦的樂觀預期受挫，庫存調整與訂單下滑壓力再起，短期內可能引發股價波動。,2025-07-21 02:38:30,1
2024-01-31,0.9,英業達大舉投資捷克廠房裝修與車用業務擴張計畫，顯示對未來成長前景樂觀，激勵市場情緒向上。,2025-07-21 02:38:32,1
2024-02-06,0.7,電子五哥齊收紅，廣達、緯創等三大法人買超，顯示市場對 AI 商機的正面期待與信心。,2025-07-21 02:38:33,1
2024-02-07,0.6,營收表現優於預期且 AI 伺服器展望正向，但 NB 與 AI PC 市場需求保守使市場情緒維持溫和偏多。,2025-07-21 02:38:34,1
2024-02-16,0.6,AI 概念股漲跌互見，整體族群表現不一致，市場情緒偏中性。,2025-07-21 02:38:36,1
2024-02-20,0.5,個股消息雜亂，市場情緒中性，但整體經濟與產業展望偏正面，有利維持高檔震盪走勢。,2025-07-21 02:38:38,1
2024-02-22,0.9,輝達財報優於預期、AI 需求強勁帶動半導體雙雄及相關概念股大漲，激勵市場情緒向上並突破前高。,2025-07-21 02:38:39,1
2024-02-25,0.3,外資買超金額居前者如聯發科、台積電等大型權值股維持正面市場情緒，但 AI 族群獲利了結賣壓沉重，顯示漲多後的獲利回吐需求。,2025-07-21 02:38:41,1
2024-02-27,0.6,輝達新品帶動代工廠營運成長前景樂觀，但大盤下跌拖累股價表現，市場情緒偏向中性。,2025-07-21 02:38:42,1
2024-03-01,0.6,電子權值股表現分歧，高價股與 AI 股領軍上攻，但傳產與金融普遍走弱，市場情緒偏正面但仍有不確定性。,2025-07-21 02:38:44,1
2024-03-07,0.3,營收表現符合預期但工作天數減少影響月增率，展望樂觀的伺服器與 AI 需求仍需時間發酵。,2025-07-21 02:38:46,1
2024-03-12,0.6,英業達第四季毛利率創30季新高，AI伺服器出貨帶動營運成長，但第一季展望持平至微幅下修，市場對未來獲利能力與營收表現仍存疑慮。,2025-07-21 02:38:48,2
2024-03-14,0.6,AEO 認證有助提升公司作業流程與供應鏈安全，增強市場信心，但短期內對營收貢獻有限。,2025-07-21 02:38:49,1
2024-03-18,0.7,台廠伺服器出貨表現優於全球，英業達與廣達位居前兩大，受惠北美雲端業者訂單成長，市場對伺服器產業展望樂觀。,2025-07-21 02:38:51,1
2024-03-20,0.6,雖然股價近期呈現橫盤整理，但隨著 AI 相關產品需求增溫，市場對英業達的後續漲勢仍持正向期待。,2025-07-21 02:38:52,1
2024-03-22,0.7,英業達受惠 AI 伺服器出貨成長與輝達合作概念股表現強勁，激勵市場情緒上漲，但整體盤勢震盪拉回使漲幅收斂。,2025-07-21 02:38:54,2
2024-03-25,0.6,外資賣超英業達等 AI 概念股與高息 ETF，顯示市場對相關個股短期展望轉趨謹慎，但買超金融與重電股則反映部分資金尋求避險。整體而言，籌碼面呈現中性偏空態勢。,2025-07-21 02:38:56,1
2024-03-26,0.3,電子權值股普遍走弱，AI 指標個別表現，傳產與金融股則有資金挹注支撐市場信心。,2025-07-21 02:38:57,1
2024-03-29,0.6,AI 布局與智慧製造創新為公司注入轉型動能，但地緣政治風險、基礎模型挑戰等仍待克服，市場對長期發展前景持審慎樂觀態度。,2025-07-21 02:38:59,1
2024-04-01,0.6,00940 首日破發衝擊市場信心，加上權值股疲軟與外資賣超影響，短期市場情緒轉為謹慎。,2025-07-21 02:39:00,2
2024-04-08,0.7,營收創高與伺服器出貨成長展望正面，但筆電需求疲弱可能影響短期業績表現。,2025-07-21 02:39:02,1
2024-04-12,0.6,新產品推出有助拓展應用場景並強化市場地位，但獲利能力與成長動能仍待觀察。,2025-07-21 02:39:03,1
2024-04-22,0.9,英業達攜手臺大實驗林進行溪頭雲霧林生態研究，展現企業社會責任與環境保護決心，激勵正面市場情緒。,2025-07-21 02:39:05,1
2024-04-24,0.7,英業達子公司與策略夥伴合作展現智慧工廠應用潛力，激勵市場對未來成長前景的正面期待。,2025-07-21 02:39:07,2
2024-05-01,0.3,四月份電子五哥股價普遍走弱，英業達跌幅最重且三大法人賣超張數居冠，市場情緒偏空，但第二季展望仍有成長潛力。,2025-07-21 02:39:09,1
2024-05-07,0.9,營收創22個月新高且年增率強勁，顯示公司產品需求暢旺，激勵市場對未來獲利成長的正面期待。,2025-07-21 02:39:11,2
2024-05-08,0.3,市場情緒偏中性，電子權值股與重電族群走強帶動指數上漲，但個別公司財報表現參差影響整體市場信心。,2025-07-21 02:39:12,1
2024-05-10,0.6,航運、金融等傳統產業股強勢表現與台積電領漲科技股，顯示市場信心回溫，但整體成交量未能有效放大，反映投資人仍持審慎態度。,2025-07-21 02:39:13,1
2024-05-11,0.9,AI 伺服器需求強勁與中國市場旺季效應顯著，營收創高帶動股價上漲並站回月線。,2025-07-21 02:39:15,1
2024-05-14,0.7,第一季財報優於預期且全年展望樂觀，尤其伺服器成長力道強勁，激勵市場對未來營運的正面期待。,2025-07-21 02:39:16,2
2024-05-16,0.3,外資買超金額創新高且買盤擴大至多類股，但電子權值股賣壓仍在，市場情緒偏向正面但尚未完全樂觀。,2025-07-21 02:39:17,1
2024-05-20,0.3,市場對未來獲利成長預期下修，營收表現疲弱引發中性偏空的市場情緒。,2025-07-21 02:39:19,1
2024-05-23,0.3,輝達財報優於預期激勵科技股上漲，但中共軍演與部分個股疲弱拖累大盤，市場情緒偏向正面但波動加劇。,2025-07-21 02:39:20,1
2024-05-27,0.6,權值股與 AI 概念股齊揚帶動大盤再創新高，市場情緒偏正面但仍需留意個別公司基本面表現。,2025-07-21 02:39:22,1
2024-05-31,0.4,台股指數創高後拉回，電子權值與 AI 概念股疲弱，市場情緒轉為謹慎。,2025-07-21 02:39:23,1
2024-06-01,0.6,輝達執行長親自訪台並表態重視在地合作，激勵市場情緒但短期效益有限。,2025-07-21 02:39:24,1
2024-06-02,0.9,輝達與多家台廠合作推出 Blackwell 架構 AI 系統，顯示台灣在全球 AI 產業鏈中扮演關鍵角色，激勵市場對相關供應鏈的正面情緒。,2025-07-21 02:39:26,1
2024-06-03,0.6,英特爾執行長基辛格來台並與多家科技大廠交流，凸顯台灣在全球科技產業的重要地位，有助提升市場對英業達等本土供應鏈的信心。,2025-07-21 02:39:27,1
2024-06-04,0.6,AI 技術發展與邊緣運算商機帶動市場信心，但短期營收展望仍受限於庫存調整壓力。,2025-07-21 02:39:28,1
2024-06-05,0.6,市場情緒偏正面，主要受惠於權值股台積電與鴻海的強勁表現，以及航運、生技等族群的買盤點火。然而英業達等 AI 伺服器概念股走勢疲軟，顯示個別股票仍有波動風險。整體而言，市場對於 AI PC 概念股的前景持樂觀態度，但也關注外資動向與貨櫃航運族群的表現。,2025-07-21 02:39:30,1
2024-06-07,0.9,營收創高且伺服器出貨展望樂觀顯示公司業務強勁，輝達新品訂單貢獻激勵市場情緒向上。,2025-07-21 02:39:31,1
2024-06-08,0.6,"輝達與台廠合作加速 AI 發展，鴻海、廣達等受惠，但地緣政治風險仍是隱憂。亞泥私有化中國子公司將改善營運結構並提升獲利能力。

====================",2025-07-21 02:39:33,1
2024-06-11,0.9,AI 伺服器需求強勁帶動業績成長，英業達再獲 Meta 大單顯示市場對 AI 產品的高度期待與信心。,2025-07-21 02:39:34,1
