date,factor,explanation,updated_time,news_count
2022-11-01,0.3,富士康鄭州廠爆發員工事件引發市場擔憂，但調高獎勵政策顯示公司積極應對，部分緩解負面情緒。,2025-07-21 02:45:53,2
2022-11-02,0.6,鄭州靜態管理雖不影響鴻海生產營運，但疫情仍為市場帶來一定的不確定性，短期內對股價造成壓力。,2025-07-21 02:45:54,2
2022-11-04,0.6,電子權值股跌勢收斂與航運、金融撐盤帶動加權指數翻紅，顯示市場情緒有所回溫，但三大法人合計賣超仍影響整體信心。,2025-07-21 02:45:56,1
2022-11-07,0.3,營收創高但第四季展望調降與鄭州廠疫情影響短期衝擊出貨動能，市場對鴻海後市信心略顯不足。,2025-07-21 02:45:57,2
2022-11-08,0.9,鴻海加碼投資電動車新創並成為最大股東，顯示對該公司營運前景的信心與長期發展策略的支持，激勵市場情緒走揚。,2025-07-21 02:45:58,1
2022-11-09,0.7,鄭州廠區解封有利營運恢復，但新台幣強勢升值可能對鴻海的匯損產生負面影響。,2025-07-21 02:46:00,2
2022-11-10,0.6,鄭州廠疫情影響短期毛利率表現，但長遠來看危機處理能力提升與客戶信任度加強將為公司帶來正面效益。,2025-07-21 02:46:01,2
2022-11-11,0.6,美股大漲激勵下指數跳空上漲跨越季線，多頭氣勢強勁且空手投資人眾多有利多方延續。,2025-07-21 02:46:02,1
2022-11-12,0.9,電動車產能擴張計畫與在地供應鏈發展策略展現鴻海積極搶攻電動車市場的決心，激勵正面市場情緒。,2025-07-21 02:46:03,1
2022-11-13,0.6,郭台銘力挺高虹安並表態支持新竹市科技發展，提升選情與市場信心；劉揚偉受邀出席 B20 峰會發表演說，凸顯鴻海國際能見度與影響力。,2025-07-21 02:46:05,2
2022-11-14,0.6,鴻海董事長在國際場合發表演說並分享產業經驗，展現公司領導地位與正面形象，有助於提升市場信心，但整體台股走勢強勁且權值股普遍上漲，顯示消息對個股影響有限。,2025-07-21 02:46:06,2
2022-11-16,0.3,市場情緒偏中性，電子股領漲但傳產與航運續弱，整體量能不足且半年線未站穩。,2025-07-21 02:46:08,1
