date,factor,explanation,updated_time,news_count
2022-11-01,0.6,電子股漲跌互見，面板雙虎強勢反彈，金融股撐盤，但外資賣超鴻海、聯電等權值股，投信買超友達等個股，市場情緒偏中性。,2025-07-20 22:30:24,2
2022-11-08,0.7,多檔權值股與半導體族群領漲帶動大盤上揚，加上航運類股強勢表現，整體市場情緒正面。,2025-07-20 22:30:26,1
2022-11-10,0.3,電子權值股走弱拖累大盤跌逾百點，但生技醫療類股強勢支撐櫃買指數，顯示部分族群仍有資金青睞。,2025-07-20 22:30:28,1
2022-11-11,0.6,營收表現優於預期與第四季展望符合預期的正面訊息抵銷了整體大環境對明年筆電出貨的保守看法，中性市場情緒短期內維持溫和上漲趨勢。,2025-07-20 22:30:30,3
2022-11-14,0.3,雖然部分個股表現亮眼，但整體市場展望仍偏向中性，短期內需留意漲多後的修正壓力。,2025-07-20 22:30:31,1
2022-11-23,0.6,受美中科技戰影響，台廠伺服器製造逐步轉移至中國以外地區，以分散風險並滿足客戶需求。主要業者如廣達、英業達等擴大墨西哥與東南亞產能，顯示供應鏈重組趨勢持續。,2025-07-20 22:30:34,1
2022-11-25,0.5,電子權值股疲弱與半導體測試介面需求強勁形成對比，整體市場情緒維持中性。,2025-07-20 22:30:35,1
2022-11-29,0.6,電子權值股回穩與傳產族群領漲帶動指數翻紅，市場情緒偏正面但仍有不確定性。,2025-07-20 22:30:36,1
2022-12-02,0.3,電子權值股普遍走跌拖累大盤，僅鴻家軍與缺電概念股逆勢上揚，市場情緒偏向中性。,2025-07-20 22:30:38,1
2022-12-07,0.6,雲端資料中心需求依然穩健且擴產計畫持續，但整體經濟環境不確定性與獲利了結賣壓使市場情緒溫和偏空。,2025-07-20 22:30:40,2
2022-12-15,0.3,外資買超航運與傳產股，賣超電子權值股，顯示市場對後市仍有疑慮，但對部分傳產股維持中性偏多態度。投信則集中買超鋼鐵、航運等類股，整體而言市場情緒略為正向但不強勁。,2025-07-20 22:30:42,1
2022-12-27,0.6,中國大陸解封激勵權值股與觀光類股表現，市場情緒轉趨樂觀，但成交量萎縮與漲多個股追高風險仍需留意。,2025-07-20 22:30:45,1
2023-01-05,0.3,Meta 下修資料中心訂單需求影響相關供應鏈動能，市場對廣達在該領域的營運前景存疑，引發短期獲利了結賣壓。,2025-07-20 22:30:47,1
2023-01-08,0.3,法說行情提振及尾牙活動帶動營收表現，整體展望仍有變數使市場情緒維持溫和偏多。,2025-07-20 22:30:48,1
2023-01-10,0.6,公司高層釋出正面展望與轉型計畫激勵市場信心，但受疫情影響尾牙規模縮減，整體氛圍略顯保守。,2025-07-20 22:30:50,2
2023-01-31,0.3,電子權值股普遍走跌拖累指數，但鴻海集團與傳產族群逆勢抗跌，整體市場情緒偏向中性。,2025-07-20 22:30:53,1
2023-02-03,0.6,台積電止穩帶動加權指數收紅，電子與金融族群漲跌互見，傳產股表現分歧，市場情緒維持中性偏多。,2025-07-20 22:30:54,1
2023-02-07,0.6,市場關注 FED 談話與權值股走勢疲軟壓抑指數，但電子、面板及傳產族群仍有個別強勢股支撐，整體維持中性偏多格局。,2025-07-20 22:30:56,1
2023-02-12,0.6,市場對聯準會升息趨緩期待降溫，加上重要法說與經濟數據即將公布，短期內市場情緒偏向中性。,2025-07-20 22:30:58,1
2023-03-08,0.3,市場情緒受到美股與電子權值股疲軟影響而轉為保守，但傳產指標股、AI概念股及車用電子族群支撐大盤跌幅收斂，顯示部分類股仍有資金青睞。,2025-07-20 22:31:02,1
2023-03-15,0.3,獲利表現符合預期但成長動能趨緩，展望保守與資本支出下滑壓抑市場信心。,2025-07-20 22:31:04,2
2023-03-20,0.3,電價調漲帶動綠能族群強勢表現，但電子權值股走弱與外資轉賣壓抑指數，三大法人合計賣超使市場情緒偏空。,2025-07-20 22:31:05,1
2023-03-21,0.9,市場情緒受美股反彈與電子權值股強勢表現激勵，多頭氣盛且買盤力道持續湧入，推升指數大漲並突破關鍵壓力區。,2025-07-20 22:31:07,1
2023-03-30,0.9,權值股普遍走揚，加上記憶體與網通族群強勢表現，激勵大盤突破 15800 點關卡，市場情緒樂觀。,2025-07-20 22:31:09,1
2023-04-10,0.6,3 月營收雙增但第一季仍衰退，市場對後市展望樂觀，但整體需求復甦力道尚待確認。,2025-07-20 22:31:11,1
2023-04-17,0.6,廣達擴產東南亞與雲端業務展望保守，拖累股價表現，但中小型股及傳產族群逆勢上漲，市場情緒偏向中性。,2025-07-20 22:31:13,2
2023-04-19,0.9,NB 市況回溫與第二季出貨成長激勵市場信心，法人上調評等帶動股價強勢反彈。,2025-07-20 22:31:15,1
2023-04-20,0.5,市場情緒維持中性，個股表現分歧，整體大盤指數小幅下跌，但仍處於類股輪動格局。,2025-07-20 22:31:16,1
2023-04-21,0.6,法說會釋出營收預警與展望符合預期，市場對利空反應鈍化，股價利空出盡後有望止穩。,2025-07-20 22:31:17,1
2023-04-23,0.3,市場氛圍偏空且外資賣超壓力仍在，法說行情表現將影響後續走勢。,2025-07-20 22:31:18,1
2023-04-24,0.6,廣達赴越南設廠計畫擴大，顯示公司積極分散產能以降低地緣政治風險，但第一季營收與出貨量雙減，市場對未來展望仍持審慎態度。,2025-07-20 22:31:20,2
2023-05-02,0.6,三大法人同步站在買方且外資偏好伺服器代工廠，激勵市場情緒但個股漲跌因素多元。,2025-07-20 22:31:22,1
2023-05-06,0.9,廣達在筆電、雲端與 AI 伺服器三大領域穩坐龍頭地位，展望未來成長潛力強勁，激勵市場對營運前景的正面期待。,2025-07-20 22:31:24,1
2023-05-09,0.3,仁寶與廣達 4 月營收年增且持續成長，但第二季出貨展望保守，市場對於電子產品需求前景仍有疑慮。,2025-07-20 22:31:25,2
2023-05-11,0.3,獲利表現優於預期但營收與出貨量衰退壓抑市場信心，展望保守且成長力道趨緩。,2025-07-20 22:31:27,1
2023-05-12,0.3,市場信心受美股下挫與台股走弱影響，個別公司財報表現雖優於預期但整體展望保守，短線多空力道拉鋸使市場情緒偏向中性。,2025-07-20 22:31:28,3
2023-05-13,0.9,廣達主要業務同步釋出樂觀展望，加上 AI 伺服器需求強勁與高價格優勢，激勵市場對未來成長前景的正面期待。,2025-07-20 22:31:30,1
2023-05-18,0.7,台積電領軍電子權值股走揚，加上傳產與觀光類股強勢表現，激勵市場情緒向上，但個別族群仍有波動，整體而言維持正面但不過度樂觀的氛圍。,2025-07-20 22:31:32,1
2023-05-19,0.9,展望樂觀與市場氣氛熱絡推升股價表現，廣達超車鴻海登上代工股王，顯示市場對其營運前景持正面看法。,2025-07-20 22:31:33,2
2023-05-22,0.6,市場情緒維持正面，但漲多後獲利調節賣壓出籠，加上美國債務上限問題仍待觀察，引發高檔震盪疑慮。,2025-07-20 22:31:35,2
2023-05-23,0.6,廣達赴墨西哥投資案引發市場關注，雖然具體效益尚待觀察，但正面消息提振股價表現，整體情緒偏向樂觀。,2025-07-20 22:31:36,2
2023-05-24,0.4,市場擔憂美債違約與電子權值股同步下挫，拖累廣達等指標股表現，整體大盤氣氛偏空。,2025-07-20 22:31:38,1
2023-05-25,0.9,輝達財報優於預期激勵相關概念股強勢走高，尤其是廣達等雲端運算族群表現亮眼，市場情緒正面。,2025-07-20 22:31:39,2
2023-05-28,0.6,AI 長線需求強勁與資金流入相關族群激勵市場情緒，但短期漲多後恐震盪加劇，需留意高檔賣壓風險。,2025-07-20 22:31:41,1
2023-05-29,0.9,多頭行情延續，權值股與人氣股齊揚帶動大盤突破新高，市場信心回升。,2025-07-20 22:31:42,2
2023-05-30,0.9,輝達執行長黃仁勳在 COMPUTEX 展中對廣達展望正面，強調生成式 AI 與加速運算為電腦業帶來的新契機與商機。,2025-07-20 22:31:44,1
2023-05-31,0.4,電子權值股與 AI 概念股同步走弱，市場觀望氣氛濃厚，指數一度跌逾百點，拖累廣達等個股表現。,2025-07-20 22:31:45,1
2023-06-01,0.3,權值股普遍走跌拖累大盤，電子權值股修正壓力仍在，加上高價股疲軟，市場情緒偏向保守。,2025-07-20 22:31:46,1
2023-06-02,0.7,台積電領軍電子權值股上攻，加上重電、AI 概念股點火，指數開高走高再創一年來新高，顯示市場情緒正面且對後市樂觀。,2025-07-20 22:31:47,1
2023-06-05,0.6,電子股普遍拉回整理，資金流向金融與傳產族群，中小型股撐盤，指數在16700點關卡震盪，顯示市場情緒偏正面但仍有不確定性。,2025-07-20 22:31:49,2
2023-06-07,0.9,權值股領漲與觀光族群強勢上攻推升指數大漲逾百點，站上 16900 點關卡，顯示市場情緒樂觀且信心回穩。,2025-07-20 22:31:51,3
2023-06-09,0.9,營收表現優於預期且第二季出貨成長可期，下半年展望樂觀激勵市場情緒與股價上漲。,2025-07-20 22:31:53,2
2023-06-11,0.6,廣達受惠 AI 伺服器需求強勁，股價大漲，但市場關注度集中於兩大代工廠的最新展望，除息行情及聯準會利率決策結果將影響隔日走勢。,2025-07-20 22:31:54,1
2023-06-13,0.9,權值股領軍衝鋒，電子族群全面走強，加上觀光類股助攻，大盤重返萬七大關，市場情緒維持正面。,2025-07-20 22:31:56,3
2023-06-14,0.5,電子股漲跌互見、大盤量能不足，市場觀望氣氛濃厚，短期內難以明顯偏多或偏空。,2025-07-20 22:31:57,1
2023-06-15,0.9,台積電領漲帶動電子權值股強彈，加上三大法人同步偏多操作，激勵市場情緒樂觀並推升指數走高。,2025-07-20 22:31:58,1
2023-06-16,0.9,AI 伺服器需求強勁，公司早期卡位獲得豐碩成果，加上汽車連結 AI 潛力無限，激勵市場對未來營運展望的正面情緒。,2025-07-20 22:32:00,3
2023-06-20,0.4,廣達等電子權值股領跌拖累大盤，市場情緒偏向保守。,2025-07-20 22:32:02,3
2023-06-21,0.6,權值股走勢分歧且成交量萎縮，市場觀望氣氛濃厚，但 AI 伺服器題材持續發酵，緯創、廣達領漲，為大盤增溫。,2025-07-20 22:32:03,1
2023-06-23,0.7,庫存去化跡象顯現與下半年需求回溫預期提振市場信心，但全年出貨量仍低於去年，營收增長力道有限。,2025-07-20 22:32:04,1
2023-06-26,0.3,台股下跌拖累廣達等電金權值股走勢疲弱，市場情緒偏向保守，但部分族群如遊戲、安控、造紙表現強勁，緩解部分賣壓。,2025-07-20 22:32:06,1
2023-06-28,0.6,電子三雄領漲激勵市場情緒，外資回補 AI 概念股與網通族群，但權值股漲幅有限，多頭力道略顯不足。,2025-07-20 22:32:08,2
2023-06-30,0.6,電子權值股普遍疲弱拖累大盤，但廣達等 AI 概念股強勢表現帶動市場情緒，整體呈現中性偏空。,2025-07-20 22:32:09,1
2023-07-24,0.3,營收與獲利表現符合預期但出貨展望保守，市場對下半年動能仍存疑慮。,2025-07-20 22:32:12,1
2023-07-25,0.7,AI 概念股領漲，搭配大型權值股如台積電、鴻海等助攻，激勵市場情緒向上且指數突破萬七關卡。,2025-07-20 22:32:13,3
2023-07-26,0.6,AI 概念股強勢表現與權值股撐盤挹注市場信心，但電子三雄疲弱及高價股重挫壓抑漲幅，整體市場情緒偏正面但波動加劇。,2025-07-20 22:32:15,2
2023-07-27,0.3,AI 概念股熄火與半導體族群領漲形成正負交錯，整體市場情緒偏中性，成交量放大有利多空表態。,2025-07-20 22:32:16,2
2023-07-30,0.9,AI 賽局持續加溫，市場資金湧入相關概念股，帶動股價上漲。分析師看好 AI 潮流，建議投資人把握機會ALL IN。,2025-07-20 22:32:18,1
2023-07-31,0.3,AI 概念股賣壓出籠拖累大盤走勢，但網通族群強勁表現及部分電子權值股支撐市場情緒，整體而言中性偏空。,2025-07-20 22:32:19,2
2023-08-01,0.5,廣達與醫療機構合作推出 AI 心電圖判讀平台，展現智慧醫療應用實力，市場對未來成長潛力持正向看待，但股價波動仍受整體大盤走勢影響。,2025-07-20 22:32:21,3
2023-12-01,0.6,AI 市場前景樂觀與產品創新帶動成長潛力，但缺料問題仍是短期不確定因素，整體市場情緒偏正面但波動加劇。,2025-07-20 22:32:31,2
2023-12-06,0.6,AI 概念股強勁反彈，重電與板卡族群表現亮眼，整體大盤指數上揚，市場情緒正面。,2025-07-20 22:32:33,1
2023-12-08,0.6,11 月營收創新高且筆電出貨改善提振市場信心，但 AI 伺服器成長受產能限制及明年下半年才有顯著貢獻，車用成長幅度有限。,2025-07-20 22:32:34,1
2023-12-19,0.3,外資買超力道減弱且電子權值股表現疲軟，拖累市場情緒，但航運類股強勁支撐大盤維持小跌。,2025-07-20 22:32:37,1
2023-12-20,0.9,PC 概念股強勁反彈，搭配權值股穩盤，激勵市場情緒樂觀，多頭氣勢回升。,2025-07-20 22:32:38,1
2023-12-21,0.6,AI PC 概念股如廣達、英業達等維持強勁漲勢，帶動市場情緒，但權值股與電子類股普遍疲軟，顯示資金輪動快速且不確定性仍在。,2025-07-20 22:32:39,1
2023-12-24,0.6,內外資籌碼對作與總統大選行情帶動個股表現，預期指數維持平穩但族群輪動快速。,2025-07-20 22:32:41,1
2023-12-25,0.9,AI PC 概念股全面走強，市場對明年成長動能樂觀期待，帶動電子五哥股價齊揚。,2025-07-20 22:32:42,1
2023-12-29,0.9,AI 概念股強勢表現與電子五哥全面走揚，顯示市場對於相關產業前景樂觀，激勵買盤積極卡位明年行情。,2025-07-20 22:32:44,2
2023-12-31,0.9,AI 題材持續發酵，多家電子五哥樂觀看待明年展望，尤其是 AI 伺服器成長動能強勁，帶動股價表現亮眼，整體市場情緒正面。,2025-07-20 22:32:45,1
2024-01-01,0.9,總統大選行情與外資買超力道強勁，元月行情啟動且上漲機率高，有利整體市場氣氛樂觀。,2025-07-20 22:32:47,1
2024-01-02,0.6,廣達遭遇獲利衰退與市場需求放緩的雙重打擊，股價大跌反映基本面疲弱，但航運、重電等族群撐盤助攻整體指數表現。,2025-07-20 22:32:48,1
2024-01-03,0.3,電子五哥遭外資與自營商聯手調節，籌碼面偏空，加上大盤重挫拖累，市場情緒轉趨保守。,2025-07-20 22:32:50,2
2024-01-04,0.7,AI 概念股強勢表現與電子類股整體走揚帶動市場情緒，惟個別公司業績展望不一致影響股價波動。,2025-07-20 22:32:51,3
2024-01-05,0.6,市場對明年景氣復甦與 AI PC 潛力樂觀，但缺料問題仍是短期隱憂，整體展望中性偏正面。,2025-07-20 22:32:53,2
2024-01-07,0.6,AI 伺服器概念股低位階補漲行情啟動，多檔個股有望展開波段反彈，但整體市場情緒仍偏中性。,2025-07-20 22:32:54,1
2024-01-08,0.6,電子五哥股價齊漲且籌碼動向穩定，加上 AI PC 成為 CES 展場焦點，激勵市場情緒與股價表現。,2025-07-20 22:32:55,1
2024-01-09,0.5,廣達營收衰退與市場展望保守引發短期獲利疑慮，但 AI 伺服器成長前景仍具正面效益，整體市場情緒維持中性。,2025-07-20 22:32:57,3
2024-01-10,0.6,AI PC 概念股與 IC 設計族群強勁表現挹注市場信心，惟電子權值股疲軟與航運股持續下跌壓抑整體走勢。,2025-07-20 22:32:59,1
2024-01-11,0.7,AI 概念股強勢反彈帶動大盤上漲，電子五哥中廣達與英業達表現亮眼，但營收月減與展望不明仍影響市場信心。,2025-07-20 22:33:00,3
2024-01-12,0.7,廣達與輝達合作加深，股價走強，三大法人連四買超，市場情緒偏正面，但仍需留意選前賣壓風險。,2025-07-20 22:33:02,2
2024-01-15,0.6,選後外資操作轉趨觀望，政策概念股與部分電子權值股獲得青睞，但整體買賣超金額有限，市場情緒仍偏向中性。,2025-07-20 22:33:04,2
2024-01-17,0.9,AI 概念股強勢表現與兩家公司對伺服器需求樂觀展望，激勵市場情緒向上且股價上漲。,2025-07-20 22:33:05,1
2024-01-18,0.3,台積電法說前獲利了結賣壓沉重，AI 概念股全面承壓，廣達、緯創等下挫逾 2%，但權值股普遍走紅，光電族群強勢表態。,2025-07-20 22:33:06,2
2024-01-19,0.9,AI 伺服器成長動能強勁、產能持續擴張與全球佈局展現公司對未來的信心，激勵市場情緒走揚。,2025-07-20 22:33:08,3
2024-01-22,0.9,AI 題材持續發酵，加上高層釋出正面展望，激勵市場情緒走揚並推升股價表現。,2025-07-20 22:33:10,1
2024-01-23,0.6,股價強勢反彈但漲幅收斂，市場對市值突破兆元仍持審慎態度。,2025-07-20 22:33:11,1
2024-01-25,0.7,AI 概念股強勢表態帶動市場情緒，廣達 等相關個股漲幅顯著，但整體漲勢仍受大盤走勢影響。,2025-07-20 22:33:12,1
2024-01-26,0.3,英特爾下修財測與 AI 需求展望保守拖累相關個股，廣達等 AI 族群承壓走低，但金融、觀光類股相對抗跌。,2025-07-20 22:33:13,2
2024-01-29,0.9,AI、AI PC 概念股強勢表現與台積電等權值股助攻，激勵大盤指數上漲逾百點，市場情緒樂觀。,2025-07-20 22:33:15,1
2024-01-30,0.9,美超微財測調升激勵 AI 伺服器供應鏈，廣達等台廠受惠營收展望樂觀，市場情緒偏正面。,2025-07-20 22:33:17,2
2024-01-31,0.3,AMD 財測不如預期影響 AI 族群表現，但整體市場情緒維持中性，主要因為財報展望仍對部分業務如 AI 晶片銷售前景樂觀。,2025-07-20 22:33:18,1
2024-02-04,0.6,投信積極進場 AI 族群並建立部位，外資持續買超科技股，市場對科技類股展望樂觀，但經濟數據與降息議題仍待觀察。,2025-07-20 22:33:20,2
2024-02-05,0.6,AI 概念股強勢上攻帶動大盤翻紅封關，但個別權值股表現分歧，神盾集團獲利了結賣壓沉重，市場情緒偏向中性。,2025-07-20 22:33:21,2
2024-02-06,0.7,電子五哥齊收紅，廣達等多檔 AI 概念股強勢表現，激勵市場情緒上揚。,2025-07-20 22:33:23,1
2024-02-15,0.6,營收與獲利衰退但 AI 概念股漲勢凌厲，市場對未來成長前景樂觀但短期波動仍大。,2025-07-20 22:33:25,2
2024-02-16,0.3,權值股疲軟拖累大盤走低，但中小型股及傳產類股撐盤，整體市場情緒維持溫和偏空。,2025-07-20 22:33:26,2
2024-02-18,0.6,輝達財報表現與外資動向牽動市場情緒，AI 概念股漲多拉回壓力增大，但整體維持正面展望。,2025-07-20 22:33:28,1
2024-02-19,0.3,AI 概念股走弱與權值股疲軟壓抑市場情緒，但重電族群強勁表現提供支撐，整體維持區間震盪格局。,2025-07-20 22:33:29,1
2024-02-20,0.6,權值股回神與族群輪動提振市場信心，惟個別產業仍有震盪調整壓力，整體情緒偏正但波動加大。,2025-07-20 22:33:31,2
2024-02-21,0.4,AI 概念股在輝達股價下挫拖累下走弱，市場信心受損，短期內對相關個股的表現形成壓力。,2025-07-20 22:33:32,2
2024-02-22,0.9,輝達財報優於預期激勵 AI 股全面走強，廣達等台廠受惠輝達展望樂觀且參與 GTC 大會，市場情緒正面。,2025-07-20 22:33:34,2
2024-02-25,0.6,外資買超金額大且集中度高，顯示市場對個股的青睞程度，但投信逢高調節 AI 族群，整體市場情緒仍偏中性。,2025-07-20 22:33:35,1
2024-02-26,0.6,展出 5G、AI 解決方案與伺服器系列，顯示公司持續投入新技術發展，有助於提升市場對未來成長動能的信心。,2025-07-20 22:33:37,2
2024-02-27,0.6,新品推出與市場需求前景樂觀帶動概念股漲勢，但整體大盤走勢疲弱且資金流向轉移，市場情緒偏中性。,2025-07-20 22:33:38,2
2024-03-01,0.6,電子權值股表現分歧，AI 概念股與散熱族群強勢上攻，傳產中重電族群休息，整體市場情緒偏正面但漲跌互見。,2025-07-20 22:33:40,1
2024-03-04,0.9,AI 伺服器需求強勁與產能問題緩解前景激勵市場信心，展望樂觀且對未來成長潛力充滿期待。,2025-07-20 22:33:41,1
2024-03-08,0.7,營收表現優於預期且第一季淡季不淡，市場對未來需求與產品線展望樂觀。,2025-07-20 22:33:43,1
2024-03-11,0.7,營收成長與權值股支撐帶動買盤湧入，但市場仍擔憂缺料問題及漲多拉回壓力，引發短期波動。,2025-07-20 22:33:44,2
2024-03-13,0.3,台股指數創高但漲勢收斂，電子權值股表現分歧，金融與重電族群撐盤，但中小型股普遍走弱，市場情緒偏向保守。,2025-07-20 22:33:46,1
2024-03-14,0.6,類股輪動與高價股強勢上攻提振市場信心，但個別權值股走勢分歧，多空交戰使指數漲跌互見。,2025-07-20 22:33:47,2
2024-03-15,0.7,獲利創高與營收表現亮眼顯示公司基本面強勁，激勵正面市場情緒。,2025-07-20 22:33:49,3
2024-03-17,0.6,外資買超權值股如鴻海、廣達等，顯示對後市仍具信心，但台積電回跌影響大盤表現，市場情緒偏向中性。,2025-07-20 22:33:51,1
2024-03-19,0.7,輝達 GTC 大會帶動 AI 族群強勢表現，多檔台廠受惠概念股齊揚，激勵市場情緒向上。,2025-07-20 22:33:52,2
2024-03-20,0.6,AI 伺服器需求強勁與車用 ECU 業務擴張帶動營運成長，投資衛星通訊業務展現多元佈局決心，但電子權值股普遍走跌使市場情緒趨於中性。,2025-07-20 22:33:54,2
2024-03-25,0.3,電子權值股普遍走跌拖累大盤，但傳產與中小型股表現強勁，市場情緒偏向中性。,2025-07-20 22:33:56,1
2024-03-26,0.3,電子權值股普遍疲軟，市場信心受挫，加上傳產與金融族群表現不一致，整體市場情緒偏向保守。,2025-07-20 22:33:57,1
2024-03-28,0.7,廣達獲利了結賣壓出籠，股價漲多拉回，但鴻海集團與權值股撐盤，整體市場情緒維持正面。,2025-07-20 22:33:58,2
2024-03-29,0.9,AI 伺服器需求強勁與美系 CSP 大單挹注激勵股價創高，下半年營收展望樂觀。,2025-07-20 22:34:00,3
2024-04-01,0.3,市場情緒偏中性，AI 概念股與權值股表現分歧，指數力守五日線但成交量萎縮。,2025-07-20 22:34:02,2
2024-04-02,0.9,台積電領軍的電子權值股強勁上漲帶動大盤創高，AI 概念股與半導體設備族群表現亮眼，廣達 受惠於市場情緒正面。,2025-07-20 22:34:03,1
2024-04-04,0.9,重大天然災害引發社會共鳴與集體情緒，企業善舉有助於提升品牌形象並激勵正面市場氛圍。,2025-07-20 22:34:04,1
2024-04-07,0.6,AI 人形機器人商機帶動相關台廠股價上漲，展望產業發展潛力與合作契機。,2025-07-20 22:34:06,1
2024-04-09,0.7,營收重返千億大關且第二季展望樂觀，AI伺服器需求強勁將提振市場信心。,2025-07-20 22:34:07,1
2024-04-11,0.3,AI 概念股漲多拉回影響市場信心，但台積電創高與重電族群強勢支撐大盤，整體維持中性偏多走勢。,2025-07-20 22:34:09,2
