date,factor,explanation,updated_time,news_count
2022-11-01,0.6,新旗艦晶片發表會題材激勵股價上揚，但整體市場情緒仍受大環境不確定性影響，短期內維持溫和樂觀。,2025-07-21 00:29:22,3
2022-11-02,0.6,電子權值股普遍走揚且超微概念股強勢表現提振市場信心，但聯準會利率決策將影響後市，短期內市場觀望氣氛仍濃。,2025-07-21 00:29:23,1
2022-11-03,0.3,市場情緒受到聯準會鷹派立場影響而轉弱，權值股普遍走跌，但中小型題材股與高價股表現相對強勁，整體呈現量縮狹幅震盪格局。,2025-07-21 00:29:24,1
2022-11-08,0.9,新旗艦晶片推出將帶動高階市場換機需求，搭配台積電製程優勢與先進散熱設計，激勵正面市場情緒並提振股價表現。,2025-07-21 00:29:26,1
2022-11-09,0.9,新台幣強勢升值與大盤反彈激勵下，電子權值股領軍上攻，半導體族群全面走揚，市場情緒樂觀，推動股價向上。,2025-07-21 00:29:28,2
2022-11-10,0.3,營收大幅衰退與展望下修引發市場信心動搖，但新產品推出與需求回溫跡象使短期影響有限。,2025-07-21 00:29:29,2
2022-11-11,0.9,美通膨數據樂觀激勵大盤強彈，權值股全面走揚且漲幅顯著，加上聯發科展望正向，市場情緒轉趨樂觀。,2025-07-21 00:29:31,3
2022-11-12,0.9,市場樂觀預期手機庫存將在第四季達高峰後回溫，加上執行長展望多元成長動能，激勵股價強彈突破700元大關，市值重返兆元。,2025-07-21 00:29:32,1
2022-11-14,0.6,聯發科執行長蔡力行表示將持續多元化佈局製造供應鏈，但這是一個「漸進式」過程，無意將供應鏈以任何形式移出台灣。市場對於公司營運展望維持中性看待。,2025-07-21 00:29:34,3
2022-11-15,0.9,強勁的技術研發實力與國際大會肯定有助提升公司形象，半導體產業前景穩健且持續創新，激勵市場對聯發科長期發展的正面情緒。,2025-07-21 00:29:36,3
2022-11-16,0.6,台積電領軍反彈激勵市場情緒，但傳產與金融股走弱、電子權值股震盪使指數未能站穩半年線，整體呈現高檔量縮整理格局。,2025-07-21 00:29:37,3
2022-11-17,0.6,台版晶片法案通過有利產業發展，但費半重挫拖累電子權值股表現，市場情緒偏向中性。,2025-07-21 00:29:39,3
2022-11-21,0.3,權值股普遍疲軟拖累大盤走勢，但遊戲與生技等中小型股逆勢抗跌，市場情緒偏向保守。,2025-07-21 00:29:40,1
2022-11-22,0.4,市場情緒偏空，股價承壓回測十日線支撐。,2025-07-21 00:29:41,1
2022-11-23,0.6,美股四大指數全面收漲帶動台股反彈，但電子權值熄火、市場觀望氣氛濃厚，貨櫃三雄與金融股撐盤，整體市場情緒偏中性。,2025-07-21 00:29:43,2
2022-11-24,0.8,聯發科領軍 IC 設計股強勢表現，加上台積電助攻，半導體中小型類股齊揚，推升大盤開高走高，收在 14784 點創逾 2 個月新高，三大法人合計買超 243.69 億元。,2025-07-21 00:29:45,3
2022-11-25,0.3,市場情緒受到高價股與部分族群回檔影響而轉為謹慎，但整體維持小幅上漲，顯示對台股後市仍有信心。,2025-07-21 00:29:46,1
2022-11-28,0.3,匯率走勢與經濟展望牽動市場信心，預期新台幣貶值壓力延續將對科技業出口造成衝擊，引發中性至略為負面的市場情緒。,2025-07-21 00:29:48,1
2022-11-29,0.6,電子權值股回穩與傳產族群領漲帶動指數翻紅，市場情緒偏正面但仍有不確定性。,2025-07-21 00:29:49,1
2022-11-30,0.9,新旗艦晶片天璣 9200 系列發布後，市場對中階處理器天璣 8200 系列的期待升溫，有望延續聯發科在手機市場的領導地位，激勵正面投資情緒。,2025-07-21 00:29:51,2
2022-12-01,0.6,美聯儲鴿派言論激勵全球股市大漲，台股開高走強，多頭氣勢旺盛，但權值股漲幅收斂，市場情緒偏正面但不過度樂觀。,2025-07-21 00:29:52,3
2022-12-02,0.3,電子權值股普遍走跌拖累大盤，但非電族群與個股零星點火支撐，整體市場情緒偏向保守。,2025-07-21 00:29:54,2
2022-12-05,0.9,電子權值股領漲、傳產權值股跟進、新台幣升破 30.5 元、今日成交量放大至 2600 億元，顯示市場信心回溫且資金行情持續發酵。,2025-07-21 00:29:55,1
2022-12-06,0.3,市場情緒偏弱，電子權值股普遍走低拖累大盤，但生技類股抗跌表現相對強勁。,2025-07-21 00:29:57,2
2022-12-07,0.3,市場觀望 FOMC 會議結果及終端利率預期，權值股普遍疲軟拖累大盤走跌，但金融與生技中小型股撐盤有限，短線漲勢放緩。,2025-07-21 00:29:58,2
2022-12-08,0.3,權值股疲弱拖累大盤走跌，電子三雄股價疲弱，加上金融與傳產股無力支撐，指數摜破月線，多頭陷觀望。,2025-07-21 00:30:00,3
2022-12-09,0.6,營收回溫與新產品發表提振市場信心，但獲利展望保守與產業庫存調整壓力仍在，短期內市場情緒偏向正面但不確定性猶存。,2025-07-21 00:30:02,3
2022-12-11,0.3,市場情緒維持中性偏空，外資賣超影響部分權值股表現，但年底作帳行情可期，個股輪動點火機會仍多。,2025-07-21 00:30:03,1
2022-12-12,0.6,市場觀望本週美國聯準會及台灣央行利率決策，權值股走勢疲弱，加上貨櫃航運族群表現不佳，拖累大盤失守月線，但金融股跌幅收斂，生技類股強勁反彈，整體市場情緒偏向保守。,2025-07-21 00:30:05,3
2022-12-13,0.3,市場觀望 CPI 數據公布及獲利了結賣壓影響，權值股普遍走弱，電子三雄下挫近 1%，加上高價股全面收跌，拖累大盤回測半年線支撐。,2025-07-21 00:30:07,1
2022-12-14,0.6,市場情緒受美股與主要權值股強勁表現激勵，聯發科有望跟隨大盤上揚，但短期漲幅有限。,2025-07-21 00:30:08,1
2022-12-15,0.3,外資報告對聯發科前景提出挑戰，包括中低階5G手機價格競爭加劇、中國手機出貨量持續低迷以及品牌自研晶片趨勢等因素，引發市場擔憂並壓抑股價表現。,2025-07-21 00:30:10,2
2022-12-16,0.3,市場情緒受美系外資降評與獲利展望調整影響而轉為中性，惟生技、航運等族群逆勢上揚提供支撐。,2025-07-21 00:30:11,2
2022-12-18,0.6,外資賣超主要權值股影響信心，但法人仍積極操作個股，年底前有望見個股輪動漲，整體維持區間震盪走勢。,2025-07-21 00:30:13,1
2022-12-20,0.3,市場情緒受到聯準會鷹派言論與外資放假影響而轉為中性，航運與鋼鐵類股扮演撐盤要角，但大盤指數仍持續在低點附近整理。,2025-07-21 00:30:14,2
2022-12-21,0.3,外資休假與資金動能轉弱壓抑多頭力道，加上電子權值股疲軟拖累大盤走勢，市場情緒偏空但短期反彈跡象浮現。,2025-07-21 00:30:16,2
2022-12-22,0.6,內資主導盤勢、傳產股強勁帶動大盤上漲，但電子權值股表現平平，市場情緒偏向樂觀但仍需留意年底前波動加大的風險。,2025-07-21 00:30:17,1
2022-12-23,0.3,市場信心受美股回落與聖誕節假期影響而下滑，加上多數權值股走弱，引發台股跌破半年線，呈現量縮走弱格局。,2025-07-21 00:30:19,1
2022-12-26,0.6,轉投資天擎掛牌上櫃吸引申購熱潮，市場高度關注掛牌表現，為聯發科股價帶來正面支撐。,2025-07-21 00:30:20,2
2022-12-27,0.6,中國大陸解封激勵權值股與觀光類股表現，市場情緒轉趨正面，但成交量萎縮與漲多個股追高風險仍需留意。,2025-07-21 00:30:22,1
2022-12-28,0.3,半導體權值股走弱拖累大盤，失守半年線及 5 日線，市場情緒偏向保守，但觀光族群表現強勁，部分抵銷電子股的賣壓。,2025-07-21 00:30:23,3
2022-12-29,0.3,權值股普遍疲軟拖累大盤，電子與金融族群同步走弱，但部分傳產與生技個股逆勢抗跌，市場情緒偏空但尚未全面失望。,2025-07-21 00:30:25,2
2022-12-30,0.6,雖然股價大幅修正，但經營層年底持股數量仍較年初增加，顯示對公司基本面信心，且明年第一季有望回補庫存，重返成長軌道，整體展望中性偏正。,2025-07-21 00:30:27,2
2023-01-03,0.7,權值股走勢分歧且台積電守住季線，聯發科反彈近3%，加上金融族群撐盤與CES展題材帶動板卡族群強漲，激勵市場情緒回升。,2025-07-21 00:30:28,2
2023-01-04,0.6,"電子權值股普遍疲軟拖累大盤，但中小型股如電力、內需消費題材股逆勢走揚，顯示市場信心尚未完全喪失。加上 OPPO 傳出將推自研晶片恐擠壓聯發科等供貨空間，對聯發科後市帶來不確定性因素。

0.5
美股全面下挫拖累台股開低，但中小型股如能源、網通族群強勢表現，顯示市場信心尚未完全喪失。加上晶圓代工雙雄翻紅穩盤，有助提振投資人情緒。",2025-07-21 00:30:32,3
2023-01-05,0.6,醫療器材產業展望樂觀且營收成長，激勵相關個股表現；但整體市場情緒仍受大環境影響而維持中性。,2025-07-21 00:30:34,2
2023-01-06,0.6,CES 展覽與新品展示帶來正面消息，但市場仍擔憂庫存調整問題，短期內股價可能在震盪整理。,2025-07-21 00:30:35,3
2023-01-08,0.9,Google 支援 RISC-V 代表安卓生態系轉向新架構的重大里程碑，將為相關 IP 供應鏈帶來龐大商機。,2025-07-21 00:30:37,1
2023-01-09,0.9,台積電領軍電子權值股強勁反彈，加上半導體、安控等族群齊揚，大盤量增價漲突破月線，市場情緒樂觀。,2025-07-21 00:30:38,2
2023-01-10,0.6,營收表現符合預期且中國解封後需求可望回升，激勵市場情緒但農曆年長假將至仍存在獲利了結風險。,2025-07-21 00:30:40,3
2023-01-11,0.6,電子股走勢分歧，台積電、大盤雙雙收黑，但聯發科強勁上漲，內資青睞櫃買市場，整體市場情緒偏中性。,2025-07-21 00:30:41,2
2023-01-12,0.6,電子權值股表現平穩且在平盤附近整理，原物料與金融類股撐盤下市場情緒溫和偏正面，但年節將近的賣壓仍是隱憂。,2025-07-21 00:30:43,2
