date,factor,explanation,updated_time,news_count
2022-11-01,0.6,亞股齊漲帶動台股上揚，半導體雙雄領軍，加上傳產穩盤與中小型股衝鋒，指數開低走高漲逾 70 點重返萬三，但個別權值股表現參差。,2025-07-20 20:55:42,2
2022-11-02,0.6,電子權值股與傳產族群領漲帶動指數回升至月線，但成交量低迷與聯準會利率決策將影響後市表現。,2025-07-20 20:55:44,2
2022-11-03,0.3,台積電領跌加上傳產疲弱拖累大盤，但部分電子股如緯穎、創意等逆勢抗跌，市場情緒偏向中性。,2025-07-20 20:55:45,1
2022-11-04,0.6,電子權值股跌勢收斂與航運、金融撐盤帶動加權指數翻紅，顯示市場情緒有所回溫，但三大法人合計賣超仍影響整體信心。,2025-07-20 20:55:47,1
2022-11-08,0.6,積極參與國際氣候變遷大會並分享節能減碳技術，展現企業永續發展決心，有助於提升市場正面形象。,2025-07-20 20:55:48,2
2022-11-10,0.6,公司展望電動車成長潛力強勁，營收倍增可期，但短期股價仍受大盤影響而震盪整理。,2025-07-20 20:55:50,2
2022-11-11,0.9,美國通膨數據樂觀與產業落底跡象顯示經濟軟著陸機率提高，激勵台股全面大漲並站上萬四關卡，電子權值股強勢表現帶動市場情緒轉趨正面。,2025-07-20 20:55:51,1
2022-11-14,0.9,權值股普遍上揚帶動大盤指數勁揚，電子與傳產類股齊步走強，顯示市場情緒樂觀且對台股後市看好。,2025-07-20 20:55:53,1
2022-11-15,0.9,台積電強彈帶動半導體族群齊揚，外資回流與三大法人買超激勵市場信心，多頭氣勢再起。,2025-07-20 20:55:54,1
2022-11-21,0.3,權值股普遍疲軟拖累大盤走勢，但遊戲與生技等中小型股逆勢抗跌，市場情緒偏向保守。,2025-07-20 20:55:56,1
2022-11-23,0.6,電子權值股表現平穩，貨櫃三雄與金融股領軍上攻，多頭格局延續且成交量放大，市場情緒偏正面。,2025-07-20 20:55:57,1
2022-11-24,0.6,台達電創波段新高，多頭走勢持續，但整體市場仍有轉弱跡象，個股輪動快速，需留意後市變化。,2025-07-20 20:55:59,1
2022-11-25,0.6,電子權值股疲弱拖累大盤，但電動車概念股與半導體測試介面族群強勢上漲，整體市場情緒偏向正面但震盪。,2025-07-20 20:56:00,1
2022-11-28,0.3,選後第一個交易日市場觀望氣氛濃厚，加權指數開低走低，電子權值股普遍回檔修正，金融與傳產族群也同步疲軟，整體盤勢偏空。,2025-07-20 20:56:02,1
2022-11-29,0.6,電子權值股回穩與傳產族群強勢表現帶動指數翻紅，市場情緒偏正面但仍有不確定性。,2025-07-20 20:56:03,1
2022-11-30,0.6,權值股普遍上漲，成交量放大，加上元宇宙題材助攻，整體市場情緒偏正面，但塑化類股漲多休息使漲幅受限。,2025-07-20 20:56:04,2
2022-12-04,0.6,12 月通常漲多跌少且資金行情升溫，加上外資買超力道強勁，整體市場氛圍偏向樂觀。,2025-07-20 20:56:06,1
2022-12-07,0.3,市場情緒偏空，電子權值股承壓，但金融與生技類股撐盤，整體呈現震盪走低格局。,2025-07-20 20:56:08,2
2022-12-08,0.6,11 月營收創同期新高但第四季展望保守，市場對未來成長力道存疑。,2025-07-20 20:56:09,1
2022-12-09,0.6,電子三雄領軍與傳產指標股強勢表現帶動大盤上漲，月線得而復失，市場情緒偏正面但仍存在不確定性。,2025-07-20 20:56:10,1
2022-12-16,0.6,台股下跌影響整體市場情緒，但貨櫃三雄與水泥雙雄逆勢上揚，以及生技類股表現強勁，緩解部分賣壓。,2025-07-20 20:56:12,1
2022-12-23,0.3,市場信心受美股回落與聖誕節假期影響而下滑，加上多數權值股走弱，台達電等個股也同步疲軟，整體市場情緒偏向保守。,2025-07-20 20:56:14,1
2022-12-27,0.6,權值股普遍走揚且觀光族群強勁反彈帶動市場情緒回升，但漲幅收斂與個別類股拉回使整體漲勢趨緩。,2025-07-20 20:56:16,2
2022-12-29,0.3,台股早盤大跌後走高，權值股普遍疲軟，但部分電子與傳產個股逆勢上漲，整體市場情緒偏向保守但未完全失去信心。,2025-07-20 20:56:17,1
2022-12-30,0.6,權值股穩盤與解封概念股強勢表現提振市場信心，但生技族群利空衝擊使整體情緒偏向中性。,2025-07-20 20:56:19,2
