date,factor,explanation,updated_time,news_count
2022-11-04,0.7,法說會釋出正面展望與財報表現符合預期，激勵市場情緒但仍需留意 ABF 載板供給、中國營收比重等潛在風險。,2025-07-20 17:14:10,2
2022-11-07,0.9,美中晶片禁令影響有限，加上超微新品助攻台積電，ASIC、IP 概念股強勢漲停，市場對世芯 - KY 未來成長前景樂觀。,2025-07-20 17:14:12,1
2022-11-22,0.4,市場情緒偏空，權值股普遍疲軟，加上矽智財與 ASIC 族群遭遇獲利了結賣壓，拖累大盤走勢。,2025-07-20 17:14:14,1
2022-12-07,0.3,市場情緒受到美股下挫與經濟風險升溫的影響而轉為保守，世芯 - KY 股價承壓。,2025-07-20 17:14:17,1
2022-12-08,0.3,市場觀望氣氛濃厚，權值股疲軟拖累大盤走跌，但個別題材股如再生能源與觀光類股表現強勁，整體市場情緒偏向保守。,2025-07-20 17:14:18,1
2022-12-09,0.9,"多家台廠11月營收創新高，顯示產業基本面穩健，帶動相關個股股價走揚。

====================",2025-07-20 17:14:19,1
2023-01-03,0.6,權值股走勢分歧且多數疲軟拖累大盤，但世芯領軍的 IC 設計族群強勁反彈，資金明顯轉進，提振市場信心。,2025-07-20 17:14:23,1
2023-01-16,0.9,美元走弱與新台幣強升帶動科技股表現，ASIC 與 IP 族群領漲，市場對半導體後市展望樂觀。,2025-07-20 17:14:26,1
2023-01-31,0.3,大盤漲多調節與台積電走弱拖累指數回測年線，但個股仍有強勢表現，市場等待 FOMC 會議結果，短期行情面臨觀望。,2025-07-20 17:14:28,1
2023-02-01,0.6,台股反彈行情延續，權值股與高價股齊揚，加上 IC 設計族群輪動表現強勁，激勵市場信心回溫。,2025-07-20 17:14:30,1
2023-02-07,0.6,IP 概念股領軍衝鋒，加上權值股撐盤，市場情緒偏正面，但個別族群強弱分歧，整體漲勢仍有待量能配合。,2025-07-20 17:14:32,2
2023-02-08,0.9,IC 設計族群強勁反彈，展望樂觀與資金回流激勵市場情緒，多檔個股重返千金行列。,2025-07-20 17:14:33,2
2023-02-09,0.3,權值股普遍疲弱拖累指數維持低檔整理，千金股賣壓出籠，但軍工概念與 AI 軟體題材支撐部分個股表現。,2025-07-20 17:14:35,1
2023-02-24,0.3,市場情緒受到 MSCI 季度調整與連假因素影響而轉為中性，權值股普遍走弱但高價股仍有亮點。,2025-07-20 17:14:37,1
2023-03-03,0.4,美系外資調降世芯目標價，市場擔憂族群獲利前景，引發賣壓出籠，拖累股價重挫。,2025-07-20 17:14:39,1
2023-03-06,0.6,台積電、聯發科等權值股領漲，加上大立光強彈與軍工概念股表現亮眼，激勵市場信心回升，但高價股走勢分歧，顯示整體情緒仍偏謹慎。,2025-07-20 17:14:41,1
2023-03-09,0.7,半導體族群領漲，尤其是晶圓代工與 IC 設計股強勁表現，顯示市場對相關產業前景仍持樂觀態度。,2025-07-20 17:14:42,1
2023-03-10,0.3,美股重挫拖累台股大跌失守月線，權值股與電子指標普遍走低，但部分個股逆勢抗跌，顯示市場信心尚未完全喪失。,2025-07-20 17:14:44,1
2023-03-15,0.9,強勁的財報表現、對未來成長的樂觀展望以及車用市場潛力激勵市場情緒，投資人看好公司基本面與前景。,2025-07-20 17:14:46,2
2023-03-18,0.9,強勁的 HPC 需求與量產動能帶動營收成長，股價創下 14 個月新高，市場對未來獲利展望樂觀。,2025-07-20 17:14:47,1
2023-03-20,0.4,市場對於 AT1 債券註銷事件反應謹慎，金融股走勢疲弱拖累大盤，雖然部分科技股維持強勁，但整體信心仍有待恢復。,2025-07-20 17:14:49,1
2023-03-22,0.9,強勁的營收成長、樂觀的展望以及多項利多消息激勵市場情緒，預期將帶動股價上揚。,2025-07-20 17:14:50,2
2023-03-31,0.6,市場情緒偏多且個股輪動活躍，記憶體與設計 IP 等族群表現強勁，但大盤未能站穩萬六關卡，技術面仍受壓抑。,2025-07-20 17:14:52,1
2023-04-10,0.9,營收創高與成長動能強勁反映市場需求暢旺，AI/HPC/車用等多元應用帶動未來展望樂觀。,2025-07-20 17:14:54,1
2023-04-13,0.1,美股拖累加上電子權值股走弱，台積電跌破季線等利空因素疊加，引發市場負面情緒與大盤重挫，短期內投資人信心受損。,2025-07-20 17:14:56,1
2023-04-18,0.3,市場觀望氣氛濃厚，高價股與權值股普遍走弱，台積電法說會結果將影響後市，但部分中小型股如 PMIC 相關業者展現反彈力道。,2025-07-20 17:14:58,1
2023-04-25,0.3,IP 股普遍走跌，尤其是世芯 - KY，受到市場對相關族群的負面情緒影響，短期內股價可能承壓。,2025-07-20 17:15:00,1
2023-05-03,0.6,市場情緒受到大盤走勢與個股表現影響，整體呈現中性偏空態勢。,2025-07-20 17:15:01,1
2023-05-08,0.9,台積電領軍上攻帶動加權指數強勁反彈，多檔電子股齊揚，市場情緒樂觀，推升整體股價向上。,2025-07-20 17:15:03,1
2023-05-09,0.9,法說展望樂觀且營收持續創高，顯示公司基本面強勁且成長動能穩健，激勵市場情緒與股價上漲。,2025-07-20 17:15:04,2
2023-05-10,0.4,電子股疲弱拖累大盤走低失守月季線，但世芯逆勢上漲支撐市場情緒。,2025-07-20 17:15:06,2
2023-05-12,0.3,市場情緒偏弱，權值股疲軟拖累大盤，但高價股與部分概念股撐盤有限，整體呈現跌勢。,2025-07-20 17:15:07,1
2023-05-15,0.3,雖然公司基本面表現尚可，但市場對於產業前景仍存在疑慮，導致股價波動加劇。,2025-07-20 17:15:08,1
2023-05-16,0.9,權值股領漲激勵市場信心，多頭氣勢強勁推升大盤突破短均並重返季線之上。,2025-07-20 17:15:10,1
2023-05-18,0.7,台積電領軍電子權值股上攻萬六關卡，帶動加權指數強勁反彈，市場情緒回溫但仍需觀察後續量能與個股表現。,2025-07-20 17:15:11,1
2023-05-20,0.9,同業領漲帶動股價創高，市場對 ASIC 市場前景樂觀，激勵正面情緒。,2025-07-20 17:15:12,1
2023-05-22,0.3,大盤漲勢歇息，權值股走弱拖累指數，但觀光與航運類股表現亮眼，高價股疲軟，市場情緒偏中性。,2025-07-20 17:15:13,1
2023-05-29,0.7,AI 概念股強勢上攻，輝達執行長來台助漲市場情緒，加權指數創近一年新高，但台積電休息震盪使漲幅收斂。,2025-07-20 17:15:16,2
2023-05-31,0.4,電子權值股與 AI 概念股同步走弱，市場觀望氣氛濃厚，指數一度跌逾百點，世芯 - KY 等個股也承壓修正。,2025-07-20 17:15:17,1
2023-06-06,0.3,台積電穩盤帶動大盤上漲，但高價股普遍疲軟，市場情緒偏向保守，預期成交量萎縮將抑制短線漲勢。,2025-07-20 17:15:19,1
2023-06-07,0.9,熱錢湧入與權值股領漲激勵市場信心，多頭氣勢強勁推升指數創波段新高。,2025-07-20 17:15:20,1
