date,factor,explanation,updated_time,news_count
2022-11-04,0.8,"公司針對美國商務部工業與安全局 (BIS) 的新禁令表示影響有限，且看好明年 ABF 載板供給不再是問題，並獲得台積電的大力支持，取得的 CoWoS 產能不像今年吃緊。同時也持續布局非中國市場，降低單一客戶比重過高風險。

0.7
第三季財報顯示稅後純益創下歷史次高，每股稅後純益達 6.2 元，前三季合計達 18.53 元，續創同期新高。營收、毛利率與營益率均優於預期。",2025-07-06 17:25:13,2
2022-11-07,0.9,美對中晶片禁令影響有限，加上超微新品採用台積電5奈米製程，帶動世芯 - KY 股價亮燈漲停。第三季營收與獲利雙創高點，顯示公司營運狀況良好。,2025-07-06 17:25:15,1
2022-11-22,0.2,世芯-KY股價下挫，顯示市場情緒偏向保守。,2025-07-06 17:25:17,1
2022-12-07,0.2,台股整體疲軟，世芯 - KY 下跌主因為電子類股表現疲弱。,2025-07-06 17:25:20,1
2022-12-08,0.5,台股震盪走跌，電子權值股有壓，但部分個股如世芯-KY仍獲得買盤青睞。再生能源族群受惠政策利多，表現強勁。整體而言，市場情緒偏中性，無明顯漲跌傾向。,2025-07-06 17:25:21,1
2022-12-09,0.9,多家台廠11月營收創新高，顯示市場需求強勁，預期將帶動股價上漲。,2025-07-06 17:25:23,1
2023-01-03,0.8,IC 設計族群跌深反彈，世芯 - KY 強漲超過 6%，重返半年線，成交值登山全台股第三名。,2025-07-06 17:25:26,1
2023-01-16,0.9,台積電釋出下半年新品與復甦訊號，加上美元走弱帶動新台幣強升，推升台股表現，ASIC 與 IP 族群如創意、世芯 - KY 等同步走揚。,2025-07-06 17:25:29,1
2023-01-31,0.5,台股漲跌互見，世芯小幅下跌，整體市場偏中性。,2025-07-06 17:25:32,1
2023-02-01,0.8,世芯 - KY 表現強勢，股價上漲，顯示市場對公司有正面看法。,2025-07-06 17:25:34,1
2023-02-07,0.6,市場情緒偏正面，但電子權值股走弱，指數量縮震盪。,2025-07-06 17:25:35,2
2023-02-08,0.9,IC 設計族群強勁反彈，聯詠釋出樂觀展望，帶動市場情緒正面。,2025-07-06 17:25:37,2
2023-02-09,0.3,世芯 - KY 在千金股普遍走跌下，盤中跌破千元價位，顯示市場對該公司的信心略有動搖。,2025-07-06 17:25:38,1
2023-02-24,0.3,高價股普遍走跌，世芯-KY 下跌，市場情緒偏向保守。,2025-07-06 17:25:41,1
2023-03-03,0.2,市場關注美國商務部將中國企業列入實體清單，世芯 - KY 同步下挫超過 3%，引發投資人擔憂。,2025-07-06 17:25:42,1
2023-03-06,0.5,台股今日漲幅超過 155 點，世芯雖然下跌，但在多數個股上漲的情況下，對市場整體影響有限。,2025-07-06 17:25:44,1
2023-03-09,0.8,IC 設計股普遍走揚，世芯 - KY 漲幅顯著，顯示市場對該產業前景樂觀。,2025-07-06 17:25:45,1
2023-03-10,0.3,世芯 - KY 等電子指標股同步下跌，顯示市場對科技類股整體情緒偏向保守。,2025-07-06 17:25:47,1
2023-03-15,0.8,世芯 - KY 營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 17:25:48,2
2023-03-18,0.9,受惠美系客戶 HPC 晶片需求強勁，帶動世芯 - KY 年營收挑戰 8 億美元，年增超過 7 成，股價大漲創下 14 個月新高。,2025-07-06 17:25:50,1
2023-03-20,0.6,IC 設計族群領頭下，推升櫃買指數走勢突出，世芯 - KY 繼續上漲 3%，顯示市場對相關個股仍有正面情緒。,2025-07-06 17:25:51,1
2023-03-22,0.9,世芯 - KY 營收持續成長，展望今年營收創新高，且在 HPC、AI 等領域擁有強勁需求與訂單，整體市場情緒正面。加上台股今日表現強勁，權值股與高價股齊漲，有利世芯 - KY 股價走勢。,2025-07-06 17:25:54,2
2023-03-31,0.8,設計 IP 族群買盤強勢，世芯 - KY 大漲超過半根停板，顯示市場對該公司營運前景樂觀。,2025-07-06 17:25:56,1
2023-04-10,0.9,受惠北美市場需求強勁，帶動營收創高，且未來量產與 NRE 業績持續成長，顯示公司前景樂觀。,2025-07-06 17:25:58,1
2023-04-13,0.2,電子股普遍走弱，世芯 - KY 同樣下跌，顯示市場對相關個股的信心不足。,2025-07-06 17:25:59,1
2023-04-18,0.2,高價股普遍走弱，世芯 - KY 重摔近半根，市場情緒偏向保守。,2025-07-06 17:26:00,1
2023-04-25,0.2,IP 股普遍走跌，世芯 也無法倖免，顯示市場對該族群的信心不足。,2025-07-06 17:26:02,1
2023-05-03,0.5,世芯 - KY 下跌超過 2%，顯示市場對該公司的投資情緒偏向保守。,2025-07-06 17:26:04,1
2023-05-08,0.5,世芯 - KY 漲幅有限，表現平平，但整體台股走揚，電子類股普遍上漲，顯示市場情緒偏中性。,2025-07-06 17:26:05,1
2023-05-09,0.9,營收持續創高，毛利率回升，展望樂觀，新案件洽談進度良好，長期成長動能強勁。,2025-07-06 17:26:07,2
2023-05-10,0.4,電子股疲弱，世芯 - KY 逆勢大漲 5.5%，但整體市場仍偏保守。,2025-07-06 17:26:08,2
2023-05-12,0.6,高價股如世芯-KY維持強勢表現，部分抵銷權值股疲軟影響。,2025-07-06 17:26:10,1
2023-05-15,0.3,台股整體表現疲弱，世芯 - KY 仍有營收衰退疑慮，市場情緒偏向保守。,2025-07-06 17:26:11,1
2023-05-16,0.8,權值股強勢反彈，帶動高價股普遍走強，世芯 - KY 在買盤追捧下大漲。,2025-07-06 17:26:12,1
2023-05-18,0.8,電子權值股普遍走揚，世芯-KY同步上漲，顯示市場情緒偏正面。,2025-07-06 17:26:13,1
2023-05-20,0.9,創意正面展望帶動同業世芯 - KY 股價上漲。,2025-07-06 17:26:14,1
2023-05-22,0.5,世芯 - KY 下跌 2.56%，表現疲軟，但整體大盤走勢平穩，權值股與高價股普遍下跌。,2025-07-06 17:26:16,1
2023-05-29,0.8,台股延續上週行情，AI 概念股持續發燙，帶動市場情緒正面。,2025-07-06 17:26:18,2
2023-05-31,0.2,世芯 - KY 股價下跌，顯示市場對其表現持保守態度。,2025-07-06 17:26:19,1
2023-06-06,0.3,高價股普遍下跌，顯示市場情緒偏向保守。,2025-07-06 17:26:20,1
2023-06-07,0.9,台股全面上揚，權值股與高價股齊強，觀光類股表現亮眼，顯示市場情緒正面。,2025-07-06 17:26:21,1
2023-06-08,0.8,世芯 - KY 營收持續創高，新案件洽談進度良好，預期未來營運成長動能強勁。,2025-07-06 17:26:23,2
2023-06-09,0.8,總經理沈翔霖表示，公司已取得另一家美系雲端大廠的敲門磚，期望年底前會有好消息，再加上未來車用業務發酵，將形成營運「三支腳」。展望全年，沈翔霖看好，今年營收將持續成長，全年營收 8 億美元的目標不變。,2025-07-06 17:26:25,3
2023-06-13,0.8,電子權值股普遍走強，帶動市場情緒正面。,2025-07-06 17:26:26,1
2023-06-17,0.8,ASIC 產業長期成長趨勢不變，世芯 - KY 在市場地位獲得青睞，股價上漲。,2025-07-06 17:26:27,1
2023-06-18,0.7,AI 產業鏈各廠商釋出正面展望，顯示市場對 AI 應用前景樂觀，帶動相關個股漲勢。,2025-07-06 17:26:30,1
2023-06-26,0.6,世芯 - KY 引入緯創等策略投資者，顯示公司營運狀況良好，並尋求與科技大廠合作，未來股本估計增加近 2%，有利於市場情緒。,2025-07-06 17:26:32,1
2023-06-27,0.6,世芯 - KY 與緯創的合作案引發市場關注，顯示公司在 AI 領域的發展前景良好，但整體市場情緒受到大盤影響而偏向保守。,2025-07-06 17:26:34,1
2023-06-29,0.7,台股今日漲幅主要來自於高價 IC 設計世芯 - KY、創意，以及記憶體華邦電、南亞科等個股的帶動，顯示市場對這些公司前景仍持正面看法。,2025-07-06 17:26:35,1
2023-07-25,0.8,AI 概念股普遍上漲，世芯 - KY 漲幅顯著，帶動市場情緒正面。,2025-07-06 17:26:38,1
2023-07-31,0.3,世芯 - KY 下跌 5% 以上，顯示市場對該公司的信心不足。,2025-07-06 17:26:40,1
2023-12-09,0.6,世芯 - KY 股價雖然下跌，但整體市場情緒仍偏正面，主要是因為 AI 伺服器需求強勁，帶動相關供應鏈股價上漲。,2025-07-06 17:26:51,2
2023-12-12,0.8,半導體產業循環觸底反彈，世芯 - KY 等多檔個股獲得外資力挺。,2025-07-06 17:26:53,1
2023-12-19,0.4,高價股普遍走弱，世芯 - KY 回測月線支撐，顯示市場情緒偏向保守。,2025-07-06 17:26:54,1
2023-12-20,0.9,明年在供應商支持下，已取得更多 CoWoS 產能，客戶主力量產案件也將從 7 奈米升級至 5 奈米，進一步推升營收與獲利再優於今年、續創新高。,2025-07-06 17:26:56,2
2023-12-21,0.8,世芯總經理看好明年營收獲利優於今年、續創新高，且客戶主力量產案件將從7奈米升級至5奈米，有利市場情緒正面。,2025-07-06 17:26:57,1
2023-12-22,0.8,ASIC 族群普遍上漲，顯示市場對相關產業前景樂觀。,2025-07-06 17:26:58,1
2023-12-29,0.9,AI 概念股全面走強，世芯 - KY 為領頭羊，帶動相關族群大漲。,2025-07-06 17:27:00,1
2023-12-30,0.9,AI 概念股強勢表現，帶動市場情緒正面。,2025-07-06 17:27:01,1
