date,factor,explanation,updated_time,news_count
2022-11-01,0.6,電子股普遍上揚，光寶科漲幅超過4%，顯示市場對相關個股情緒偏正面。,2025-07-06 18:17:26,1
2022-11-07,0.6,營收與獲利雙創高點，顯示公司營運狀況良好，但對明年展望相對保守，預期帶動市場情緒正面。,2025-07-06 18:17:28,1
2022-11-14,0.8,全球產能布局加速，新廠啟用帶動市場正面情緒。,2025-07-06 18:17:29,1
2022-12-05,0.9,11 月營收持平，第四季預估成長 3 成且明年持續專注拓展長期成長領域，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 18:17:33,1
2023-01-06,0.6,整體而言，光寶科去年第四季與全年的營收表現皆維持正成長，展望今年將專注拓展雲端、車用電子、高階光耦合器等長期成長領域，以抵抗總體經濟波動。三大業務中，光電事業、雲端及物聯網事業營收均較去年同期成長，資訊及消費性電子部門則因產品組合優化而維持穩定表現。整體來看，公司營運狀況良好，預期帶動市場情緒正面，但仍需留意總體經濟的影響。,2025-07-06 18:17:39,1
2023-01-11,0.3,電子股普遍走低，僅少數個股抗跌，整體市場情緒偏向保守。,2025-07-06 18:17:40,1
2023-02-07,0.3,1 月營收月減 20%、年減 26.3%，顯示公司營運狀況受到春節工作天數減少影響，市場情緒偏保守。,2025-07-06 18:17:45,1
2023-02-09,0.7,電子指標股表現較強，其中光寶科漲幅居前，顯示市場對相關個股情緒正面。,2025-07-06 18:17:46,1
2023-02-21,0.6,"光寶科去年財報亮眼，獲利成長2%，展望今年雲端、光電等業務持續成長，但資通訊產品下滑，加上部分客戶調整庫存，上半年營收將較去年同期下滑。公司積極擴產因應車用充電樁需求，目標明年營收比重超過10%。

====================

以下是提供的新聞資訊 :
光寶科 (230-TW) 今 (21) 日公布去年第四季財報，並召開法說會，公司表示，受惠雲端電源、車用電子出貨帶動，去年稅後純益 141.5 億元，年增 2%，每股純益 6.19 元；董事會並決議去年第四季擬配息 3 元。


董事會今也決議，去年第四季擬發放 3 元現金股利，加上去年上半年發放的 1.5 元，全年每股現金股利共發放 4.5 元，以今日收盤價 69.8 元計算，現金殖利率 6.4%。


光寶科去年四季營收 430.9 億元，季減 7%、年減 3%，毛利率 19.5%，與前季持平，年增 2.2 個百分點，營益率 7.7%，季減 1.8 個百分點、年減 0.4 個百分點，稅後純益 38.47 億元，季減 9%、年增 53%，每股純益 1.68 元。


光寶科全年營收 1734.5 億元，年增 5%，毛利率 19.2%，年增 0.7 個百分底，營益率 8.7%，年增 1.2 個百分點，稅後純益 141.5 億元，年增 2%，每股純益 6.19 元。


光寶科表示，去年第四季雲端電源、車用電子業務營收分別較前一年同期成長 31%、48%，獲利也成長 2.2 個百分點，另外，影像事業也完成營業讓與，更聚焦光電、雲端、資通訊三大事業群。 


至於去年全年，光寶科指出，受惠雲端車用電子與高階光耦合器皆成長，帶動營收、獲利同步提升。


光寶科持續聚焦核心業務成長，光電、雲端業務營收總和已超過 900 億元，其中光電光耦合器三年 CAGR 12%，車用電子 CAGR 達 22%，雲端物聯網 7%，雲端電源 32%。


光寶科去年光電部門、雲端與物聯網營收比重已達 53%，公司指出，未來將持續朝光電 4 成、雲端 3 成、消費性電子 3 成的目標邁進，帶動獲利向上。

---

光寶科 (2301-TW) 今 (21) 日召開法說會，展望今年，總經理邱森彬表示，由於資通訊產品下滑，加上雲端部分客戶調整庫存，今年產業逐步回歸至疫情前規律，上半年營收將較去年同期下滑，不過全年仍可望優於去年。


邱森彬指出，去年第四季起，消費性電子市況顯著放緩，拖累資通訊事業表現，今年 PC 市況方面，預計上半年將持續去化庫存，下半年可望逐步好轉，但全年市場要比去年成長仍有難度。


不過，邱森彬仍看好光電、雲端應用，預計光電、雲端與物聯網事業群，將較去年成長 1-2 成，其中資料中心電源今年要再拿下新客戶，預計將帶動雲端電源營收較去年成長 3 成。


儘管近期傳出伺服器晶片上游有砍單雜音，邱森彬表示，近期電源設備銷售可望增溫，由於目前公司仍處於開拓市占率階段，ASP、銷量都正在增加。


充電樁方面，邱森彬表示，美國政策正在帶動當地充電樁建置，將會積極擴產因應，目標車用產品 (充電樁、車載式電池充電器、車用照明等) 明年營收比重可望超過 10%，成為未來一大動能。

---

光寶科 (2301-TW) 今 (21) 日召開法說會，公司表示，將持續建立多元生產基地，越南第二期擴廠已開始進行，不過，美國廠由於當地政府供電分配不符公司要求，正在申請增容，預計將延後至第三季量產。


光寶科指出，越南新廠將先負責資通訊、網通產品，因應地緣政治風險，未來也有一部分雲端產品將移至越南，預計越南未來將是中國以外最大生產中心。


另一方面，美國廠持續建置中，不過，由於 30KW 充電樁需要一定的電力需求，目前該場不符公司要求正在申請增容，預計量產時間將較原先預估第二季延後。


光寶科也宣布，高雄研發中心二期將開始擴產，預計 2025 年完工，二期規劃 14 樓，將生產車用產品，目前高雄廠有 1 條車載充電，以及 7 條充電樁產線。


光寶科表示，今年重要產品為 30KW 直流電 (DC) 充電樁，瞄準充電營運商、車廠客戶，而短期不會推出利基型超級快充，預計 30-60KW 充電樁仍是市場主流。",2025-07-06 18:18:11,3
2023-03-02,0.6,電子族群表現不一，網通類股如神準、仲琦、友勁等強勢上漲，帶動光寶科等個股同步走揚。,2025-07-06 18:18:13,1
