date,factor,explanation,updated_time,news_count
2022-11-07,0.9,營收雙創新高，顯示公司業績表現亮眼，預期帶動市場情緒正面。,2025-07-06 17:19:51,1
2022-11-10,0.2,文化創意類股走勢疲軟，顯示市場對該產業前景持謹慎態度。,2025-07-06 17:19:53,1
2022-11-17,0.8,台版晶片法案通過激勵半導體族群，創意等高速傳輸介面概念股大漲。,2025-07-06 17:19:54,1
2022-11-22,0.2,創意股價下跌主因為矽智財與 ASIC 族群獲利了結賣壓沉重。,2025-07-06 17:19:56,1
2022-11-24,0.8,IC 設計族群成為多頭指標，聯發科大漲超過 4%，瑞昱強漲近半根停板，M31 明年展望審慎樂觀，獲日系外資調升目標價，股價直奔漲停。,2025-07-06 17:19:58,1
2022-11-25,0.7,創意明年營收成長樂觀，NRE 業績持續增加，Turnkey 亦有潛在商機，但受季節性因素影響，短期內股價可能波動。,2025-07-06 17:19:59,1
2022-12-05,0.9,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 17:20:01,1
2022-12-08,0.6,台股震盪走跌，電子權值股有壓，但高價股如創意等仍獲得買盤青睞，再生能源族群也有強勁表現。整體而言，市場情緒偏向中性。,2025-07-06 17:20:03,1
2022-12-09,0.9,多家台廠11月營收創新高，顯示產業景氣穩健，帶動市場情緒正面。,2025-07-06 17:20:04,1
2022-12-16,0.6,電子股普遍走弱，但創意在代工廠中表現相對抗跌收平盤之上。,2025-07-06 17:20:06,1
2022-12-18,0.8,ChatGPT 作為 AIGC 的代表，相關公司股價大漲，顯示市場對 AIoT 和創意產業的前景樂觀。,2025-07-06 17:20:08,1
2022-12-28,0.3,市場對未來成長性看法分歧，股價已反映部分利多因素。,2025-07-06 17:20:10,1
2022-12-30,0.6,創意與信邦等個股下跌，顯示市場情緒偏向保守，但整體而言，傳產表現相對強勢，鋼鐵族群也有所上漲，預期將對台股產生一定支撐。,2025-07-06 17:20:11,1
2022-12-31,0.2,市場對明年景氣展望保守，加上訂單下修與需求減弱等負面因素影響，預期將引發市場負面情緒。,2025-07-06 17:20:13,1
2023-01-03,0.6,IC 設計族群跌深反彈，帶動市場情緒偏正面。,2025-07-06 17:20:14,1
2023-01-05,0.3,營收持續成長且連五個月創新高，顯示公司營運狀況良好，但外資對未來訂單與獲利預期保守，引發市場情緒偏中性。,2025-07-06 17:20:15,1
2023-01-06,0.3,電子股持續輪動整理，美股科技股受制利率回檔，大型電子股與高價股重回觀望態勢。矽智財族群週五觀察創意走勢，12 月營收再創新高，週五能否領軍反彈是矽智財強弱關鍵。,2025-07-06 17:20:18,1
2023-01-11,0.6,市場觀望氣氛濃厚，加上部分個股漲多拉回，整體影響有限。,2025-07-06 17:20:19,1
2023-01-17,0.6,文化創意股今日漲幅居前，顯示市場對相關產業的信心提升。,2025-07-06 17:20:21,1
2023-01-30,0.6,盤面百花齊放，權值股與中小型股同步上漲，顯示市場情緒偏正向。,2025-07-06 17:20:23,1
2023-02-02,0.9,去年第四季財報亮眼，營收與獲利雙創新高，顯示公司營運狀況良好。董事會通過每股擬配發 14 元現金股利，配發率 50.56%，預計共發出 18.76 億元。展望今年法說會將聚焦 ASIC 產業市況、先進封裝趨勢等議題，市場情緒正面。,2025-07-06 17:20:25,1
2023-02-03,0.8,營運展望樂觀，Turnkey 業務成長動能強勁，帶動市場情緒正面。,2025-07-06 17:20:26,1
2023-02-05,0.9,營收與獲利雙成長，且客戶組合分散，有助減緩景氣逆風影響。,2025-07-06 17:20:28,1
2023-02-06,0.6,營收成長與展望正向，但市場情緒偏中性，缺乏強勁的利多刺激。,2025-07-06 17:20:30,2
2023-02-07,0.8,電子族群走勢疲軟，但創意大漲 5.4%，譜瑞、祥碩等高價股也上揚，顯示市場對相關個股仍有信心。,2025-07-06 17:20:31,2
2023-02-08,0.9,"IC 設計族群強勁表現，多檔個股創新高，顯示市場對該產業前景樂觀。聯詠釋出優於預期的展望，進一步激勵買氣。

1.0",2025-07-06 17:20:33,2
2023-02-09,0.6,電子族群人氣退燒，創意盤中勁揚逾 6%，衝上 988 元歷史新高，但終場翻黑收 920 元。,2025-07-06 17:20:34,1
2023-02-12,0.5,市場對美國升息緩和的樂觀預期減弱，加上美股科技股轉弱，外資暫緩大舉買超動作，引發市場負面情緒。,2025-07-06 17:20:36,1
2023-02-13,0.8,伺服器市場需求強勁，帶動相關產業成長，預期對公司營運有正面助益。,2025-07-06 17:20:37,1
2023-02-16,0.8,電子族群全面走強，設計 IP 相關業者如世芯 - KY、智原、M31 和創意 均漲超過 3%，顯示市場對相關產業前景樂觀。,2025-07-06 17:20:39,1
2023-02-20,0.9,ChatGPT 議題持續發酵，加上創意具備先進製程與封裝產能、HBM IP 技術等優勢，營收獲利成長強勁，市場情緒樂觀。,2025-07-06 17:20:41,2
2023-02-21,0.8,傳產族群如台塑四寶、貨櫃三雄等力挺，IC 設計相關個股表現亮眼，顯示市場情緒偏正面。,2025-07-06 17:20:43,2
2023-02-24,0.6,高價股中，創意與力旺漲幅達4%，顯示市場對相關個股仍有正面期待。,2025-07-06 17:20:44,1
2023-02-25,1.0,創意股價持續上攻，站穩千元大關並創下歷史新天價，顯示市場對公司前景樂觀看待。,2025-07-06 17:20:45,1
2023-03-03,0.2,盛科通信被列入實體清單，可能影響創意營收，但公司表示將遵守法規，且已著手審視細節。市場對此消息反應負面，股價跌停。,2025-07-06 17:20:47,2
2023-03-06,0.6,營收成長且產品線表現均佳，但大客戶被列入實體清單引發市場擔憂，短期內可能影響投資信心。,2025-07-06 17:20:49,1
2023-03-08,0.3,傳產股與權值股表現疲軟，電子三雄收黑，但部分族群如資訊服務、文化創意、儲能概念股及 LED 族群逆勢上揚。市場情緒偏向保守。,2025-07-06 17:20:50,2
2023-03-14,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，但部分客戶遭美國列入實體清單，可能影響未來訂單動能。,2025-07-06 17:20:52,1
2023-03-15,0.8,權值股普遍回溫，加上 IC 設計相關股強勢，創意一度漲停，顯示市場情緒正面。,2025-07-06 17:20:53,1
2023-03-17,0.8,權值股與高價股齊揚，顯示市場情緒偏向樂觀。,2025-07-06 17:20:54,1
2023-03-22,0.9,"權值股與高價股齊漲，AI 概念股表現強勁，帶動大盤站回月線並創新高。市場情緒樂觀，預期利多消息持續推升股價。

1.0
台積電領軍衝鋒，加上輝達概念股與高價千金股助攻，大盤指數強勁上漲逾 200 點，站回月線並挑戰前波高點。",2025-07-06 17:20:57,2
2023-03-23,0.6,台股今日上漲，多檔個股表現強勁，顯示市場情緒偏正面。中華電信舉辦數位創新應用系列賽，鼓勵創意創新並提供資源，加速商機落地，對產業升級有正面助益。,2025-07-06 17:20:59,2
2023-03-29,0.6,創意股價下跌，顯示市場對其表現持保守態度，但整體盤勢仍然強勁，權值股和觀光類股領漲。,2025-07-06 17:21:01,1
2023-03-31,0.8,市場情緒偏多，個股輪流表現，記憶體、IP設計與電源供應器族群強勢，顯示產業前景樂觀。,2025-07-06 17:21:03,1
2023-04-06,0.9,營收持續成長、展望樂觀，外資看好ASIC市場前景，預期創意股價上漲。,2025-07-06 17:21:04,1
2023-04-07,0.8,面板報價大漲、筆電出貨量優於預期，以及三家 IC 設計千金股業績亮眼，顯示產業景氣回溫，將帶動市場情緒正面。,2025-07-06 17:21:06,1
