date,factor,explanation,updated_time,news_count
2022-11-01,0.85,"台積電股價上漲,顯示市場情緒正面。",2025-07-06 16:55:24,4
2022-11-02,0.8,電子零件與光電族群強勢，權王台積電翻紅帶動加權指數上漲，顯示市場情緒正面。,2025-07-06 16:55:25,2
2022-11-03,0.6,台積電 1 奈米廠落腳桃園龍潭科學園區，政府宣布啟動園區三期報編計畫，顯示對半導體產業發展的支持與信心。然而，水電需求仍需經濟部同步盤點，以確保供應無虞。整體而言，消息偏正面，但仍有部分不確定因素影響市場情緒。,2025-07-06 16:55:28,4
2022-11-04,0.6,電子權值股跌勢收斂，台積電獲得買盤支撐，顯示市場對科技產業仍有信心。,2025-07-06 16:55:29,1
2022-11-07,0.9,台股全面大漲，台積電領軍電子權值股上攻，加上航運、金融族群助攻，大盤站回萬三關卡，成交量放大至 2046 億元。外資買超 92 億元，投信連 8 買，自營商同步買超，三大法人合計買超 105.84 億元。,2025-07-06 16:55:31,3
2022-11-08,0.9,台積電漲勢強勁，帶動加權指數大漲超過百點，顯示市場對公司表現正面看待。董事會通過第三季配息 2.75 元，維持前季水準，並核准資本預算用於建置及升級先進製程產能等，反映公司營運穩健成長，引領市場情緒正向。,2025-07-06 16:55:34,2
2022-11-09,0.9,台積電股價大漲，站上 400 元關卡，顯示市場情緒正面。多項利多消息包括 ADR 大漲、董事會通過配息、外資認為明年獲利穩定，以及新廠建廠計畫等，都有助於提振投資人信心。,2025-07-06 16:55:36,4
2022-11-10,0.3,台積電營收創高，但市場擔憂產能利用率下滑與資本支出遞延，導致股價走弱。,2025-07-06 16:55:38,4
2022-11-11,0.9,美股大漲帶動台積電 ADR 跟進上揚，激勵台積電現股同步飆漲，電子權值股齊強攻，金融、航運等族群也表現亮眼，顯示市場情緒正面。,2025-07-06 16:55:40,4
2022-11-12,0.8,台積電股價強彈、營收創新高、總裁否認製程調整傳聞，顯示公司基本面良好，預期帶動市場情緒正面。,2025-07-06 16:55:41,1
2022-11-14,0.8,台股持續走揚，電子與傳產權值股齊漲，外資回補，市場成交量放大，有利指數挑戰半年線。,2025-07-06 16:55:43,4
2022-11-15,0.9,"波克夏買進台積電 ADR, 預期將帶動市場情緒正面。",2025-07-06 16:55:45,4
