date,factor,explanation,updated_time,news_count
2022-11-01,0.8,台股今日在電子與金融股帶動下上漲，台達電小漲逾 1%，顯示市場對該公司的看法偏正面。,2025-07-06 18:03:44,2
2022-11-02,0.6,電子權值股普遍走強，台達電、聯電、廣達等漲幅超過 1%，顯示市場對相關個股的信心回升。,2025-07-06 18:03:46,2
2022-11-03,0.3,台積電及傳產走弱拖累大盤，台達電股價同步下跌，但整體市場氣氛偏保守。,2025-07-06 18:03:47,1
2022-11-04,0.6,台積電等電子權值股跌幅縮小，台達電獲得資金青睞，顯示市場對相關個股的看法趨於正面。,2025-07-06 18:03:48,1
2022-11-08,0.8,台達電參加聯合國氣候變遷大會 (COP27)，分享儲能系統成功案例，並在珊瑚復育方面有實績，展現公司對環境永續的重視與貢獻，預期帶動市場正面情緒。,2025-07-06 18:03:50,2
2022-11-10,0.8,台達電積極發展電動車系統產品，目標 2030 年電動車產品市占率超過 15%，帶動整體營收突破 360 億美元。公司在電動車相關領域已與全球 15 家車廠合作，預計未來成長空間大。,2025-07-06 18:03:52,2
2022-11-11,0.9,台股全面上攻，電子族群表現強勁，台達電營收目標喊漲，帶動市場情緒正面。,2025-07-06 18:03:53,1
2022-11-14,0.8,台達電股價上漲，顯示市場對公司表現正面看待。,2025-07-06 18:03:55,1
2022-11-15,0.8,台積電大漲帶動相關供應鏈強勁反彈，電子權值股普遍走揚，顯示市場情緒偏正面。,2025-07-06 18:03:56,1
2022-11-21,0.3,台股量縮震盪，台達電開高走低翻黑，顯示市場情緒偏向保守。,2025-07-06 18:03:58,1
2022-11-23,0.8,台達電股價上漲，顯示市場對公司表現持正面態度。,2025-07-06 18:03:59,1
2022-11-24,0.6,台達電創波段新高，顯示市場對公司營運前景樂觀，但整體大盤表現仍有待加強。,2025-07-06 18:04:00,1
2022-11-25,0.6,台積電等電子權值股欲振乏力，但電動車概念股及半導體測試介面則獲資金青睞，顯示市場對相關產業仍有信心。,2025-07-06 18:04:01,1
2022-11-28,0.3,大盤下跌，電子權值股全面回檔修正。,2025-07-06 18:04:02,1
2022-11-29,0.6,台股今日走勢震盪，權值股如台積電、聯發科回穩，加上金融股撐盤，帶動加權指數翻紅。台達電獲得資金點火，股價上漲。整體而言，市場情緒偏正面，但仍有波動風險。,2025-07-06 18:04:04,1
2022-11-30,0.6,台積電尾盤翻紅，聯發科上漲近 3%，以及多檔權值股表現強勁，帶動大盤走高，但塑化族群漲勢強勁，台聚集團強勢表態，為市場增溫。整體而言，市場情緒偏正面但不過於熱絡。,2025-07-06 18:04:06,2
2022-12-04,0.6,外資買超金額較大的個股表現良好，顯示市場對這些公司的基本面持樂觀態度。,2025-07-06 18:04:07,1
2022-12-07,0.2,金融股撐盤，但電子權值股疲軟，市場觀望氣氛濃厚。,2025-07-06 18:04:09,2
2022-12-08,0.8,營收創新高且展望樂觀，預期將帶動市場情緒正面，但消費性電子需求疲軟影響第四季表現，可能引發部分獲利了結賣壓。,2025-07-06 18:04:10,1
2022-12-09,0.8,電子三雄領軍，加上傳產指標股與太陽能股助攻，大盤大漲超過百點，收復月線，有望終止日 K 連三黑。,2025-07-06 18:04:11,1
2022-12-16,0.6,電子股普遍走弱，但代工廠相對強勢，顯示市場情緒偏向保守但不至於過度悲觀。,2025-07-06 18:04:13,1
2022-12-23,0.3,台股走弱，多數電子權值股下跌，顯示市場情緒偏向保守。,2025-07-06 18:04:14,1
2022-12-27,0.6,電子權值股普遍走揚，顯示市場對科技產業前景仍有信心，但漲幅有限，且部分個股收黑，反映出整體市場氣氛偏謹慎。,2025-07-06 18:04:16,2
2022-12-29,0.2,台股整體走跌，權值股普遍下滑，僅少數個股上漲。,2025-07-06 18:04:18,1
2022-12-30,0.6,電子權值股穩守盤上，台積電、聯電、聯發科、台達電等表現強勁，帶動市場情緒正面。,2025-07-06 18:04:19,2
2023-01-03,0.5,權值電子股走勢分歧，台達電在盤下游走，但整體市場焦點集中在重電業者與 IC 設計族群的反彈表現。,2025-07-06 18:04:21,1
2023-01-04,0.5,電子權值股普遍下跌，台達電也同步收跌，但綠能及儲能題材股表現強勁，顯示市場對相關產業仍有期待。整體而言，市場情緒偏中性，無明顯漲跌傾向。,2025-07-06 18:04:22,1
2023-01-05,0.6,台積電領軍上攻，加權指數終場上漲 101.92 點，收在 14301.05 點，站上 10 日線，成交值放大至 1720 億元。電子族群人氣回升，今日成交占比重返 5 成之上，達約 56.4%，其次則為電機機械占約 7.3%。,2025-07-06 18:04:25,2
