date,factor,explanation,updated_time,news_count
2023-03-21,0.7,電子權值股普遍上漲，加上電動車、儲能概念股持續強勢，帶動市場情緒正面。,2025-07-06 18:36:12,1
2023-05-04,0.85,外資報告全面上調散熱廠目標價與評等，顯示對奇鋐營運前景樂觀。,2025-07-06 18:36:17,1
2023-05-06,0.85,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 18:36:19,1
2023-05-09,0.6,電子權值股普遍走揚，帶動市場情緒偏正面，但儲能概念股與國防航太族群疲弱，整體而言呈現漲跌互見的局面。,2025-07-06 18:36:20,1
2023-05-15,0.6,雖然奇鋐未被列為投信持股前五名，但整體市場氛圍偏多，且分析師認為 2023 年 Q1-Q2 是產業谷底，營收衰退反而是買點。,2025-07-06 18:36:22,1
2023-05-26,0.8,輝達概念股強勢表現，帶動台積電等電子股領漲，加上營收與獲利雙創高點，預期將引發市場正面情緒。,2025-07-06 18:36:24,1
2023-05-31,0.2,電子權值股與 AI 概念股表現疲弱，奇鋐 股價下跌，顯示市場情緒偏向保守。,2025-07-06 18:36:26,1
2023-06-02,0.4,台灣 50 指數成分股調整，奇鋐 列為刪除名單，可能引發市場短期保守情緒。,2025-07-06 18:36:27,1
2023-06-18,0.6,奇鋐被列入 AI 伺服器散熱概念股，引發市場對相關產業的關注與期待。,2025-07-06 18:36:30,1
2023-06-30,0.9,AI 概念股強勢表現，奇鋐 攻上漲停，顯示市場對公司前景樂觀。,2025-07-06 18:36:32,1
2023-07-24,0.9,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 18:36:35,1
2023-12-31,0.5,奇鋐受惠輝達散熱供應鏈，氣冷新產品下半年小量出貨，有助營收成長。,2025-07-06 18:36:49,1
2024-01-01,0.6,"外資和投信積極買超奇鋐,顯示對該公司有正向看法。然而,1月10日至13日消費電子展(CES)在美國拉斯維加斯登場,可能影響市場情緒與股價波動。",2025-07-06 18:36:50,1
2024-01-04,0.2,電子股表現分歧，奇鋐跌幅超過 2%，顯示市場對相關個股持保守態度。,2025-07-06 18:36:52,1
2024-01-08,0.8,奇鋐營收創新高，顯示公司表現亮眼，預期將帶動市場正面情緒。,2025-07-06 18:36:53,1
2024-01-09,0.7,AI 股強勢表現，帶動奇鋐 等相關概念股上漲。,2025-07-06 18:36:54,1
2024-01-10,0.6,外資買超奇鋐，顯示對該公司後市有信心。,2025-07-06 18:36:55,1
2024-01-22,0.8,AI 概念股全面上漲，奇鋐 受惠於市場熱度，預期帶動正面市場情緒。,2025-07-06 18:36:57,1
2024-01-25,0.6,AI 概念股普遍上漲，奇鋐 受惠市場聚焦，但漲幅落後於緯創、廣達 等。,2025-07-06 18:36:58,1
2024-01-26,0.3,AI 類股下跌，奇鋐 跌幅較小，顯示公司在同業中相對抗跌。,2025-07-06 18:37:00,1
2024-01-30,0.9,奇鋐股價連日走高，外資買超且土洋法人同步站在買方，顯示市場對公司營運前景樂觀。,2025-07-06 18:37:01,2
2024-02-01,0.6,電子權值股走勢分歧，AI 指標股下跌，但散熱族群領軍上攻，奇鋐強漲逾 7%，建準拉出逾半根停板。,2025-07-06 18:37:03,1
2024-02-03,0.9,奇鋐受惠於伺服器需求強勁，股價大漲且周漲幅高達 23%，顯示市場對公司前景樂觀。,2025-07-06 18:37:04,1
2024-02-04,0.6,投信積極進場 AI 族群，顯示對市場前景樂觀，但外資買超標的多元，且永豐投顧提醒台股表現空間有限。,2025-07-06 18:37:05,1
2024-02-09,0.8,奇鋐受惠於輝達新顯卡系列出貨帶動，營運表現穩健，市場情緒正面。,2025-07-06 18:37:07,1
2024-02-15,0.9,奇鋐營收創高，顯示公司業績強勁，預期將帶動市場情緒正面。,2025-07-06 18:37:08,1
2024-02-16,0.8,奇鋐營收與獲利持續成長，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 18:37:10,2
2024-02-25,0.6,外資連買 2 周，本周續買 292 億元，其中買超奇鋐金額達 15 億元以上，但投信逢高調節，賣超奇鋐逾 11 億元。市場透過族群輪動逐步墊高，但短線技術線型過熱，可能會修正整理。,2025-07-06 18:37:12,1
2024-03-01,0.8,電子權值股表現分歧，AI 股同步走高，散熱族群強勢，傳產中重電族群休息，整體市場情緒偏正面。,2025-07-06 18:37:14,1
2024-03-04,0.8,電子指標股普遍走強，奇鋐漲幅顯著，預期帶動市場情緒正面。,2025-07-06 18:37:15,1
2024-03-11,0.8,輝達 GTC 技術大會將登場，市場預期將發布新一代加速器，帶動相關概念股如奇鋐 等強勢表現。,2025-07-06 18:37:17,1
2024-03-15,0.7,奇鋐及 IC 通路雙雄文曄、大聯大均漲 7%，顯示市場對相關公司的看法偏向正面。,2025-07-06 18:37:19,1
2024-03-24,0.3,台股站穩 2 萬點大關，但個股表現分歧，少數族群集中，盤面架構不健康。,2025-07-06 18:37:21,1
2024-03-26,0.3,電子股普遍疲弱，奇鋐跌幅較重，但傳產與金融股表現相對穩健，整體市場情緒偏向保守。,2025-07-06 18:37:22,1
2024-04-08,0.6,AI 概念股普遍走強，奇鋐 受惠於產業熱度，市場情緒偏正面。,2025-07-06 18:37:25,1
2024-04-21,0.6,奇鋐受惠散熱需求，第一季中小動能持股波段漲幅大，但近期動能下降。水冷的高力有不錯表現，今明年成長可期，被納入 00733 成分股。,2025-07-06 18:37:28,1
