date,factor,explanation,updated_time,news_count
2022-11-01,0.6,電子股漲跌互見，廣達等代工廠相對弱勢，但整體台股上漲，顯示市場情緒偏正面。,2025-07-06 16:20:32,2
2022-11-08,0.8,廣達等半導體族群漲勢強勁，顯示市場對相關公司營運前景樂觀。,2025-07-06 16:20:34,1
2022-11-10,0.3,電子權值股普遍走弱，市場情緒偏向保守。,2025-07-06 16:20:35,1
2022-11-11,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 16:20:36,3
2022-11-14,0.3,市場情緒偏中性，個股表現為主，缺乏明確的整體公司營運或財務資訊。,2025-07-06 16:20:38,1
2022-11-23,0.6,廣達積極分散生產基地，顯示對中國市場風險管理意識提升，有利長期營運穩定。,2025-07-06 16:20:40,1
2022-11-25,0.5,電子權值股欲振乏力，廣達與其他指標股同步走跌，但半導體測試介面廠與電動車概念股強勢表現，顯示市場仍有買氣支撐。整體而言，台股呈現震盪整理格局，短期缺乏明確方向。,2025-07-06 16:20:43,1
2022-11-29,0.6,電子股普遍回穩，廣達獲得資金點火，但整體市場仍偏震盪。,2025-07-06 16:20:44,1
2022-12-02,0.3,電子權值股普遍拉回整理，廣達同步收黑，市場情緒偏向保守。,2025-07-06 16:20:46,1
2022-12-07,0.6,雲達總經理楊麒令表示，雲端資料中心市況還是相對 OK，明年仍以雙位數成長為目標，但成長幅度可能低於今年。公司持續擴產，泰國廠主機板產能可望從目前約 3 成，到明年上半年提升至近 5 成水準。,2025-07-06 16:20:49,2
2022-12-15,0.3,外資買超長榮航、長榮，投信則賣超廣達等個股，顯示市場對電子產業前景仍有疑慮。,2025-07-06 16:20:51,1
2022-12-27,0.8,電子權值股普遍上揚，廣達維持 1% 漲幅，顯示市場對相關產業前景樂觀。,2025-07-06 16:20:53,1
2023-01-05,0.3,市場對雲端資料中心需求放緩的擔憂升溫，相關供應鏈面臨訂單調整壓力。,2025-07-06 16:20:55,1
2023-01-08,0.5,廣達等大廠舉辦尾牙，可能聽到董座對今年展望看法，但整體營收、法說表現仍有不確定性。,2025-07-06 16:20:57,1
2023-01-10,0.6,公司高層對未來展望樂觀，預計將推出更多智慧型產品，帶動市場正面情緒。,2025-07-06 16:20:58,2
2023-01-31,0.3,廣達在電子權值股普遍拉回的情況下收黑，但鴻家軍逆勢撐盤，顯示整體市場情緒偏中性。,2025-07-06 16:21:02,1
2023-02-03,0.5,電子股漲跌互見，廣達震盪走低，但整體市場呈現小幅上漲，顯示對公司的影響有限。,2025-07-06 16:21:03,1
2023-02-07,0.6,電子股普遍走揚，廣達等個股也有 1-2% 漲幅，但整體市場量能不足，顯示買盤力道薄弱。,2025-07-06 16:21:05,1
2023-02-12,0.5,市場對美國升息緩和的樂觀預期減弱，但投信持續買超中高價電子股，顯示多以跌深的中高價電子股為主。,2025-07-06 16:21:06,1
2023-03-08,0.5,廣達在電子三雄中表現疲軟，但 AI 軟體概念股逆勢上揚，顯示市場對相關產業仍有期待。,2025-07-06 16:21:10,1
2023-03-15,0.6,廣達去年財報優於預期，獲利創次高，但展望今年營收與成長率雙降，市場情緒偏向保守。,2025-07-06 16:21:12,2
2023-03-20,0.3,電子權值股表現平穩，但整體市場量縮低檔震盪，顯示資金流向其他族群。,2025-07-06 16:21:14,1
2023-03-21,0.6,電子權值股普遍上漲，廣達表現不俗，但整體市場情緒偏中性。,2025-07-06 16:21:15,1
2023-03-30,0.9,廣達在台股中表現強勁，上漲超過 1%，記憶體族群與網通族群皆有亮眼表現，顯示市場對相關產業前景樂觀。,2025-07-06 16:21:17,1
2023-04-10,0.6,廣達營收與出貨量雙成長，但第一季仍衰退，市場對後市看法偏向樂觀。,2025-07-06 16:21:20,1
2023-04-17,0.5,廣達宣布投資設廠，顯示對未來市場需求有信心，但第一季營收與出貨量雙減，且雲端設備成長幅度下滑，引發市場保守看待。,2025-07-06 16:21:22,2
2023-04-19,0.9,NB 市況回溫帶動電子代工廠股價上漲，顯示市場對 廣達 未來營運前景樂觀。,2025-07-06 16:21:23,1
2023-04-20,0.5,市場行情波動大，各家公司股價表現分歧，整體影響有限。,2025-07-06 16:21:24,1
2023-04-21,0.5,電子權值股普遍走跌，廣達在群龍無首中表現相對疲弱。,2025-07-06 16:21:25,1
2023-04-23,0.5,外資雖然賣超多檔個股，但仍買超廣達，顯示對該公司持中性態度。整體市場氛圍偏空，各大上市櫃業者財報陸續出爐，可能引發波動。,2025-07-06 16:21:27,1
2023-04-24,0.6,廣達赴越南設廠，顯示其積極多元化產能以因應地緣政治風險。第一季營收雖雙減，但季節性下滑幅度健康，預期今年有機會逐季回溫。雲端設備業務成長幅度估較往年雙位數下滑至個位數。,2025-07-06 16:21:29,2
2023-05-02,0.85,三大法人同步看好伺服器代工廠，顯示市場對廣達後市樂觀。,2025-07-06 16:21:31,1
2023-05-06,0.9,廣達董事長林百里強調公司在筆電、雲端、AI伺服器三大領域穩坐龍頭寶座，展望未來將持續壯大。,2025-07-06 16:21:33,1
2023-05-09,0.6,仁寶與廣達 4 月營收均有兩位數增長，但出貨量月減，顯示市場需求趨緩，公司業績仍受季節性因素影響。整體而言，電子代工廠第二季表現可望逐季回升，但全年成長力道將較往年疲弱。,2025-07-06 16:21:35,2
2023-05-11,0.3,獲利雖然雙減，但毛利率表現優於前季及去年同期，營運狀況尚可。,2025-07-06 16:21:36,1
2023-05-12,0.6,廣達第一季財報獲利雙減，但毛利率表現優於前季及去年同期，顯示公司營運狀況尚可。加上伺服器、車用業務有望優於去年，第二季筆電出貨量也有機會優於預期，整體而言市場情緒偏正面，但仍受到大盤下跌影響，股價波動可能較大。,2025-07-06 16:21:39,3
2023-05-13,0.85,廣達業務展望樂觀，股價上攻百元俱樂部，顯示市場對公司前景看好。,2025-07-06 16:21:40,1
2023-05-18,0.7,廣達在電子權值股中表現不俗，但整體市場偏向正面，高價股與族群股強勢上漲。,2025-07-06 16:21:42,1
2023-05-19,0.9,廣達樂觀展望帶動股價上周衝破百元大關，並在今日持續強正式超越鴻海，顯示市場對公司營運前景看好。,2025-07-06 16:21:43,2
2023-05-22,0.6,台股漲勢歇息，廣達面臨賣壓跌 2.75%，但權值股走弱，半年線得而復失，顯示市場情緒偏向保守。,2025-07-06 16:21:45,2
2023-05-23,0.8,"廣達將在墨西哥投資 10 億美元，為當地創造 2500 個工作機會，並與特斯拉有供應鏈關係。電子權值股表現強勁，廣達上漲 0.9%，成為撐盤主力之一。

====================

以下是提供的新聞資訊 :
墨西哥新萊昂州 (Nuevo Leon) 州長賈西亞 (Samuel Garcia) 周一 (22 日) 推文宣布，電子代工大廠廣達 (2382-TW) 將赴該州投資 10 億美元。


賈西亞指出，這項投資案可望為當地創造 2500 個工作機會。新萊昂州發言人表示，這是廣達在該州拓展現有業務的一部分行動。


廣達是特斯拉 (TSLA-US) 的供應商之一，替特斯拉代工電子控制單元 (ECU)、先進輔助駕駛系統 (ADAS) 以及車用電腦等。


特斯拉 (TSLA-US) 今年稍早宣布在蒙特雷市打造在該國的第一座超級工廠，投資規模估達 50 億美元，早在特斯拉正式宣布設廠消息前，廣達在內多家供應鏈業者已提前布局，規劃赴墨西哥投資事宜。


賈西亞周一稍早還會見鴻海高層，並在推特上預告很快會有「重大消息」。


根據日經亞洲 1 月報導，為了滿足北美日益成長的電動車需求，多家台灣科技公司正加緊腳步赴墨西哥投資，鴻海也是其中之一。

---

台股今 (23) 日延續高檔震盪，加權指數盤中雖然最高衝上 16239 點，但隨後拉回翻黑，尾盤在聯發科撐盤下，小漲 7.14 點，收 16188.03 點，日 K 連 6 紅，成交量則為 2387.5 億元。櫃買指數則上漲 1.95 點或 0.92%，來到 213.24 點，成交金額 654 億元。


電子權值表現方面，台積電跌 1 元，收 530 元，鴻海小跌 0.5%、台達電更跌近 1%，聯電、日月光投控收平盤，不過，聯發科收漲 1.6%、廣達上漲 0.9%，成為今日電子撐盤主力。


高價股普遍收漲，其中緯穎大漲 6%，表現最為強悍，譜瑞 - KY、世芯 - KY、祥碩漲逾 2-3%，旭隼、力旺、創意全面收漲，大立光則力守平盤，但信驊、嘉澤收跌逾 1%，在高價股中表現疲弱。


此外，今日 ABF 載板三雄再度發動攻勢，欣興漲 3.7%、南電漲 2.7%，電子代工的緯創、英業達也同步收漲；不過，致茂、光寶科、大同、臻鼎 - KY 等跌逾 1%，表現較為低迷。


航空雙雄漲多拉回翻黑，長榮航、華航雙雙收跌 1% 上下，貨櫃三雄也同步收跌；傳產澤以億豐漲 2.4%、豐泰漲 1.3% 較亮眼。",2025-07-06 16:21:59,2
2023-05-24,0.4,電子權值股普遍下跌，顯示市場情緒偏向保守。,2025-07-06 16:22:00,1
2023-05-25,0.9,"輝達財報優於預期，帶動相關概念股走強，顯示市場對 AI 概念股的需求與信心提升。廣達作為雲端運算概念股之一，受惠於此利多消息，股價大漲逾 7%，表現亮眼。

0.8
輝達財報優異，激勵台積電及相關電子權值股走強，顯示市場對半導體產業前景的樂觀。廣達身為重要概念股之一，受惠於此利多氛圍，股價大漲超過 7%，反映出市場情緒正面。

0.85
輝達財報優異，帶動台積電及相關電子權值股走強，顯示市場對半導體產業前景的樂觀。廣達作為雲端運算概念股之一，受惠於此利多氛圍，股價大漲逾 7%，表現亮眼。",2025-07-06 16:24:16,2
2023-05-28,0.6,AI 長線發展題材涵蓋電子族群範圍廣，令市場暫時忽略短期庫存高的利空陰霾，不排除本周在台積電埋下多頭火種，電子族群輪番漲，推動大盤驚驚墊高。,2025-07-06 16:24:19,1
2023-05-29,0.6,"台股持續上漲，廣達收黑，但在泛鴻海集團中表現尚可。三大法人買超，外資加碼航空雙雄和台積電。

市場情緒偏正面，但廣達股價表現不如其他個股亮眼。",2025-07-06 16:24:21,2
2023-05-30,0.9,廣達受惠輝達執行長黃仁勳讚揚其在AI、資料中心領域的合作關係，市場情緒樂觀。,2025-07-06 16:24:22,1
2023-05-31,0.2,電子權值股普遍走跌，廣達在同業中表現相對疲弱。,2025-07-06 16:24:24,1
2023-06-01,0.3,電子權值股普遍走跌，廣達在盤下游走，顯示市場情緒偏向保守。,2025-07-06 16:24:25,1
2023-06-02,0.8,電子權值股普遍上揚，廣達勁揚逾2%，顯示市場對相關產業前景樂觀。,2025-07-06 16:24:26,1
2023-06-05,0.6,電子股普遍拉回整理，資金流向金融、鋼鐵等族群，中小型股撐盤，指數在 16700 點關卡震盪。顯示器脫離首季營運谷底，後續將反轉向上，面板股今日強勢走高，但 AI 概念股普遍拉回休息。,2025-07-06 16:24:29,2
2023-06-07,0.9,廣達漲幅超過5%，帶動電子股強勁表現，激勵市場情緒正面。,2025-07-06 16:24:30,3
2023-06-09,0.8,廣達營收表現優於預期，加上電子族群強勁反彈，帶動股價大漲逾 9%，再創新高。,2025-07-06 16:24:32,2
2023-06-11,0.8,廣達股價連日飆漲，市值衝上 5000 億元，顯示市場對公司營運前景樂觀。,2025-07-06 16:24:33,1
2023-06-13,0.9,廣達受惠於 AMD 概念股的提前布局，股價大幅上揚。,2025-07-06 16:24:35,3
