date,factor,explanation,updated_time,news_count
2022-11-03,0.8,"第四季新品推出，有利 ASP 提高，營運將優於第三季。浸沒式液冷技術成熟，可配合客戶推出客製化產品。

技嘉 (2376-TW) 今 (3) 日表示，目前看包含主板、顯卡需求都仍維持一定水準，短期營運受封控影響，但第四季在新品推出下，有利 ASP 提高，預期營運會再優於第三季。技嘉董事長葉培城表示，近年企業面臨高效運算 CPU、GPU 帶來的散熱挑戰，在營運、永續發展考量下，對浸沒式冷卻系統解決方案討論度逐步升高，技嘉早在 2016 年就開始投入浸沒式技術研發，隨著技術、應用面逐步成熟，將可配合客戶推出客製化、符合產業應用的產品。",2025-07-06 19:03:20,2
2022-11-14,0.3,電子股表現分歧，技嘉等個股下跌，傳產與航運股則有所支撐。,2025-07-06 19:03:22,1
2022-11-16,0.9,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 19:03:24,1
2022-11-19,0.8,營運逐步回溫，庫存去化告一段落，加上新品銷售優於預期，市場情緒偏正面。,2025-07-06 19:03:25,1
2022-12-07,0.3,英特爾執行長基辛格訪台並拜訪多家台灣科技公司，可能帶來正面消息，但大盤走低且月線保衛戰恐引發市場波動。,2025-07-06 19:03:28,1
2022-12-14,0.8,新品上市帶動業績成長，市場情緒偏正面。,2025-07-06 19:03:30,1
2022-12-15,0.8,電子股漲跌互見，但技嘉等板卡族群強勢上揚，傳產股如航運與鋼鐵也表現亮眼，顯示市場情緒偏正面。,2025-07-06 19:03:31,1
2022-12-16,0.6,電子股普遍走弱，但技嘉漲多拉回僅跌 6%，顯示公司表現相對抗跌。,2025-07-06 19:03:32,1
2022-12-23,0.6,公司對明年營運展望樂觀，各子公司表現可期，但大環境變化仍需審慎因應。,2025-07-06 19:03:34,2
2022-12-29,0.8,"顯卡族群受惠於新品推出與市場需求回溫，營運展望樂觀，帶動股價上漲。

顯示卡廠商如技嘉、微星等受益於新一代產品推出刺激換購潮、平均價格提高等因素，第四季營運可望優於第三季。",2025-07-06 19:03:37,2
2022-12-30,0.6,技嘉走弱與其他電子股同步，顯示市場情緒偏向保守。,2025-07-06 19:03:38,1
2023-01-03,0.8,"顯卡族群強勢表現，新品發表等利多帶動，技嘉與微星漲幅超過 2%，整體市場情緒正面。

分拆網通事業群為獨立子公司技鋼科技，有助專業分工、提高營運績效及市場競爭力。",2025-07-06 19:03:40,3
