date,factor,explanation,updated_time,news_count
2022-11-04,0.6,電子權值股跌勢收斂，日月光投控獲得資金青睞，顯示市場對其表現仍有信心。,2025-07-06 17:50:36,1
2022-11-09,0.8,整體而言，日月光投控第三季營收創新高，展望明年持平並看好市占率擴張，有利於市場情緒正面。,2025-07-06 17:50:38,1
2022-11-11,0.9,台積電領軍大漲，帶動電子權值股強攻，日月光投控等多檔個股齊揚，顯示市場情緒正面。,2025-07-06 17:50:40,1
2022-11-15,0.5,日月光強調法遵管理，推出 ESGoal 法遵系統，顯示公司重視永續發展與環安衛，但對股價影響有限。,2025-07-06 17:50:42,2
2022-11-17,0.8,產業創新條例修正草案有利於維護台灣半導體生態系統的前瞻研發能量及長期競爭優勢，獲得業界高度關注與支持。,2025-07-06 17:50:43,1
2022-11-24,0.5,台股反彈走勢延續，外資回補，日月光 ADR 上漲，顯示市場情緒中性。,2025-07-06 17:50:45,1
2022-11-25,0.3,日月光投控今日走勢疲弱，股價在盤下游走，顯示市場情緒偏向保守。,2025-07-06 17:50:46,1
2022-12-01,0.8,日月光投控在資金積極卡位下飆漲近半根，站穩所有均線並重返百元俱樂部，顯示市場對其前景看好。,2025-07-06 17:50:48,1
2022-12-04,0.6,外資買超日月光投控且列入前十大標的，顯示市場對該公司持中性偏多態度。,2025-07-06 17:50:50,1
2022-12-06,0.5,日月光中壢廠獲獎肯定環保表現，但整體大盤走勢疲弱，權值股普遍偏弱。,2025-07-06 17:50:51,2
2022-12-07,0.2,台股跌幅擴大，電子類股普遍疲軟，日月光也隨市場下跌。,2025-07-06 17:50:52,1
2022-12-08,0.3,台股震盪走跌，日月光投控等權值股有壓，顯示市場情緒偏向保守。,2025-07-06 17:50:54,1
