date,factor,explanation,updated_time,news_count
2022-11-07,0.9,ASIC 及 IP 概念股全面走強，受惠於美中晶片禁令影響有限及超微新品採用台積電製程的利多消息。,2025-07-06 17:34:05,1
2022-11-17,0.8,台版晶片法案通過激勵半導體族群，智原受惠高速傳輸 IC 設計產業成長。,2025-07-06 17:34:07,1
2022-11-22,0.6,"FPGA-Go-ASIC 服務帶動新商機，提升市場競爭力。


台股震盪，權值股走勢分歧，矽智財與 ASIC 族群獲利了結賣壓沉重，但部分個股仍有撐。",2025-07-06 17:34:10,2
2022-12-07,0.9,營收創新高、展望樂觀，預期帶動市場情緒正面。,2025-07-06 17:34:12,1
2023-01-11,0.5,市場觀望氣氛濃厚，加上個股表現分歧，整體影響有限。,2025-07-06 17:34:17,1
2023-01-31,0.7,智原宣布跨地域製造支援服務，顯示公司積極因應供應鏈挑戰，提升營運彈性，有利於市場情緒。,2025-07-06 17:34:19,1
2023-02-03,0.8,三大法人連續買超，顯示市場對台股的信心。智原為今日量大上漲股之一，表現亮眼，預期將帶動市場情緒正面。,2025-07-06 17:34:21,1
2023-02-07,0.8,營收創高且展望樂觀，預期將帶動市場情緒正面。,2025-07-06 17:34:23,1
2023-02-16,0.8,電子族群全面走強，設計 IP 相關業者如智原、M31 和創意均漲超過 3%，顯示市場對相關產業前景樂觀。,2025-07-06 17:34:25,1
2023-02-19,0.5,本周台股將迎來多家電子廠商法說會，市場關注度提高，但聯準會升息疑慮再起，加上 228 連假在即，盤面輪動速度加快，漲多股恐有回吐壓力。,2025-07-06 17:34:26,1
2023-02-21,0.6,營收與獲利雙創高點，顯示公司營運狀況良好，但股價震盪，市場情緒偏中性。,2025-07-06 17:34:28,2
2023-02-22,0.6,電子股普遍下挫，智原等矽智財族群賣壓沉重，但觀光類股強勁反彈，整體市場情緒偏向保守。,2025-07-06 17:34:30,1
2023-02-28,0.5,市場對升息壓力的擔憂轉強，可能造成短期干擾，但整體呈現區間整理，具有高現金殖利率題材的個股延續多方熱度。,2025-07-06 17:34:32,1
2023-04-23,0.3,市場氛圍偏空，多檔個股跌幅超過 10%，加權指數連四天收黑 K 棒，外資持續賣超，法人認為短線需等待法說會釋出訊息。,2025-07-06 17:34:39,1
2023-04-24,0.3,智原法說會將公布最新的營運狀況，市場對其財報與展望高度關注。,2025-07-06 17:34:40,1
