date,factor,explanation,updated_time,news_count
2022-11-07,0.8,三家網通廠營收持續成長，顯示產業景氣暢旺，對智邦的市場情緒帶來正面影響。,2025-07-06 17:43:16,1
2022-11-10,0.6,市場買超智邦等個股，顯示部分資金流入，但整體大盤下跌，對智邦的影響有限。,2025-07-06 17:43:17,1
2022-11-11,0.8,台股全面上攻，電子族群表現強勁，智邦營收持續成長，帶動股價大漲。,2025-07-06 17:43:18,1
2022-11-18,0.9,整體營運表現亮眼，訂單需求穩健成長，新產品持續推出，看好明年成長動能。,2025-07-06 17:43:20,1
2022-12-06,0.9,三家網通廠營收持續創高，顯示產業景氣暢旺，預計將帶動市場情緒正面。,2025-07-06 17:43:23,1
2022-12-20,0.8,智邦與領導廠商 Picocom 合作推出新 5G O-RAN 解決方案，顯示公司積極搶攻 5G 商機，預期將帶動市場正面情緒。,2025-07-06 17:43:26,1
2022-12-23,0.3,市場整體疲軟，智邦大跌 6.5%，顯示投資人對電子類股信心不足。,2025-07-06 17:43:27,1
2023-01-04,0.5,電子權值股普遍下跌，智邦逆勢抗跌，顯示中小型題材股表現亮眼，但整體市場仍偏保守。,2025-07-06 17:43:29,1
2023-01-06,0.9,營收創新高，顯示公司業績表現亮眼，預期將帶動市場正面情緒。,2025-07-06 17:43:31,1
2023-01-10,0.8,營收創高且展望樂觀，顯示公司基本面強勁，預期將帶動市場情緒正面。,2025-07-06 17:43:32,1
2023-02-06,0.8,1 月營收雙創新高，顯示公司產品需求強勁，市場情緒樂觀。,2025-07-06 17:43:36,1
2023-02-07,0.8,智邦大漲逾 5%，顯示市場對公司營運狀況有正面期待。,2025-07-06 17:43:37,1
2023-02-18,0.7,相關類股整體走強，顯示市場對網通產業前景樂觀。,2025-07-06 17:43:39,1
2023-03-06,0.9,網通類股表現亮眼，智邦、神準等個股漲幅超過 6%，帶動台股大盤上漲近 200 點。智邦與中磊 2 月營收雙創同期新高，顯示公司營運狀況良好，預期將持續激勵市場情緒正面。,2025-07-06 17:43:43,2
2023-03-09,0.85,獲利與營收雙創新高，顯示公司財務狀況良好，預期帶動市場正面情緒。,2025-07-06 17:43:44,1
2023-04-06,0.8,營收創高且新廠完工投產，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 17:43:48,1
2023-05-02,0.8,智邦宣示 2050 年淨零碳排、2030 年碳排減半的目標，並與供應商夥伴凝聚共識共同擘劃 ESG 永續減碳行動計畫，顯示公司重視永續發展，預期帶動市場正面情緒。,2025-07-06 17:43:52,1
2023-05-05,0.8,智邦與中磊的營收皆創同期新高，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 17:43:53,1
2023-05-11,0.8,財報與人事任命皆正面，顯示營運狀況良好且有新動能注入。,2025-07-06 17:43:55,1
2023-05-25,0.8,輝達財報優於預期，帶動相關概念股走強，包括技嘉、金像電、緯創、廣達等皆有亮眼表現，顯示市場對雲端運算產業前景樂觀。智邦身為概念股之一，預計也將受惠於市場情緒正面。,2025-07-06 17:43:58,1
2023-06-05,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 17:44:00,1
