date,factor,explanation,updated_time,news_count
2022-11-04,0.8,營收與獲利雙創高點，展望中長期樂觀，預期帶動市場情緒正面。,2025-07-06 16:40:38,2
2022-11-08,0.6,營收創高且旗下子公司表現亮眼，但筆電出貨仍衰退，市場情緒偏正面但不確定性存在。,2025-07-06 16:40:40,1
2022-11-22,0.3,市場對戴爾保守展望反應謹慎，影響台廠代工廠營運表現。,2025-07-06 16:40:42,1
2022-11-30,0.6,塔塔集團可能收購緯創印度工廠或共同成立合資公司，將有助提升塔塔製造能力並打入蘋果供應鏈。,2025-07-06 16:40:44,1
2022-12-16,0.6,電子股普遍走弱，但緯創在代工廠中表現相對抗跌。,2025-07-06 16:40:47,1
2022-12-18,0.5,緯創在外資買超前 10 大標的中名列其中，但整體台股走勢疲弱，且美股財報將影響開盤信心，預期市場情緒偏中性。,2025-07-06 16:40:49,1
2022-12-22,0.5,人事異動可能影響公司內部管理與決策效率，短期對市場情緒造成不確定性。,2025-07-06 16:40:50,1
2023-01-04,0.5,電子權值股普遍下跌，緯創逆勢抗跌，顯示市場對其表現仍有期待。,2025-07-06 16:40:53,1
2023-01-09,0.6,營收與獲利雙創高點，顯示公司營運狀況良好，但面對通膨、升息等經濟環境影響，市場情緒偏向謹慎。,2025-07-06 16:40:55,1
2023-01-11,0.8,外資持續加碼緯創等二線晶圓廠與面板雙虎，顯示對市場後市仍有信心。,2025-07-06 16:40:56,1
2023-01-14,0.8,"營收與獲利雙創新高，顯示公司財務狀況良好，預期帶動市場情緒正面。

0.6
雖然本季筆電、顯示器出貨將衰退，但伺服器仍可望成長，且後續各產品線出貨都可望逐季成長，全年來看，桌機持平向上，筆電出貨則恐稍微衰退，顯示器則會反映去年高基期。",2025-07-06 16:40:58,1
2023-01-15,0.5,緯創營收逆勢創高，但市場聚焦今年展望。虎年封關日上漲機率高，且無明顯利多或利空消息。,2025-07-06 16:41:00,1
2023-01-17,0.6,整體來看，緯創去年財報亮眼，毛利率、營益率雙雙改寫新高，獲利也創11年來新高。展望今年，雖然個人電腦事業仍相對嚴峻，但非個人電腦應用成長可期，預計全年伺服器將保持成長，桌機持平向上，筆電出貨則恐稍微衰退，顯示器則會反映去年高基期。公司也進行組織調整，改回單執行長制，並強化全球布局，擴大非中國產能比重。,2025-07-06 16:41:03,4
2023-02-03,0.5,市場情緒偏向正面，但缺乏明確利多因素，整體呈現溫和上漲。,2025-07-06 16:41:06,1
2023-02-04,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 16:41:07,1
2023-02-07,0.8,營收創同期新高，展望今年拚達到新營運高峰，顯示公司成長動能強勁，預期帶動市場情緒正面。,2025-07-06 16:41:09,1
2023-02-16,0.8,獲選全球百大創新機構，再度肯定公司在研發與創新的投入，預期將帶動市場正面情緒。,2025-07-06 16:41:11,1
2023-02-24,0.6,電子權值股遭外資賣超，緯創獲青睞，顯示市場偏好防禦性個股。,2025-07-06 16:41:13,1
2023-03-07,0.6,緯謙科技與 Databricks 建立夥伴關係，將提供完整的雲端技術與垂直產業解決方案，預期帶動市場對於緯創集團旗下子公司的正面情緒。,2025-07-06 16:41:15,1
2023-03-08,0.6,外資買超緯創等大型電子股，但賣超金融與傳產股，顯示市場對電子業仍有信心。,2025-07-06 16:41:16,1
2023-03-10,0.8,緯創醫學營收持續成長，展望今年仍可望年增 5 成以上，並力拚達損益兩平。公司聚焦既有應用產品線，包括生命科學儀器、體外檢測、醫學影像、人工外骨骼以及智慧醫院等，其中儀器代工業務目前占比仍過半，而輔具、外骨骼等自有品牌事業在東南亞成長強勁。,2025-07-06 16:41:19,1
2023-03-12,0.5,市場觀望聯準會動態，且大盤跌破月線支撐，個股財報利多可維繫零星多頭火種。,2025-07-06 16:41:20,1
2023-03-14,0.6,法說會釋出正面訊息，包括獲利創新高、股利政策良好，以及對 AI 和車用電子前景樂觀，但整體展望仍偏保守，上下半年營收比重 4:6。,2025-07-06 16:41:22,3
2023-03-15,0.8,美股四大指數收紅，台積電 ADR 和聯電 ADR 同步上漲，加上緯創董事長看好 AI 伺服器需求和車用電子前景，帶動市場情緒正面。,2025-07-06 16:41:24,2
