date,factor,explanation,updated_time,news_count
2022-11-01,0.85,財報亮眼且展望樂觀，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 19:11:29,1
2022-11-02,0.9,第三季財報亮眼，前三季獲利超越去年全年，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 19:11:30,2
2022-11-03,0.8,緯穎第三季獲利創高，股價延續攻勢強漲，顯示市場對公司財務狀況的正面看法。,2025-07-06 19:11:32,2
2022-11-05,0.9,營收與獲利雙創高點，展望樂觀，持續看好雲端資料中心市場需求，並規劃擴產因應，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 19:11:33,1
2022-11-08,0.8,緯穎營收成長且對第四季需求樂觀，顯示公司表現亮眼，有利於市場情緒正面。,2025-07-06 19:11:35,1
2022-11-09,0.8,高價股普遍走強，緯穎等個股上漲，顯示市場對相關公司前景樂觀。,2025-07-06 19:11:36,1
2022-11-16,0.6,緯穎股價上漲，顯示市場對公司表現持正面態度。,2025-07-06 19:11:37,1
2022-11-25,0.3,高價股普遍走弱，緯穎也同步修正，顯示市場信心略有動搖。,2025-07-06 19:11:39,1
2022-12-06,0.3,高價股普遍走弱，顯示市場情緒偏向保守。,2025-07-06 19:11:41,1
2022-12-12,0.2,台股早盤以小跌開出後，不敵電子、金融類股賣壓沉重，午盤前跌幅擴大至百點之上，再度失守月線支撐。,2025-07-06 19:11:43,1
2022-12-13,0.3,市場觀望氣氛濃厚，加權指數下挫，緯穎股價也同步走跌。,2025-07-06 19:11:44,1
2022-12-21,0.5,緯穎股價上漲 1%，顯示市場對公司表現持中立態度。,2025-07-06 19:11:45,1
2022-12-28,0.5,緯穎與日商三菱日聯銀行簽署永續連結貸款，顯示公司積極投入 ESG，並致力於企業永續經營。然而，台股今日走弱，半導體族群表現疲軟，電子相關高價股也同步下跌，緯穎盤中亦同步走弱。,2025-07-06 19:11:48,2
2022-12-30,0.6,緯穎股價表現不俗，顯示市場對其營運前景持正面看法。,2025-07-06 19:11:49,1
2023-01-05,0.3,醫材產業營收成長，顯示市場需求穩定，但科技股表現疲弱，整體市場情緒偏中性。,2025-07-06 19:11:51,2
2023-01-09,0.6,營收與獲利雙創高點，顯示公司營運狀況良好，但面對通膨、升息等經濟環境影響，可能會影響短期成長力道。,2025-07-06 19:11:53,1
2023-01-10,0.8,整體市場氣勢如虹，外資持續回補，權值股領漲，加上緯穎去年全年純益創新高，營運表現亮眼，預期將帶動市場情緒正面。,2025-07-06 19:11:55,2
2023-01-11,0.3,電子股普遍走低，緯穎亦下跌超過 3%，顯示市場偏向保守。,2025-07-06 19:11:56,1
2023-01-12,0.6,緯穎股價上漲約3%，屬於較為強勢的高價股，但整體台股表現平平，顯示市場對緯穎的反應有限。,2025-07-06 19:11:57,1
2023-01-16,0.6,電子與金融股帶動台股上漲，緯穎等高價股普遍走揚，顯示市場情緒偏正面。,2025-07-06 19:11:58,1
2023-01-31,0.3,大盤走勢疲弱，緯穎、嘉澤跌逾 2%，世芯跌 1%。市場觀望 FOMC 會議結果，引發保守情緒。,2025-07-06 19:12:01,1
2023-02-01,0.8,緯穎表現強勢，顯示市場對其營運前景樂觀。,2025-07-06 19:12:02,1
2023-02-02,0.9,緯穎股價強勢表現，顯示市場對公司營運前景樂觀。,2025-07-06 19:12:03,1
2023-02-04,0.9,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 19:12:04,1
2023-02-07,0.3,電子族群走勢疲軟，傳產扮演撐盤角色，指數小幅上漲。市場憂心聯準會升息力道難以減緩，終端需求仍疲軟，科技股漲多後恐震盪。,2025-07-06 19:12:06,2
2023-02-13,0.3,電子權值股普遍走弱，高價股同步下跌，顯示市場情緒偏向保守。,2025-07-06 19:12:08,1
2023-02-15,0.8,MWC 展出與新伺服器市場相關的產品，顯示公司積極搶攻商機，預期帶動市場正面情緒。,2025-07-06 19:12:09,1
2023-02-19,0.3,市場聚焦法說會釋出的營運展望，外銷訂單與製造業生產指數持續衰退，顯示整體經濟環境不佳，對公司營運帶來壓力。,2025-07-06 19:12:11,1
2023-02-22,0.9,獲利創新高、配發高額股利與資安長任命等正面消息，顯示公司財務狀況良好且積極佈局未來發展，預期將帶動市場情緒正面。,2025-07-06 19:12:12,1
2023-02-23,0.9,股利創新高、獲利亮眼、資本支出大增、產能擴張計畫，顯示公司財務狀況良好，預期帶動市場情緒正面。,2025-07-06 19:12:14,3
2023-02-24,0.8,緯穎參加 MWC 2023 展出邊緣運算伺服器解決方案，顯示公司積極拓展新業務領域，預期將帶動市場正面情緒。,2025-07-06 19:12:16,2
2023-02-25,0.85,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 19:12:17,1
2023-03-02,0.4,緯穎股價被壓在盤下，顯示市場對其表現持保守態度。,2025-07-06 19:12:18,1
2023-03-06,0.7,緯穎在台股強勁表現下上漲 2.7%，顯示市場對公司營運前景持正面看法。,2025-07-06 19:12:20,1
2023-03-21,0.8,緯穎營運展望樂觀，擴產計畫積極進行，去年財報亮眼，今年前兩月營收創新高，加上母公司緯創股價大漲助攻，整體市場情緒正面。,2025-07-06 19:12:23,2
2023-03-22,0.9,"權值股普遍走強，加上輝達概念股表現亮眼，帶動大盤指數大漲超過 200 點，高價千金股如緯穎也飆漲近 7%，重返千金行列，顯示市場情緒正面。

0.8
美股四大指數收漲，加上輝達 GTC 大會登場，預告人工智慧的「iPhone 時刻」已到來，推升台股大盤指數站回月線，並由權王台積電、千金股領軍帶動，顯示市場情緒正面。",2025-07-06 19:12:26,2
2023-03-24,0.9,緯穎營收、獲利雙創高，展望樂觀，擴產計畫不變，且伺服器產品結合AI應用比重持續增加，有利長期成長。,2025-07-06 19:12:27,1
2023-03-25,0.9,緯穎與母公司緯創攜手強攻 AI 伺服器應用商機，加上外資連續買超，激勵股價大漲衝破 40 元大關。,2025-07-06 19:12:29,1
2023-03-30,0.8,"電子權值股與高價股領漲，加上記憶體族群與網通族群同步走強，顯示市場情緒偏正面。

緯穎受惠伺服器概念股帶動，股價表現亮眼。",2025-07-06 19:12:31,2
2023-03-31,0.3,高價股普遍下跌，緯穎亦無法倖免，顯示市場對這類股票的信心不足。,2025-07-06 19:12:32,1
2023-04-07,0.6,緯穎 3 月、第一季營收雙創新高，顯示公司表現亮眼，但整體市場仍低迷，上下半年營收比重將落在 4:6。,2025-07-06 19:12:34,1
2023-04-13,0.2,電子股普遍走弱，緯穎也無法倖免，顯示市場對科技產業前景持保守態度。,2025-07-06 19:12:35,1
2023-04-18,0.2,高價股普遍走弱，緯穎跌幅超過 2%，市場情緒偏向保守。,2025-07-06 19:12:37,1
2023-04-20,0.3,市場情緒偏向保守，個股表現分歧，缺乏明顯利多或利空因素。,2025-07-06 19:12:38,1
2023-04-24,0.6,緯穎受惠於伺服器需求，市場情緒偏正面，但整體台股表現疲弱。,2025-07-06 19:12:40,2
2023-04-26,0.2,主要客戶訂單下修，將直接衝擊緯穎營收與獲利，引發市場負面情緒。,2025-07-06 19:12:41,1
2023-05-02,0.6,伺服器概念股表現強勁，緯穎與緯創雙雙上漲，顯示市場對相關產業前景樂觀。,2025-07-06 19:12:42,1
2023-05-03,0.6,緯穎股價下跌，顯示市場對公司營運狀況持保守態度。,2025-07-06 19:12:43,1
2023-05-08,0.7,營收與獲利雙創高點，顯示公司營運狀況良好，但市場情緒受美股上周五大漲影響而有所提振。,2025-07-06 19:12:45,2
2023-05-10,0.4,電子股疲弱，高價股跌多漲少，緯穎重挫被打到跌停，但部分個股如世芯 - KY、長榮等逆勢上漲。,2025-07-06 19:12:47,2
2023-05-12,0.6,緯穎股價相對有撐，但整體電子三雄疲軟，權值股表現不佳。,2025-07-06 19:12:48,1
2023-05-16,0.6,權值股強勢反彈，帶動市場情緒偏正面，但缺乏明確的緯穎相關利多消息。,2025-07-06 19:12:50,1
2023-05-22,0.5,大盤走勢疲軟，權值股與高價股表現低迷，但觀光族群與部分傳產股逆勢上揚，緯穎也在跌幅之中，顯示市場情緒偏向保守。,2025-07-06 19:12:52,1
2023-05-23,0.8,緯穎受邀參加證交所海外引資活動，顯示公司營運表現亮眼且具國際競爭力，有利於提升市場能見度與吸引長期基金挹注。,2025-07-06 19:12:53,2
2023-05-24,0.6,緯穎股價下跌，顯示市場對其表現持保守態度。,2025-07-06 19:12:54,1
2023-05-25,0.8,輝達財報優於預期帶動相關概念股走強，緯穎受惠雲端運算題材，股價大漲。,2025-07-06 19:12:55,1
2023-05-26,0.8,電子權值股領軍上漲，加上 AI 概念股強勢表現，帶動市場情緒正面。,2025-07-06 19:12:56,1
