date,factor,explanation,updated_time,news_count
2023-01-05,0.85,營收創高、多元化產品組合、高毛利產品拓展等正面訊息，帶動市場對公司未來成長的樂觀情緒。,2025-07-06 18:26:49,1
2023-02-06,0.8,群光營收成長、獲利亮眼，展望樂觀，預期帶動市場正面情緒。,2025-07-06 18:26:53,1
2023-03-16,0.9,藍天中國通路事業受惠解封、人流回溫，以及過去不利影響排除，預計今年狀況好轉，挹注獲利表現。法人看好藍天今年獲利可望翻倍，每股純益上看 3 元。,2025-07-06 18:26:58,1
2023-04-06,0.6,第一季營收雖然衰退，但 AI 影像產品表現亮眼，後續成長可期。法人看好非 PC 產品應用拓展與高附加價值產品推出，有助於穩健提升營收。,2025-07-06 18:27:02,1
2023-05-09,0.3,公司下修全年營收預測，展望保守，市場情緒偏向負面。,2025-07-06 18:27:06,1
2023-05-10,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 18:27:07,1
2023-06-05,0.6,營收回溫且智慧建築專案表現亮眼，市場情緒偏正面。,2025-07-06 18:27:10,1
2023-06-06,0.9,營收回升、獲利展望樂觀、AI影像產品成長潛力大，預期將帶動市場情緒正面，股價有上漲空間。,2025-07-06 18:27:12,1
2023-06-17,0.3,營收與獲利下滑，顯示公司營運狀況不佳，預期帶動市場情緒偏空。,2025-07-06 18:27:14,1
2023-07-27,0.6,外資買超群光 1411 張，顯示對該公司持正面看法，但投信連續賣超，市場情緒偏向中性。,2025-07-06 18:27:18,1
2023-12-06,0.6,雖然11月營收略為下滑，但鍵盤與影像營收仍維持穩定，且公司對2024年展望樂觀，預期獲利成長幅度將優於營收。,2025-07-06 18:27:29,1
2023-12-14,0.8,台股大盤上漲，多檔個股表現亮眼，顯示市場情緒正面。,2025-07-06 18:27:31,1
2023-12-26,0.7,電子股普遍上漲，群光在面板族群強勢表現下，股價也有所上揚。,2025-07-06 18:27:34,1
2023-12-30,0.8,藍天營運回溫，搭載新一代平台機種上市，加上中國政府振興內需政策，有助於相關通路事業表現。,2025-07-06 18:27:35,1
2024-01-03,0.4,電子類股普遍下跌，但群光等少數個股力守紅盤，顯示市場對部分公司仍有信心。,2025-07-06 18:27:36,1
2024-01-04,0.7,"群光預期全年合併營收看增雙位數，且三大事業可望同步成長，顯示公司展望樂觀，市場情緒正面。惟整體電子股表現平平，群光漲幅相對有限。

0.6
法人表示群光 12 月影像營收逆勢月增，顯示先前客戶遞延的訂單陸續發酵，為市場帶來正面訊息。",2025-07-06 18:27:39,2
2024-01-09,0.5,群光與其他高價 IC 設計指標同步上漲，顯示市場對相關產業的看法偏向正面。,2025-07-06 18:27:40,1
2024-02-06,0.9,市場普遍預期 2024 年全球 PC 出貨量重回個位數成長，加上微軟將於 2025 年停止支援 Windows 10，以及品牌廠導入 AI 應用，可望帶動換機需求，群光受惠於這些趨勢，營收與獲利成長可期。,2025-07-06 18:27:45,1
2024-03-04,0.8,電子指標股普遍走強，群光漲約 6%，顯示市場對相關產業前景樂觀。,2025-07-06 18:27:49,1
2024-03-06,0.7,"2月營收年減3.25%，但前兩個月營收仍維持成長，顯示公司整體營運狀況尚佳。法人預估下半年需求回升，有利於群光後續業績表現。

0.6
2月營收受工作天數影響而減少，但前兩個月營收仍較去年同期成長，顯示公司整體營運狀況尚可。法人預估下半年需求回升，有利於群光後續業績表現。

0.5
2月營收受工作天數影響而減少，但前兩個月營收仍維持正成長，顯示公司整體營運狀況尚佳。法人預期下半年需求回升，有利於群光後續業績表現。",2025-07-06 18:27:53,1
2024-03-08,0.6,個股方面，雖然台積電等大型股強勁上漲，但群光等部分指標股表現仍較為疲軟，顯示市場情緒偏向中性。,2025-07-06 18:27:54,1
2024-03-09,0.9,展望今年營收與獲利雙位數成長，三大事業同步增長，加上高配息水準與列入兩檔高股息 ETF 成分股，市場情緒樂觀。,2025-07-06 18:27:56,1
2024-03-17,0.5,外資買超群光，顯示對該公司股票市場情緒中性。,2025-07-06 18:27:57,1
2024-03-20,0.6,群光在 ETF 成分股中表現亮眼，但整體市場偏向漲多拉回，預期短期內影響有限。,2025-07-06 18:27:59,1
