date,factor,explanation,updated_time,news_count
2022-11-01,0.6,新旗艦晶片即將發表，市場預期延續採用台積電 4 奈米製程，並引入 Arm Cortex-X3 大核架構，提升效能與效率。整體而言，新產品推出有望帶動市場情緒正面，但短期內可能缺乏明顯利多刺激。,2025-07-06 19:57:50,3
2022-11-02,0.8,電子權值股普遍走強，聯發科漲幅超過 0.8%，顯示市場對公司營運前景樂觀。,2025-07-06 19:57:51,1
2022-11-03,0.5,台股下跌，聯發科小幅上漲，顯示個股表現相對強勁。,2025-07-06 19:57:52,1
2022-11-08,0.9,新旗艦晶片採用先進製程與創新設計，展現公司在 5G 與行動運算領域的技術實力，預期將帶動市場對聯發科的正面情緒。,2025-07-06 19:57:54,1
2022-11-09,0.9,"台股延續反彈氣勢，電子權值股如聯發科強漲近半根漲停，帶動大盤上攻 200 點，站回 13500 點大關。ABF 載板三雄欣興、景碩、南電也同步走揚，顯示市場情緒正面。

0.8
台積電、聯發科領軍電子股強漲超過 4%，半導體族群氣勢如虹，瑞鼎、光罩、聯詠等多檔個股亮燈漲停。ABF 載板三雄欣興逼近漲停，景碩與南電也有逾半根漲停，顯示市場對相關產業前景樂觀。",2025-07-06 19:57:57,2
2022-11-10,0.3,聯發科營收下滑，市場情緒偏向保守，但新一代旗艦 5G 晶片推出，維持一定熱度。,2025-07-06 19:57:59,2
2022-11-11,0.8,聯發科高層表示公司正多元佈局，預計未來將成為一個更好、更宏大的企業，顯示公司營運前景良好，市場情緒偏向正面。,2025-07-06 19:58:01,4
2022-11-12,0.9,市場預期手機庫存將在第四季達最高峰，明年首季客戶恢復拉貨，有助聯發科營收重返成長。執行長喊話多元佈局目標，激勵股價創三個月新高。,2025-07-06 19:58:03,1
2022-11-14,0.8,聯發科執行長蔡力行表示將持續多元化佈局製造供應鏈，但這是一個「漸進式」過程，無意將供應鏈以任何形式移出台灣。公司持續推動美國業務，目標是將銷售提高兩、三倍。,2025-07-06 19:58:05,3
2022-11-15,0.8,"聯發科強調將持續全力投資台灣，並致力在現有合作關係基礎下放眼世界，且隨著業務擴張，會投資更多領域。半導體族群全面歡騰，聯發科漲幅逾 3%，顯示市場對公司營運前景樂觀。

0.6
台灣團隊在國際固態電路研討會 (ISSCC) 表現亮眼，聯發科入選 5 篇居冠。獲選論文展現公司技術實力，為長期發展注入動能，但短期內對股價的直接影響有限。",2025-07-06 19:58:08,3
