date,factor,explanation,updated_time,news_count
2022-11-01,0.3,第三季財報表現不佳，營收、獲利雙減，但對未來展望樂觀，預期明年有新產品貢獻。,2025-07-06 20:12:24,1
2022-11-02,0.8,儘管營運遭遇逆風，但股價跌幅已深，反彈力道強勁，顯示市場對未來仍抱持樂觀態度。,2025-07-06 20:12:26,2
2022-11-05,0.4,電子業庫存調整延長，加上終端需求疲弱，聯茂營收與獲利表現不佳，市場情緒偏保守。,2025-07-06 20:12:27,1
2022-12-05,0.3,營收創5個月新高，但電子業持續去化庫存，加上年底拉貨變緩，預計第四季營收將較第三季略減。,2025-07-06 20:12:31,1
2023-01-05,0.3,庫存去化延長、需求維持低迷，預計緩解時間要到 2023 年上半年，但新產能將如期開出。,2025-07-06 20:12:35,1
2023-01-12,0.6,擴廠計畫與營收表現穩定，顯示公司積極佈局未來成長動能，市場情緒偏正面。,2025-07-06 20:12:37,1
2023-01-16,0.6,電子權值股普遍上漲，ABF載板與板卡族群也有亮眼表現，但銅箔基板廠火災事故對相關個股造成壓力。整體而言，市場情緒偏正面但有雜音。,2025-07-06 20:12:39,1
2023-01-31,0.8,營收衰退但預期第二季起新產品推出帶動成長，股價突破平台整理區。,2025-07-06 20:12:42,2
2023-02-04,0.8,新產能開出與擴廠計畫，顯示公司對未來成長有信心，帶動市場情緒正面。,2025-07-06 20:12:43,1
2023-02-05,0.3,營收創下35個月來新低，顯示公司目前面臨市場需求疲弱的問題，但車用電子和資料中心需求仍維持穩健。,2025-07-06 20:12:44,1
2023-03-05,0.3,庫存去化延長、需求維持低迷，市場情緒偏保守。,2025-07-06 20:12:48,1
2023-03-12,0.6,健鼎購併南越日系 PCB 廠，將可投入伺服器板等產品的生產，並回應客戶在兩岸之外要求建立多元產能的需求。同時，台 PCB 產業因疫情而按下的南向投資「暫停鍵」已經解除，將配合客戶需求加速行動。,2025-07-06 20:12:51,1
2023-04-11,0.7,公司高層對下半年展望樂觀，預期需求逐月增長且庫存去化告一段落，將帶動營運成長。,2025-07-06 20:12:55,1
2023-04-23,0.6,聯茂在泰國設廠進度領先其他 CCL 廠，顯示公司積極佈局東南亞市場，有利於擴大營運版圖。,2025-07-06 20:12:58,1
2023-05-03,0.3,CCL 市場需求緩步向上，但公司設廠進度落後，市場情緒偏保守。,2025-07-06 20:13:00,1
2023-05-22,0.8,台燿與聯茂股價齊漲，顯示市場情緒正面。,2025-07-06 20:13:03,1
2023-12-05,0.8,營收逐月增溫，新廠擴產計畫，展望樂觀。,2025-07-06 20:13:20,1
2024-01-05,0.8,營收表現勝過預期，且新廠投產計畫持續推進，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 20:13:24,2
2024-02-05,0.8,營收創高且獲利優於預期，帶動市場情緒正面。,2025-07-06 20:13:28,1
2024-03-05,0.85,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 20:13:32,1
2024-03-07,0.8,CCL 廠營收與獲利成長，擴廠計畫顯示對未來市場需求樂觀。,2025-07-06 20:13:34,1
2024-03-30,0.9,AI 伺服器需求強勁、產品組合優化、獲利成長可期，外資大舉買超，股價突破整理區，挑戰百元關卡。,2025-07-06 20:13:37,1
2024-04-05,0.5,聯茂營收表現略低於預期，但泰國廠動工與投資金額增加，顯示公司擴張意願強烈，整體而言市場情緒偏中性。,2025-07-06 20:13:39,1
2024-04-06,0.8,AI 應用帶動載板需求復甦，PCB 族群龍頭股轉強，整體市場情緒正面。,2025-07-06 20:13:40,1
2024-05-06,0.85,營收持續成長且股價上漲，顯示市場對公司表現正面看待。,2025-07-06 20:13:44,1
2024-06-04,0.2,聯茂 股價走跌，顯示市場情緒偏向保守。,2025-07-06 20:13:48,1
2024-06-05,0.7,5月營收大幅成長，顯示公司業績表現亮眼，預期將帶動市場正面情緒。,2025-07-06 20:13:50,1
2024-06-19,0.8,聯茂為 AI 伺服器供應鏈，受惠於全球市場成長，股價跌破季線有超跌跡象。,2025-07-06 20:13:52,1
2024-07-05,0.8,聯茂6月營收成長，股價表現優於產業指數，三大法人買超，顯示市場對公司營運前景持正面看法。,2025-07-06 20:13:56,3
2024-07-31,0.2,分析師對EPS和營收預估下修，顯示市場對公司未來成長前景保守。,2025-07-06 20:13:59,1
2024-08-05,0.6,7月營收年增率32%且月增率2.95%，顯示公司營運狀況良好，帶動市場情緒正面，但近5日股價下跌-9.31%，表現不如同業。,2025-07-06 20:14:01,1
2024-08-07,0.2,分析師對聯茂目標價與獲利預估下修，引發市場悲觀情緒。,2025-07-06 20:14:02,2
2024-08-19,0.2,分析師對聯茂的目標價與獲利預估下修，引發市場悲觀情緒。,2025-07-06 20:14:05,2
2024-09-03,0.6,台股量縮震盪，聯茂等 PCB 族群強勢上漲。,2025-07-06 20:14:07,1
2024-09-12,0.2,分析師對EPS預估下修，顯示市場對公司獲利前景看法保守。,2025-07-06 20:14:09,1
2024-09-25,0.8,獲利與營收預估上修，顯示市場對公司未來表現樂觀。,2025-07-06 20:14:11,1
2024-10-01,0.2,獲利預估下修，市場情緒偏向保守。,2025-07-06 20:14:13,1
2024-10-03,0.2,分析師對EPS預估下修，顯示市場對公司獲利前景看法保守。,2025-07-06 20:14:14,1
2024-10-18,0.2,分析師下修獲利預估值，引發市場對公司財務表現的擔憂。,2025-07-06 20:14:16,1
2024-11-05,0.8,獲利成長與新產品開發，顯示公司營運正向發展，預期將帶動市場情緒偏多。,2025-07-06 20:14:19,1
2024-11-06,0.2,獲利預估下修，市場情緒偏向保守。,2025-07-06 20:14:20,1
2024-11-13,0.2,分析師對聯茂的目標價與獲利預估下修，引發市場悲觀情緒。,2025-07-06 20:14:21,2
2025-03-05,0.8,營收年增率高達39%，顯示公司表現優於同期，預期將帶動市場正面情緒。,2025-07-06 20:14:34,1
