date,factor,explanation,updated_time,news_count
2022-11-07,0.5,營收與出貨符合預期，但市場需求趨緩，法說會前觀望氣氛濃厚。,2025-07-06 19:17:26,1
2022-11-11,0.6,第三季財報優於預期，毛利率創近五年新高，但第四季展望保守，營收可能滑落至第二季水準。整體而言，公司獲利能力改善但成長動能趨緩，市場情緒偏向中性。,2025-07-06 19:17:28,2
2022-11-23,0.6,台廠伺服器業者因應美中科技戰，逐步擴大在墨西哥、東南亞等地區製造，預期明年主要台廠在中國以外地區伺服器主機板產能將上看 5 成。,2025-07-06 19:17:31,1
2022-11-30,0.9,亞馬遜雲端事業部門 AWS 預計明年增聘員工並擴建資料中心，顯示對未來業務前景樂觀，將帶動伺服器需求成長，台廠供應商如英業達等可望受惠。,2025-07-06 19:17:33,1
2022-12-07,0.8,英業達旗下英研智能開發的電子紙產品在醫療領域取得進展，與綠湖數位醫療合作推出電子紙病床卡，已應用於多家醫院。這顯示公司積極拓展新事業版圖，為營運增添動能，預期將帶動市場正面情緒。,2025-07-06 19:17:35,1
2022-12-14,0.8,展望明年，董事長卓桐華表示，雖然大環境有些變化，但英業達在伺服器、筆電業務上還是力拚成長，對明年維持成長目標不變，並強調全球產能將持續擴充，明年資本支出估落在約 2 億美元。,2025-07-06 19:17:38,2
2022-12-16,0.6,電子股普遍走弱，但英業達、緯創等代工廠相對抗跌。,2025-07-06 19:17:39,1
2022-12-24,0.8,公司對明年營運維持成長目標不變，並看好伺服器與筆電業務，預期帶動市場正面情緒。,2025-07-06 19:17:41,1
2022-12-27,0.6,英業達在越南擴大投資，顯示對未來成長的信心，但整體經濟環境變化仍是隱憂。,2025-07-06 19:17:43,1
2023-01-07,0.6,英華達與全球人壽合作推出健康促進外溢保單，透過榮文生醫的循環腫瘤細胞檢測主動進行癌症篩檢，可望儘早得知是否有罹癌風險，以達到早期發現早期治療的目的，並進而促進健康。,2025-07-06 19:17:46,1
2023-01-11,0.3,電子股普遍走低，英業達為其中一家弱勢指標，市場情緒偏向保守。,2025-07-06 19:17:47,1
2023-01-17,0.8,英業達斥資設立越南子公司，顯示對未來成長有信心，並積極佈局新市場。同時去年營收創高，預期帶動市場正面情緒。,2025-07-06 19:17:49,1
2023-02-21,0.6,英業達擴大越南產能以因應新訂單需求，且預估全年營收成長，顯示公司營運展望正向，但第一季出貨仍受淡季影響，市場情緒偏中性。,2025-07-06 19:17:54,1
2023-03-03,0.8,英業達積極招募人才，顯示對未來營運成長有信心，並持續投入 5G 通訊、電競筆電、邊緣運算器、AI 伺服器等前瞻研發發展，預期將帶動市場正面情緒。,2025-07-06 19:17:57,1
2023-03-07,0.6,營收雖然小幅下滑但仍創同期新高，維持全年成長展望，顯示公司整體表現穩健。,2025-07-06 19:17:58,1
2023-03-12,0.5,投信買超英業達，顯示對該公司持中性看法。,2025-07-06 19:18:00,1
2023-03-14,0.7,"法說會釋出正面訊息，包括維持全年營收成長預期、展望逐季回溫，以及新興事業成長潛力。

0.6
法說會對今年展望樂觀，預計營運將優於去年，並維持筆電、伺服器等三大產品線業務成長。",2025-07-06 19:18:02,3
2023-03-18,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 19:18:03,1
2023-03-19,0.3,市場關注金融業危機是否有連鎖效應，且聯準會升息將放緩，引發保守情緒。,2025-07-06 19:18:05,1
2023-04-19,0.9,NB 市況回溫帶動英業達等代工廠股價上漲，顯示市場對未來營運前景樂觀。,2025-07-06 19:18:09,1
2023-04-20,0.6,市場買超英業達等個股，但整體大盤下跌且三大法人同步賣超，顯示市場情緒偏向保守。,2025-07-06 19:18:10,1
