date,factor,explanation,updated_time,news_count
2022-11-02,0.8,"電子零件與光電族群帶動市場，權值股如台積電也翻紅，整體呈現正面走勢。

市場觀望氣氛濃厚，但電子零件、光電族群及航運股扮演穩盤要角，多檔個股上漲，顯示買盤力道仍在。",2025-07-06 18:44:52,2
2022-11-08,0.9,伺服器、交換器等需求持續升溫，加上新平台效益可期，營收與獲利成長強勁，預期帶動市場正面情緒。,2025-07-06 18:44:54,1
2022-11-18,0.8,金像電受惠於台股強勢整理，且被分析師點名為本波反彈的強勢股之一，預期將帶動市場情緒正面。,2025-07-06 18:44:56,1
2023-01-31,0.3,外資買超金額不大，且僅排在賣超前十名的第七位，顯示市場對該公司並無太大興趣。,2025-07-06 18:45:05,1
2023-02-25,0.85,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 18:45:08,1
2023-03-09,0.6,財報顯示營收與獲利雙創新高，股利政策優於預期，但前兩月營收年減幅超過一成。,2025-07-06 18:45:11,1
2023-04-11,0.9,營收回升且第二季訂單量優於首季，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-07-06 18:45:15,1
2023-04-26,0.8,營收回升、獲利成長，且下半年展望樂觀，預期將帶動市場情緒正面。,2025-07-06 18:45:18,1
2023-05-19,0.85,新伺服器平台及 AI 伺服器需求強勁，帶動市場情緒正面。,2025-07-06 18:45:21,1
2023-05-20,0.9,新伺服器平台及 AI 伺服器需求強勁，外資調升目標價並積極加碼持股，顯示市場對公司前景樂觀看待。,2025-07-06 18:45:22,1
2023-05-25,0.9,輝達財報優於預期，帶動相關概念股走強，金像電亮燈漲停，顯示市場對公司營運前景樂觀。,2025-07-06 18:45:24,1
2023-06-14,0.8,AI伺服器需求強勁，看好中長期成長趨勢，加上擴廠投資，市場情緒正面。,2025-07-06 18:45:27,1
2023-06-18,0.6,AI 伺服器需求激增，金像電 AI 伺服器應用在伺服器板的占比將從低個位數百分比提升至中高個位數百分比。,2025-07-06 18:45:31,1
2023-06-30,0.9,AI 概念股強勢表現，帶動金像電等相關個股上漲。,2025-07-06 18:45:33,1
2023-12-01,0.9,金像電籌資成功、擴產計畫啟動，以及外資調高評等與目標價，顯示公司營運前景樂觀，預期帶動市場情緒正面。,2025-07-06 18:45:46,1
2023-12-07,0.8,台股集中市場今日開盤在平盤附近震盪，但中小型個股表現活潑，AI、車用零組件及重電類股走勢強勁。金像電等伺服器 PCB 供應鏈股價翻揚，顯示市場對相關產業前景樂觀。,2025-07-06 18:45:48,1
2023-12-08,0.8,AI 應用持續擴大，相關概念股如金像電等強勢表現，預期將帶動市場情緒正面。,2025-07-06 18:45:50,1
2024-01-04,0.2,電子股表現分歧，金像電與宏碁等跌逾 2%，顯示市場情緒偏向保守。,2025-07-06 18:45:53,1
2024-01-05,0.9,金像電受惠伺服器及 AI 伺服器板需求強勁，獲利創新高，吸引買盤進駐，市場情緒樂觀。,2025-07-06 18:45:55,1
2024-01-09,0.5,電子股表現強勢，AI 股及高價 IC 設計指標走揚，但貨櫃三雄及面板雙虎等傳產股疲弱。外資賣超金像電，但投信買超，顯示市場情緒中性，無明顯漲跌傾向。,2025-07-06 18:45:57,2
2024-01-18,0.5,市場情緒偏中性，電子權值股表現分歧，部分個股走弱，但整體台股上漲。,2025-07-06 18:45:59,2
2024-01-22,0.8,AI 概念股全面上揚，金像電 受惠於相關題材，市場情緒偏正面。,2025-07-06 18:46:00,1
2024-01-25,0.8,金像電在 PCB 相關族群中表現強勁，顯示市場對其營運前景持正面看法。,2025-07-06 18:46:02,1
2024-01-29,0.8,AI 及 AI PC 概念股強勢上漲，帶動市場情緒正面。,2025-07-06 18:46:03,1
2024-02-04,0.6,投信積極進場 AI 相關族群，顯示對市場前景仍有期待，但營收財報表現普通，展望不如台積電亮眼，股市空間有限。,2025-07-06 18:46:05,1
2024-02-16,0.6,市場專家認為大盤盪走堅格局不變，金像電在伺服器 PCB 供應鏈中表現較強。,2025-07-06 18:46:07,1
2024-02-25,0.6,外資連買 2 周，本周續買金像電達 15 億元，顯示市場對該公司持正面態度。,2025-07-06 18:46:09,1
2024-02-27,0.2,欣興法說會釋出保守展望，拖累相關個股表現。,2025-07-06 18:46:10,1
2024-03-01,0.8,電子權值股表現分歧，高價股與 AI 股走強，尤其散熱族群最為突出，金像電等多檔個股扮演撐盤要角。,2025-07-06 18:46:12,1
2024-03-15,0.6,金像電在鴻海法說會釋出正面訊息下獲得提振，但整體台股表現疲軟，半導體指標股普遍走跌。,2025-07-06 18:46:15,1
2024-03-22,0.6,AI 概念股表現強勁，金像電漲幅超過 6%，顯示市場對相關概念股情緒正面。,2025-07-06 18:46:16,1
2024-03-26,0.3,電子股普遍疲弱，PCB 與 IC 設計族群表現尤其不佳，影響市場情緒。,2025-07-06 18:46:18,1
2024-03-29,0.6,AI 概念股輪動帶動相關個股上漲，但金像電漲幅有限，顯示市場對其後市仍持審慎態度。,2025-07-06 18:46:19,1
2024-04-02,0.3,電子指標股表現分歧，金像電跌幅較大。,2025-07-06 18:46:20,1
2024-05-13,0.2,市場預估EPS與營收下修，顯示公司獲利能力趨緩，引發市場保守情緒。,2025-07-06 18:46:26,2
2024-06-07,0.8,營收成長顯著，市場對公司前景樂觀，但外資賣超可能影響短期股價表現。,2025-07-06 18:46:29,1
2024-06-08,0.6,獲利預估下修與營收成長趨勢向上，但市場對未來展望仍持保守態度。,2025-07-06 18:46:30,1
2024-06-19,0.6,市場對金像電的獲利預期下修，但5月營收表現亮眼，顯示公司營運狀況良好，短期內可能缺乏明確利多刺激。,2025-07-06 18:46:33,2
2024-07-10,0.3,台股創新高，電子權值股有撐，但缺乏金像電相關消息。,2025-07-06 18:46:36,1
2024-07-16,0.8,分析師調升目標價與評級，顯示市場對公司前景樂觀。,2025-07-06 18:46:37,1
2024-07-18,0.3,分析師對金像電獲利預估下修，引發市場擔憂。,2025-07-06 18:46:38,1
2024-07-31,0.6,電子權值股普遍走跌，但部分個股如台達電、國巨等逆勢上揚，金像電等 PCB 相關個股早盤也走揚，顯示市場情緒偏向中性。,2025-07-06 18:46:40,1
2024-08-02,0.2,電子權值股普遍下跌，加上半導體類股和高價股重挫，引發市場恐慌情緒，預期將對金像電產生負面影響。,2025-07-06 18:46:42,1
2024-08-07,0.85,獲利與營收雙創新高，加上擴產計畫，預期帶動市場正面情緒。,2025-07-06 18:46:43,1
2024-08-08,0.85,獲利與營收雙創新高，顯示公司財務狀況良好，預期帶動市場情緒正面。,2025-07-06 18:46:45,2
2024-08-28,0.9,營收創新高、擴產計畫以及與臻鼎結盟等利多消息，預期將帶動市場情緒正面。,2025-07-06 18:46:48,1
2024-09-03,0.7,金像電等 PCB 族群強勢，顯示市場對相關產業前景樂觀。,2025-07-06 18:46:49,1
2024-09-13,0.6,分析師對金像電獲利預估上修，顯示市場對公司營運前景樂觀。,2025-07-06 18:46:51,1
2024-10-03,0.3,分析師對2024年EPS預估下修，顯示市場對公司獲利前景持保守態度。,2025-07-06 18:46:55,1
2024-11-08,0.3,分析師對金像電獲利預估下修，引發市場擔憂。,2025-07-06 18:46:59,1
2024-11-09,0.6,分析師目標價與評級下修，但仍維持多數積極樂觀，市場情緒偏向中性。,2025-07-06 18:47:00,1
2024-12-13,0.7,金像電漲幅領先同業，顯示市場對其營運前景樂觀。,2025-07-06 18:47:04,1
2024-12-16,0.9,多家外資券商上修目標價與獲利預測，顯示對公司營運前景樂觀，市場情緒正面。,2025-07-06 18:47:05,2
2024-12-20,0.8,受惠於網通設備轉單效應，營運展望樂觀，帶動市場情緒正面。,2025-07-06 18:47:07,1
2025-01-06,0.2,電子指標中金像電等收黑，顯示市場對相關個股存在疑慮。,2025-07-06 18:47:09,1
2025-01-08,0.85,營收持續成長，顯示公司業績表現亮眼，預期將帶動市場正面情緒。,2025-07-06 18:47:10,1
2025-01-13,0.6,營收與獲利表現亮眼，但市場擔憂訂單下修、毛利率可能不如預期等負面因素，導致市場情緒偏向保守。,2025-07-06 18:47:12,3
