date,factor,explanation,updated_time,news_count
2022-11-01,0.6,"外資連續賣超鴻海，顯示市場對鄭州廠疫情的擔憂。然而，富士康調高獎勵政策，可能穩定員工信心並維持生產力。

0.5
台股上漲，帶動鴻海股價，但電子與海運類股表現分歧，顯示市場對鄭州廠疫情的擔憂仍在。",2025-07-06 19:29:25,3
2022-11-02,0.8,"鄭州航空港區實施七天全域靜態管理，雖然鴻海為重點企業可維持生產，但仍引發市場關注，股價小幅上漲。

0.6
電子權值股普遍收紅，台積電、聯電、鴻海等表現亮眼，帶動加權指數上漲。",2025-07-06 19:29:27,2
2022-11-04,0.6,電子權值股跌勢收斂，台積電、鴻海等獲得資金青睞，顯示市場情緒偏向正面，但整體漲幅有限，無明顯利多刺激。,2025-07-06 19:29:29,1
2022-11-07,0.6,雖然鄭州廠疫情影響營運，但河南省政府已承諾全力支持恢復生產，且第四季展望僅從原先的審慎樂觀調整，顯示對鴻海營運的衝擊有限。,2025-07-06 19:29:31,4
2022-11-08,0.8,投資電動車新創並成為最大股東，顯示鴻海積極佈局電動車產業，預期帶來正面市場情緒。,2025-07-06 19:29:32,1
2022-11-09,0.8,鄭州廠解除靜態管理，營運可望恢復正常，加上台股反彈，電子權值股漲勢強勁。,2025-07-06 19:29:34,3
2022-11-10,0.6,鄭州廠疫情影響營運，但公司積極應對並展現危機處理能力，市場對鴻海的信心尚存。,2025-07-06 19:29:35,4
2022-11-11,0.6,台股大漲帶動鴻海股價，但缺乏明顯利多消息，市場情緒偏向正面但不強烈。,2025-07-06 19:29:37,1
2022-11-12,0.8,鴻海與 PTT 合資的電動車廠奠基與動土儀式，顯示公司積極拓展海外市場，預期帶動市場正面情緒。,2025-07-06 19:29:38,1
2022-11-13,0.6,郭台銘對新竹市長選情的發言，以及劉揚偉出席 B20 峰會並發表專題演講，均屬正面消息，但整體而言仍偏中性。,2025-07-06 19:29:39,2
