date,factor,explanation,updated_time,news_count
2022-11-01,0.65,"上述新聞內容顯示台積電獲政府支持與海外廠進展正面，有利於提升市場對其未來發展的信心。

---

原因：這些消息強調了台灣半導體產業的韌性和台積電在美國設廠的進度，預期將提振投資者信心並帶動相關電子股走勢。",2025-06-08 18:56:37,4
2022-11-02,0.5,"當天台積電股價走高且成交量大增，顯示買盤積極，市場情緒相對正面。

-1  
由於全球終端需求低迷及 CCL 廠業績預期疲軟，可能引發部分賣壓。",2025-06-08 18:56:42,2
2022-11-03,-0.2,尽管行政院長蘇貞昌視察龍潭科學園區並宣布擴建計畫，顯示政府對台積電的支持，但整體市場受Fed升息和美股重挫影響負面情緒蔓延，加上先前安謀案的不确定性及外資帳面獲利因素，可能抑制台積電股價上漲動能。,2025-06-08 18:56:49,4
2022-11-04,0.25,整体市场反弹带动科技板块情绪回暖，但台积电当日收跌显示短期承压，需观察后续资金动向。,2025-06-08 18:56:54,1
2022-11-07,0.95,"所有新聞均顯示機構買盤強勁、半導體板塊持續走高，台積電獲資金青睞，市場情緒正面。

---

-1 表示市場情緒負面，股票可能會下跌；1 表示市場情緒正面，股票可能會上漲；0 則表示中性，無明顯漲跌傾向或資訊無關。",2025-06-08 18:57:00,3
2022-11-08,0.95,市場對台積電維持高派息與擴大資本預算正面回應，且半導体族群整體走勢強勁，帶動股價持續上漲。,2025-06-08 18:57:05,2
2022-11-09,1.0,所有新聞均顯示台積電營運狀況改善與市場資金持續流入，預期將強化正面市場情緒並推動股價上漲。,2025-06-08 18:57:11,4
2022-11-10,-0.2,台積電單月營收創新高且第四季展望正面，但整體市場環境偏弱（美股下跌、台股震盪），技術面7nm產能下滑及美系外資報告遞延部分3nm支出的負面消息也存在，導致市場情緒略偏負面。,2025-06-08 18:57:16,4
2022-11-11,0.95,所有新聞均為正面消息，顯示台積電營運優異且市場對半導體產業前景樂觀。,2025-06-08 18:57:20,4
2022-11-12,0.95,台積電近期營收創新高、設廠擴張計畫持續推進，且利空預期被淡化，強勢股價反彈顯示市場情緒高度正面。,2025-06-08 18:57:26,1
2022-11-14,0.65,近期法人買超及大盤走強帶動電子族群表現，台積電獲利預期與指數上修關聯度高，市場情緒相對正面。,2025-06-08 18:57:31,4
2022-11-15,0.95,"巴菲特旗下基金和波克夏買入台積電 ADR，強勢加持下漲，且公司營運數據亮眼，預期帶動市場正面情緒。

---

法人看好台積電長期價值，加上股價跳空上漲突破半年線，市值創新高，短期維持樂觀。",2025-06-08 18:57:37,4
2022-11-16,0.0,综合新闻显示，尽管台积电ADR因法人看好、巴菲特增持等因素持续上涨，但摩根士丹利下调iPhone预测等负面因素也存在，整体市场情绪对台积电呈现中性。,2025-06-08 18:57:42,4
2022-11-17,0.4,尽管面临美股科技股下跌及美光减少供应的双重压力，台版晶片法案獲行政院通過仍為台積電帶來買盤支撐，法人預期政策利多將抵消部分負面影響。,2025-06-08 18:57:56,4
2022-11-18,0.0,"當天新聞未提供具體利多或利空台積電的明確訊息，僅描述大盤走勢及個股表現，對台積電隔日市場情緒影響中性。

---

原因：提供的新聞資訊主要圍繞當天台股指數和相關族群的情況，雖提及台積電但未有具體營收、獲利或政策等重大事件直接利好或利空其股票，因此綜合判斷市場情緒維持中立。",2025-06-08 18:58:01,3
2022-11-19,0.65,綜合利多因素（政策支持、自身股價上漲）與競爭壓力，市場對台積電的評估呈現中等偏正面態度。,2025-06-08 18:58:10,2
2022-11-20,0.85,巴菲特旗下投資公司波克夏大舉買進台積電 ADR，帶動股價上漲，顯示市場對其長期價值認可度高，預期將提升整體正面情緒。,2025-06-08 18:58:15,1
2022-11-21,-0.3,"隔日市場情緒可能因台積電當天收跌及技術面進入整理而偏負，但長期訂單利好提供支撐。  

---

**原因說明**  
雖然有利好消息支持（如特斯拉訂單），但當天股價下跌、成交量縮以及技術面的整理信號，可能引導市場情緒略偏負，短期波動風險較高。",2025-06-08 18:58:20,4
2022-11-22,0.5,今日台積電受資金進駐拉抬上漲，但整體外銷訂單數據疲軟、通膨壓力大等因素可能引發擔憂，市場情緒中性偏正面。,2025-06-08 18:58:27,4
2022-11-23,-0.3,"尽管法人看好整体市场反弹，但非苹手机销售低迷及资金转向金融、航运股等因素对台积电的正面消息（如蒋尚义加入鸿海）形成抵消，市場情緒略偏負面。

原因：虽然有法人看好和蒋尚义加盟的消息可能带来间接利好，但消费电子需求疲软以及当天资金从电子股撤离导致市场情绪整体偏向谨慎或负面。",2025-06-08 18:58:34,3
2022-11-24,-0.5,今日台積電股價維持平盤之上，但整體技術指標顯示多方動能減弱，加上美國經濟數據矛盾可能引發市場對未來不確定性的擔憂，導致短線情緒略偏負面。,2025-06-08 18:58:42,3
2022-11-25,0.35,台積電終場微幅上漲 0.4%，顯示盤中買方力量存在；但整體電子股表現分歧，高價權重股壓力猶存，市場情緒略偏正面。,2025-06-08 18:58:47,4
2022-11-26,0.45,市場對半導體產業重視度提升，台積電人才外流可能間接反映業界吸引力，短期情緒略偏正面。,2025-06-08 18:58:51,1
2022-11-27,0.75,"台積電帶動指數反彈且獲法人買超支撐，顯示市場對其營運持續看好，預期年底作帳行情將有利於股價走高。

-1 到 1 的實數範圍內評估所有新聞的綜合影響。",2025-06-08 18:58:58,1
2022-11-28,-0.75,近期法人憂慮修正風險、半導體景氣修正及選舉影響，台積電面臨賣壓與技術性調整壓力。,2025-06-08 18:59:02,4
2022-11-29,-0.85,外資預估台積電明上半年營收及毛利率將下滑，且當天股價持續下跌、大盤受其拖累，顯示市場情緒負面。,2025-06-08 18:59:10,3
2022-11-30,0.95,今日台股收於季線新高點且法人買盤旺盛，加上半導體產業明年營運預期樂觀，台積電尾盤爆量上漲顯示市場情緒強烈正面。,2025-06-08 18:59:17,3
