date,factor,explanation,updated_time,news_count
2022-11-01,-0.2,"廣達當天被外資賣超且相對電子股走弱，可能引發市場負面情緒。

---

主要原因是外資持續賣超廣達股票，加上其自身股價表現疲軟，導致市場對該公司的情緒偏向負面。",2025-06-08 17:33:34,2
2022-11-08,0.75,市場在美股反彈帶動下普遍走強，半導體與航運族群表現亮眼，廣達作為權重股受惠於整體板塊上漲趨勢，預期短線情緒維持正面。,2025-06-08 17:33:39,1
2022-11-10,-0.9,廣達當天表現疲軟，與電子權重股同跌，且受美債殖利率走高及台股指數開低震盪影響，市場情緒負面。,2025-06-08 17:33:46,1
2022-11-11,0.5,"第三季營收與獲利雙創高，顯示短期運績優異，但展望未來筆電市場低迷及全年仍年減逾2成，可能引發部分負面預期。  

**理由：** 第三季度財報表現亮眼（營收、毛利率、純益均創新高），帶動正面市場情緒；但法人對第四季及明年筆電出貨下滑的預測，以及非筆電業務成長性的不確定性，可能造成部分負面壓力，綜合評估為中性偏正面。",2025-06-08 17:33:52,3
2022-11-14,0.4,"歷史預測準確性高且展望看好個股補漲空間，帶動市場對廣達未來表現的信心。

原因：新聞中提到的歷史預測多次準確（如台股大漲、ABF載板相關股票飆升），並在展望部分強調短期個股表現格局及中線空間，間接暗示廣達可能受益於此輪行情。",2025-06-08 17:34:03,1
2022-11-23,0.7,積極分散生產至中國以外地區，顯示公司正主動應對地緣政治風險並加速擴展產能以服務美系客戶及應對全球需求。,2025-06-08 17:34:09,1
2022-11-25,-0.65,廣達當日被列為電子股賣壓沉重標的之一，加上三大法人持續賣超與市場震盪走勢，負面情緒主導短線資金動能。,2025-06-08 17:34:16,1
2022-11-29,0.75,金融与电子股共振推升大盘，法人买超动能持续，市场情绪受权重股支撑呈现正面。,2025-06-08 17:34:23,1
2022-12-02,-0.85,當天電子權重股普遍疲軟，廣達同步收黑顯示短期市場情緒受壓，法人看好12月但未提及廣達具體利好消息，整體影響偏負。,2025-06-08 17:34:31,1
2022-12-07,0.65,廣達在英特爾活動中強調云端業務持續成長與产能擴張進展，顯示公司具備韌性，預期能抵銷部分市場調整壓力。,2025-06-08 17:34:38,2
2022-12-15,-0.15,投信賣超廣達 697 張，顯示機構資金對該公司持謹慎態度，可能引發市場負面情緒。,2025-06-08 17:34:43,1
2022-12-27,0.7,中国大陆解封带动半导体板块整体走高，广达作为电子大厂跟随上涨，显示行业复苏预期支撑市场信心。,2025-06-08 17:35:00,1
2023-01-05,-0.75,Meta訂單需求持續下滑，拖累廣達股價表現，顯示市場對其雲端業務前景評估偏負。,2025-06-08 17:35:08,1
2023-01-08,-0.15,综合消息偏向中性，缺乏直接利好或利空刺激，但台积电预期疲软可能对供应链情绪产生轻微负面影响。,2025-06-08 17:35:13,1
2023-01-10,-0.4,新聞顯示公司面臨外部挑戰與疫情風險，儘管提出智慧轉型願景，但未提供具體營收或獲利預測，且旺年會形式簡化，市場情緒可能偏負面。,2025-06-08 17:35:18,2
2023-01-31,-0.6,"台股大跌、电子股普跌，广达同步收黑，显示市场对该板块信心不足，负面情绪可能延续至隔日。

原因：综合新闻中台股指数大幅下挫及电子权重股普遍拉回的背景，加上广达当日股价下跌的信息，表明整体市场环境对该公司不利。",2025-06-08 17:35:29,1
2023-02-03,-0.85,廣達當天震盪走低，顯示電子股整體面臨調整壓力，市場情緒因業績預期波動而偏負面。,2025-06-08 17:35:35,1
2023-02-07,0.45,廣達午盤表現相對穩定，漲幅約 1-2%，顯示部分市場資金仍看好其在電子產業中的地位，但整體大盤震盪可能限制情緒強度。,2025-06-08 17:35:41,1
2023-02-12,0.65,近期產業基本面轉好及資金持續買盤，帶動市場對高價電子股的樂觀情緒，廣達獲利與籌碼面均顯示短期支撐力道。,2025-06-08 17:35:48,1
2023-03-08,-0.3,廣達當天股價表現疲軟，終場收在較弱方，Fed 鷹論引發的市場波動及電子族群整體走勢不佳，對其隔日市場情緒造成負面影響。,2025-06-08 17:35:54,1
2023-03-15,-0.5,2022年營收與獲利表現尚可，但市場對今年伺服器業務成長展望放緩至個位數，且出貨量下滑及資本支出減少，導致整體情緒偏負。,2025-06-08 17:36:01,2
2023-03-20,-0.85,三大法人賣超及電子權值股普遍下跌，廣達收平盤但無利多支撐，市場情緒偏負面。,2025-06-08 17:36:07,1
2023-03-21,0.65,市場整體情緒受美股復甦帶動走強，台股電子權重股表現優異，廣達當日亦同步上漲，顯示短期正面支撐。,2025-06-08 17:36:13,1
2023-03-30,0.25,市場大盤走強可能間接帶動個股表現，但缺乏具體利多消息支撐廣達的上漲趨勢，因此整體情緒中性略偏正面。,2025-06-08 17:36:18,1
2023-04-10,0.35,尽管季度营收与出货量双降，但公司看好后市并强调改善措施，可能缓和短期负面情绪。,2025-06-08 17:36:24,1
2023-04-17,0.25,越南設廠與蘋果訂單傳出擴張跡象，但首季營收、出貨雙降及雲端業務增長放緩的預期，可能導致市場情緒略偏正面但仍存疑慮。,2025-06-08 17:36:29,2
2023-04-19,0.85,PC市場回溫預期及法人評等上修強烈看好廣達營運前景，帶動短線買盤積極性與股價大幅反彈。,2025-06-08 17:36:33,1
2023-04-20,-0.6,三大法人同步賣超且自營商與投信對廣達賣壓明顯，顯示市場資金對其持股意願較低，短期情緒負面風險居高。,2025-06-08 17:36:41,1
2023-04-21,-0.4,廣達同步走跌顯示市場對科技族群仍持謹慎態度，缺乏具體正面或負面刺激源。,2025-06-08 17:36:50,1
2023-04-23,-0.2,"市場整體走跌且法人避險情緒濃厚，廣達雖有外資買入但難抵大盤負向氛圍干擾。

理由：雖然外資在上周仍布局廣達5.3萬張顯示部分支撐，但台股大跌、三大法人賣超及法說會季節性利空預期等消息全面壓制市場情緒，使個股波動方向不明且偏向負面。",2025-06-08 17:36:55,1
2023-04-24,0.25,越南設廠擴大投資規模顯示公司積極應對地緣風險並追求長期布局，但首季營收與出貨雙降及雲端設備增長預期下滑將帶來負面衝擊。,2025-06-08 17:37:00,2
2023-05-02,0.95,外資與三大法人同步看好伺服器代工股並加碼廣達，預期將提升市場正面情緒。,2025-06-08 17:37:05,1
2023-05-06,0.9,公司三大核心業務穩居龍頭，強調技術創新與未來成長潛力，正面評價將提升市場對其長期發展的信心。,2025-06-08 17:37:10,1
2023-05-09,0.35,廣達 4 月營收與出貨量雖有年增，但季節性下滑明顯，法人預期將逐季回溫，市場情緒偏正面但需觀察修正後走勢。,2025-06-08 17:37:15,2
2023-05-11,-0.5,營收與獲利雙降，加上筆電出貨持續衰退，顯示公司整體業績壓力大，市場情緒可能偏負面但毛利率改善提供部分緩衝。,2025-06-08 17:37:20,1
2023-05-12,0.45,"尽管第一季纯益显著衰退，但公司预估第二季业务可能优于预期，并在大盘低迷中逆市上涨超过8%，部分抵消了季度亏损带来的负面影响。

-1 表示市场情绪负面，股票可能会下跌；1 表示市场情绪正面，股票可能会上涨；0 则表示中性。",2025-06-08 17:37:24,3
2023-05-13,0.85,樂觀業務展望與法人買盤支撐，顯示市場對公司營運有信心，預期持續正面。,2025-06-08 17:37:28,1
2023-05-18,0.7,市場整體科技板塊表現強勁，廣達所屬電子代工龍頭產業受惠於大盤上漲趨勢，預期帶動正面情緒。,2025-06-08 17:37:35,1
2023-05-19,0.95,PC與伺服器業務展望改善、AI伺服器訂單及價格優勢強烈，預期帶動市場正面情緒持續上漲。,2025-06-08 17:37:39,2
2023-05-22,-0.3,上周五雖因金融族群接力帶動廣達上漲，但今日高價股普遍疲軟且該公司遭遇賣壓，顯示市場對其短期走勢持保守態度。,2025-06-08 17:37:50,2
2023-05-23,0.85,墨西哥州投資案與特斯拉合作關係強化，預期帶動長期營運增長，市場情緒正面且樂觀。,2025-06-08 17:37:55,2
2023-05-24,-0.85,營收與獲利預期下修，加上科技大盤同步走弱及美債擔憂干擾，廣達受波及而跌逾1%，市場情緒轉為負面。,2025-06-08 17:38:00,1
2023-05-25,0.95,廣達因輝達財報優於預期而同步上漲逾7%，顯示其在AI供應鏈中的關鍵地位獲得市場正面認可。,2025-06-08 17:38:04,2
2023-05-28,-0.2,市場對 AI 熱情持續但已處高檔，廣達雖被外資買超，然法人提醒震盪風險及獲利了結可能性，短期情緒偏保守。,2025-06-08 17:38:10,1
