date,factor,explanation,updated_time,news_count
2022-11-01,0.6,"台積電翻紅與金融股撐盤助攻加權指數上漲，但市場觀望 Fed 利率決策結果，多頭追價力道有限。生技類股強勢表現吸引資金挹注。

====================",2025-08-03 16:09:20,20
2022-11-02,0.6,市場對明年成長產業和個股展望樂觀，帶動類股輪動，但短期行情震盪，逢低分批布局為宜。,2025-08-03 16:09:22,20
2022-11-03,0.6,Fed 持續鷹派立場引發市場擔憂，權值股承壓下挫，但中小型題材股撐盤逆勢強勁，整體市場情緒偏向保守。,2025-08-03 16:09:25,20
2022-11-04,0.7,"儘管部分客戶遞延量產影響 11 月營收，但 ABF 載板供給增加與先進製程擴張，明年成長動能強勁，市場對未來展望樂觀。

世芯 - KY(3661-TW) 今 (4) 日召開法說會，並公布第三季財報，由於 ABF 載板供給受限，營收略低預期，不過，單季稅後純益仍創下歷史次高，達 4.43 億元，季增 3.5%，年增 23.06%，每股稅後純益 6.2 元，前三季合計達 18.53 元，續創同期新高。",2025-08-03 16:09:29,20
2022-11-07,0.7,半導體權值股強彈、航運族群助攻，加上美科技股勁揚激勵，台股漲勢凌厲，多方信心回溫。,2025-08-03 16:09:32,20
2022-11-10,0.6,矽晶圓族群受惠於伺服器轉弱的資金流入，營運展望仍佳，但市場情緒受到 CPI 數據影響而趨謹慎。,2025-08-03 16:09:40,20
2022-11-11,0.8,美股強彈激勵台股大漲，多頭氣勢如虹，搭配權值股領軍衝鋒，中小型類股有望接棒上攻。,2025-08-03 16:09:43,20
2022-11-14,0.7,中國政策利多帶動相關產業股價走強，市場情緒轉趨樂觀，惟科技業庫存調整仍是隱憂。,2025-08-03 16:09:45,20
2022-11-15,0.6,元宇宙議題持續發酵，相關個股如威盛、建達、位速、世芯 - KY 等漲幅可期，但仍需留意獲利能力與基本面支撐。,2025-08-03 16:09:48,20
2022-11-17,0.6,半導體族群維持強勢表現，世芯領漲帶動矽智財類股上攻，市場情緒偏正面但短線震盪整理。,2025-08-03 16:09:56,20
2022-11-19,0.6,台積電ADR獲得股神巴菲特青睞，激勵市場情緒向上，但整體產業展望仍有雜音，相關個股漲幅有限，短期內維持區間震盪。,2025-08-03 16:09:59,20
2022-11-21,0.3,市場觀望氣氛濃厚，個股表現分歧，防禦性族群如生技類股相對抗跌，但整體市場情緒仍偏向保守。,2025-08-03 16:10:01,20
2022-11-22,0.3,電子族群漲多拉回，傳產與金融權值股撐盤，市場情緒中性偏弱。,2025-08-03 16:10:04,20
2022-11-23,0.6,波克夏海瑟威大舉買進台積電 ADR 引發市場樂觀情緒，但須留意台積電概念股漲幅過度與資本支出下修的風險。,2025-08-03 16:10:06,20
2022-11-25,0.3,指數高檔震盪，電子股漲多拉回，傳產與生技族群輪動，但整體市場情緒偏中性，等待選舉後的進一步發展。,2025-08-03 16:10:14,20
2022-11-28,0.3,營收與獲利表現不如預期，加上整體市場氛圍偏弱，對世芯的股價造成壓力。,2025-08-03 16:10:16,20
2022-11-30,0.6,解封概念股受惠政策利多，航空、觀光族群漲勢強勁，但需留意個別公司基本面與籌碼面變化。投機股則宜審慎評估其獲利能力與長期前景，以免交智商稅。,2025-08-03 16:10:19,20
2022-12-01,0.7,IC 設計族群受惠於市場情緒回溫與需求前景穩健，股價表現強勁，但個別公司基本面仍需審慎評估。,2025-08-03 16:10:22,20
2022-12-02,0.7,台積電領軍的科技股強勢表現，加上傳產與新能源概念股助攻，整體市場情緒偏正面，但漲幅受制於半年線壓力，預期短期內指數將在此區間震盪。,2025-08-03 16:10:24,20
2022-12-05,0.6,集團作帳與產業趨勢題材股強勢表現，激勵市場情緒偏正面，但漲多個股獲利了結賣壓仍在。,2025-08-03 16:10:27,20
2022-12-06,0.6,題材股強勢表現與台積電領漲帶動下，市場情緒偏正面，但大盤走弱及新台幣貶值壓力仍在，整體維持中性偏多看待。,2025-08-03 16:10:30,20
2022-12-07,0.3,利多消息未能激勵市場信心，股價回檔整理，反映短期獲利了結賣壓與對後市展望的保守態度。,2025-08-03 16:10:32,20
2022-12-08,0.3,市場風險意識升溫，指數失守月線，加上電子權值股疲軟，短期市場情緒轉為保守，但部分成長動能強勁的個股如伺服器供應鏈與矽智財相關股仍獲得買盤支撐。,2025-08-03 16:10:35,20
2022-12-09,0.8,"半導體族群強勢表現帶動大盤反彈, 矽智財、檢測概念股領軍上攻, 多頭信心回溫。",2025-08-03 16:10:38,20
2022-12-12,0.3,市場觀望氣氛濃厚，加上權值股與高價股疲軟拖累，台股跌破月線支撐，電子族群成交比重降至 54%，金融類股也遭賣壓狙擊。,2025-08-03 16:10:40,20
2022-12-13,0.6,市場觀望 CPI 數據公布，電子權值股走弱拖累大盤回測半年線，但生技醫療族群強勁表現提振投資人信心。,2025-08-03 16:10:43,20
2022-12-14,0.7,美國通膨數據轉佳激勵美股反彈，帶動台股同步走揚，電子權值股與高價股強勢表現，加上塑化、汽車等傳產股助攻，多頭信心回穩，但後續仍需留意聯準會訊息。,2025-08-03 16:10:46,20
2022-12-15,0.6,市場情緒偏正面，但個股表現分歧，部分族群如矽智財、ABF 等維持強勢，傳產與解封概念股也有所表現，但軍工股等拉抬類股宜謹慎追價。,2025-08-03 16:10:48,20
2022-12-16,0.3,世芯等矽智財股震盪，市場對半導體產業前景仍存疑慮，短期表現偏弱。,2025-08-03 16:10:50,20
2022-12-19,0.3,市場對半導體產業前景仍有疑慮，世芯等個股漲幅有限，但整體而言獲利穩健且需求展望正面，支撐中長期投資情緒。,2025-08-03 16:10:52,20
2022-12-20,0.3,電子族群普遍走弱，尤其高價股遭提款壓力重，市場擔憂經濟衰退與需求降溫，法人結帳賣壓加重，引發整體系統性風險疑慮。,2025-08-03 16:10:54,20
2022-12-21,0.6,市場情緒偏正面，主要受惠於半導體檢測需求強勁與新產品推出帶動營收成長，但部分個股仍受到消費性電子終端市場疲弱影響。,2025-08-03 16:10:56,20
2022-12-22,0.6,整體而言，市場情緒呈現溫和偏多，但個股表現分歧。台積電領漲帶動大盤反彈，半導體族群如 M31、世芯 等維持強勢走勢。但 ABF 族群如 景碩、欣興 等在調降資本支出後仍面臨賣壓，顯示短期內市場對其前景存疑。光纖股華星光解禁後出現跌停，籌碼面不穩定也影響投資人信心。整體而言，市場情緒溫和偏多，但個股表現分歧，操作上仍需謹慎選擇強勢股並控制倉位。,2025-08-03 16:11:00,20
2022-12-23,0.3,世芯營收成長動能強勁，基本面穩健，但整體市場氛圍偏空，股價承壓。,2025-08-03 16:11:02,20
2022-12-27,0.6,世芯-KY 受惠 AI 需求強勁，營運展望樂觀，但整體市場情緒受陸股大漲與解封利多帶動，電子族群表現參差，短期股價波動加劇。,2025-08-03 16:11:04,20
2022-12-28,0.3,庫存去化延續至明年上半年，加上產業淡季影響，市場情緒偏向保守，電子權值股與高價股承壓，但觀光類股表現抗跌。,2025-08-03 16:11:06,20
2022-12-29,0.3,科技股持續疲弱，市場信心低落，加上產業庫存調整壓力仍在，對相關個股形成負面影響。,2025-08-03 16:11:09,20
2022-12-30,0.6,世芯營收成長動能強勁，市場對其在 AI、HPC 等領域的成長前景樂觀，但整體盤勢仍受大環境影響而維持區間震盪。,2025-08-03 16:11:11,20
2023-01-03,0.7,台股開紅盤，半導體三雄領漲，加上電子權值股紛紛翻紅，帶動加權指數翻揚，終場上漲 86.43 點，收在 14224.12 點，站回 5 日線。高價股方面，股王大立光、股后信驊均收紅；世芯 - KY 傳出再次接獲亞馬遜晶片訂單，開紅盤強勢大漲 8.5%，以 855 元作收。整體而言，市場情緒偏正面，短期內有望延續反彈走勢。,2025-08-03 16:11:16,20
2023-01-04,0.6,多空分歧，電子股漲跌互見，光電族群、再生能源族群表現強勢，航運股賣壓偏重，加權指數小跌，但個股表現為主。,2025-08-03 16:11:19,20
2023-01-05,0.6,台股在台積電領漲下開高，但月線、半年線仍未突破，成交量低於預期，個股表現分歧，多族群受題材點火但整體上攻力道不足。,2025-08-03 16:11:21,20
2023-01-10,0.6,營收表現優於預期且庫存調整接近尾聲，激勵市場情緒偏正面，但股價漲幅有限，顯示獲利了結賣壓仍在。,2025-08-03 16:11:28,20
2023-01-13,0.6,整體展望樂觀且訂單能見度高，市場對基本面前景持正向態度，但股價基期已高，短線漲多後或有獲利了結壓力。,2025-08-03 16:11:30,20
2023-01-16,0.7,台積電法說釋出正向展望，加上美元走弱、新台幣強升，激勵電子權值股與 IP/ASIC 族群同步走強，帶動加權指數終場上漲逾百點，收在近一個半月新高。三大法人合計買超 212 億元，其中外資已連續第八個交易日買超，累計狂買 1195 億元。,2025-08-03 16:11:34,20
2023-01-17,0.6,電子紙、顯示器等相關族群營收成長強勁，股價有望延續漲勢，但仍需留意整體市場氛圍與個股基本面。,2025-08-03 16:11:37,20
2023-01-29,0.6,整體而言，市場對於這些個股的前景持中性偏正面看法，但仍存在一定的不確定性和挑戰。,2025-08-03 16:11:39,20
2023-01-30,0.6,科技股漲勢延續，世芯等矽智財概念股持續看好，但整體市場情緒仍受多空因素影響而呈現溫和上揚。,2025-08-03 16:11:41,20
2023-01-31,0.6,市場情緒受到大盤走勢疲弱與個股表現分歧影響，整體呈現中性偏空。部分個股如世芯、信驊等維持震盪，但台積電、大立光等權值股下跌拖累指數，且市場關注 FOMC 會議結果與財報公布期的不確定因素，引發觀望氣氛。,2025-08-03 16:11:44,20
2023-02-01,0.7,台股在新年首日強勁反彈，半導體族群領漲，加上銅價維持高檔與軍工概念股助攻，大盤站回年線關卡，顯示多頭氣勢已慢慢形成，但仍需留意 15400-15500 的反壓區。電子主流如電動車零組件、IC 設計等表現強勁，傳產股如 ABF 三雄也有機會，建議選股不選市，逢低佈局領頭羊標的。,2025-08-03 16:11:47,20
