date,factor,explanation,updated_time,news_count
2022-11-01,0.6,電子股普遍走揚，尤其是權值股如台積電與聯發科的強勁表現，以及面板雙虎、光寶科等個股的亮眼漲幅，顯示市場情緒正面且對產業前景樂觀。,2025-08-03 18:02:09,20
2022-11-07,0.6,營收維持正成長且三大業務穩健表現支撐市場信心，但終端需求放緩與明年展望保守壓抑短期漲幅空間。,2025-08-03 18:02:10,20
2022-11-14,0.9,"全球產能佈局加速與新廠啟用帶來正面效益，市場對未來營運成長前景樂觀。

====================",2025-08-03 18:02:12,20
2022-11-17,0.7,充電樁商機龐大，光寶科等台廠供應鏈受惠，但整體展望仍需觀察市場需求與政策落實情況。,2025-08-03 18:02:13,20
2022-11-18,0.6,獲獎肯定反映公司在環境、社會與治理面向的積極作為，展現良好的企業公民形象並提升市場信心。,2025-08-03 18:02:15,20
2022-11-22,0.5,台積電領漲帶動指數挑戰半年線，但電子股追價意願降低，資金轉向生技與有望提前落底的產業。,2025-08-03 18:02:18,20
2022-11-23,0.6,外資連兩日買超且加碼金融股與航空雙雄，投信也轉賣為買，顯示市場情緒偏正面，但個股表現仍有差異。,2025-08-03 18:02:19,20
2022-11-25,0.3,市場資金轉移至傳產族群與生技股，科技類股走跌壓抑整體市場情緒，但電子股若能接棒生技族群強勢則有利指數多方行情。,2025-08-03 18:02:21,20
2022-11-28,0.3,市場成交量萎縮與三大法人同步賣超顯示短期信心不足，但個股表現分歧，多空因素交錯使市場情緒偏向中性。,2025-08-03 18:02:23,20
2022-11-30,0.6,外資買超金額大增且買盤集中在非電族群，顯示市場信心回溫但仍偏好傳產類股。,2025-08-03 18:02:24,20
2022-12-02,0.3,富時羅素調整成分股名單，光寶科等列為候補名單，市場對其後續表現保持謹慎態度。,2025-08-03 18:02:26,20
2022-12-05,0.7,營收表現持穩且對明年成長前景樂觀，激勵市場情緒但短期漲幅有限。,2025-08-03 18:02:27,20
2022-12-07,0.3,外資賣超電子股如光寶科等但偏多操作，顯示市場情緒仍維持中性。,2025-08-03 18:02:29,20
2022-12-08,0.4,市場情緒受到多空消息交雜影響，整體呈現中性偏空。,2025-08-03 18:02:30,20
2022-12-19,0.6,外資與投信買賣超個股明顯不同，顯示市場情緒分歧，投信偏好部分遭外資拋售的標的，整體市場氛圍趨於中性。,2025-08-03 18:02:32,20
2022-12-20,0.3,三大法人同步賣超且外資加大賣超力道，顯示市場信心偏弱，但投信對金控股買超力道強勁，暗示部分資金尋求防禦性標的。,2025-08-03 18:02:34,20
2022-12-21,0.5,三大法人互相對作，外資買超傳產股但賣超金融股，投信則偏好金融股並調節傳產股，市場情緒中性。,2025-08-03 18:02:35,20
2022-12-28,0.6,營收與員工數創高、重大投資案持續進駐顯示產業前景穩健，但全球經濟衰退疑慮仍在，對市場情緒帶來溫和偏多影響。,2025-08-03 18:02:37,20
2023-01-06,0.6,雖然整體營收表現下滑但在雲端、車用電子等長期成長領域的拓展有助於抵抗總體經濟波動，市場對未來獲利能力維持中性樂觀。,2025-08-03 18:02:39,20
2023-01-11,0.3,電子股普遍疲軟拖累大盤走勢，僅少數個股如聯發科逆勢抗跌，金融與傳產族群也多呈現下挫，整體市場情緒偏向保守。,2025-08-03 18:02:40,20
2023-01-12,0.3,三大法人連6買且外資偏多操作，但個股表現分歧，市場情緒溫和偏多但仍有震盪風險。,2025-08-03 18:02:42,20
2023-01-17,0.6,外資買超行情提振市場信心，低價股反彈潛力高，但整體展望仍偏中性，需持續觀察基本面復甦力道。,2025-08-03 18:02:43,20
2023-02-07,0.3,工作天數減少影響單月營收表現，但主要業務需求穩定且持續調整產品組合，有助於維持市場信心。,2025-08-03 18:02:45,20
2023-02-09,0.6,電子權值股普遍疲軟拖累大盤，但工業電腦與軍工概念族群表現亮眼，緩解市場悲觀情緒。,2025-08-03 18:02:46,20
2023-02-17,0.9,美國政府大規模補貼與基建政策利多激勵相關台廠展開產能擴張，市場對未來營收貢獻與獲利表現樂觀。,2025-08-03 18:02:48,20
2023-02-19,0.3,外銷訂單連五黑與經濟展望保守壓抑市場信心，但法說行情及個股表現仍活躍，整體市場情緒偏向中性。,2025-08-03 18:02:50,20
2023-02-21,0.6,財報表現符合預期且全年獲利成長，展望雖保守但雲端、光電等業務前景穩健，支撐中性偏正面市場情緒。,2025-08-03 18:02:52,20
2023-02-22,0.6,臺慶科取得陸系電動車電池大廠認證，營運重返成長；光寶科受惠雲端電源、車用電子出貨帶動，去年獲利創高。整體而言，公司基本面穩健且展望正向，但市場情緒仍受到整體經濟與產業景氣影響，短期內難以完全擺脫波動。,2025-08-03 18:02:55,20
2023-02-23,0.6,電信三雄積極參與 MWC 展示技術實力，展出多項創新應用與合作計畫，正面消息提振市場對產業前景的樂觀情緒。,2025-08-03 18:02:57,20
2023-03-01,0.6,積極佈局 5G 專網與相關應用解決方案，展現數位轉型成果並搶攻新興市場商機，激勵中長期市場信心。,2025-08-03 18:02:58,20
2023-03-02,0.6,光寶科受惠伺服器電源需求強勁，展望今年表現樂觀，但市場仍關注整體產業景氣與庫存調整狀況。,2025-08-03 18:03:00,20
2023-03-03,0.6,富時羅素調整成分股名單，光寶科列入候補名單，短期內市場對其投資前景可能持謹慎態度。,2025-08-03 18:03:02,20
2023-03-07,0.6,2 月營收小幅成長且全年展望樂觀，市場對未來獲利與股價表現持正向看法。,2025-08-03 18:03:03,20
2023-03-08,0.3,外資買超光寶科但賣超緯創等電子股，顯示對傳統產業的偏好與對科技股的保守態度，整體市場情緒維持溫和樂觀。,2025-08-03 18:03:05,20
2023-03-09,0.6,電子權值股漲跌互見，半導體與航運類股撐盤，但面板雙虎重挫拖累大盤下跌，三大法人合計賣超，外資連兩日提款逾 200 億元。,2025-08-03 18:03:07,20
2023-03-10,0.6,營收與獲利成長、5G 應用創新展現技術實力及節能減碳策略有助於維持市場正面情緒，但整體展望仍需觀察後續產業復甦力道。,2025-08-03 18:03:09,20
2023-03-12,0.5,內外資觀望氣氛濃厚，市場靜待 FOMC 與央行會議結果，個股表現分歧。,2025-08-03 18:03:11,20
2023-03-13,0.6,市場情緒受矚目事件影響呈現溫和上揚，但美國金融風暴外溢效應仍是潛在變數。,2025-08-03 18:03:12,20
2023-03-14,0.3,市場情緒受到矽谷銀行事件影響而轉趨保守，金融股成為外資提款標的，但部分投信逆勢買超金融股，顯示對未來展望仍具一定信心。,2025-08-03 18:03:14,20
2023-03-15,0.3,多檔重量級個股除息影響指數表現，市場觀望氣氛濃厚且外資持續賣超，整體市場情緒偏向保守。,2025-08-03 18:03:16,20
2023-03-22,0.6,整體展望樂觀且基本面穩健，惟短期盤勢波動加劇可能壓抑股價表現。,2025-08-03 18:03:17,20
2023-04-06,0.6,AI 概念股受惠需求成長與產業發展趨勢，市場情緒偏正面，但個別公司表現差異大需謹慎選擇。,2025-08-03 18:03:19,20
2023-04-07,0.3,營收表現優於預期但市場情緒受大盤影響而趨中性，短期內公司基本面與獲利展望將是左右股價波動的關鍵因素。,2025-08-03 18:03:21,20
2023-04-14,0.5,營收展望持平與產品規劃藍圖顯示公司轉型決心，市場對未來成長前景維持中性看待。,2025-08-03 18:03:23,20
2023-04-23,0.3,法說會釋出利空訊息與三大法人同步賣超，市場情緒偏向保守，但整體影響尚屬中性，待法說內容明朗後才能確認股價走勢。,2025-08-03 18:03:25,20
