date,factor,explanation,updated_time,news_count
2022-11-01,0.6,台股連二紅，基本面佳且殖利率高，本益比低，顯示超跌，但通膨壓力仍在，升息循環持續，經濟逆風下綠能、電動車政策受惠股有望。,2025-08-03 17:35:48,20
2022-11-02,0.6,電子權值股與中小型個股輪動，市場觀望 FED 決策會議結果，成交量能仍待放大。,2025-08-03 17:35:51,20
2022-11-06,0.6,多家重量級公司財報與展望將公布，市場關注營收表現與產業前景，整體而言中性偏正面。,2025-08-03 17:36:04,20
2022-11-08,0.6,積極參與國際氣候變遷大會並分享節能減碳技術，展現企業永續發展決心，有利於提升品牌形象，但短期內對營收貢獻有限。,2025-08-03 17:36:06,20
2022-11-10,0.5,"台積電領跌拖累電子權值股，但生醫、航運及矽晶圓族群撐盤，市場情緒維持溫和偏多。

台達電創辦人鄭崇華看好電動車成長潛力，目標2030年市占率超過15%，帶動營收突破360億美元。",2025-08-03 17:36:10,20
2022-11-11,0.8,"台積電領軍大漲逾 8%，帶動電子族群全面走強，指數站上萬四關卡，成交量放大至 3354 億元，呈現多頭排列。展望後市，若通膨持續緩解、聯準會升息態度轉向鴿派，市場樂觀情緒可望延續。

台積電漲幅最大，超過 30 元站上季線，聯發科、聯電等多檔權值股也全面走強。高價股漲勢同樣強勁，力旺亮燈漲停，信驊大漲 9% 以上，祥碩、創意飆逾 7%，ABF 三雄中南電開盤鎖住，欣興大漲超過 7%，景碩也漲超過半根漲停。智邦營收持續上攻今大漲 6% 以上，國巨、台達電等也有不錯表現。

展望後市，法人認為，美國通膨數據釋出好消息、近期多產業市況也出現落底跡象，接下來須關注 12 月聯準會升息態度，若升息目標不再上調、通膨持續緩解，市場多頭可望逐步回籠。",2025-08-03 17:36:19,20
2022-11-12,0.6,加密貨幣市場動盪與台積電擴廠延期等負面消息影響短期信心，但通膨降溫、MSCI 調升權重及公司展望維持正向，整體市場情緒偏中性。,2025-08-03 17:36:22,20
2022-11-14,0.9,中國政策利多帶動相關產業股價走強，加上電子權值股普遍收紅，激勵大盤指數突破 14200 點關卡，顯示市場情緒正面且對未來展望樂觀。,2025-08-03 17:36:24,20
2022-11-15,0.7,台積電ADR大買消息激勵指數強彈逼近半年線，權值電子股領漲，市場情緒轉趨樂觀。,2025-08-03 17:36:27,20
2022-11-16,0.6,市場信心回升，營運展望樂觀個股成焦點，但指數面臨半年線反壓，多空交戰使盤勢轉趨震盪。,2025-08-03 17:36:29,20
2022-11-17,0.6,台積電概念股受惠於美中晶片戰與美國通過晶片法案，市場關注度大增，相關個股表現強勢。,2025-08-03 17:36:32,20
2022-11-21,0.3,權值股普遍疲軟拖累大盤走勢，但遊戲與生技等中小型股逆勢抗跌，市場情緒偏向保守。,2025-08-03 17:36:34,20
2022-11-22,0.6,台積電等權值股走勢分歧，市場聚焦二十大後中國防疫政策調整與經濟展望，選前觀望氣氛濃厚，但多頭力守半年線支撐，電子紙、記憶體族群有望受惠於需求回溫。,2025-08-03 17:36:37,20
2022-11-23,0.6,金融、航運與生技族群領軍上攻，電子權值股表現平淡，市場情緒偏向正面，但指數仍未突破前高，後市需持續關注。,2025-08-03 17:36:41,20
2022-11-24,0.6,Fed 會議紀要釋出鴿派訊號，激勵美股四大指數全面收高，台股同步走揚，市場買盤回籠，聯發科領軍 IC 設計股放量大漲，航運股也來助攻，加權指數終場上漲 175.46 點或 1.2%，收在 14784 點全場最高，續創逾 2 個月新高。台積電、聯發科今 (24) 日雙雙上漲，半導體中小型類股活蹦亂跳，推升台股開高走高，終場大漲 175.46 點或 1.2%，收在最高點 14784 點，成交量 2172 億元，明顯較昨日放大。權值股今日大多走強，台積電上漲近 1%、達 496 元，聯發科強漲超過 3%，重返五日線，挑戰前高 742 元，鴻海則小漲表態，其他如台塑四寶、台達電、聯電也都在盤上表現，為大盤走勢增溫。盤面焦點方面，生技再獲資金青睞，美時終場亮燈漲停，成交金額更高達 125 億元，高居台股成交值第二，僅次於台積電，合一也收紅，其餘如晶宇、泰福 - KY、晶碩漲幅也都達半根。另外，ASIC 與矽智財族群同樣火熱，M31 昨日法說釋出正向展望，午盤即鎖上漲停板，衝上 520 元，企圖挑戰歷史新高價 534 元，晶心科、愛普 * 漲幅同樣超過 7%，創意、智原、金麗科、力旺也全面回神。加權指數收漲 175 點，量能 2172 億元，揮別三日量縮，今天量能大約持平月均量，但稱不上量增，因此今天的創高紅 K 無法定義為新的關鍵 K 線，目前強勢多方關鍵 K 仍為 11/15 低點 14278。台積電 (2330-TW) 今日上漲 0.81%，貢獻漲點 33.47 點，不是只漲台積電 (2330-TW) 的狀況下，資金流出到其他權值及中小型股，其中表現最強的為台達電 (2308-TW)，創下波段新高，也是少數仍然呈現多頭走勢的權值股，而快速輪的狀況下，昨日強勢的生技股僅剩下美時(1795-TW) 獨強，其他大多小漲小跌，資金也轉往本波沒有彈到的貨櫃航運，長榮 (2603-TW)、陽明(2609-TW) 各有 4%、3% 的幅度表現。今日反彈過高，但短線多頭家數持續走低來到 52.86%，顯示個股族群仍有持續轉弱現象，而今天進一步輪動到還沒彈到的貨櫃航運，以及金融的相對強勢，是否反彈派隊接近尾聲? 華冠投顧 范振鴻分析師表示接下來的類股輪動狀態，是否有強勢族群在帶動下一波攻勢將會是重點，畢竟指數要持續走多，需要的就是更多正向輪動。美國感恩節今天休市一天，本來周四周五要公布的數據都提前到了昨天公布，其中耐久財、消費者信心數據高於市場預期，顯示企業投資與消費力道仍強，另一方面 PMI 數據低於市場預期與初領失業人數高於預期，顯示景氣進一步走弱，但初領失業救濟金人數高於預期主因假期前因素，能否持續高於市場預期會是接下來關心的。有任何問題、想知道更多投資訊息歡迎加入 范振鴻分析師 LINE 好友 LINE@！ ID：@sirius1688 手機直接點連結 https://supr.link/4gQQV,2025-08-03 17:37:00,20
2022-11-25,0.6,電子權值股疲弱拖累大盤，但電動車概念股與半導體測試介面族群強勢上漲，整體市場情緒偏向正面但震盪。,2025-08-03 17:37:01,20
2022-11-28,0.3,中國疫情升溫引發民眾抗議，衝擊台股權值股與陸港股走勢，市場信心受挫，短期內多頭攻勢恐將暫緩。,2025-08-03 17:37:05,20
2022-11-29,0.6,"金融、貨櫃三雄撐盤，電子權值回穩，加上解封概念股助攻，大盤翻紅收高。


台股今日在國安基金與金管會護盤下，拉抬台積電(2330-TW)，最終台積電擺尾收高，終場加權指數上漲 152 點，收在 14709 點，成交量放大至 2136 億。


金融股今天扮演撐盤要角，金控雙雄國泰、富邦上漲 2-3%，中信金、台新金、華南金、上海商銀等漲勢都很強勁。傳產方面，貨櫃三雄在多頭力挺下，股價全面翻紅，上漲超過 2%；鋼鐵股受買盤青睞，中鋼大漲近 3%，中鴻、世紀鋼、豐興、威致、海光、燁興等均漲勢不俗。


解封概念股也大啖商機，漢來美食、燦星旅、亞都與大略 - KY 股價直奔漲停，鳳凰、寒舍、美食 - KY、華園、御頂、海灣上漲 3-4%，易飛網、五福、八方雲集、晶華、新天地、好樂迪等站穩盤上。


賴昇楷分析師表示，台股短線還沒脫離整理格局，不過指數呈現橫向震盪同時，類股輪動卻很熱鬧，這點可從近幾天上市櫃漲家數都大於跌家數獲得印證，所以操作上只要有選股的方法＋控好持股水位，好事就會一再發生。


賴昇楷分析師特別針對操作策略＆個股追蹤做下列分析：華星光 (4919-TW)、晶睿 (3454-TW)、新盛力 (4931-TW)。",2025-08-03 17:37:16,20
2022-11-30,0.7,權值股普遍走揚且量增收最高點，外資買超支撐指數突破前高，市場情緒偏正面。,2025-08-03 17:37:19,20
2022-12-02,0.6,儲能概念股受惠政策支持與電力需求成長，台達電等個股營運展望樂觀且基本面穩健，激勵市場情緒偏正向。,2025-08-03 17:37:21,20
2022-12-04,0.6,12月通常漲多跌少且資金行情升溫，外資買超力道強勁，整體市場展望樂觀但仍需留意個股基本面表現。,2025-08-03 17:37:22,20
2022-12-06,0.6,軍工、車電等產業展望樂觀，相關個股漲勢強勁帶動市場情緒，但整體經濟前景仍有不確定性。,2025-08-03 17:37:24,20
2022-12-07,0.3,電子股承壓與 ABF 載板三雄重挫拖累大盤，金融股撐盤無力使指數回測月線支撐，市場風險意識再起。,2025-08-03 17:37:27,20
2022-12-08,0.6,中華電積極推動 PCB 產業導入 5G 企業專網及建置智慧製造應用，展現數位轉型決心，有利長期營運成長，但短期效益仍待觀察。,2025-08-03 17:37:32,20
2022-12-09,0.6,營收維持高檔且車用電子取得認證，顯示公司業務穩健成長，激勵市場對未來展望的正面情緒。,2025-08-03 17:37:34,20
2022-12-12,0.3,市場情緒偏向中性，指數面臨技術壓力且量能萎縮，個股表現分歧。,2025-08-03 17:37:36,20
2022-12-13,0.6,與恩智浦半導體簽署合作備忘錄，共同開發下一代電動車平台，顯示公司積極佈局電動車相關領域，有利於未來成長動能，但短期內市場仍觀望整體產業趨勢。,2025-08-03 17:37:39,20
2022-12-14,0.6,儘管電子股強勢反彈，傳產族群表現分歧，整體市場情緒偏正面，但仍需留意個別公司的基本面與獲利展望，避免追高殺低。,2025-08-03 17:37:42,20
