date,factor,explanation,updated_time,news_count
2022-11-02,0.3,市場觀望氣氛濃厚，多空勢力拉鋸，整體情緒偏中性。,2025-08-03 18:19:48,20
2022-11-14,0.6,多頭行情延續，指數持續反彈，但個股表現分歧，強勢股如昇達科和耿鼎等有望受惠產業趨勢，整體市場情緒偏正面但仍需留意個別股票的基本面。,2025-08-03 18:19:51,20
2022-11-15,0.6,外資連三天買超台積電並大舉買超晶圓雙雄，顯示對半導體產業前景持正面看法，激勵市場情緒上漲。,2025-08-03 18:19:52,20
2022-11-16,0.6,外資買超台股並偏好傳產與金融股，對電子業如面板雙虎賣超，但買超台積電，整體市場情緒略為正向但仍有不確定性。,2025-08-03 18:19:54,20
2022-11-25,0.6,選後行情與政策作多題材激勵市場信心，搭配產業展望穩健，整體而言呈現正面氛圍，但個股表現仍需視基本面實際營運狀況而定。,2025-08-03 18:19:56,20
2022-11-29,0.6,"展望明年，全球經濟暫時無法快速 V 轉復甦，資金將轉進政府大力扶植的產業，如綠能、電動車等，相關個股如奇鋐(3017-TW) 有機會表現。軍工、車電股持續看好，台半(5425-TW)、和大(1536-TW) 等可留意。

====================",2025-08-03 18:19:59,20
2022-12-02,0.6,新增台股成分股與調整權重將影響市場情緒，奇鋐列入多個指數有利短期表現。,2025-08-03 18:20:01,20
2022-12-05,0.6,成分股調整將為 ETF 帶來新的投資機會，市場對於新增標的前景持正向態度，但整體展望仍受總體經濟影響。,2025-08-03 18:20:03,20
2022-12-06,0.4,市場情緒偏向保守，電子權值股與傳產指標遭狙擊，反觀軍工、車電等族群相對抗跌。,2025-08-03 18:20:05,20
2022-12-07,0.3,市場情緒偏空，電子權值股遭外資調節，但金融股獲得青睞，顯示投資人轉向較穩健的標的。,2025-08-03 18:20:06,20
2022-12-08,0.4,三大法人聯手賣超拖累台股走疲，電子權值股遭調節，市場情緒偏空。,2025-08-03 18:20:08,20
