date,factor,explanation,updated_time,news_count
2022-11-01,0.6,電子與金融股領軍上攻，搭配新藥題材助攻生技股，多頭信心回穩，但成交量不足且觀望 Fed 決策結果，短期漲勢恐有壓。,2025-08-03 12:56:36,20
2022-11-02,0.6,電子權值股與超微概念股走強提振市場信心，但聯準會利率決策及成交量低迷仍是觀察重點。,2025-08-03 12:56:38,20
2022-11-06,0.5,多家重量級公司財報與展望將公布，市場關注營收表現與產業景氣變化，引發投資人觀望，整體而言對股市情緒帶來中性影響。,2025-08-03 12:56:40,20
2022-11-08,0.7,美股反彈激勵加上半導體、航運等族群領漲，帶動台股大盤走揚，廣達等權值股也同步上漲，市場情緒轉趨樂觀。,2025-08-03 12:56:41,20
2022-11-09,0.3,營收表現符合預期但出貨與成長力道疲弱，市場對第四季展望保守使短期情緒偏向中性。,2025-08-03 12:56:43,20
2022-11-10,0.3,電子權值股走弱拖累大盤跌逾百點，但生技醫療類股強勢支撐市場情緒，傳產貨櫃三雄營收雙減卻有不同反應。,2025-08-03 12:56:44,20
2022-11-11,0.6,整體營收成長與獲利回升帶動市場情緒正面，但展望保守與筆電需求疲弱壓抑漲幅，非筆電事業貢獻將扮演關鍵角色。,2025-08-03 12:56:46,20
2022-11-14,0.6,電子族群普遍走揚，加上中國祭出金融 16 條支持房市，帶動水泥、鋼鐵等傳產股噴出，三大法人合計買超 329.68 億元，外資再買超 377 億元。,2025-08-03 12:56:50,20
2022-11-15,0.7,臺歐盟將深化 6G 合作，台灣產業鏈整合與國際夥伴關係加強有利未來發展。,2025-08-03 12:56:51,20
2022-11-16,0.3,電子權值股與傳產族群同步走弱拖累大盤，半年線未能站穩，市場情緒偏向中性。,2025-08-03 12:56:52,20
2022-11-17,0.6,台積電概念股與政策受惠股表現強勁，激勵市場情緒，但整體量能不足且中小型股仍在整理，維持區間震盪走勢。,2025-08-03 12:56:55,20
2022-11-18,0.3,電子權值股普遍回檔，資金轉進觀光、生技等中小型股，市場情緒維持溫和偏多，但整體漲跌幅有限，顯示對後市展望仍謹慎。,2025-08-03 12:56:57,20
2022-11-21,0.3,電子權值股普遍疲軟，加上半年線得而復失，市場信心受挫，但鋼鐵、汽車等傳產股撐盤，遊戲、生醫中小型股獲資金青睞，整體市場情緒偏向保守。,2025-08-03 12:57:00,20
2022-11-23,0.6,受美中科技戰影響，台廠伺服器製造逐步轉移至中國以外地區，以分散風險並滿足客戶需求。主要業者如廣達、英業達等擴大墨西哥與東南亞產能，顯示供應鏈重組趨勢持續。,2025-08-03 12:57:02,20
2022-11-24,0.9,"Fed 會議紀要釋出鴿派訊號激勵市場信心回升，加權指數創逾 2 個月新高，三大法人合計買超 243.69 億元，外資連 3 買。電子股普遍走揚，IC 設計、航運股表現強勁，M31 獲調升目標價漲停，聯發科、瑞昱等也大漲。

0.9
Fed 會議紀要釋出鴿派訊號激勵市場信心回升，加權指數創逾 2 個月新高，三大法人合計買超 243.69 億元，外資連 3 買。電子股普遍走揚，IC 設計、航運股表現強勁，M31 獲調升目標價漲停，聯發科、瑞昱等也大漲。",2025-08-03 12:57:06,20
2022-11-25,0.3,電子權值股疲弱、航運股漲勢收斂及外資轉賣壓抑市場情緒，但半導體測試介面與電動車概念股表現強勁，整體而言短期內市場信心略顯保守。,2025-08-03 12:57:08,20
2022-11-29,0.6,"Fed 鷹派言論引發市場震盪，電子權值股回穩、金融撐盤及解封概念股助攻下，加權指數翻紅收復短均，但成交量仍未放大，顯示追價意願不足。整體而言，多空勢力拉鋸，市場情緒偏向中性。

軍工、車電等產業受惠政策扶植及地緣政治因素，有望成為後市焦點，但個股表現仍需視基本面實際營運狀況。整體而言，選後指數維持震盪，族群輪動快速，操作難度提高，建議審慎樂觀、控制持股比例，並留意低檔布局時機。",2025-08-03 12:57:13,20
2022-11-30,0.9,亞馬遜 AWS 持續擴大雲端投資，帶旺台廠供應鏈需求強勁，激勵市場對明年伺服器出貨與營收成長的樂觀預期。,2025-08-03 12:57:14,20
2022-12-01,0.6,面板雙虎醫療布局領先且展出多項創新應用，顯示轉型效益逐步浮現，但整體市場需求仍存在不確定性，短期內對股價的正面激勵有限。,2025-08-03 12:57:16,20
2022-12-02,0.3,電子權值股普遍走跌拖累大盤，僅鴻家軍與缺電概念股逆勢上揚，市場情緒偏向中性。,2025-08-03 12:57:18,20
2022-12-05,0.6,電子權值股領軍上攻，加上新台幣走升與資金回流，整體市場情緒偏正面，但個別公司表現仍有差異。,2025-08-03 12:57:20,20
2022-12-06,0.6,英特爾執行長亞洲行將拜訪多家台廠，顯示雙方合作關係緊密，有助於提升市場對廣達等供應鏈的信心，但短期內消息影響有限。,2025-08-03 12:57:22,20
2022-12-07,0.3,英特爾執行長訪台與供應鏈夥伴會面，雲端資料中心需求仍然穩健，但大盤走弱恐影響短期市場信心。,2025-08-03 12:57:24,20
