date,factor,explanation,updated_time,news_count
2022-11-01,0.6,電子與金融股領軍上攻，搭配新藥題材助攻生技股，多頭氣勢回溫但成交量不足，市場觀望 Fed 決策結果。,2025-08-03 17:07:08,20
2022-11-02,0.6,電子權值股與超微概念股走強提振市場信心，但台積電漲勢受抑制及聯準會利率決策等因素使盤中漲幅收斂，整體市場情緒偏正面但仍需觀察。,2025-08-03 17:07:10,20
2022-11-03,0.6,日月光投控等半導體廠加入全球氣候聯盟，展現企業減碳決心，有利長期營運發展，但短期市場仍受升息與經濟衰退疑慮影響，股價波動加劇。,2025-08-03 17:07:12,20
2022-11-04,0.6,新封裝技術帶動產業創新與競爭優勢，激勵市場對半導體先進製程的正面期待，但美股走弱與電子權值股疲軟仍壓抑指數漲幅。,2025-08-03 17:07:15,20
2022-11-07,0.7,半導體權值股領軍、航運族群強勢表現，加上金融股撐盤，多方行情延續，市場信心回溫。,2025-08-03 17:07:19,20
2022-11-09,0.6,半導體族群領軍反彈，電子權值股強勢上攻，加上外資買超力道增強，激勵市場情緒回升，但漲幅仍在季線之下，顯示追價意願不足，後市需觀察美聯儲利率決策與財報表現。,2025-08-03 17:07:22,20
2022-11-10,0.6,新廠投資案展現公司對未來成長與擴張的信心，但短期內市場關注焦點仍在半導體景氣循環與終端需求動能。,2025-08-03 17:07:24,20
2022-11-11,0.9,"美國通膨數據大幅降溫激勵美股強彈，帶動台股開盤跳空漲停，權值股全面上攻，成交量放大至 3354 億元，收復萬四關卡。展望後市，若聯準會升息態度轉鴿，多頭可望回籠。

0.9
美國通膨數據降溫激勵美股強彈，帶動台股開盤跳空漲停，權值股全面上攻，成交量放大至 3354 億元，收復萬四關卡。展望後市，若聯準會升息態度轉鴿，多頭可望回籠。",2025-08-03 17:07:29,20
2022-11-14,0.7,台積電領漲電子族群，加上中國祭出金融 16 條支持房市，帶動水泥、鋼鐵等傳產股噴出，大盤指數終場上漲 167 點，收在 14174 點，創近 2 個月新高。三大法人合計買超 329.68 億元，外資再買超 377 億元。,2025-08-03 17:07:32,20
2022-11-15,0.6,波克夏買進台積電 ADR 與半導體族群強勢表現提振市場信心，但漲幅過大與量能擴增恐引發獲利了結賣壓，短期內指數將維持高檔震盪整理。,2025-08-03 17:07:35,20
