date,factor,explanation,updated_time,news_count
2022-11-01,0.6,營收穩定且題材多的個股有機會成為資金青睞標的，搭配均線系統操作，可望突破近期整理區間。,2025-08-03 16:41:23,20
2022-11-02,0.6,市場觀望 Fed 決策，指數震盪，但中小型成長股表現強勁，財報週和季報公告期將是利空測底良機，法人開始關注明年成長產業和個股。,2025-08-03 16:41:25,20
2022-11-03,0.5,市場情緒維持中性，雖然台積電下挫影響大盤，但櫃買指數表現亮眼，利空族群未跌、利多族群走高，顯示短期資金聚焦在個別動能較強的個股。,2025-08-03 16:41:27,20
2022-11-04,0.6,營收穩定且題材助攻的智原股價強勢上漲，市場情緒偏正面，但整體盤勢震盪仍可能影響短期漲幅。,2025-08-03 16:41:29,20
2022-11-08,0.6,多空消息交雜，市場情緒偏正面，但漲勢受制於季線反壓，操作上以短線為主，關注有題材、技術面偏多的個股。,2025-08-03 16:41:38,20
2022-11-10,0.6,半導體產業展望轉趨樂觀，IP 設計族群有望受惠，股價漲勢可期。,2025-08-03 16:41:40,20
2022-11-15,0.6,外資買超晶圓雙雄，台積電領軍衝關半年線，電子權值股帶量上漲，三天大漲千點，市場對先進製程仍是需求若渴，基本面支撐股價回升。,2025-08-03 16:42:00,20
2022-11-17,0.6,台積電 ADR 股神巴菲特大舉買進，激勵半導體族群表現強勢，蘋概股也同步走揚，市場情緒偏正面。,2025-08-03 16:42:04,20
2022-11-18,0.6,多空消息交雜，市場情緒偏正面，但漲勢趨緩，個股表現分歧。,2025-08-03 16:42:07,20
2022-11-21,0.6,半導體、光學、安控、面板、ABF 載板、IP 矽智財、PCB 銅箔基板等族群強勢，多方控盤，留意整理中的強勢股。,2025-08-03 16:42:10,20
2022-11-24,0.6,IC 設計族群領軍上攻，加權指數續創逾 2 個月新高，三大法人合計買超 243 億元，外資連 3 買。,2025-08-03 16:42:22,20
2022-11-28,0.6,IC 設計股中，低基期、超跌個股有望啟動「校正回歸」行情，明年上半年庫存將回歸正常，業者重新出發。12 月台股值得期待，機會稍縱即逝。,2025-08-03 16:42:32,20
2022-11-30,0.6,整體來看，市場情緒偏向正面，但仍存在一些不確定因素。台積電等大型科技股的強勢表現提振了投資者的信心，而半導體產業的需求前景穩健也為市場帶來了樂觀情緒。此外，軍工、光纖和生技等行業的強勁表現也對市場產生了積極影響。然而，晶相光等個股的虧損和轉弱則給市場帶來了一定壓力。整體而言，市場情緒呈現中性偏正面，但仍需關注後續發展以確定長期趨勢。,2025-08-03 16:42:35,20
2022-12-01,0.6,集團作帳行情啟動，威盛、聯電、華新等旗艦股領軍，搭配第三代半導體、光纖、ABF等強勢族群，年底行情可期。,2025-08-03 16:42:38,20
2022-12-02,0.7,多頭行情延續，電子股強勢，題材股輪動快速，市場信心回升。,2025-08-03 16:42:41,20
2022-12-04,0.6,法人積極買超且展望樂觀的個股如智擎、環科、系統電等，市場情緒偏正面。然而外資動向與美國升息政策仍是影響大盤的關鍵因素。,2025-08-03 16:42:43,20
2022-12-05,0.7,集團作帳行情持續發酵，半導體族群強勢表現，市場信心回升，股價有望延續漲勢。,2025-08-03 16:42:47,20
2022-12-06,0.6,題材股強勢但漲多拉回，市場情緒轉為謹慎，個別族群表現分歧。,2025-08-03 16:42:50,20
2022-12-07,0.6,營收創新高與展望樂觀顯示公司基本面強勁，惟短期市場情緒受大盤影響而震盪，投資人可留意買點。,2025-08-03 16:42:52,20
2022-12-09,0.7,半導體族群強勢表現與矽智財股領漲帶動指數上揚，市場情緒偏正面，但個別股票漲幅不一，操作宜選擇基本面穩健且量能放大者。,2025-08-03 16:42:55,20
2022-12-12,0.3,市場情緒受到利空消息影響而轉為中性，短期內指數可能維持區間整理走勢。,2025-08-03 16:42:56,20
2022-12-13,0.3,市場情緒偏向保守，電子股缺乏主流領漲，但部分題材股如生技、鋼鐵等表現亮眼，整體而言對智原的影響中性。,2025-08-03 16:42:58,20
2022-12-15,0.6,市場情緒偏正面，但個股表現分歧，強勢族群如矽智財、ABF持續看好，而傳產與軍工股則有短線操作跡象。,2025-08-03 16:43:21,20
2022-12-16,0.3,半導體族群震盪整理，市場觀望地緣政治與產業庫存修正影響，短期內缺乏明確的利多因素支撐股價上漲。,2025-08-03 16:43:23,20
2022-12-19,0.3,市場情緒偏中性，部分產業展望保守但個別族群仍有反彈契機。,2025-08-03 16:43:25,20
2022-12-20,0.1,電子股普遍走跌，尤其是設計 IP 相關族群與載板相關廠商表現疲弱，市場信心受挫，加上大型權值股也承壓，整體市場情緒偏向負面。,2025-08-03 16:43:27,20
2022-12-21,0.6,市場情緒偏正面，鋼鐵、航運與生技股領漲，但部分個股如 ABF 仍震盪，整體呈現區域性輪動格局。,2025-08-03 16:43:29,20
2022-12-22,0.6,整體新聞呈現中性偏正面，公司基本面穩健且展望樂觀，但部分個股仍有庫存調整與成本壓力影響短期獲利表現。,2025-08-03 16:43:31,20
2022-12-23,0.3,市場信心受美股大跌影響，雖然部分個股維持強勢，但整體氣氛偏向謹慎觀望。,2025-08-03 16:43:33,20
2022-12-26,0.3,市場觀望氣氛濃厚且外資休假影響交易量能，個股表現分歧，整體市場情緒偏向中性。,2025-08-03 16:43:35,20
2022-12-27,0.6,觀光、航運等類股強勢表現帶動大盤上漲，電子族群如矽智財、再生晶圓與半導體檢測也有不錯的漲幅，整體市場情緒偏正面。,2025-08-03 16:43:37,20
