date,factor,explanation,updated_time,news_count
2022-11-03,0.3,市場信心受聯準會鷹派言論與美元走強影響，指數失守萬三關卡，個股表現分歧，智邦等少數個股逆勢上漲，但整體市場情緒偏向保守。,2025-08-03 16:57:44,20
2022-11-07,0.6,網通三雄 10 月營收齊創新高，顯示下游需求強勁，智邦 在業界領先推出 800G 產品，有利長期成長動能。,2025-08-03 16:57:45,20
2022-11-08,0.6,智邦受惠晶片缺料緩解及出貨順暢，10月營收創新高，顯示需求強勁且供給改善，激勵市場對其未來成長前景的樂觀預期。,2025-08-03 16:57:47,20
2022-11-10,0.9,網通三雄財報亮眼，尤其智邦獲利表現傑出，顯示產業前景穩健且公司基本面強勁，激勵市場情緒與股價上漲。,2025-08-03 16:57:49,20
2022-11-11,0.9,美國通膨數據樂觀與產業落底跡象顯示經濟軟著陸機率提高，激勵大盤強彈萬四關卡，電子權值股全面走揚，市場情緒轉趨正面。,2025-08-03 16:57:51,20
2022-11-14,0.6,市場樂觀情緒持續，多方行情延燒，但指標過熱與半年線壓力使漲勢面臨考驗。,2025-08-03 16:57:53,20
2022-11-18,0.9,需求穩健與新品成長動能強勁，加上產能擴張計畫，展現公司營運前景樂觀，激勵市場正面情緒。,2025-08-03 16:57:54,20
2022-11-20,0.6,智邦推出矽光技術解決方案以加速 800G 交換器市場發展，展現對未來成長前景的信心，但具體效益仍需時間驗證。,2025-08-03 16:57:56,20
2022-11-21,0.3,營收與獲利衰退壓力加上面板需求疲弱，市場對面板廠營運前景持保守態度；鴻海園區維持正常生產，但中國疫情升溫仍引發一定程度的不確定性。,2025-08-03 16:57:58,20
2022-12-02,0.3,市場觀望氣氛與個股表現分歧，中小型股漲多拉回，整體情緒偏向保守。,2025-08-03 16:58:00,20
2022-12-05,0.3,三大法人買賣超動向顯示市場信心仍有分歧，外資偏好反向ETF與金融股，投信則青睞傳產龍頭，整體而言中性氛圍略為轉趨正面。,2025-08-03 16:58:01,20
2022-12-06,0.9,三家網通廠 11 月營收持續創高，顯示產業需求強勁，公司基本面表現亮眼，激勵市場對未來成長前景的正向期待。,2025-08-03 16:58:03,20
2022-12-12,0.3,出口數據與經濟衰退疑慮壓抑市場信心，電子產業展望轉趨保守，但網通、IPC 等相關個股表現相對抗跌。,2025-08-03 16:58:05,20
2022-12-14,0.6,電子股普遍走揚，尤其是板卡族群強勢表現，帶動大盤上漲並重新站回月線，但部分傳產類股如貨櫃海運、鋼鐵及生技個別震盪。,2025-08-03 16:58:07,20
2022-12-19,0.6,伺服器產業展望樂觀，相關供應鏈股價強勢反彈，但漲多個股短線恐拉回整理，宜選擇基本面穩健且量能增溫者佈局。,2025-08-03 16:58:10,20
2022-12-20,0.6,與 5G O-RAN 基頻晶片開發商 Picocom 合作推出新解決方案，展現公司在 O-RAN 商機中的積極佈局與技術領先地位，有助於提升市場信心。,2025-08-03 16:58:11,20
2022-12-23,0.3,市場信心受美股回落與聖誕節假期影響，權值股普遍走弱，僅部分電子股維持平穩，整體呈現量縮下跌態勢。,2025-08-03 16:58:13,20
2022-12-26,0.3,市場觀望氣氛濃厚且外資休假影響交易量能，個股表現分歧，整體市場情緒偏向中性。,2025-08-03 16:58:14,20
2023-01-04,0.5,電子權值股普遍疲弱拖累大盤，但中小型個股如電力、內需消費題材股逆勢抗跌，顯示市場情緒仍有支撐。,2025-08-03 16:58:16,20
2023-01-06,0.7,營收創高且展望樂觀，缺料緩解與新產品推動下，市場對未來成長前景持正向期待。,2025-08-03 16:58:18,20
2023-01-10,0.6,基本面強勁且產業前景樂觀，搭配量能放大與技術指標轉強，整體市場情緒偏正向。,2025-08-03 16:58:19,20
2023-01-16,0.6,電子與金融股領漲帶動大盤上揚，多數個股走強，但部分傳產類股表現疲弱，市場情緒偏正面但仍有不確定性。,2025-08-03 16:58:21,20
2023-01-30,0.9,外資連續買超並大舉回補半導體族群，顯示市場信心回升，對台股整體走勢形成正面支撐。,2025-08-03 16:58:22,20
2023-02-06,0.6,營收雙成長但月減幅大於預期，市場對後續動能仍存疑慮。,2025-08-03 16:58:24,20
2023-02-07,0.6,市場情緒偏正面，部分個股如智邦、技嘉等表現強勁，但整體量能不足且波動加劇，預期短線仍將維持區間震盪走勢。,2025-08-03 16:58:26,20
2023-02-08,0.6,營收成長與股價反應呈正相關，市場對基本面展望樂觀，但短期漲多後需留意獲利了結賣壓。,2025-08-03 16:58:28,20
2023-02-18,0.7,網通類股整體營運穩健且獲利表現亮眼，帶動本周相關個股強勁上漲，市場對產業前景與個別公司基本面持正向看待。,2025-08-03 16:58:29,20
2023-02-23,0.9,半導體股領漲帶動大盤強勁反彈，電子與傳產指標齊揚，市場情緒回溫，多頭氣勢再起。,2025-08-03 16:58:31,20
2023-03-06,0.6,網通族群受惠 AI 概念與需求穩定，股價表現強勁，但高基期個股漲幅已大，投資人應留意低基期個股的補漲潛力。,2025-08-03 16:58:35,20
2023-03-09,0.7,獲利創高與配發豐厚現金股利顯示公司基本面強勁，激勵正面市場情緒。,2025-08-03 16:58:37,20
